,trailingCashDividendsPaid,annualNetIncome,trailingPretaxIncome,annualPretaxIncome,annualCashDividendsPaid,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,annualBasicEPS,trailingInvestingCashFlow,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,annualGoodwill,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyGoodwill,quarterlyBasicEPS,quarterlyNetIncome,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,trailingTotalRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,annualDilutedEPS,annualAccountsPayable,annualNetPPE,annualOperatingCashFlow,trailingOperatingIncome,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,annualCurrentLiabilities,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualEbitda,trailingNetOtherInvestingChanges,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,trailingBeginningCashPosition,quarterlyChangeInInventory,annualInterestExpense,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,annualCurrentAssets,annualBeginningCashPosition,trailingCapitalExpenditure,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyCapitalStock,annualSellingGeneralAndAdministration,annualDilutedAverageShares,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualOtherCurrentLiabilities,trailingGrossProfit,trailingNetIncomeCommonStockholders,quarterlyBasicAverageShares,trailingDeferredIncomeTax,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualTaxProvision,annualCurrentDebt,quarterlyRepaymentOfDebt,annualInventory,quarterlyAccumulatedDepreciation,trailingCostOfRevenue,trailingResearchAndDevelopment,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyTaxProvision,annualCapitalStock,annualCurrentDeferredRevenue,annualTotalRevenue,annualCostOfRevenue,annualOtherCurrentAssets,trailingChangeInInventory,annualTotalNonCurrentAssets,annualResearchAndDevelopment,quarterlyEbitda,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,annualGrossProfit,annualFreeCashFlow,trailingTaxProvision,annualStockBasedCompensation,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,trailingOtherNonCashItems,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingExpense,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyDilutedEPS,trailingOperatingExpense,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingNetIncome,trailingFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,annualBasicAverageShares,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733536000,,,,,,1365900000.0,46400000.0,-1800000.0,,,,155400000.0,6500000.0,,,20600000.0,1124500000.0,314028314.0,,,,44500000.0,,,,201800000.0,,,18300000.0,,,0.058275,18300000.0,,3100000.0,,,,,,18300000.0,,0.0,,,139100000.0,43200000.0,43200000.0,,,,,,,,12000000.0,,,,,,,1000000.0,,,-7200000.0,,43200000.0,6900000.0,-6500000.0,,231600000.0,136800000.0,,,0.0,,,,,,16500000.0,,,,,,,,14600000.0,,,,,,,,,,,23300000.0,0.0,,,32200000.0,496700000.0,,45000000.0,,,,,314028314.0,,,,1128400000.0,0.0,,,,,,-435200000.0,,,987700000.0,900000.0,800000.0,,,,,,,,,27100000.0,,,,,,,,,,,,-20700000.0,,,,,163000000.0,,,,,,52800000.0,26100000.0,0.058275,,19100000.0,-9600000.0,,241400000.0,,,,29800000.0,,,,,20200000.0,1422900000.0,,,,,,,,,,,,,,,,,,,
741398400,,,,,,1339300000.0,47400000.0,-39700000.0,,,,118600000.0,6500000.0,,,47400000.0,1111800000.0,315315315.0,,,,61300000.0,,,,166000000.0,,,12600000.0,,,0.03996,12600000.0,,2700000.0,,,,,,12600000.0,,500000.0,,,146200000.0,3600000.0,3600000.0,,,,,,,,18200000.0,,,,,,,200000.0,,,-21000000.0,,3600000.0,13500000.0,-6700000.0,,198400000.0,120400000.0,,,700000.0,,,,,,3200000.0,,,,,,,,16400000.0,,,,,,,,,,,25900000.0,0.0,,,31400000.0,496700000.0,,43200000.0,,,,,315315315.0,,,,1135100000.0,-100000.0,,,,,,-435200000.0,,,991400000.0,-2300000.0,900000.0,,,,,,,,,26700000.0,,,,,,,,,,,,-42800000.0,,,,,169100000.0,,,,,,78800000.0,24100000.0,0.03996,,13500000.0,-20900000.0,,227500000.0,,,,32400000.0,,,,,13200000.0,1426600000.0,,,,,,,,,,,,,,,,,,,
749347200,,,,,,1350300000.0,47800000.0,3800000.0,,,,120300000.0,6500000.0,,,27200000.0,1098400000.0,313862249.0,,,,73700000.0,,,,168100000.0,,,16200000.0,,,0.051615,16200000.0,,3600000.0,,,,,,16200000.0,,100000.0,,,156200000.0,7300000.0,7300000.0,,,,,,,,22100000.0,,,,,,,500000.0,,,-10000000.0,,7300000.0,15300000.0,-6300000.0,,199500000.0,149300000.0,,,-100000.0,,,,,,7600000.0,,,,,,,,14700000.0,,,,,,,,,,,24900000.0,0.0,,,39000000.0,496700000.0,,3600000.0,,,,,313862249.0,,,,1145000000.0,100000.0,,,,,,-435200000.0,,,949100000.0,-13200000.0,400000.0,,,,,,,,,32200000.0,,,,,,,,,,,,-4300000.0,,,,,178800000.0,,300000.0,,,,66200000.0,18100000.0,0.051615,,16600000.0,-10500000.0,,251900000.0,,,,31400000.0,,,,,16900000.0,1384300000.0,,,,,,,,,,,,,,,,,,,
757296000,,73000000.0,,75800000.0,-26000000.0,1352500000.0,58200000.0,-14100000.0,,84700000.0,74900000.0,74900000.0,6600000.0,0.2331,,51400000.0,1105300000.0,,,,,84700000.0,,,1164700000.0,133100000.0,-5500000.0,77200000.0,25900000.0,-63900000.0,,,25900000.0,198200000.0,4900000.0,1352500000.0,58000000.0,-115000000.0,,-6800000.0,25900000.0,,500000.0,,,148000000.0,,,,,0.2331,35500000.0,995100000.0,127100000.0,,29900000.0,,133100000.0,,48900000.0,1200000.0,,700000.0,,,-25700000.0,,-6800000.0,22300000.0,-6500000.0,,182000000.0,110200000.0,,,4900000.0,58200000.0,135200000.0,,110200000.0,496700000.0,33000000.0,0.0,,,,,2300000.0,,14500000.0,247200000.0,45000000.0,,,,1498100000.0,,73000000.0,,,35500000.0,0.0,14100000.0,313170313.0,56600000.0,496700000.0,,7300000.0,1100000.0,6600000.0,,,,,-66800000.0,-51800000.0,1164700000.0,0.0,,2800000.0,,,148000000.0,-503000000.0,,,995100000.0,9100000.0,700000.0,0.0,,305800000.0,146700000.0,14500000.0,,1105300000.0,,49000000.0,,,159100000.0,60300000.0,,,4900000.0,,,,-503000000.0,-47200000.0,,81900000.0,73000000.0,,198200000.0,,300000.0,,,,108000000.0,58800000.0,,,26600000.0,-25800000.0,,247200000.0,,,,48900000.0,313170313.0,,182000000.0,,26700000.0,1498100000.0,,,,,,,,,,,,,,,,,,,
765072000,,,,,,1366800000.0,59300000.0,25700000.0,,,,78600000.0,6500000.0,,,25900000.0,1145200000.0,318780319.0,,,,23700000.0,,,,137900000.0,,,13800000.0,,,0.04329,13800000.0,,4200000.0,,,,,,13800000.0,,500000.0,,,162600000.0,18800000.0,18800000.0,,,,,,,,17600000.0,,,,,,,300000.0,,,-25700000.0,,18800000.0,10300000.0,-6500000.0,,193400000.0,148800000.0,,,-6200000.0,,,,,,33300000.0,,,,,,,,16500000.0,,,,,,,,,,,49000000.0,0.0,,,31700000.0,496700000.0,,-6800000.0,,,,,318780319.0,,,,1173400000.0,-100000.0,,,,,,-503000000.0,,,996400000.0,34800000.0,700000.0,,,,,,,,,24400000.0,,,,,,,,,,,,-7700000.0,,,,,205400000.0,,1300000.0,,,,57600000.0,59000000.0,0.04329,,14500000.0,-25700000.0,,221600000.0,,,,55500000.0,,,,,14100000.0,1499400000.0,,,,,,,,,,,,,,,,,,,
772934400,,,,,,1377200000.0,82800000.0,-3900000.0,,,,61300000.0,6500000.0,,,58200000.0,1136700000.0,309018696.0,,,,56500000.0,,,,144100000.0,,,31900000.0,,,0.10323,31900000.0,,4300000.0,,,,,,31900000.0,,100000.0,,,152500000.0,15000000.0,15000000.0,,,,,,,,26800000.0,,,,,,,300000.0,,,-11900000.0,,15000000.0,19800000.0,-6500000.0,,177600000.0,194400000.0,,,500000.0,,,,,,18800000.0,,,,,,,,16500000.0,,,,,,,,,,,27000000.0,0.0,,,59800000.0,496700000.0,,18800000.0,,,,,309018696.0,,,,1199600000.0,100000.0,,,,,,-503000000.0,,,942300000.0,-20800000.0,800000.0,,,,,,,,,52800000.0,,,,,,,,,,,,-22700000.0,,,,,230800000.0,,700000.0,,,,118000000.0,30800000.0,0.10323,,32700000.0,-12000000.0,,240500000.0,,,,33500000.0,,,,,33000000.0,1445300000.0,,,,,,,,,,,,,,,,,,,
780883200,,,,,,1400500000.0,76200000.0,12200000.0,,,,61200000.0,6600000.0,,,34900000.0,1165600000.0,310596311.0,,,,40500000.0,,,,137400000.0,,,18100000.0,,,0.058275,18100000.0,,4500000.0,,,,,,18100000.0,,-900000.0,,,150300000.0,27200000.0,27200000.0,,,,,,,,22100000.0,,,36400000.0,,,,0.0,,,-21400000.0,,27200000.0,15000000.0,-6500000.0,,189200000.0,229600000.0,,,100000.0,,,,,,18400000.0,,,,,,,,16900000.0,,,,,,,,,,,,0.0,,,41600000.0,496700000.0,,15000000.0,,,,,310596311.0,,,,1211300000.0,100000.0,,,,,,-503000000.0,,,936000000.0,6600000.0,500000.0,,,,,,,,,34500000.0,,,,,,,,,,,,-6300000.0,,,,,242400000.0,,200000.0,,,,76500000.0,39900000.0,0.058275,,18600000.0,-21500000.0,,234900000.0,,,,51800000.0,,,,,19500000.0,1439000000.0,,,,,,,,,,,,,,,,,,,
788832000,,81100000.0,,84200000.0,-26000000.0,1426800000.0,81000000.0,-6700000.0,,41100000.0,61600000.0,61600000.0,6500000.0,0.25974,,56000000.0,1196900000.0,,,,,41100000.0,,,1220400000.0,142600000.0,36700000.0,84600000.0,17300000.0,-106500000.0,,,17300000.0,253300000.0,5700000.0,1426800000.0,57500000.0,-42300000.0,,20500000.0,17300000.0,,900000.0,,,151700000.0,20500000.0,20500000.0,,,0.25974,47500000.0,997600000.0,176100000.0,,21700000.0,,142600000.0,,63800000.0,2000000.0,,300000.0,,,-47500000.0,,20500000.0,12400000.0,-6500000.0,,206400000.0,199300000.0,,,700000.0,81000000.0,142100000.0,,199300000.0,496700000.0,-1000000.0,-100000.0,20500000.0,20500000.0,,,800000.0,,16600000.0,229900000.0,-6800000.0,,,,1581600000.0,,81100000.0,,,47500000.0,0.0,18700000.0,312235312.0,39600000.0,496700000.0,,27200000.0,500000.0,6500000.0,,,,,-106600000.0,27300000.0,1220400000.0,-200000.0,,3100000.0,,,151700000.0,-584000000.0,,,997600000.0,16100000.0,1100000.0,0.0,,347700000.0,175000000.0,16600000.0,,1196900000.0,,30300000.0,,,172700000.0,69500000.0,,,-4900000.0,,,,-584000000.0,-5600000.0,,88100000.0,81100000.0,,253300000.0,,-200000.0,,,,95600000.0,46400000.0,,,18400000.0,-47400000.0,,229900000.0,,,,63800000.0,312235312.0,,206400000.0,,17900000.0,1581600000.0,,,,,,,,,,,,,,,,,,,
796608000,,,,,,1462100000.0,83400000.0,-8800000.0,,,,96800000.0,6600000.0,,,26900000.0,1233800000.0,313356835.0,,,,25700000.0,,,,180200000.0,,,12000000.0,,,0.038295,12000000.0,,4700000.0,,,,,,12000000.0,,-100000.0,,,168400000.0,11700000.0,11700000.0,,,,,,,,19500000.0,,,,,,,100000.0,,,-57500000.0,,11700000.0,11700000.0,-6500000.0,,234300000.0,216500000.0,,,1000000.0,,,,,,-26700000.0,,,,,,,,22500000.0,,,,,,,,,,,37700000.0,0.0,,,32300000.0,496700000.0,,20500000.0,,,,,313356835.0,,,,1227800000.0,-13700000.0,,,,,,-584000000.0,,,1017300000.0,-6600000.0,600000.0,,,,,,,,,24500000.0,,,,,,,,,,,,31700000.0,,,,,258700000.0,,2000000.0,,,,59200000.0,17100000.0,0.038295,,12600000.0,-43800000.0,,228300000.0,,,,54100000.0,,,,,12800000.0,1601300000.0,,,,,,,,,,,,,,,,,,,
