date,annualOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,trailingSellingGeneralAndAdministration,quarterlyGrossProfit,trailingOperatingExpense,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlyOperatingIncome,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,trailingInterestExpense,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyStockBasedCompensation,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyBasicAverageShares,annualTotalRevenue,quarterlyBasicEPS,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualGrossProfit,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingExpense,trailingFreeCashFlow,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyDilutedEPS,annualResearchAndDevelopment,trailingCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,annualChangeInWorkingCapital,quarterlySellingGeneralAndAdministration,annualOtherCurrentAssets,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualChangeInInventory,trailingTaxProvision,annualBasicAverageShares,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingDepreciationAndAmortization,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualCostOfRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,trailingSaleOfInvestment,quarterlyNetIncome,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,trailingInvestingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,annualLongTermDebt,annualDilutedEPS,annualOtherNonCashItems,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,annualDepreciationAndAmortization,annualNonCurrentDeferredRevenue,annualStockholdersEquity,trailingNetIncome,annualRetainedEarnings,quarterlyInventory,quarterlyNetPPE,annualTotalAssets,quarterlyGoodwill,quarterlyTaxProvision,trailingStockBasedCompensation,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,annualDilutedAverageShares,trailingChangeInInventory,annualInventory,annualCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualCapitalStock,trailingChangeInWorkingCapital,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,quarterlyCostOfRevenue,annualGoodwill,annualStockBasedCompensation,annualOtherIntangibleAssets,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCapitalStock,trailingGrossProfit,quarterlyCashAndCashEquivalents,annualNetPPE,annualOperatingCashFlow,annualAccountsPayable,trailingTotalRevenue,annualBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEbitda,quarterlyBeginningCashPosition,annualEndCashPosition,quarterlyDilutedAverageShares,annualCashFlowFromContinuingFinancingActivities,annualOperatingIncome,quarterlyTotalNonCurrentAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,trailingEndCashPosition,trailingPretaxIncome,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualGrossPPE,quarterlyInterestExpense,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,quarterlyTotalAssets,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,trailingOperatingIncome,quarterlyInvestmentsAndAdvances,trailingChangeInAccountPayable,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingBasicAverageShares,trailingPurchaseOfBusiness,annualInvestmentsAndAdvances,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,annualCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,trailingDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,trailingCommonStockIssuance,quarterlyCashDividendsPaid,annualDeferredIncomeTax,trailingRepurchaseOfCapitalStock,annualRepurchaseOfCapitalStock,trailingBasicEPS
2015-12-31,127330000.0,,76861000.0,951000.0,-4863000.0,250837000.0,,488056000.0,,,,-43018000.0,-5019000.0,,164932000.0,-37442000.0,,1562000.0,,,,-14118000.0,137670000.0,,,,20738000.0,,-1188000.0,-40611000.0,0.0,,26000000.0,-37442000.0,-2576000.0,,319857000.0,,237219000.0,,-62384000.0,,,696000.0,,,89778000.0,,,,4488000.0,,336247000.0,,11579000.0,,,50469000.0,547562000.0,,,-4363000.0,,824000.0,147000.0,,,-3754000.0,-698000.0,85710166.0,-40611000.0,,,,,55010000.0,11735000.0,14585000.0,597000.0,230079000.0,-40611000.0,-37623000.0,0.0,62310000.0,,-5205000.0,,,,-1979000.0,,,15000000.0,-0.473818,1963000.0,,-21271000.0,2555000.0,18665000.0,-159736000.0,-37442000.0,-177071000.0,,,176511000.0,,,75590000.0,,,85710166.0,-4728000.0,30312000.0,76474000.0,,,,,0.0,-3758000.0,47506000.0,53169000.0,,,,,5284000.0,,,75748000.0,,,-2216000.0,,4724000.0,259773000.0,,445868000.0,,7886000.0,-32604000.0,34202000.0,993430000.0,-0.473818,,-37213000.0,,75748000.0,,58547000.0,-37552000.0,,203670000.0,,386867000.0,-38140000.0,-186000.0,249197000.0,,,75748000.0,12749000.0,,2050000.0,,,5610000.0,,-40464000.0,,,-42188000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,26050000.0,,,,,,,-14101000.0,,,,,89053000.0,,,,,14629000.0,40259000.0,-4000.0,,-11310000.0,,,,2011000.0,,,,85710166.0,,-0.148675,,23008000.0,,-16348000.0,-1469000.0,,-12693000.0,,,,,40151000.0,,,,,,624000.0,-0.148675,,,,,,21922000.0,,,,0.0,,,,,-1465000.0,,,,,,,,,,,,,-12743000.0,,-12743000.0,4523000.0,,,,-430000.0,,,,18229000.0,,,,,,,,,,,50000.0,,,1440000.0,,,,,,2624000.0,,,,,,,,,63003000.0,,,,,,,,,1351000.0,,,,,,,,,,,,,37635000.0,,85710166.0,,,,,-13382000.0,,,,,,,,,32000.0,,3058000.0,-594000.0,,,,-12743000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,164406000.0,,88229000.0,515000.0,-7814000.0,,44663000.0,,17342000.0,,372902000.0,,-8596000.0,3379000.0,165220000.0,,31397000.0,,147340000.0,29084000.0,2636000.0,-26492000.0,,-26354000.0,34562000.0,0.0,-41186000.0,4419000.0,-594000.0,-42758000.0,0.0,2190000.0,45387000.0,,-15000000.0,,398649000.0,,,-15945000.0,,6482000.0,-1216000.0,146000.0,3335000.0,,121045000.0,116505000.0,165220000.0,41284000.0,,-219829000.0,372902000.0,23952000.0,13858000.0,26000.0,,76177000.0,,,-193824000.0,-7523000.0,21807000.0,2636000.0,211000.0,256397000.0,0.0,-13256000.0,,85590081.0,-42758000.0,-1216000.0,-7814000.0,4143000.0,,75748000.0,,23952000.0,,277604000.0,-42758000.0,-41059000.0,15000000.0,,3227000.0,-8567000.0,3227000.0,-19553000.0,515000.0,,0.0,15072000.0,0.0,-0.51,709000.0,19477000.0,,5302000.0,29084000.0,-193824000.0,,-219829000.0,43568000.0,9528000.0,179078000.0,,108000.0,,79325000.0,-353000.0,85590081.0,,43568000.0,116505000.0,,-5697000.0,,0.0,0.0,,,79325000.0,45387000.0,,102677000.0,,8206000.0,,,34562000.0,,,668000.0,1101000.0,-2808000.0,256397000.0,0.0,,34562000.0,9528000.0,-32463000.0,31397000.0,,-0.51,34562000.0,-37099000.0,40259000.0,34562000.0,,-156000.0,-43361000.0,13858000.0,,-22434000.0,,,29000.0,,,15000000.0,34562000.0,17342000.0,-17000.0,4143000.0,-20769000.0,0.0,,179078000.0,-42547000.0,3227000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,,,,,,,38840000.0,,,,,,,-7835000.0,,,,,100093000.0,,,,,30603000.0,44714000.0,,,-7240000.0,,,,2175000.0,,,,85710166.0,,-0.101528,,,,5712000.0,-1560000.0,,-8654000.0,,,,,46675000.0,,,,,,20000.0,-0.101528,,,,,,24333000.0,,,,-15000000.0,,,,,-1560000.0,,,,,,,,,,,,,-8702000.0,,-8702000.0,26239000.0,,,,-14527000.0,,,,22342000.0,,,,,,,,,,,48000.0,,,-652000.0,,,,,,10152000.0,,,,,,,,,61253000.0,,,,,,,,,1247000.0,,,,,,,,,,,,,34562000.0,,85710166.0,,,,,18251000.0,,,,,,,,,167000.0,,24679000.0,,,,,-8702000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,37637000.0,,22407000.0,,398346000.0,,,-13383000.0,,,23970000.0,,99627000.0,37132000.0,4363000.0,,,13356000.0,70169000.0,,,-13838000.0,,,,2418000.0,,,,94748495.0,,-0.163728,,,,10774000.0,-2940000.0,,-15475000.0,,,102849000.0,164904000.0,51020000.0,,-244044000.0,,30981000.0,,280000.0,-0.163728,,,,-213350000.0,,25244000.0,,,295497000.0,0.0,,,,,-3026000.0,-10336000.0,7701000.0,,,,,,,,,,,-15513000.0,,-15513000.0,3974000.0,3318000.0,,0.0,24421000.0,,,,25776000.0,,,,,,,27082000.0,12071000.0,,,38000.0,,56340000.0,-1788000.0,,,,,,25455000.0,,22811000.0,,,,,47415000.0,,61990000.0,,,,,,,,,1333000.0,,,0.0,,70169000.0,,,,,,70169000.0,,44714000.0,,94748495.0,,,20092000.0,,4440000.0,,,,,,0.0,,,304000.0,,948000.0,,,184996000.0,,-15513000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,,,,,,,49895000.0,,24324000.0,,481475000.0,,,-7892000.0,,,49171000.0,,124782000.0,38802000.0,2448000.0,,,4979000.0,66918000.0,-55000.0,,-44059000.0,,,,2924000.0,,,,5259796.0,,-8.79,,25162000.0,,-8368000.0,-5099000.0,,-46177000.0,,,145491000.0,197511000.0,57787000.0,,-290279000.0,,30822000.0,,368000.0,-8.79,,,,-255973000.0,,29255000.0,,,335984000.0,0.0,,,,,-2085000.0,-11517000.0,8604000.0,,,,,,,,,,,-46235000.0,,-46235000.0,979000.0,6440000.0,,0.0,869000.0,,,,28532000.0,,,,,,,35450000.0,12807000.0,,1554000.0,58000.0,,84840000.0,-37470000.0,,,,,,-3251000.0,,23043000.0,,,,,65498000.0,,74887000.0,,,,,,,,,1303000.0,,,1000.0,,66918000.0,,,,,,66918000.0,,70169000.0,,5259796.0,,,27991000.0,,-28223000.0,,,,,,0.0,,,815000.0,,-1106000.0,0.0,,225502000.0,,-46235000.0,2215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,219449000.0,,111504000.0,3429000.0,-12780000.0,,73461000.0,,14736000.0,,219618000.0,,-9229000.0,9494000.0,344917000.0,,56413000.0,,188261000.0,48511000.0,3007000.0,-41184000.0,,-8564000.0,177250000.0,-111000.0,142688000.0,7438000.0,,-63509000.0,0.0,3436000.0,72344000.0,,-40446000.0,96492000.0,512763000.0,0.07,,6909000.0,,2710000.0,-2669000.0,1612000.0,7112000.0,0.0,199833000.0,163258000.0,344917000.0,63967000.0,,-283338000.0,219618000.0,34501000.0,26980000.0,116000.0,0.06,107945000.0,,,152279000.0,40374000.0,32672000.0,3007000.0,315000.0,56360000.0,-25446000.0,10828000.0,,28308000.0,-63509000.0,-2558000.0,-12780000.0,7849000.0,-2959000.0,34562000.0,,34501000.0,,312930000.0,-63509000.0,28063000.0,,,6941000.0,-12268000.0,6941000.0,6100000.0,3429000.0,,0.0,106901000.0,,-2.24,784000.0,31295000.0,,5336000.0,48511000.0,152279000.0,,-283338000.0,32740000.0,14736000.0,371897000.0,1382000.0,171000.0,,120553000.0,-2056000.0,28308000.0,,32740000.0,163258000.0,,110332000.0,,,10000.0,,,120553000.0,72344000.0,,114800000.0,1382000.0,10953000.0,2030000.0,131646000.0,177250000.0,,,-41966000.0,1453000.0,24315000.0,56360000.0,10000.0,,177250000.0,14736000.0,37292000.0,56413000.0,,-2.24,177250000.0,-56246000.0,66918000.0,177250000.0,119140000.0,117664000.0,-19616000.0,26980000.0,,-35652000.0,,,-80000.0,,,,177250000.0,14736000.0,326000.0,7849000.0,3542000.0,131646000.0,,371897000.0,-63194000.0,6941000.0,2030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,,,,,,63112000.0,,16835000.0,,167004000.0,,,-6902000.0,,,111776000.0,,136576000.0,13549000.0,,,,-14418000.0,160750000.0,,,-4798000.0,,,,4429000.0,,,,99488000.0,,-0.07,,-14884000.0,,-5430000.0,-3407000.0,,-6505000.0,,,145724000.0,336811000.0,70014000.0,,-251673000.0,,33948000.0,,,-0.07,,,,193476000.0,,35888000.0,,,21280000.0,,,,,,-3407000.0,-14275000.0,7731000.0,,,,,,,,,,,-6634000.0,,-6634000.0,-14637000.0,3560000.0,,,1544000.0,,,,34126000.0,,,,,,,38062000.0,16835000.0,,1382000.0,129000.0,,106094000.0,448000.0,,,,,,-16500000.0,,,,,,,67523000.0,,73464000.0,,,,,,,,,1656000.0,,,10000.0,,160750000.0,,,,,,160750000.0,,177250000.0,,99488000.0,,,23669000.0,,26986000.0,,,,,,,,,51000.0,,-18044000.0,,,360480000.0,,-6634000.0,1892000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,77752000.0,,20212000.0,,169903000.0,,,-132000.0,,,111026000.0,,156810000.0,12435000.0,,,,-4957000.0,174167000.0,,,2179000.0,,,,5309000.0,,,,102652000.0,,0.01,,-4116000.0,,-1369000.0,-5606000.0,,172000.0,,,150177000.0,353780000.0,77884000.0,,-251147000.0,,39151000.0,,,0.004322,,,,211765000.0,,37688000.0,,,19726000.0,,,,,,-5606000.0,-16088000.0,7291000.0,,,,,,,,,,,526000.0,,526000.0,3169000.0,4540000.0,,,15854000.0,,,,40196000.0,,,,,,,39431000.0,20212000.0,,1382000.0,-354000.0,,123612000.0,361000.0,,,,,,13417000.0,,,,,,,71928000.0,,79058000.0,,,,,,,,,1950000.0,,,11000.0,,174167000.0,,,,,,174167000.0,,160750000.0,,121698000.0,,,27888000.0,,-17603000.0,,,,,,,,,57000.0,,-2437000.0,,,381668000.0,,526000.0,1754000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,-7000.0,,,,,78993000.0,,23260000.0,,206482000.0,,,-11749000.0,,,147255000.0,,173381000.0,13376000.0,,,,-2613000.0,137670000.0,,,-7369000.0,,,,11499000.0,,,,106884000.0,,-0.09,,35943000.0,,-29372000.0,-46250000.0,,-9699000.0,,,185798000.0,397796000.0,90742000.0,,-260674000.0,,38543000.0,,,-0.09,,,42057000.0,221876000.0,,45372000.0,,,20684000.0,,,,,,-4350000.0,-18069000.0,7308000.0,,,,,,,,,,,-9527000.0,,-9527000.0,2171000.0,4305000.0,,,7582000.0,,,,45370000.0,,,,,,,68803000.0,23260000.0,,1382000.0,-172000.0,,133895000.0,2162000.0,,,,,8082000.0,-36497000.0,,,,,,,87871000.0,,94388000.0,,,,,,,,,2218000.0,,,11000.0,,137670000.0,,,,,,179727000.0,,174167000.0,,106884000.0,,,30562000.0,,-10752000.0,,,,,,,,,112000.0,,-2179000.0,,,428358000.0,,-9527000.0,1615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
