date,annualCurrentDebt,annualEndCashPosition,annualTaxProvision,trailingEndCashPosition,trailingTaxProvision,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualCostOfRevenue,annualNetOtherFinancingCharges,annualTotalRevenue,annualFreeCashFlow,annualOtherShortTermInvestments,annualCommonStockIssuance,trailingOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyOtherShortTermInvestments,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingOperatingExpense,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingFreeCashFlow,trailingNetIncome,quarterlyCurrentAssets,quarterlyRetainedEarnings,trailingCostOfRevenue,trailingBeginningCashPosition,trailingCashDividendsPaid,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,annualCurrentAssets,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,annualNetIncomeCommonStockholders,trailingSellingGeneralAndAdministration,quarterlyAccountsReceivable,annualAccountsReceivable,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualSellingGeneralAndAdministration,annualOtherNonCashItems,trailingSaleOfInvestment,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualTotalNonCurrentAssets,quarterlyGoodwill,trailingCommonStockIssuance,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualTotalAssets,annualLongTermDebt,annualStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,annualInventory,quarterlyAccumulatedDepreciation,annualCurrentLiabilities,annualBasicAverageShares,trailingGrossProfit,annualBasicEPS,annualDilutedEPS,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualCapitalStock,quarterlyInventory,quarterlyOtherNonCurrentAssets,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualOtherIntangibleAssets,annualEbitda,annualGrossProfit,annualNetPPE,annualChangeInInventory,annualDilutedAverageShares,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,trailingPurchaseOfBusiness,trailingInterestExpense,annualPretaxIncome,trailingPurchaseOfInvestment,trailingPretaxIncome,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualGoodwill,annualInterestExpense,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccountsPayable,annualRepaymentOfDebt,annualCapitalExpenditure,quarterlyCurrentDebt,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualOperatingIncome,trailingCapitalExpenditure,trailingTotalRevenue,annualStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,trailingChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,annualResearchAndDevelopment,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,quarterlyGrossProfit,trailingBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,annualRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingDepreciationAndAmortization,quarterlyDilutedEPS,trailingResearchAndDevelopment,quarterlyNetOtherInvestingChanges,trailingOtherNonCashItems,quarterlyDilutedAverageShares,trailingRepurchaseOfCapitalStock
2012-12-31,4808213000.0,2913556000.0,304928000.0,5820801000.0,548584000.0,2425244000.0,1663301000.0,16601460000.0,-347156000.0,19294775000.0,-619332000.0,,0.0,2344452000.0,,4771847000.0,11342154000.0,-1615848000.0,1351872000.0,2200000.0,-556972000.0,1403301000.0,0.0,,2939645000.0,228000.0,2638726000.0,,,-475463000.0,4281681000.0,,,35504452000.0,3848035000.0,-631027000.0,1069376000.0,,,7388640000.0,7361095000.0,,1069376000.0,2638726000.0,,3389714000.0,2892116000.0,,,1403301000.0,35104000.0,198055000.0,,4281681000.0,15079249000.0,,158781000.0,367352000.0,249680000.0,22467889000.0,1586924000.0,8358065000.0,,,,870745000.0,109913000.0,,8916910000.0,1657364112.0,4983178000.0,0.645227,0.645227,1583953000.0,-616839000.0,,500000.0,,,0.0,489622000.0,148429000.0,2087276000.0,2693315000.0,6537400000.0,-703223000.0,1657364112.0,2939645000.0,,-626709000.0,279285000.0,1656800000.0,-3790000.0,5320431000.0,,0.0,1412852000.0,-11650000.0,0.0,1625375000.0,63124000.0,,,-7606742000.0,,,-926790000.0,-1490077000.0,,8153248000.0,1972766000.0,-1665029000.0,97051000.0,637729000.0,1290014000.0,-2059416000.0,40487630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1325634000.0,4207976000.0,304844000.0,,,3994058000.0,1710545000.0,17090773000.0,-415581000.0,19968743000.0,231702000.0,,2079262000.0,,9457818000.0,,9457818000.0,-1551863000.0,2136413000.0,,-209488000.0,1469088000.0,0.0,,4228367000.0,-4473000.0,,8625201000.0,5463760000.0,,,9070434000.0,9201139000.0,,,,1834522000.0,130007000.0,3099964000.0,9070434000.0,9201139000.0,70718000.0,1834522000.0,,3680031000.0,3680031000.0,2913556000.0,,3994058000.0,1469088000.0,48133000.0,,13426386000.0,,16603198000.0,1806819000.0,,449750000.0,130007000.0,25673632000.0,3099964000.0,13426386000.0,4228367000.0,4228367000.0,508138000.0,1357648000.0,164016000.0,-1551863000.0,5463760000.0,1306948732.0,,1.4,1.4,,-509973000.0,162131000.0,828682000.0,164016000.0,0.0,3017000.0,508138000.0,162131000.0,2984675000.0,2877970000.0,7073338000.0,-308633000.0,1306948732.0,4228367000.0,7073338000.0,,,2441257000.0,,,104483000.0,-1300000.0,,1277668000.0,70718000.0,1806819000.0,93668000.0,25673632000.0,16603198000.0,,828682000.0,1710545000.0,-5278624000.0,-1125946000.0,1325634000.0,8625201000.0,,-1443021000.0,104483000.0,,1408882000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,,8449481000.0,,,,,,,,,,,,,7300843000.0,4605116000.0,,,8265373000.0,9638561000.0,,,,,7903000.0,2982897000.0,,,40596000.0,,,3598081000.0,,,,3844365000.0,,,,13939448000.0,,,,,,,,,,3154852000.0,3154852000.0,515188000.0,,,,,,,,,,,1933756000.0,,294357000.0,0.0,,,,,,,,,,7300843000.0,,,,,,2005331000.0,,,,,,,25182572000.0,16917199000.0,,845272000.0,1664831000.0,,,703276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,1293299000.0,3768341000.0,352981000.0,,,4117892000.0,1847257000.0,17975806000.0,-504581000.0,21115249000.0,15253000.0,,338070000.0,,9260284000.0,,9260284000.0,-1670588000.0,1964332000.0,,-514742000.0,1587063000.0,0.0,,3816198000.0,-16547000.0,,8904418000.0,5142392000.0,,,8934073000.0,10558221000.0,,,,1658830000.0,94057000.0,3258443000.0,8934073000.0,10558221000.0,34890000.0,1658830000.0,,3693851000.0,3693851000.0,4207976000.0,-287378000.0,4117892000.0,1587063000.0,72239000.0,,14670789000.0,,17678987000.0,1734049000.0,,470483000.0,94057000.0,26613060000.0,3258443000.0,14670789000.0,3816198000.0,3816198000.0,541527000.0,1109684000.0,333866000.0,-1670588000.0,5142392000.0,1689361482.0,,0.98,0.98,,-222220000.0,100727000.0,845620000.0,333866000.0,0.0,7338000.0,541527000.0,100727000.0,2890215000.0,3139443000.0,7233830000.0,-374953000.0,1696843690.0,3816198000.0,7233830000.0,,,2317313000.0,,,126555000.0,-45579000.0,,-345631000.0,34890000.0,1734049000.0,102419000.0,26613060000.0,17678987000.0,,845620000.0,1847257000.0,-1626906000.0,-1094431000.0,1293299000.0,8904418000.0,,-1077231000.0,126555000.0,,1552380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,,,9777511000.0,,,,,,,,,,,,,7490735000.0,4846984000.0,,,8713669000.0,11120401000.0,,,,,39243000.0,4068375000.0,,,32993000.0,,,3634612000.0,,,,4930527000.0,,,,15071994000.0,,,,,,,,,,3464668000.0,3464668000.0,549541000.0,,,,,,,,,,,2161186000.0,,320135000.0,0.0,,,,,,,,,,7490735000.0,,,,,,1731022000.0,,,,,,,27545651000.0,18831982000.0,,846960000.0,1580661000.0,,,1278692000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,2415386000.0,3686744000.0,401323000.0,,,3991177000.0,3814011000.0,17658619000.0,-331743000.0,21079494000.0,462723000.0,,32586000.0,,10431884000.0,,10431884000.0,-1860030000.0,2145166000.0,,-27019000.0,1720070000.0,0.0,,3733357000.0,-8216000.0,,9426696000.0,6440707000.0,,,8981460000.0,12118669000.0,,,,1804445000.0,33638000.0,3050463000.0,8981460000.0,12118669000.0,115080000.0,1804445000.0,,3668291000.0,3668291000.0,3768341000.0,-237051000.0,3991177000.0,1720070000.0,89577000.0,,15429220000.0,,19430936000.0,1956902000.0,,487453000.0,33638000.0,28412396000.0,3050463000.0,15429220000.0,3733357000.0,3733357000.0,560369000.0,1718424000.0,317381000.0,-1860030000.0,6440707000.0,1693102091.0,,1.07,1.06,,-657473000.0,187162000.0,847207000.0,317381000.0,0.0,0.0,560369000.0,187162000.0,3168592000.0,3420875000.0,7566666000.0,126931000.0,1698582179.0,3733357000.0,7566666000.0,,,2546489000.0,,,3814011000.0,-370765000.0,,55904000.0,115080000.0,1956902000.0,134650000.0,28412396000.0,19430936000.0,,847207000.0,3814011000.0,-2976659000.0,-1255701000.0,2415386000.0,9426696000.0,,-1712146000.0,3814011000.0,,1700805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,12955233000.0,,,,,,,,,452351000.0,,,,7947338000.0,6668851000.0,,,10423729000.0,12653577000.0,,,,,31448000.0,4534423000.0,,,1028082000.0,,,3947237000.0,,,,6286382000.0,,,,15147400000.0,,,,,,,,,,4465238000.0,4012887000.0,589291000.0,,,,,,,,,,,2887865000.0,,291693000.0,205824000.0,,,,,,,,,,7947338000.0,,,,,,3854287000.0,,,,,,,31057352000.0,20633623000.0,,847403000.0,3854287000.0,,,2615026000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1448994000.0,3313134000.0,397596000.0,,,7859645000.0,4366493000.0,20423980000.0,-220479000.0,24035567000.0,-231910000.0,112708000.0,10268000.0,,13875105000.0,,13875105000.0,-2182817000.0,2235558000.0,,-483614000.0,1871749000.0,0.0,112708000.0,3334729000.0,14709000.0,,10612752000.0,6015460000.0,,,9597556000.0,13680087000.0,,,,1877202000.0,141389000.0,5678347000.0,9597556000.0,13680087000.0,1403253000.0,1877202000.0,,4542099000.0,4542099000.0,3686744000.0,-288144000.0,7859645000.0,1871749000.0,95502000.0,,15299903000.0,,22367726000.0,2740760000.0,,555884000.0,141389000.0,31965282000.0,5678347000.0,15299903000.0,3447437000.0,3334729000.0,635192000.0,1308775000.0,282694000.0,-2182817000.0,6015460000.0,1694966122.0,,1.11,1.11,,-972569000.0,483839000.0,847711000.0,282694000.0,0.0,,635192000.0,483839000.0,3334247000.0,3611587000.0,8429935000.0,-543984000.0,1696631017.0,3447437000.0,8429935000.0,,,2633154000.0,,,4366493000.0,-231264000.0,,-248496000.0,1403253000.0,2740760000.0,145209000.0,31965282000.0,22367726000.0,,847711000.0,4366493000.0,-3271457000.0,-1540685000.0,1448994000.0,10612752000.0,,-2386103000.0,4366493000.0,,1739838000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,14658665000.0,,,,,,,,,456715000.0,,,,9173435000.0,7813932000.0,,,10391679000.0,14220834000.0,,,,,22040000.0,4627836000.0,,,1442049000.0,,,4937509000.0,,,,6844733000.0,,,,16276576000.0,,,,,,,,,,3625337000.0,3168622000.0,645913000.0,,,,,,,,,,,3686734000.0,,303957000.0,0.0,,,,,,,,,,9173435000.0,,,,,,4513197000.0,,,,,,,34153990000.0,23762311000.0,,847890000.0,4513197000.0,,,3084587000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,4006728000.0,3518620000.0,469350000.0,,,6529710000.0,5565831000.0,26606662000.0,-29974000.0,30787654000.0,75178000.0,109841000.0,6792000.0,,16383443000.0,,16383443000.0,-2830617000.0,2499462000.0,,-431421000.0,2178782000.0,,109841000.0,3569626000.0,-3997000.0,,12879348000.0,9853733000.0,,,11651500000.0,15400585000.0,,,,2115897000.0,,4365584000.0,11651500000.0,15400585000.0,1364443000.0,2115897000.0,,5906655000.0,5906655000.0,3313134000.0,-339165000.0,6529710000.0,2178782000.0,113363000.0,,17823661000.0,,25998821000.0,3250784000.0,,639889000.0,,37650321000.0,4365584000.0,17823661000.0,3679467000.0,3569626000.0,662629000.0,1664946000.0,333758000.0,-2830617000.0,9853733000.0,1695782834.0,,1.25,1.25,,-639129000.0,633698000.0,848044000.0,333758000.0,,5017000.0,662629000.0,633698000.0,3768526000.0,4180992000.0,10048731000.0,-1396331000.0,1697753634.0,3679467000.0,10048731000.0,,,2968812000.0,,,,-5873000.0,,-7662000.0,1364443000.0,3250784000.0,159825000.0,37650321000.0,25998821000.0,,848044000.0,5565831000.0,-2237647000.0,-1589768000.0,4006728000.0,12879348000.0,,-1936781000.0,,,2002210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
