date,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingOperatingExpense,annualCapitalExpenditure,quarterlyIncomeTaxPayable,annualOtherNonCurrentAssets,annualOperatingExpense,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingNetIncomeCommonStockholders,annualTaxProvision,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyEbitda,annualInterestExpense,annualRepaymentOfDebt,quarterlyChangeInAccountPayable,annualTotalRevenue,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyCurrentLiabilities,annualTotalNonCurrentAssets,annualGrossProfit,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,quarterlyRepaymentOfDebt,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyTaxProvision,annualBasicEPS,annualOtherCurrentAssets,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyRetainedEarnings,annualChangeInInventory,trailingNetIncome,quarterlyCapitalExpenditure,quarterlyTotalRevenue,trailingTaxProvision,annualCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualPurchaseOfBusiness,annualBeginningCashPosition,annualNetIncome,quarterlyNetIncome,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,annualDilutedEPS,annualLongTermDebt,quarterlyAccountsReceivable,quarterlyGoodwill,annualCurrentLiabilities,quarterlyCurrentAccruedExpenses,annualBasicAverageShares,quarterlyCostOfRevenue,annualGoodwill,annualTotalAssets,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualCapitalStock,quarterlyOperatingExpense,quarterlyInventory,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,trailingGrossProfit,annualNetPPE,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualOtherIntangibleAssets,annualChangeInAccountPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualEndCashPosition,annualEbitda,trailingTotalRevenue,annualOperatingIncome,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualGrossPPE,trailingPretaxIncome,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyInterestExpense,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,annualPretaxIncome,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyBasicAverageShares,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,annualOtherNonCurrentLiabilities,annualCommonStockIssuance,trailingBeginningCashPosition,trailingBasicAverageShares,trailingChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,trailingOtherNonCashItems,quarterlySaleOfInvestment,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,trailingPurchaseOfInvestment,trailingInterestExpense,trailingChangesInAccountReceivables,annualStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,trailingChangeInInventory,trailingChangeInAccountPayable,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingDepreciationAndAmortization,trailingSaleOfInvestment,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares,trailingFreeCashFlow
1970-01-01 00:00:01.569801600,221705478000.0,,388878080000.0,-3728267000.0,,,10704145000.0,3105944000.0,,0.0,,,63831823000.0,,,,,,,,,,1256509000.0,2015818000.0,,,,61021197000.0,1100087000.0,,3898465000.0,,,27455000.0,-190453000.0,,9413895000.0,,,,,5710178000.0,938914000.0,,,,,2347000000.0,,486900430000.0,,60150000.0,,,,0.896667,,,,,,-218766000.0,61021197000.0,,,49958079000.0,,,,,,3898465000.0,3703717000.0,,39688667000.0,3898465000.0,,,,,,-3728267000.0,,49843000000.0,,3818491000.0,,,,0.896667,,,,,,4345500000.0,,,52190000000.0,,1076904000.0,788540000.0,,,,0.0,,,,,,,,,-6627391000.0,,,,,537015251000.0,6574000000.0,,,4667181000.0,,,,,,,,41704485000.0,2604234000.0,1023915681000.0,-4993967000.0,,,6574000000.0,113759902000.0,,,0.0,,4345500000.0,,,,4995506000.0,148137171000.0,,,,,-15831763000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-6571762373.76,,3172124446.38,5964921010.8,4490340393.3,-3769127388.54,,,,,45918833019.78,,,,,,,,,2343180733.86,-3766506963.0,,,,,1101978809.76,,4253773673.16,1097854241.04,,157480952.94,,,15291374988.42,,,,19453206727.2,8135730720.24,289694192.46,,,,,9783335103.54,,,,1443816632.46,,,,0.976558,850285517.64,,,,,-1743765486.6,,,,,,,,,390774506.16,4253773673.16,7155644268.18,,40627834373.76,4253773673.16,,,,,,-15327323064.42,,54929464229.7,,,,,,0.976558,86010501.84,,,6616858289.1,,4349849850.0,,,65372039746.98,2143299971.28,4699359535.2,1474580617.5,8144273118.3,,,-4327628049.3,,,,,,,,46785181651.38,-5854390137.12,4327628049.3,41188964920.08,,,,12404148504.36,,,6861456566.22,3166476814.44,5128229541.9,3876933776.46,,,,,36861336870.78,3645390326.94,,2170809709.44,,,16173275892.9,,,36861336870.78,-4427932641.36,,4349849850.0,,,,5355752482.92,,,,,,,,,3080466312.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6361446110.04,,,,,,,,,,,,,,,,,,6361446110.04,,,,,,,,,,,,,,0.108121,,,,,,,4436223176.0,,,,,,,,,,,6361446110.04,,,,,,,,,,,,479647204.68,,,,,,479647204.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479647204.68,,,4436223176.0,,,0.108121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6325233968.8,,,,,,,,,,,,,,,,,,6325233968.8,,,,,,,,,,,,,,0.114258,,,,,,,4174013722.0,,,,,,,,,,,6325233968.8,,,,,,,,,,,,476913371.28,,,,,,476913371.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476913371.28,,,4174013722.0,,,0.114258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6345187156.4,,,,,,,,,,,,,,,,,,6345187156.4,,,,,,,,,,,,,,0.11,,,,,,,4349313894.0,,,,,,,,,,,6345187156.4,,,,,,,,,,,,478424413.48,,,,,,478424413.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478424413.48,,,4349313894.0,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40279500450.0,,-16077101400.0,,15315655950.0,11508428700.0,8501201100.0,-6997587300.0,2554215750.0,,,,33657816600.0,-16211475753.16,,,,925300800.0,10573489350.0,-67469850.0,,5397588000.0,-15421680000.0,,,,,3026504700.0,64433706750.0,877108050.0,19277100.0,-16211475753.16,1089156150.0,,,29310830550.0,,,17889148800.0,55720457550.0,14332523850.0,-8472285450.0,,33657816600.0,,,22795170750.0,,,,346987800.0,1628914950.0,,,0.207325,925300800.0,33281913150.0,4906021950.0,,7257828150.0,-1137348900.0,,,10275259646.84,,,,-6997587300.0,,6766262100.0,877108050.0,14978306700.0,,37995164100.0,877108050.0,-558155756.48,,,,,-29378300400.0,-558155756.48,64433706750.0,1156626000.0,,19277100.0,2563854300.0,,0.207325,1185541650.0,4443371550.0,,17889148800.0,,4266600000.0,,,89378274150.0,3604817700.0,6351804450.0,3007227600.0,7257828150.0,1185541650.0,,-16048185750.0,2563854300.0,,,4443371550.0,27672277050.0,,3604817700.0,-67469850.0,-3942166950.0,1628914950.0,24202399050.0,7122888450.0,,,33281913150.0,,22573484100.0,7604815950.0,4906021950.0,10573489350.0,7122888450.0,,,24202399050.0,27672277050.0,22573484100.0,5831322750.0,,2824095150.0,,55720457550.0,40279500450.0,,6766262100.0,22573484100.0,2746986750.0,,4350529025.0,15315655950.0,22795170750.0,,3903612750.0,,-558155756.48,,89378274150.0,,,,,1156626000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41970617400.0,,,,,,,,,,,,,1326385200.0,,,,691615140.0,7067738280.0,60483165120.0,,,,,0.0,0.0,,,67996189860.0,,,2482235160.0,,,,,4907625240.0,,19374698100.0,,,,,30478437060.0,,0.08991,,2434864260.0,,,,,4199573574.0,293699580.0,,,35092362720.0,5210799000.0,672666780.0,7513024740.0,,,,9568921800.0,,,,-6878254680.0,,,,,,,,378967200.0,,,,0.0,,378967200.0,,3704404380.0,,4424442060.0,,,,,3022263420.0,,,,,4661296560.0,,,,,,,1506394620.0,,,,,-1231643400.0,,,3581240040.0,2709615480.0,,,,,9189954600.0,,,,,17546181360.0,,,,,,0.0,17546181360.0,,,,,,,62103249900.0,,,7882517760.0,,,236854500.0,,17820932580.0,24585497100.0,,,,378967200.0,0.0,92581686960.0,4199573574.0,,,0.08991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42173825000.0,,,,,,,,,,,,,1850125000.0,,,,1010800000.0,7220000000.0,53455075000.0,,,,,0.0,0.0,,,60539700000.0,,,2878975000.0,,,,,6100900000.0,,18176350000.0,,,,,17689000000.0,,-0.024007,,3221925000.0,,,,,4054198198.0,559550000.0,,,35621675000.0,5117175000.0,460275000.0,7084625000.0,,,,9801150000.0,,,,-6552150000.0,,,,,,,,-99275000.0,,,,0.0,,-99275000.0,,2563100000.0,,2635300000.0,,,,,3267050000.0,,,,,3700250000.0,,,,,,,2554075000.0,,,,,-1380825000.0,,,4250775000.0,2346500000.0,,,,,10153125000.0,,,,,9737975000.0,,,,,,0.0,9737975000.0,,,,,,,66144225000.0,,,8321050000.0,,,370025000.0,,20369425000.0,23293525000.0,,,,-99275000.0,0.0,83833225000.0,4054198198.0,,,-0.024007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45143970000.0,,,,,,,,,,,,,2263380000.0,,,,1378950000.0,9443430000.0,54463770000.0,,,,,0.0,0.0,,,62271480000.0,,,3414090000.0,,,,,6029340000.0,,19609620000.0,,,,,20398950000.0,,0.091867,,2615250000.0,,,,,3989897898.0,,,,38239710000.0,11392980000.0,,7807710000.0,,,,10441980000.0,,,,-6904260000.0,,,,,,,,361380000.0,,,,0.0,,361380000.0,,3680370000.0,,418440000.0,,,,,6590430000.0,,,,,4412640000.0,,,,,,,7712610000.0,,,,,-1816410000.0,,,3765960000.0,2196810000.0,,,,,7427310000.0,,,,,10232760000.0,,,,,,0.0,10232760000.0,,,,,,,72875130000.0,,,9747750000.0,,,161670000.0,,27208110000.0,31002600000.0,,,,361380000.0,0.0,93274080000.0,3989897898.0,,,0.091867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52979008181.76,,-10993247608.32,,23273015909.76,17429389044.48,11055430396.8,-13273892553.6,-271386898.56,,,,22367240876.16,544733333.76,,,,1662600597.12,8181061240.32,-2295579000.96,683865152.64,-7430847770.88,-20510206513.92,,2509985473.92,-34329328525.44,,2973559662.72,55500053224.32,-822428087.04,2117589068.16,1634332055.04,1443491988.48,,,41081740882.56,6248292378.24,,18711507738.24,69663813586.56,23461392378.24,-3031595112.96,,22367240876.16,,,35788272986.88,2696140396.8,,,-791441285.76,9831438103.68,,,-0.198393,1662600597.12,39705115628.16,17076765248.64,,29598216048.0,290149966.08,,,10954060882.56,,1467975836.16,-562409988.48,-13273892553.6,,6261016440.96,-822428087.04,17620348504.32,,23020191987.84,-822428087.04,-1469108087.04,,,,7961652495.36,-34329328525.44,-1469108087.04,55500053224.32,16680303.36,,2117589068.16,1990913351.04,,-0.198393,15069171594.24,4353741077.76,,18711507738.24,683865152.64,3959700000.0,4705768504.32,,92031054462.72,3384973797.12,5857460421.12,4446637816.32,29598216048.0,15069171594.24,,-8174003489.28,1990913351.04,1467975836.16,-1967162225.28,4353741077.76,28197416177.28,5703559044.48,3384973797.12,-2295579000.96,-6493922225.28,9831438103.68,12341423577.6,6685682048.64,,,39705115628.16,,2509985473.92,7961652495.36,17076765248.64,8181061240.32,6685682048.64,,0.0,12341423577.6,28197416177.28,2509985473.92,10478641150.08,,6032003333.76,,69663813586.56,52979008181.76,,6261016440.96,2509985473.92,-15162077427.84,958481988.48,3989897898.0,23273015909.76,35788272986.88,,2151131575.68,,-1469108087.04,-3031595112.96,92031054462.72,,,,,16680303.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
