date,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualRetainedEarnings,quarterlyCurrentAssets,annualTotalAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualNetOtherInvestingChanges,annualOtherCurrentAssets,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualLongTermDebt,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOperatingIncome,annualDilutedAverageShares,annualEndCashPosition,annualPretaxIncome,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,trailingOperatingIncome,annualCurrentDebt,quarterlyTotalAssets,annualFreeCashFlow,trailingTaxProvision,annualIncomeTaxPayable,quarterlyBasicAverageShares,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,annualOtherNonCashItems,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,quarterlyInventory,quarterlyGrossProfit,annualTaxProvision,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyChangeInInventory,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualSaleOfInvestment,quarterlyAccountsReceivable,annualOtherIntangibleAssets,annualNetIncomeCommonStockholders,annualNetPPE,annualChangeInAccountPayable,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,quarterlyStockholdersEquity,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualBasicEPS,quarterlyNetOtherInvestingChanges,annualOtherCurrentLiabilities,trailingGrossProfit,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualBeginningCashPosition,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,quarterlyBasicEPS,quarterlyCapitalStock,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualTotalNonCurrentAssets,quarterlyCurrentDebt,annualGrossPPE,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,annualStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualDilutedEPS,annualOperatingExpense,quarterlyGrossPPE,trailingStockBasedCompensation,annualChangeInInventory,quarterlyOperatingCashFlow,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualCapitalExpenditure,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,annualTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,annualChangesInAccountReceivables,quarterlyPretaxIncome,trailingCostOfRevenue,annualInterestExpense,trailingBeginningCashPosition,annualAccumulatedDepreciation,annualInventory,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,trailingOperatingExpense,trailingChangeInInventory,annualDeferredIncomeTax,quarterlyEbitda,annualGrossProfit,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,trailingDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,trailingCashDividendsPaid,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingNetOtherFinancingCharges,annualGoodwill,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualNonCurrentDeferredRevenue,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyGoodwill,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedAverageShares
1996-03-31,,,9452000.0,,,1461900000.0,,,,1040800000.0,22498000.0,,113583000.0,1109200000.0,73308000.0,1467200000.0,-24710000.0,,,8573700000.0,5490000.0,,,24374000.0,261183000.0,51754000.0,26113000.0,16965000.0,,,1159900000.0,4113000.0,,27794000.0,68400000.0,,,2156600000.0,,,-1870600000.0,,7351000.0,,,,6675000.0,,,,,-342600000.0,40275000.0,,-61300000.0,,,9148000.0,,,,,,55868000.0,261183000.0,,,,69611000.0,8732000.0,3200200000.0,,,,,436000.0,,,,,,16965000.0,43972000.0,,39703000.0,-55868000.0,20582000.0,52726000.0,,33865000.0,,,-482900000.0,56304000.0,,0.064744,,,1771100000.0,1040800000.0,-2754000.0,234000.0,,,,-1733000000.0,51520000.0,,51800000.0,,,,,,,,,1320100000.0,43972000.0,,58846000.0,,728200000.0,16965000.0,,,,1040800000.0,,987000.0,-69500000.0,,,,0.064744,115371000.0,,6100000.0,-363000.0,,-36611000.0,556400000.0,,,-11909000.0,17777000.0,,,,139745000.0,,,,,6802600000.0,1077000.0,836500000.0,-14874000.0,2251000.0,,,,,,611200000.0,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-31,,,3372000.0,,,,,,,,30971000.0,,130469000.0,,81722000.0,,-13011000.0,,,,5631000.0,,,12492000.0,261183000.0,68628000.0,13587000.0,8473000.0,,,,3258000.0,,16756000.0,,,,,,,,,5777000.0,,,,3089000.0,,,,,,48747000.0,,,,,5114000.0,,,,,,71886000.0,261183000.0,,,,86837000.0,10944000.0,,,,,,436000.0,,,,,,8473000.0,43632000.0,,19995000.0,-71886000.0,21555000.0,60167000.0,,17092000.0,,,,72322000.0,,0.032692,,,,,,4284000.0,,,,,64344000.0,,,,,,,,,,,,43632000.0,,61400000.0,,,8473000.0,,,,,,1197000.0,,,,,0.032692,57477000.0,,,-105000.0,,-16160000.0,,,,-3239000.0,17776000.0,,,,69969000.0,,,,,,416000.0,,-17768000.0,2356000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,,,-10573000.0,,,,,,,,-2428000.0,,111551000.0,,107631000.0,,-26774000.0,0.0,,,42822000.0,,64489824.0,16400000.0,261183000.0,23791000.0,16463000.0,10982000.0,,,,6178000.0,,-15529000.0,,,,,,,,,6992000.0,6653712.0,,,6540000.0,,,,,,3920000.0,,,,,5481000.0,,,,,,29970000.0,261183000.0,,,,47794000.0,10259000.0,,,,,6349000.0,435000.0,,,,,,10982000.0,63757000.0,,2524000.0,-29970000.0,58836000.0,48795000.0,,24745000.0,46661288.0,,,30405000.0,,0.042308,,38045584.0,,,-10793000.0,3139000.0,,,,,20652000.0,,,,20558264.0,,,938344.0,,,,,63757000.0,,70278000.0,11120000.0,,10982000.0,,,,,,2369000.0,,,,,0.042308,86878000.0,,,-734000.0,,-33699000.0,,,,-18053000.0,6348000.0,,,,103278000.0,,,-170608.0,,,1742000.0,,-6521000.0,5070000.0,,,,,-28406232.0,,,,,44784600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,0.159913,,,,,,,,,,,,,,,,,,,,,9533058.0,,,,,,,,261183000.0,,,,,,,,,,,,,,,,,,,,,,,,9533058.0,9533058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261183000.0,,,,,,,,,,,,0.159913,,,,,,,,,,,61563954.0,61563954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61563954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,0.157451,,,,,,,,,,,,,,,,,,,,,9301312.0,,,,,,,,59074222.0,,,,,,,,,,,,,,,,,,,,,,,,9301312.0,9301312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59074222.0,,,,,,,,,,,,0.157451,,,,,,,,,,,59871552.0,59871552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59871552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,,,0.155579,,,,,,,,,,,,,,,,,,,,,9285233.0,,,,,,,,59511306.0,,,,,,,,,,,,,,,,,,,,,,,,9285233.0,9285233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59511306.0,,,,,,,,,,,,0.155579,,,,,,,,,,,59940316.0,59940316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59940316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,436000.0,15635000.0,,14715000.0,,,,131222000.0,,54383000.0,88266000.0,219488000.0,,86016000.0,,-31884000.0,4254975.0,,,1435000.0,,139846845.0,56201000.0,238332120.0,58729000.0,61434000.0,45525000.0,17577368.0,,,5553000.0,219488000.0,13496000.0,,,,,,,,22882310.0,14786000.0,8131730.0,,,25140000.0,,,,,,133472000.0,,,6585000.0,,15909000.0,-64283000.0,86016000.0,17577368.0,17577368.0,,64283000.0,237455400.0,13280000.0,,1435000.0,88266000.0,13223000.0,,,,,82534000.0,436000.0,,,,13223000.0,,45525000.0,131222000.0,7848065.0,92045000.0,-64283000.0,14715000.0,71301000.0,133472000.0,87652000.0,22882310.0,,,64719000.0,,0.191667,,51437920.0,,,-43609000.0,10511000.0,,64719000.0,64283000.0,,48218000.0,,,4254975.0,30919485.0,,,2080210.0,,8041000.0,,,131222000.0,5553000.0,164811000.0,,,45525000.0,,-123528015.0,52132985.0,,14786000.0,13280000.0,,,,,0.191026,175661000.0,164811000.0,,-1515000.0,,-110340000.0,,-33589000.0,,-78549000.0,8041000.0,,,51437920.0,231862000.0,,71301000.0,-3120315.0,,,1078000.0,,-33589000.0,6585000.0,54383000.0,,131222000.0,,-42076975.0,,,,-117217015.0,94176780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,0.049692,,,,,,,,,,,,,,,,,,,,,12081683.9,,,,,,,,243129862.0,,,,,,,,,,,,,,,,,,,,,,,,12081683.9,12081683.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243129862.0,,,,,,,,,,,,0.049692,,,,,,,,,,,74291604.2,74291604.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74291604.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,0.092031,,,,,,,,,,,,,,,,,,,,,23583016.35,,,,,,,,256251431.0,,,,,,,,,,,,,,,,,,,,,,,,23583016.35,23583016.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256251431.0,,,,,,,,,,,,0.092031,,,,,,,,,,,98031412.35,98031412.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98031412.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,,,,,-0.050221,,,,,,,,,,,,,,,,,,,,,-11771252.11,,,,,,,,234391316.0,,,,,,,,,,,,,,,,,,,,,,,,-11771252.11,-11771252.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234391316.0,,,,,,,,,,,,-0.050221,,,,,,,,,,,112265027.81,112265027.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112265027.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
