date,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualIncomeTaxPayable,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualPurchaseOfBusiness,quarterlyInventory,annualAccountsReceivable,quarterlyLongTermDebt,annualPurchaseOfInvestment,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyAccumulatedDepreciation,annualInventory,annualBasicEPS,quarterlyBasicEPS,quarterlyNetPPE,annualStockBasedCompensation,trailingNetIncome,annualChangeInInventory,quarterlyAccountsReceivable,annualGoodwill,annualCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualGrossProfit,annualNetPPE,annualOperatingCashFlow,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualNetOtherInvestingChanges,annualCapitalStock,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualRepaymentOfDebt,trailingGrossProfit,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyTotalAssets,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,trailingEndCashPosition,trailingOperatingIncome,annualPretaxIncome,annualGrossPPE,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCurrentDebt,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualBasicAverageShares,annualOtherIncomeExpense,trailingCapitalExpenditure,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualCapitalExpenditure,annualCashAndCashEquivalents,trailingNetOtherFinancingCharges,annualOperatingExpense,annualBeginningCashPosition,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,trailingBeginningCashPosition,annualDilutedAverageShares,trailingCostOfRevenue,annualInterestExpense,annualNetOtherFinancingCharges,trailingOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlyRetainedEarnings,annualOtherShortTermInvestments,annualCommonStockIssuance,annualOtherIntangibleAssets,annualFreeCashFlow,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualCostOfRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,annualRetainedEarnings,trailingOperatingCashFlow,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,annualTaxProvision,annualCurrentDebt,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,trailingTaxProvision,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCapitalExpenditure
1995-12-31,,,142049903.18926,,,,,-52921418.235431,,,,,,-1831000000.0,12427000000.0,,,-0.008295,,,,4685000000.0,,,,,,,171842709.583301,14307657.267013,282000000.0,,,-14638000000.0,,,-3104786.404904,,,,-23666185.89276,,12664770.637076,-124967.114146,21769000000.0,74333.886863,,1105000000.0,,109420000000.0,,18046000000.0,12665000000.0,-22248455.528828,,,-8245000000.0,,12664770.637076,,,,2698831169.0,,-9373000000.0,,598000000.0,,,,,,,,,-49791853.868239,,1974000000.0,,23740519.779623,3546000000.0,-22456374.951502,17448000000.0,2698831169.0,87651000000.0,,15245987.925817,9104000000.0,,-22387427.57818,8442000000.0,,,,12664770.637076,,0.0,-0.008295,,,0.0,,-35484196.601226,7673000000.0,,,,,,,17046000000.0,4685000000.0,,-70024.67603,,,,-22387427.57818,3985000000.0,,143831761.86855,,,,,14307657.267013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,591406237.288136,,,,,-59329767.469521,,,,,,,,,,0.007725,,,,,,,,,,,206412360.392507,-188174955.694321,,,,,,,-6535812.072554,,,,167909861.433244,,116565328.575676,-15195870.353851,,167983888.195064,,,,,,,,35065082.366934,,,,,116565328.575676,,,,3045972222.0,,,,,,,,,,,,,-52793955.396967,,,,74026.76182,,23528708.890871,,3045972222.0,,,-15195870.353851,,,23528708.890871,,,,,116565328.575676,,0.0,0.007725,,,427501330.954505,,-240968911.091288,,,,,,,,,,,-11536373.476063,,,,23528708.890871,,,593198972.34612,,,,,-188174955.694321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,885553361.347358,,,,,-477563609.472801,,,,,,,,,,0.014639,,,,,,,,,,,634598722.746338,409024100.819513,,,,,,,-2737605.368781,,,,198894189.275344,,345394544.027876,0.0,,366203336.749048,,,,,,,,95589656.940053,,,,,345394544.027876,,,,4606350365.0,,,,,,,,,,,,,-476722666.683874,,,,167309147.473705,,67432498.832032,,4606350365.0,,,261664638.058979,,,67432498.832032,,,,,345394544.027876,,0.0,0.014639,,,,,-67698565.864361,,,,,,,,,,,-28157158.108021,,,,67432498.832032,,,887338895.528167,,,,,409024100.819513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,2098083603.944549,,,26623191.599763,,-1353244411.841392,,,,,,,,,,0.028959,,,,,,,,,,,2078561283.66936,389691971.31941,,,,,,,-4472106.319539,,,,85436999.870924,,830149028.138472,,,451661366.200274,,,,,,,,204844910.111779,,,,,830149028.138472,,,,4952435424.0,,,,,,,,,,,,,-1348793677.595064,,,,366224366.329349,,143418365.890492,,4952435424.0,,,1057346989.622325,,,143418365.890492,,,,,830149028.138472,,26623191.599763,0.028959,,,,,-959101706.275654,,,,,,,,,,,-61426544.221287,,,,143418365.890492,,,2124706795.544312,,,,,389691971.31941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,,2327503990.967067,,,69539793.873192,,-264075988.616241,,,,,,,,,29879265.708932,0.044605,,,,,,,,478715509.459246,,376365690.676043,2145466904.026368,241764745.849725,,,,,410725728.443581,,0.0,,0.0,190478056.684744,-39230442.179067,,1153937731.380827,,,410725728.443581,,,,,,,,362120689.270434,,98838869.329822,,,355058336.7314,,,,5294367542.0,,,,,,,,,,,,,-264512462.017055,410725728.443581,,21307353.944642,449956170.622647,,236157659.503163,,5294367542.0,,,,,69539793.873192,236157659.503163,,720821982.04473,,9470408.228406,355058336.7314,,548255303.332437,0.044605,,,0.0,,-22747716.16733,,,,777572040.704785,,,,,,,-125963029.767271,106659195.189294,,,236157659.503163,,,2875759294.299504,,21307353.944642,2154937312.254774,266867289.242913,241764745.849725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,2770530390.737393,,,87609571.335154,,-623847312.382198,-20257467.400085,,74374904.642843,,,,,,26697243.14344,0.136428,,,,,,,,850674764.857484,,1004326224.025849,2119976294.803247,1553641745.047505,,,,,1453250146.401508,,-335484225.025965,,0.0,350361962.072547,711680553.294611,,1897956148.170943,,,1117765921.375543,,,,,,,,985427734.815556,,71597585.721429,,,970607240.220025,,,,3692867133.0,,,,,,,,,,,,,-268105619.956149,1453250146.401508,,33718983.805824,408980352.04062,,503809892.526061,,3692867133.0,,,-63887875.601031,,87609571.335154,503809892.526061,,1566537197.215063,,22301234.911721,970607240.220025,,938284336.192638,0.136428,,,,,1285536125.091357,,,,893629924.145094,,,,,,,-264883081.970997,0.0,,,503809892.526061,,,3708814726.93003,,33718983.805824,2142277529.714967,0.0,1553641745.047505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,3082995302.084148,,,,,-756601300.040639,-109566647.151203,,48228512.148876,,-2069437.753115,,,,28228192.202618,0.096149,,,,,,,,501539382.593769,,550832328.622837,2578473806.625634,761302638.115665,,,,,1123206973.630535,,-231253832.034881,,,115600915.38926,-562785188.834803,,1568276175.567381,,,556087639.265619,,,,,,,,644265851.300782,,31052178.798022,,,645889563.99938,,,,5048300221.0,,,,,,,,,,,,,-413711383.101441,1123206973.630535,,-95057235.376543,1119036260.620411,,485968720.689306,,5065071982.0,,,43787180.355653,,141738444.836167,485390339.368564,,1210849254.350148,,4115528.003374,645889563.99938,,643277827.429935,0.095831,,,,,347591255.014224,,,,1017443846.944545,,,,,,,-158297130.611476,127543163.099928,-216981079.039166,,485390339.368564,,,3842373893.714481,,36955913.270114,2631524639.364333,0.0,761302638.115665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,,3324007329.062563,,,194631151.305525,,-743832338.478855,-413887.550623,,51371935.033351,,-316490258.710231,,,,33815674.136028,0.076198,,,,,,,,420700776.45632,,492181278.94917,2865624744.247344,646113487.776768,,,,,1008866823.39548,,259174261.699856,,125997982.910936,84089215.285034,137410666.806832,,1765486164.688326,-52977606.479742,,693673412.343868,,,,,,,,529415239.753292,,58023850.846954,,,525961931.830914,,,,4911434540.0,,,,,,,,,,,,,-686102453.917857,1008866823.39548,,-33780652.881744,556087639.265619,,384338102.008766,,4918284519.0,,,-51280667.522188,,534018942.816375,374240307.023695,,1150307056.945173,,2046090.250259,525961931.830914,,954719719.272696,0.076092,,,,,-39988966.141089,,,,1273304885.739157,,,,,,,145077137.744526,57952747.088257,,339387791.51085,374240307.023695,,,4404725031.246194,,26430434.482732,3254417974.301021,56252624.380313,646113487.776768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,,3620414087.05329,,,229817346.959935,,-769552198.112308,,,73664422.80248,,-178390113.897769,,,,31271314.62858,0.114513,,,,,,,,390692581.884549,,701825582.639316,2838036267.758289,1058260353.517139,,,,,1074377411.443615,,-100907539.174496,,-390692581.884549,55957623.319483,15928336.091798,,2237671595.096845,,,710051508.936138,,,,,,,,758430404.566988,,98160943.433651,,,719560103.973735,,,,4808221601.0,,,,,,,,,,,,,-490254545.040044,1074377411.443615,,-17734521.334419,696925212.288028,,570782258.519471,,4839765698.0,,,-149669209.599973,,216696381.437098,550601816.909626,,1217421098.553835,,-388636899.979134,719560103.973735,,607388963.321647,0.113766,,,,,568005808.477096,,,,1535846012.457528,,,,,,,187648146.047517,21623044.10882,-181326497.698345,377571616.361711,550601816.909626,,,4374572127.826192,,28517255.312353,3157151029.272358,38107949.679159,1058260353.517139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,,4323379196.088551,,,220334877.49694,,-643972121.071916,-249303.03822,,84714024.705245,,-90247699.83565,,,,21366548.852575,0.174193,,,,,,,,882775665.951524,,1060625683.383934,2892641844.515001,1487797916.193158,,,,,1655373239.178585,,35149597.593825,,142792044.032118,27837773.870304,657672068.800426,,2699131547.771496,,,1366268012.048891,,,,,,,,1157652508.14349,,58330518.557891,,,1097103831.784,,,,4741553517.0,,,,,,,,,,,,,-598320899.342472,1655373239.178585,,-36478148.400066,709500465.810211,,863630471.093345,,4797301980.0,,,-85280816.228036,,243603161.064143,825943096.418151,,1771435522.8436,19476533.51154,2303389.609537,1097103831.784,,1126378827.015667,0.172168,,,,,889477016.850686,,,,1638505864.387562,,,,,,,294022037.050145,354010314.27244,-100872910.09278,23268283.567203,825943096.418151,,,5592550067.136336,,16837543.658245,3821114544.292736,9981710.107194,1487797916.193158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
