date,trailingChangeInWorkingCapital,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyGoodwill,annualGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualNetOtherInvestingChanges,annualRetainedEarnings,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualCostOfRevenue,annualNetIncome,quarterlyDilutedEPS,trailingChangeInAccountPayable,quarterlyFreeCashFlow,annualTotalRevenue,trailingPurchaseOfInvestment,quarterlyLongTermDebt,annualPretaxIncome,annualLongTermDebt,trailingTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,annualEndCashPosition,annualNonCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualCurrentDebt,quarterlyTotalAssets,annualTotalAssets,trailingOperatingIncome,trailingTaxProvision,annualDilutedEPS,annualTaxProvision,trailingEndCashPosition,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,annualOtherCurrentAssets,annualDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualStockholdersEquity,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,annualBasicEPS,annualSaleOfInvestment,trailingSaleOfInvestment,annualIncomeTaxPayable,annualDepreciationAndAmortization,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,quarterlyGrossProfit,quarterlyInventory,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,trailingPretaxIncome,annualCurrentLiabilities,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualNetPPE,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,annualOperatingCashFlow,annualRepurchaseOfCapitalStock,annualCurrentAssets,quarterlyCapitalStock,annualRepaymentOfDebt,annualEbitda,quarterlyStockholdersEquity,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualCapitalStock,annualOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,quarterlyNetOtherInvestingChanges,annualTotalNonCurrentAssets,trailingStockBasedCompensation,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualSellingGeneralAndAdministration,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCashItems,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,annualBasicAverageShares,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualAccumulatedDepreciation,trailingDepreciationAndAmortization,annualNonCurrentDeferredTaxesLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,annualStockBasedCompensation,trailingDeferredIncomeTax,annualCapitalExpenditure,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualOperatingExpense,annualBeginningCashPosition,annualPurchaseOfBusiness,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,trailingBeginningCashPosition,annualInterestExpense,annualInventory,annualGoodwill,trailingNetIncome,annualNetOtherFinancingCharges,quarterlyIncomeTaxPayable,annualChangeInInventory,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingOperatingExpense,quarterlyRepurchaseOfCapitalStock,trailingChangeInInventory,annualDeferredIncomeTax,quarterlyEbitda,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualGrossProfit,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingOtherIncomeExpense,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingOtherNonCashItems,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,trailingInterestExpense,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingCashDividendsPaid,trailingNetOtherFinancingCharges,trailingResearchAndDevelopment,trailingDilutedAverageShares
2003-01-31,-303011000.0,,,,,,,,107700000.0,667298000.0,,,,,,,,,,259836000.0,9696000.0,,20514000.0,,362217000.0,-245000000.0,,10899000.0,,7216866000.0,,,,,,,,,195059000.0,894548000.0,202540000.0,0.02,1203000.0,208843000.0,,13248000.0,-349979000.0,,,3960891.0,,,87359000.0,,,,0.05,,245000000.0,,12522000.0,,,,-753205000.0,,2628000.0,,,,,,,,900440000.0,,9696000.0,,85180000.0,,,,,,,,,25770000.0,,,2628000.0,,,,2615038000.0,,,,697900000.0,,,,971419000.0,,,,-709541000.0,,,,,25436000.0,-2349000.0,-88101000.0,85180000.0,86382000.0,,-304121000.0,,,,,,1936416.0,,,,,0.0,,,,291027000.0,,,,,1702419000.0,,,34480000.0,-27430000.0,,9696000.0,89133000.0,,,,,,4601828000.0,,296944000.0,2349000.0,,,697900000.0,,,,,,,1720490000.0,,-136469000.0,,,,,102381000.0,,,,,,,,697900000.0,,,,,,,,,,,,,,,,,,
2004-01-31,,,,,,,,,113642000.0,,,,,,,,,,,312203000.0,5084000.0,,,,423863000.0,,,8107000.0,,,,,,,,,,,206420000.0,,,-2.36,3023000.0,,,10896000.0,,,,2331000.0,,,92778000.0,,,,-2.36,,,,15411000.0,,,,,,3178000.0,,,,,,,,,,5084000.0,,99577000.0,,,,,,,,,26307000.0,,,3178000.0,,,,,,,,,,,,,,,,,,,,,,-2789000.0,,99577000.0,98446000.0,,,,,,,,2331000.0,,,,,,,,,,,,,,,,,,-30354000.0,,5084000.0,100764000.0,,,,,,,,,2789000.0,,,,,,,,,,,,,,,,,111660000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-31,,,,,,,,,,,,,,,,,,,,,9460000.0,,,,491152000.0,,,,,,,,,,,,,,,,,-0.7,,,,491152000.0,,,,3180611.0,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,-2232000.0,,,,,,,,,,,491152000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180611.0,,,,,,,,,,,,,,,,,,,,9460000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-30,,,,,,,,,,,,,,,,,,,,,,0.0825,,,,,,,,,,,,,762000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3992000.0,3992000.0,,,,,,,,,,,,,,,,,,,48196240.0,,,,,,,,,,0.185,,,,,,,,,,,,,,4094233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144769000.0,144769000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144769000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-31,,,,,,,,,,,,,,,,,,,,,,0.0825,,,,,,,,,,,,,762000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3992000.0,3992000.0,,,,,,,,,,,,,,,,,,,48196240.0,,,,,,,,,,0.185,,,,,,,,,,,,,,4094233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144769000.0,144769000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144769000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-31,,,,,,,,,,,,,,,,,,,,,,0.0825,,,,,,,,,,,,,762000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3992000.0,3992000.0,,,,,,,,,,,,,,,,,,,48196240.0,,,,,,,,,,0.185,,,,,,,,,,,,,,4094233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144769000.0,144769000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144769000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-31,,899000.0,90622000.0,630000.0,145451000.0,,34543000.0,,159600000.0,,,-853000.0,15757000.0,,,0.0,-91199000.0,-4006000.0,137164000.0,404794000.0,15969000.0,,,,579075000.0,,45381000.0,26473000.0,45381000.0,,40449000.0,,2839000.0,,761000.0,,,282615000.0,282615000.0,,,0.33,10504000.0,,,29424000.0,,34435000.0,0.0,48196240.0,,,123015000.0,199000.0,,,0.74,,,,22285000.0,3993000.0,3993000.0,,,34543000.0,2839000.0,,109374000.0,15757000.0,,159600000.0,,,,68978000.0,3047000.0,199000.0,133003000.0,,90622000.0,,37601000.0,,145451000.0,208534000.0,,51709000.0,123015000.0,,2839000.0,,,,,0.0,,-165000.0,,208534000.0,40449000.0,,,,,,,,3841000.0,,137164000.0,,0.0,,227149000.0,144857000.0,2839000.0,,2839000.0,255000.0,0.0,-853000.0,,4094233.0,34435000.0,,,,,,,-94146000.0,,,-404883000.0,144768000.0,-41607000.0,,,,,-41607000.0,,15969000.0,144857000.0,3004000.0,,-94146000.0,,,,,,2951000.0,109374000.0,,,213000.0,,-5134000.0,,68978000.0,227149000.0,,,,-3037000.0,-404883000.0,,,174281000.0,,,133003000.0,-91199000.0,,,0.0,,,,,,,,,,,,,,,,,,,
2006-04-30,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,1250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4700000.0,4700000.0,,,,,,,,,,,,,,,,,,,76617578.0,,,,,,,,,,0.18,,,,,,,,,,,,,,6960640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159468000.0,159468000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159468000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-31,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,1043000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4564000.0,4564000.0,,,,,,,,,,,,,,,,,,,48850350.0,,,,,,,,,,0.3,,,,,,,,,,,,,,4823169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162558000.0,162558000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162558000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-31,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,2833000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6640000.0,6640000.0,,,,,,,,,,,,,,,,,,,49920577.0,,,,,,,,,,0.2,,,,,,,,,,,,,,5770601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216544000.0,216544000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216544000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
