date,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,trailingNetIncome,quarterlyGoodwill,annualTotalAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,trailingTotalRevenue,annualLongTermDebt,annualPretaxIncome,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualNetIncome,annualOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualEndCashPosition,annualDilutedAverageShares,quarterlyTotalAssets,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingInvestingCashFlow,annualAccountsPayable,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualStockholdersEquity,annualOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,quarterlyInventory,quarterlyOtherIncomeExpense,annualTaxProvision,annualDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,annualBasicAverageShares,trailingChangeInAccountPayable,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,annualOtherIntangibleAssets,annualCommonStockIssuance,annualOtherNonCurrentAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetPPE,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualChangeInAccountPayable,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualEbitda,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,annualGrossPPE,quarterlySaleOfInvestment,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,annualChangeInInventory,annualOperatingExpense,trailingStockBasedCompensation,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualCashFlowFromContinuingFinancingActivities,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualInvestingCashFlow,quarterlyCapitalExpenditure,annualCapitalExpenditure,annualDilutedEPS,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,annualCapitalStock,annualTotalRevenue,trailingChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyTaxProvision,annualInterestExpense,trailingBeginningCashPosition,annualChangesInAccountReceivables,quarterlyPretaxIncome,annualStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyNetPPE,quarterlyEbitda,annualGoodwill,trailingOperatingExpense,annualNetOtherFinancingCharges,quarterlyOtherNonCashItems,annualInventory,quarterlyStockBasedCompensation,annualDeferredIncomeTax,trailingChangeInInventory,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
1979-09-30,,10945000.0,,13426000.0,,,,,131859000.0,,170200000.0,,,159518000.0,,88000000.0,159954000.0,46200000.0,,,1328912000.0,37000000.0,20000000.0,239100000.0,1100000.0,9700000.0,11300000.0,22800000.0,,180828000.0,0.0,43461538.0,,,,0.0,37438000.0,,,-31778000.0,,,28095000.0,82200000.0,,,,,,,0.0,,,8700000.0,,,,,2500000.0,,101700000.0,,,202241000.0,43461538.0,-2842000.0,,,,5300000.0,,7500000.0,,,55700000.0,,,,,,,0.0,11300000.0,46900000.0,41100000.0,29100000.0,1300000.0,,,,-217084000.0,,,435408000.0,2500000.0,0.26,37200000.0,131859000.0,,,,,0.0,,-42723000.0,20874000.0,,,,,,68500000.0,1200000.0,-2338000.0,,92200000.0,,,-169785000.0,70100000.0,,55893000.0,,,131859000.0,,11300000.0,,,,,,2800000.0,0.0,,76400000.0,-1854000.0,254580000.0,,,,,4389000.0,,-1027000.0,,0.0,,,0.26,893504000.0,,,,338300000.0,21000000.0,-60903000.0,,4000000.0,36760000.0,,,,,,,,254580000.0,,,60800000.0,,,5423000.0,-36500000.0,,99200000.0,,,,,,,,,,,,,,,,,,,,
1980-09-30,,,,,,,,,,,180900000.0,,,,,94500000.0,,50400000.0,,,,42500000.0,18400000.0,269100000.0,1200000.0,3200000.0,10600000.0,22000000.0,,,0.0,46086957.0,,,,0.0,,,,,,,,86400000.0,,,,,,,,,,7800000.0,,,,,1900000.0,,108500000.0,,,,46086957.0,,,,,6400000.0,,8700000.0,,,57300000.0,,,,,,,0.0,10600000.0,47500000.0,47000000.0,29700000.0,500000.0,,,,,,,,1900000.0,0.23,44300000.0,,,,,,0.0,,,,,,,,,72400000.0,1400000.0,,,97800000.0,,,,80100000.0,,,,,,,10600000.0,,,,,,4000000.0,,,87800000.0,,,,,,,,,,,0.0,,,0.23,,,,,378900000.0,,,,4900000.0,,,,,,,,,,,,63300000.0,,,,-40500000.0,,109800000.0,,,,,,,,,,,,,,,,,,,,
1981-09-30,,,,,,,,,,,209000000.0,,,,,116100000.0,,56500000.0,,,,53300000.0,23600000.0,297900000.0,4700000.0,7500000.0,13600000.0,29200000.0,,,0.0,46896552.0,,,,0.0,,,,,,,,92900000.0,,,,,,,,,,10000000.0,,,,,3400000.0,,120000000.0,,,,46896552.0,,,,,6300000.0,,4800000.0,,,77900000.0,,,,,,,0.0,13600000.0,56800000.0,59300000.0,39000000.0,800000.0,,,,,,,,3400000.0,0.29,49300000.0,,,,,,0.0,,,,,,,,,89000000.0,1300000.0,,,128100000.0,,,,97500000.0,,,,,,,13600000.0,,,,,,5200000.0,,,107300000.0,,,,,,,,,,,0.0,,,0.29,,,,,434400000.0,,,,7100000.0,,,,,,,,,,,,69100000.0,,,,-50200000.0,,136500000.0,,,,,,,,,,,,,,,,,,,,
1982-09-30,,,,,,,,,,,218900000.0,,,,,114100000.0,,68000000.0,,,,52700000.0,32400000.0,326600000.0,5200000.0,1600000.0,18500000.0,35000000.0,,,0.0,47435897.0,,,,0.0,,,,,,,,104800000.0,,,,,,,,,,13900000.0,,,,,7300000.0,,121800000.0,,,,47435897.0,,,,,7800000.0,,4800000.0,,,84500000.0,,,,,,,0.0,18500000.0,53500000.0,60600000.0,46000000.0,1000000.0,,,,,,,,7300000.0,0.39,51900000.0,,,,,,0.0,,,,,,,,,97100000.0,3400000.0,,,143300000.0,,,,119800000.0,,,,,,,18500000.0,,,,,,6900000.0,,,130800000.0,,,,,,,,,,,0.0,,,0.39,,,,,492400000.0,,,,6100000.0,,,,,,,,,,,,58000000.0,,,,-58800000.0,,165800000.0,,,,,,,,,,,,,,,,,,,,
1983-09-30,,,,,,,,,,,242400000.0,,,,,123000000.0,,81300000.0,,,,52900000.0,36200000.0,339500000.0,12600000.0,10600000.0,20600000.0,37700000.0,,,0.0,47906977.0,,,,0.0,,,,,,,,119400000.0,,,,,,,,,,15600000.0,,,,,4500000.0,,127500000.0,,,,47906977.0,,,,,6700000.0,,8400000.0,,,99800000.0,,,,,,,0.0,20600000.0,57500000.0,65500000.0,49700000.0,1800000.0,,,,,,,,4500000.0,0.43,46900000.0,,,,,,0.0,,,,,,,,,114900000.0,3200000.0,,,161200000.0,,,,130900000.0,,,,,,,20600000.0,,,,,,10800000.0,,,142900000.0,,,,,,,,,,,0.0,,,0.43,,,,,520100000.0,,,,4700000.0,,,,,,,,,,,,60600000.0,,,,-61400000.0,,180600000.0,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47952000.0,,,,,,,,,,0.06,,,,,,,,,,,,,,,127300000.0,,,,,47952000.0,,,,,,,,,,,,,,,127300000.0,,,,,,,,,,,,,,,,,,,,,,127300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48212000.0,,,,,,,,,,0.02,,,,,,,,,,,,,,,109100000.0,,,,,48212000.0,,,,,,,,,,,,,,,109100000.0,,,,,,,,,,,,,,,,,,,,,,109100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,86000000.0,,65200000.0,138100000.0,,,245800000.0,,61400000.0,,,126600000.0,,86000000.0,,4900000.0,,46900000.0,28500000.0,310600000.0,10900000.0,10400000.0,12200000.0,31400000.0,,,0.0,46923077.0,245800000.0,,107700000.0,0.0,,,,,,,,119200000.0,,126600000.0,,,,,,74200000.0,,12000000.0,,12000000.0,3900000.0,,5900000.0,,138100000.0,13400000.0,,,46923077.0,,46900000.0,,,,,12000000.0,,,95700000.0,,,,,,,0.0,12200000.0,61400000.0,65200000.0,41900000.0,4900000.0,,,,,,,,5900000.0,0.26,51000000.0,,,119200000.0,,5900000.0,0.0,5900000.0,,,10900000.0,,,,,107700000.0,2400000.0,,,151100000.0,,10400000.0,,77600000.0,,,,-287400000.0,,,16500000.0,,,,,,13400000.0,,,88100000.0,,,151100000.0,,,,,111300000.0,,-55400000.0,0.0,,,0.26,,51000000.0,,,430100000.0,,,,5200000.0,,,,,,95700000.0,-287400000.0,,,,,74200000.0,,,,-55400000.0,,119500000.0,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46564000.0,,,,,,,,,,0.11,,,,,,,,,,,,,,,122200000.0,,,,,46564000.0,,,,,,,,,,,,,,,122200000.0,,,,,,,,,,,,,,,,,,,,,,122200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46614000.0,,,,,,,,,,0.08,,,,,,,,,,,,,,,112500000.0,,,,,46614000.0,,,,,,,,,,,,,,,112500000.0,,,,,,,,,,,,,,,,,,,,,,112500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
