,trailingNetIncomeCommonStockholders,quarterlyDilutedAverageShares,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,annualBasicAverageShares,annualRepaymentOfDebt,annualBeginningCashPosition,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,trailingGrossProfit,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,annualDilutedEPS,annualTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,annualOtherIncomeExpense,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,annualStockBasedCompensation,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualCapitalStock,annualPurchaseOfBusiness,annualCostOfRevenue,annualTotalRevenue,trailingResearchAndDevelopment,annualResearchAndDevelopment,trailingCostOfRevenue,annualGrossProfit,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,annualInventory,quarterlyTaxProvision,quarterlyRetainedEarnings,annualAccumulatedDepreciation,trailingNetIncome,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,quarterlyPretaxIncome,quarterlyNetPPE,annualChangeInWorkingCapital,annualBasicEPS,trailingOperatingExpense,quarterlyResearchAndDevelopment,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualGoodwill,annualNetIncome,annualFreeCashFlow,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsReceivable,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,annualInvestingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyNetIncome,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,annualDilutedAverageShares,annualTaxProvision,annualTotalAssets,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,trailingTotalRevenue,annualOperatingIncome,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlyInterestExpense,quarterlyCurrentDebt,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualStockholdersEquity,annualDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyBasicAverageShares,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOtherIntangibleAssets,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualNetPPE,annualEbitda,annualCurrentAssets,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingChangeInWorkingCapital,quarterlyPurchaseOfInvestment,annualInterestExpense,trailingBasicAverageShares,annualChangeInInventory,annualNonCurrentDeferredRevenue,trailingOperatingCashFlow,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,trailingSaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,trailingRepaymentOfDebt,quarterlyOperatingCashFlow,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyEndCashPosition,annualCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,trailingDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyStockBasedCompensation,annualLongTermDebt,annualDeferredIncomeTax,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,,0.0,,41393000.0,584644000.0,-569040000.0,,237084428.0,-7637000.0,105019000.0,,0.0,,,,,,-144805000.0,1099184000.0,,,171396000.0,-2.400158,304389000.0,,,-4525000.0,-373488000.0,159000.0,,,,100917000.0,,10000000.0,16564000.0,,196311000.0,40247000.0,0.0,303568000.0,130996000.0,,24915000.0,,-172572000.0,,,,1124000.0,,,-7163000.0,,,-11103000.0,,,34678000.0,-2.400158,,,-10109000.0,,,,,,1702679000.0,,0.0,-371576000.0,-336740000.0,-655885000.0,,,,48311000.0,-210644000.0,16639000.0,,,122762000.0,-365558000.0,,,,-371063000.0,,237084428.0,2425000.0,1156943000.0,,,689663000.0,,-368883000.0,100917000.0,14825000.0,,,308202000.0,0.0,689663000.0,-544154000.0,42226000.0,,160644000.0,,,0.0,,,,,,,-191935000.0,1394477000.0,54715000.0,109515000.0,,751725000.0,62062000.0,-264648000.0,0.0,34230000.0,-326657000.0,852554000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,,,0.0,,77762000.0,-312574000.0,-1185150000.0,,237084428.0,-14150000.0,699772000.0,,0.0,,,,,,-288408000.0,1024087000.0,,,553993000.0,-4.998852,765904000.0,,,-15140000.0,-911496000.0,1485000.0,,,,365488000.0,,0.0,218396000.0,,645215000.0,40257000.0,-27252000.0,772812000.0,523310000.0,,91222000.0,,-249502000.0,,,,6694000.0,,,-26738000.0,,,-92568000.0,,,163588000.0,-4.998852,,,10109000.0,,,,,,3489713000.0,,50967000.0,-910066000.0,-487375000.0,-1777990000.0,,,,107337000.0,-3286200000.0,110666000.0,,,316859000.0,-1187300000.0,,,,-908355000.0,,237084428.0,3141000.0,2166710000.0,,,387198000.0,,-894717000.0,360886000.0,13866000.0,,,628100000.0,11664000.0,387198000.0,-1323360000.0,161518000.0,,377031000.0,,,2414560000.0,,,,,,,-198967000.0,2861613000.0,149647000.0,282472000.0,0.0,1112762000.0,725564000.0,-125993000.0,4410000.0,51024000.0,-733199000.0,1400806000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490918400,,237084428.0,,,,,,,,,,138820000.0,,,,,,,,,,,,,,,,,,,-77688000.0,-77688000.0,424140000.0,,,,,,,,,,,,,,,,,,,1816000.0,,,,,,-65609000.0,,,,,55223000.0,,,,,363008000.0,,,,,,,,,,,,,,,,,,83597000.0,-0.508038,-67425000.0,,-67425000.0,,,,,,,,,,,,,,,,,,-120448000.0,,61132000.0,237084428.0,,,,,11883000.0,-0.508038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,237084428.0,,,,,,,,,,190320000.0,,,,,,,,,,,,,,,,,,,-52662000.0,-52662000.0,582896000.0,,,,,,,,,,,,,,,,,,,2323000.0,,,,,,-48093000.0,,,,,63390000.0,,,,,445238000.0,,,,,,,,,,,,,,,,,,126930000.0,-1.049816,-50416000.0,,-50416000.0,,,,,,,,,,,,,,,,,,-248895000.0,,137658000.0,237084428.0,,,,,4432000.0,-1.049816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506729600,,237084428.0,,,,,,,,,,206611000.0,,,,,,,,,,,,,,,,,,,-31895000.0,-31895000.0,727700000.0,,,,,,,,,,,,,,,,,,,2324000.0,,,,,,-12261000.0,,,,,74496000.0,,,,,552984000.0,,,,,,,,,,,,,,,,,,132115000.0,-0.34993,-14585000.0,,-14585000.0,,,,,,,,,,,,,,,,,,-82963000.0,,174716000.0,237084428.0,,,,,19280000.0,-0.34993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514678400,,,0.0,2075531000.0,247588000.0,375684000.0,-312994000.0,426292000.0,237084428.0,0.0,387198000.0,237729000.0,0.0,,762882000.0,572848000.0,,1283703000.0,-630818000.0,675533000.0,596507000.0,69312000.0,493387000.0,-1.32,1320425000.0,34122000.0,154000.0,47920000.0,-183750000.0,-22536000.0,-62027000.0,-62027000.0,733713000.0,79954000.0,-61170000.0,0.0,572848000.0,,773480000.0,154000.0,0.0,1919241000.0,2468449000.0,,280093000.0,,549208000.0,2153100000.0,1397994000.0,247588000.0,9981000.0,2418000.0,-2222774000.0,-61170000.0,,,-283218000.0,-48906000.0,186418000.0,273870000.0,-1.32,,86984000.0,-1960000.0,520821000.0,50967000.0,22597000.0,558011000.0,392942000.0,1397994000.0,,50967000.0,-183750000.0,-166268000.0,-2222774000.0,1320425000.0,3473525000.0,,34122000.0,-5028602000.0,392942000.0,,,596507000.0,-716254000.0,150745000.0,,-51324000.0,-174869000.0,-51324000.0,237084428.0,8881000.0,3473525000.0,,0.0,762882000.0,,-224272000.0,67431000.0,69312000.0,,,1397994000.0,22597000.0,762882000.0,2075531000.0,304398000.0,139312000.0,635952000.0,175702000.0,,4945126000.0,20796000.0,9981000.0,635952000.0,12325000.0,,1397994000.0,464550000.0,0.0,271893000.0,426292000.0,,1283703000.0,520821000.0,-49086000.0,20796000.0,186418000.0,80126000.0,2153100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522454400,,69336926.0,,-2056920000.0,,,,685523000.0,,,,287357000.0,,,1051310000.0,1014219000.0,,1277780000.0,,,867414000.0,,,,,,,,,,-74276000.0,-74276000.0,868008000.0,,,,,,,,,,,,,,,2463337000.0,2153964000.0,,,3174000.0,,,,,,-54629000.0,199781000.0,,,,105906000.0,,226470000.0,50967000.0,125080000.0,654927000.0,455751000.0,,,,,,,1710994000.0,4174331000.0,,,,,,4078237000.0,,,181451000.0,-1.73,-56853000.0,,-57803000.0,,,,,4078237000.0,,,,,,,,,,,,,-120050000.0,,213081000.0,69336926.0,,30522000.0,,744201000.0,18805000.0,-1.73,6232201000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530316800,,273886172.0,,4961409000.0,,,,868144000.0,,,,357602000.0,,,3624784000.0,926275000.0,,3970568000.0,,,946371000.0,,,,,,,,,,-106918000.0,-106918000.0,1026542000.0,,,,,,,,,,,,,,,5070357000.0,2149215000.0,,,2405000.0,,,,,,-67901000.0,248336000.0,,,,131898000.0,,345784000.0,50967000.0,98984000.0,775858000.0,355945000.0,,,,,,,2039967000.0,7110324000.0,,,,,,,,,225704000.0,-0.26,-69956000.0,,-70306000.0,,,,,0.0,,,,,,,,,,,,,-71364000.0,,250684000.0,273886172.0,,53202000.0,,819318000.0,19184000.0,-0.26,2149215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538265600,,278836754.0,,4910420000.0,,,,1089455000.0,,,,453649000.0,,,2408106000.0,836535000.0,,3020053000.0,,,1049537000.0,,,,,,,,,,-259020000.0,-259020000.0,1078836000.0,,,,,,,,,,,,,,,4682646000.0,2588983000.0,,,11363000.0,,,,,,-234725000.0,320718000.0,,,,146201000.0,,611947000.0,468807000.0,445254000.0,884207000.0,394001000.0,,,,,,,2955462000.0,7638108000.0,,,,,,,,,307448000.0,-0.88,-244939000.0,,-246088000.0,,,,,0.0,,,,,,,,,,,,,-244939000.0,,194629000.0,278836754.0,,73207000.0,,1003275000.0,2611000.0,-0.88,2588983000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
