,trailingChangeInAccountPayable,annualOtherCurrentAssets,trailingResearchAndDevelopment,trailingOperatingIncome,annualCostOfRevenue,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualAccountsPayable,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,trailingTotalRevenue,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentDebt,annualEndCashPosition,annualTaxProvision,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,quarterlyRetainedEarnings,trailingEndCashPosition,trailingTaxProvision,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,annualOperatingIncome,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualNetIncome,annualBasicEPS,annualOperatingExpense,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualPurchaseOfInvestment,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,annualPretaxIncome,trailingBeginningCashPosition,annualInterestExpense,annualInvestingCashFlow,quarterlySaleOfInvestment,quarterlyGrossPPE,trailingInterestExpense,annualAccumulatedDepreciation,trailingNetIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingPurchaseOfInvestment,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualGoodwill,annualChangeInCashSupplementalAsReported,annualDilutedEPS,trailingGrossProfit,annualCapitalExpenditure,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,trailingOperatingCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,trailingOtherIncomeExpense,annualDilutedAverageShares,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,annualGrossProfit,quarterlyNetPPE,annualCurrentLiabilities,quarterlyPretaxIncome,annualOtherIncomeExpense,trailingRepaymentOfDebt,annualNetPPE,quarterlyBeginningCashPosition,annualTotalNonCurrentAssets,annualEbitda,quarterlyCapitalStock,trailingDepreciationAndAmortization,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,trailingOtherNonCashItems,annualAccountsReceivable,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualBasicAverageShares,annualTotalAssets,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualOtherNonCashItems,trailingNetIncomeCommonStockholders,annualStockholdersEquity,quarterlyStockholdersEquity,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,annualSaleOfInvestment,annualDepreciationAndAmortization,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,annualCommonStockIssuance,quarterlyEndCashPosition,trailingSaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyNetIncome,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,annualChangeInInventory,trailingCashDividendsPaid,trailingDilutedAverageShares,annualCashDividendsPaid,trailingBasicEPS,trailingCommonStockIssuance,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyChangeInInventory,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,quarterlyCashDividendsPaid,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,,,,20505000.0,30045000.0,,,,,,-295000.0,,,34372000.0,91000.0,,,,,,,,,,,,,-51395000.0,13200000.0,,-49942000.0,,,,,,,,,,,,-34357000.0,,-49942000.0,-0.378759,56135000.0,,,,,-51001000.0,,,966000.0,,-49851000.0,,0.0,-14527000.0,,,,,,,,,,,,,,,,,,,,,,,,,,896000.0,,32045000.0,-0.378759,,-4229000.0,,0.0,25245000.0,,,,,-30128000.0,,131857000.0,,76704000.0,,,,,,4740000.0,,,,1100000.0,,,,,-46589000.0,,,,,,,,,,,,,,,,,2327000.0,,,,,131857000.0,,,26090000.0,,,,3483000.0,,,,,-49942000.0,,,40703000.0,3262000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,,,,39864000.0,39175000.0,,1145000.0,,,,274000.0,126904000.0,,30887000.0,97000.0,,,,4498000.0,,,,,,,,,-56061000.0,28320000.0,,-56215000.0,30887000.0,,,,,198244000.0,,,,,,-18997000.0,,-56215000.0,-0.426333,84252000.0,55541000.0,,3000.0,,-20862000.0,,,-14520000.0,,-56118000.0,,221000.0,12167000.0,,,,-9805000.0,,,,,,41863000.0,,,,22701000.0,,,,,,,,,,,,1702000.0,8488000.0,-3485000.0,-0.426333,,-3662000.0,,-952000.0,68055000.0,94000.0,,,,-15335000.0,,131857000.0,,-326000.0,35385000.0,,,,188000.0,28191000.0,,71340000.0,,76000.0,,12896000.0,,33330000.0,-50584000.0,,,,6991000.0,,,,,,,,,,,,21364000.0,34372000.0,,,,,131857000.0,100605000.0,,45077000.0,,276000.0,67275000.0,5545000.0,,-97639000.0,,,-56215000.0,,,36691000.0,5313000.0,,,,,,,,,,,3641000.0,-196701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320019200,,,,,,,15000.0,,21809000.0,,,,,,,,,,,,,,,2522000.0,-16920000.0,-0.150185,,1110000.0,,,-8174000.0,,,,-2497000.0,8749000.0,,,36450000.0,-19442000.0,131857000.0,,-19803000.0,,,,,,,,,,,,-5511000.0,,75640000.0,,,,,5005000.0,,,,,,,,,,131857000.0,16404000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-1197000.0,,,,46000.0,,,,,,-19685000.0,,,,22411000.0,,,,,,,-2663000.0,,81304000.0,,,477000.0,,0.0,,,,,,,,-19731000.0,,,,,,,,,,,,,17679000.0,,,0.0,,,,,-155000.0,18771000.0,-243000.0,,98051000.0,,-421000.0,-19731000.0,,,,38213000.0,-0.150185,,,,,,,,,,,,,,,,,,,,,,,,,
1327968000,,0.0,,,65368000.0,62014000.0,7114000.0,2730000.0,27632000.0,,,2195000.0,262961000.0,,57529000.0,167000.0,183172000.0,,145238000.0,53634000.0,-282122000.0,,,3069000.0,-20064000.0,,262961000.0,1427000.0,-78444000.0,45195000.0,-7899000.0,-79629000.0,57529000.0,0.0,-51358000.0,10429000.0,,408199000.0,43158000.0,-23091000.0,,232638000.0,-23843000.0,-18773000.0,49466000.0,-79629000.0,-0.606498,147503000.0,114734000.0,,3000.0,408199000.0,-64282000.0,,-6642000.0,-39025000.0,-40522000.0,-79462000.0,,976000.0,-56195000.0,4480000.0,44728000.0,,-18867000.0,,3000.0,2730000.0,,73363000.0,73363000.0,,18287000.0,,44728000.0,,,,0.0,,53634000.0,,,,0.0,0.0,4182000.0,8488000.0,27017000.0,-0.606498,,-4999000.0,,-4296000.0,134427000.0,101000.0,,57529000.0,111163000.0,-13774000.0,,131857000.0,-1348000.0,96978000.0,111163000.0,,51000.0,,90000.0,69059000.0,25861000.0,145238000.0,-23535000.0,-110000.0,,25861000.0,98051000.0,49466000.0,-69167000.0,101000.0,,,10051000.0,-1257000.0,,14255000.0,,,-21774000.0,90000.0,0.0,1871000.0,-18867000.0,,54467000.0,30512000.0,10051000.0,,-23586000.0,,131857000.0,232638000.0,0.0,85489000.0,,1871000.0,183172000.0,7159000.0,,-175561000.0,-175561000.0,20330000.0,-79971000.0,8488000.0,0.0,13086000.0,9319000.0,54467000.0,6808000.0,-48135000.0,22828000.0,464000.0,,57529000.0,,1804000.0,-23586000.0,6808000.0,-282122000.0,,45919000.0,,,114734000.0,,,,,,,,,,,,,,,,,,,,,,,
1335744000,,,,,,,3267000.0,,30899000.0,,,,,,,,,,,,,,,3534000.0,-16423000.0,-0.153621,,1445000.0,,,10511000.0,,,,-53867000.0,24517000.0,,,56818000.0,-19957000.0,131857000.0,,-20256000.0,,,,,,,,,,,,12708000.0,,-27988000.0,,,,,16421000.0,,,,,,,,,,131857000.0,20786000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1766000.0,,,,63000.0,,,,,,-19992000.0,,,,57529000.0,,,,,,,-2197000.0,,-1061000.0,,,-471000.0,,-1766000.0,,,,,,,,-20055000.0,,,,,,,,,,,,,25090000.0,,,0.0,,,,,-39643000.0,31728000.0,-35000.0,,29541000.0,,-434000.0,-20055000.0,,,,51685000.0,-0.153621,,,,,,,,,,,,,,,,,,,,,,,,,
1343692800,,,,,,,2349000.0,,37245000.0,,,,,,,,209897000.0,,195574000.0,,-329465000.0,,,3943000.0,-22748000.0,-0.168987,289271000.0,2283000.0,,,-1881000.0,,,,-32073000.0,20230000.0,,,62702000.0,-26360000.0,160290031.0,267155000.0,-27087000.0,,57258000.0,,,,,,,484845000.0,,,1924000.0,,7200000.0,,,,,36519000.0,54148000.0,,,,25000.0,3366000.0,,95869000.0,,160290031.0,23552000.0,,,,,,0.0,,85910000.0,,,,,,,,,,,,,,,,,36741000.0,122651000.0,,,,-1777000.0,,,,-116000.0,,,,29406000.0,,-26997000.0,,,,29541000.0,,,103000.0,,,,-3805000.0,,4648000.0,306000.0,,-13543000.0,44000.0,-1777000.0,3831000.0,-24742000.0,,,,14221000.0,,-26881000.0,,,,0.0,,,,,,,,-217690000.0,28265000.0,,8488000.0,0.0,,,68481000.0,14285000.0,641000.0,34437000.0,-394000.0,,36741000.0,,760000.0,-26881000.0,,,,60797000.0,-0.168987,,151602000.0,,,,,,,,,,,,,,,,,,,,,,,
1351641600,,,,,,,11261000.0,,55217000.0,,,,,,,,881654000.0,,214894000.0,,-370936000.0,,,4461000.0,-36407000.0,-0.67,119753000.0,6152000.0,,,-10159000.0,,,,-288659000.0,7328000.0,,,72618000.0,-40868000.0,61960000.0,950148000.0,-41471000.0,,68494000.0,,,,,,,334647000.0,,,-9358000.0,,406239000.0,,,,,19845000.0,69416000.0,,,,32000.0,3481000.0,,87742000.0,,61960000.0,28075000.0,,,,,,0.0,,354397000.0,684620000.0,,,,,,,,,,,,,,,,442980000.0,797377000.0,,,,-2369000.0,,,,78000.0,,,,39760000.0,,-41232000.0,,,,36741000.0,,,160000.0,,,,-801000.0,,685206000.0,,,7382000.0,8509000.0,-2369000.0,3165000.0,-29656000.0,,,,14578000.0,,-41310000.0,,,,0.0,,,,,,,,615501000.0,30194000.0,,,0.0,,,61099000.0,14925000.0,-269615000.0,42424000.0,-364000.0,,442980000.0,,-253000.0,-41310000.0,,,,83292000.0,-0.67,,164421000.0,,,,,,,,,,,,,,,,,,,,,,,
1359590400,,0.0,,,116535000.0,102665000.0,3047000.0,2665000.0,48959000.0,,,-65000.0,112023000.0,,84158000.0,124000.0,884302000.0,,254774000.0,706181000.0,-401880000.0,,,5784000.0,-24894000.0,-0.19,112023000.0,5448000.0,-117863000.0,74680000.0,-3155000.0,-119190000.0,84158000.0,0.0,-391198000.0,22605000.0,,366797000.0,81519000.0,-30678000.0,161916000.0,959080000.0,-30944000.0,-4684000.0,74778000.0,-119190000.0,-1.62,274985000.0,199340000.0,,68000.0,366797000.0,-765797000.0,,5940000.0,-12970000.0,-358822000.0,-119066000.0,,1363000.0,-670118000.0,38792000.0,79340000.0,,-34755000.0,,68000.0,2665000.0,,85920000.0,85920000.0,161916000.0,30252000.0,,79340000.0,,,,0.0,,706181000.0,0.0,,,0.0,0.0,15328000.0,8488000.0,26629000.0,-1.62,,-15898000.0,,-9453000.0,273657000.0,162000.0,,84158000.0,790339000.0,11214000.0,,74011000.0,-3541000.0,685537000.0,790339000.0,,99000.0,,938000.0,157122000.0,44585000.0,254774000.0,-30845000.0,-1203000.0,,44585000.0,442980000.0,74778000.0,-100141000.0,162000.0,,,13131000.0,-9095000.0,,-3256000.0,,,-6338000.0,938000.0,0.0,3130000.0,-34755000.0,,67437000.0,57529000.0,13131000.0,,-30944000.0,,74011000.0,959080000.0,0.0,172320000.0,,3130000.0,884302000.0,22674000.0,,592283000.0,592283000.0,32986000.0,-119758000.0,8488000.0,0.0,111577000.0,17722000.0,67437000.0,13558000.0,-361501000.0,48533000.0,-167000.0,684620000.0,84158000.0,,-138000.0,-30944000.0,13558000.0,-401880000.0,,79211000.0,-0.19,,199340000.0,,,,,,,,,,,,,,,,,,,,,,,
1367280000,,,,,,,2456000.0,,51288000.0,,,,,,,,893684000.0,,309132000.0,,-434895000.0,,,6569000.0,-26055000.0,-0.2,100338000.0,7416000.0,,,15415000.0,,,,-287841000.0,33884000.0,,,91645000.0,-32624000.0,168074000.0,981255000.0,-33015000.0,,87571000.0,,,,,,,409470000.0,,,17310000.0,,135106000.0,,,,,406708000.0,94623000.0,,,,65000.0,16408000.0,,76575000.0,,168074000.0,36282000.0,,,,,,0.0,,586503000.0,,,,,,,,,,,,,,,,,219264000.0,805767000.0,,,,-3753000.0,,,,135000.0,,,,54197000.0,,-32880000.0,,,,84158000.0,,,169000.0,,,,-1895000.0,,820000.0,,,7131000.0,8488000.0,8000.0,5794000.0,-40426000.0,,,,13600000.0,,-33015000.0,,,,0.0,,,,,,,,571785000.0,36699000.0,,,90000.0,,,60345000.0,13915000.0,117062000.0,54946000.0,-256000.0,,219264000.0,,2421000.0,-33015000.0,,,,87570000.0,-0.2,,224363000.0,,,,,,,,,,,,,,,,,,,,,,,
