date,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualCommonStockIssuance,annualFreeCashFlow,annualOtherShortTermInvestments,quarterlyCurrentAssets,annualAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualTotalLiabilitiesNetMinorityInterest,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualEndCashPosition,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualOtherCurrentAssets,trailingTotalRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualCashAndCashEquivalents,trailingEndCashPosition,quarterlyTotalRevenue,annualNetOtherInvestingChanges,trailingTaxProvision,quarterlyPurchaseOfInvestment,trailingPretaxIncome,annualCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualPretaxIncome,annualNetIncomeContinuousOperations,trailingOperatingIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyFreeCashFlow,annualNetIncome,quarterlyNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,annualRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,trailingNetIncomeCommonStockholders,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyLongTermDebt,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyChangeInInventory,quarterlyInventory,quarterlyGrossProfit,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,annualOtherIncomeExpense,quarterlyPurchaseOfBusiness,trailingGrossProfit,quarterlyOtherIntangibleAssets,annualNetPPE,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,trailingRepaymentOfDebt,quarterlyTaxProvision,annualBasicAverageShares,quarterlyChangesInAccountReceivables,annualChangeInInventory,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyIncomeTaxPayable,annualOperatingExpense,trailingInvestingCashFlow,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,trailingDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualInvestingCashFlow,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInterestExpense,annualPurchaseOfInvestment,annualDilutedEPS,annualDilutedAverageShares,trailingChangesInAccountReceivables,annualRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,trailingChangeInWorkingCapital,trailingChangeInInventory,annualResearchAndDevelopment,quarterlyResearchAndDevelopment,annualSaleOfInvestment,trailingBasicAverageShares,trailingSaleOfInvestment,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualInvestmentsAndAdvances
1979-12-31,,2333000000.0,,,,0.0,,,,,,355500000.0,62600000.0,,,1751000000.0,,,0.0,,,9200000.0,6501000000.0,143600000.0,,,2093000000.0,25800000.0,2058000000.0,,,602000000.0,,2870000000.0,,,,63600000.0,152000000.0,76900000.0,3063000000.0,,,415700000.0,,76900000.0,,60400000.0,305600000.0,,387600000.0,,,,360800000.0,,20100000.0,,,345000000.0,,,292900000.0,,,,,2093000000.0,743100000.0,75100000.0,,,76800000.0,,,7000000.0,,,-1696000000.0,,,,2435000000.0,,,,382300000.0,,464200000.0,,14800000.0,,4750000000.0,,119900000.0,0.0,25800000.0,202000000.0,,,,158600000.0,,,,0.0,,393846154.0,,,192900000.0,-184000000.0,208000000.0,,,-2393000000.0,,82000000.0,,,,0.195,,,,18900000.0,-52000000.0,0.0,,1479000000.0,,,320600000.0,-187000000.0,,23600000.0,-73000000.0,75000000.0,,,,,0.0,,2268000000.0,2203000000.0,-163000000.0,,,,,-545000000.0,,,,,-102000000.0,,,1687000000.0,,,,,,74000000.0,,,128400000.0,,229300000.0,-200000000.0,5800000.0,,0.195,393846154.0,-276000000.0,,879900000.0,,-330000000.0,,,,,,,,,,,,,,,,
1980-12-31,,,,,,0.0,,,,,,359200000.0,62200000.0,,,,,,0.0,,,12000000.0,,167700000.0,,,,28900000.0,,,,,,,,,,21800000.0,170600000.0,86400000.0,,,,467900000.0,,86400000.0,,71000000.0,343700000.0,,434700000.0,,,,403700000.0,,17500000.0,,,391100000.0,,,297000000.0,,,,,,793900000.0,84200000.0,,,86300000.0,,,,,,,,,,,,,,390200000.0,,532200000.0,,11200000.0,,,,122900000.0,0.0,28900000.0,196300000.0,,,,188500000.0,,,,,,392272727.0,,,205000000.0,,,,,,,,,,,0.22,,,,17600000.0,,0.0,,,,,364500000.0,,,27100000.0,-82100000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,138600000.0,,275200000.0,,8500000.0,,0.22,392272727.0,,,1000100000.0,,,,,,,,,,,,,,,,,,
1981-12-31,,,,,,0.0,,,,,,391400000.0,65300000.0,,,,,,0.0,,,16500000.0,,179200000.0,,,,65400000.0,,,,,,,,,,4200000.0,191500000.0,98100000.0,,,,517600000.0,,98100000.0,,75800000.0,390800000.0,,488000000.0,,,,470200000.0,,14500000.0,,,439700000.0,,,326100000.0,,,,,,879400000.0,93400000.0,,,98100000.0,,,,,,,,,,,,,,409200000.0,,592500000.0,,17000000.0,,,,143300000.0,0.0,65400000.0,190100000.0,,,,201700000.0,,,,,,392400000.0,,,237700000.0,,,,,,,,,,,0.25,,,,17900000.0,,0.0,,,,,413300000.0,,,32900000.0,-94400000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,138500000.0,,321900000.0,,4600000.0,,0.25,392400000.0,,,1110100000.0,,,,,,,,,,,,,,,,,,
1982-12-31,,,,,,0.0,,,,,,407300000.0,73200000.0,,,,,,0.0,,,20200000.0,,197700000.0,,,,76600000.0,,,,,,,,,,1200000.0,214900000.0,110000000.0,,,,556200000.0,,110000000.0,,83900000.0,414900000.0,,538100000.0,,,,506100000.0,,11300000.0,,,499600000.0,,,334100000.0,,,,,,945400000.0,104900000.0,,,110000000.0,,,,,,,,,,,,,,439300000.0,,637400000.0,,19100000.0,,,,162400000.0,0.0,76600000.0,193000000.0,,,,222500000.0,,,,,,400000000.0,,,269700000.0,,,,,,,,,,,0.275,,,,25600000.0,,0.0,,,,,439700000.0,,,36300000.0,-107300000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,147900000.0,,332900000.0,,1900000.0,,0.275,400000000.0,,,1193600000.0,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,0.0,,,,,,436500000.0,75000000.0,,,,,,0.0,,,21700000.0,,227500000.0,,,,126800000.0,,,,,,,,,,6900000.0,247000000.0,126500000.0,,,,592300000.0,,126500000.0,,94400000.0,447700000.0,,616400000.0,,,,591700000.0,,3500000.0,,,546400000.0,,,361500000.0,,,,,,1052900000.0,120500000.0,,,126500000.0,,,,,,,,,,,,,,461200000.0,,702900000.0,,21500000.0,,,,178700000.0,0.0,126800000.0,188100000.0,,,,255200000.0,,,,,,401587302.0,,,289800000.0,,,,,,,,,,,0.315,,,,29400000.0,,0.0,,,,,475400000.0,,,42100000.0,-111100000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,150900000.0,,354600000.0,,2000000.0,,0.315,401587302.0,,,1295200000.0,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,401280000.0,,,,,,,,,,,,300200000.0,,,,,,,,,,,,,,,,,,,,26700000.0,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401280000.0,,,,,,,,,,,,,,,,,,,,,,,,300200000.0,,,,,,0.07,,,,,,,,300200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,401512000.0,,,,,,,,,,,,328900000.0,,,,,,,,,,,,,,,,,,,,32400000.0,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401512000.0,,,,,,,,,,,,,,,,,,,,,,,,328900000.0,,,,,,0.08,,,,,,,,328900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,401840000.0,,,,,,,,,,,,370900000.0,,,,,,,,,,,,,,,,,,,,44500000.0,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401840000.0,,,,,,,,,,,,,,,,,,,,,,,,370900000.0,,,,,,0.11,,,,,,,,370900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,393900000.0,,,,,0.0,,621700000.0,,,,478900000.0,85000000.0,,,,85000000.0,,0.0,,,24400000.0,,255800000.0,628200000.0,555000000.0,,108000000.0,,401800000.0,,,,,,,478900000.0,2100000.0,281600000.0,144200000.0,,1176700000.0,,629500000.0,,144200000.0,,97300000.0,481700000.0,40600000.0,697800000.0,,29300000.0,,621700000.0,24400000.0,2300000.0,,,628200000.0,,,393900000.0,,,,,,1176700000.0,137400000.0,,697800000.0,144200000.0,,2300000.0,,53400000.0,,,,,,,,162600000.0,,555000000.0,,772300000.0,,25800000.0,,,250100000.0,207600000.0,0.0,108000000.0,250100000.0,,,,290600000.0,108000000.0,108000000.0,207600000.0,,,400555556.0,,,345500000.0,,,,2100000.0,,,,,-137900000.0,,0.36,97300000.0,,,29300000.0,,0.0,345500000.0,,,,516500000.0,,,53400000.0,-137900000.0,,,,,,0.0,,,,,-744200000.0,,,391800000.0,,,,,,,,,,,-744200000.0,,,,,,,162600000.0,,391800000.0,,,,0.36,400555556.0,,,1401800000.0,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,402616000.0,,,,,,,,,,,,323700000.0,,,,,,,,,,,,,,,,,,,,28600000.0,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402616000.0,,,,,,,,,,,,,,,,,,,,,,,,323700000.0,,,,,,0.075,,,,,,,,323700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
