,trailingNetIncomeCommonStockholders,annualGrossPPE,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyChangeInInventory,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,trailingGrossProfit,trailingCapitalExpenditure,trailingDeferredIncomeTax,quarterlySaleOfInvestment,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,trailingRepaymentOfDebt,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,trailingChangeInInventory,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyEbitda,quarterlyDilutedEPS,annualNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyOperatingIncome,trailingStockBasedCompensation,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,quarterlyDilutedAverageShares,annualBasicEPS,trailingOtherNonCashItems,annualCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyOtherNonCashItems,annualTotalRevenue,annualCapitalStock,trailingOperatingExpense,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyGrossPPE,annualChangesInAccountReceivables,quarterlyPretaxIncome,trailingCostOfRevenue,annualInterestExpense,trailingFreeCashFlow,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,trailingChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualAccumulatedDepreciation,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualGrossProfit,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncome,annualGoodwill,annualTotalAssets,trailingPretaxIncome,quarterlyTotalAssets,annualTotalLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,annualNetIncome,quarterlyLongTermDebt,annualRetainedEarnings,annualAccountsReceivable,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,annualPurchaseOfInvestment,trailingOperatingIncome,trailingInvestingCashFlow,annualCostOfRevenue,annualAccountsPayable,annualOperatingIncome,annualBasicAverageShares,trailingTotalRevenue,annualInvestingCashFlow,quarterlyNetIncome,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,annualFreeCashFlow,annualEndCashPosition,annualPretaxIncome,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualTaxProvision,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyInventory,quarterlyNetOtherFinancingCharges,annualCurrentAccruedExpenses,trailingOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyOperatingExpense,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualCommonStockIssuance,annualSaleOfInvestment,quarterlyBasicEPS,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,quarterlyBasicAverageShares,annualCurrentAssets,annualCurrentLiabilities,annualNetPPE,trailingNetOtherInvestingChanges,annualEbitda,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualSellingGeneralAndAdministration,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,trailingBasicEPS
725760000,,,-361000000.0,,,,,,,,-494000000.0,12000000.0,344000000.0,,,,,,,,,,,,,,,42000000.0,,,,,,,,,-19000000.0,,,,0.0,,,,225000000.0,-575000000.0,,,-0.92,,,,,-498000000.0,649000000.0,0.0,,16030000000.0,,,,-13000000.0,,212000000.0,,,177000000.0,,,,,,,,,,,,,,,,,,,1139000000.0,,,,,-52000000.0,,-88000000.0,,,,,,,,,,,,,-361000000.0,,,,,,-0.92,-200000000.0,,,14891000000.0,,1139000000.0,392200000.0,,-591000000.0,,,,-204000000.0,680000000.0,356000000.0,1004000000.0,,,,,,,649000000.0,,,,594000000.0,,,,,,,,355000000.0,,,,,,,,,,,,,,,1178000000.0,,,,,,392200000.0,,,44000000.0,214000000.0,,-266000000.0,,,,,,,1775000000.0,,,,,,,,,,,,,,,,
757296000,,8396000000.0,829000000.0,,971000000.0,1537000000.0,,,,,-750000000.0,10000000.0,356000000.0,,,,,,,,,,,,,10147000000.0,,44000000.0,,,,,,,,,-2420000000.0,,,,0.0,,,,63000000.0,1359000000.0,346000000.0,,1.995,,1102000000.0,,,-536000000.0,829000000.0,0.0,,22397000000.0,1198000000.0,,,165000000.0,,80000000.0,,,278000000.0,,,,,,,,,,,,-4753000000.0,2614000000.0,,,,,,1540000000.0,,,,,-471000000.0,,148000000.0,,,,,,,2697000000.0,17108000000.0,,,11907000000.0,,829000000.0,,3721000000.0,3277000000.0,,,1.875,,,,20857000000.0,1245000000.0,1540000000.0,393200000.0,,-2808000000.0,,4026000000.0,,-260000000.0,923000000.0,366000000.0,1306000000.0,,,204000000.0,,,,829000000.0,378000000.0,,366000000.0,936000000.0,,,5201000000.0,,,,,477000000.0,,,,,,,,757000000.0,,,,,,,1459000000.0,6716000000.0,,,2127000000.0,366000000.0,442200000.0,,,88000000.0,,,0.0,1397000000.0,,6961000000.0,5191000000.0,3643000000.0,,2520000000.0,,,,,,,,,,,,,,,,
765072000,,,,,,,,189000000.0,,,,,,,,,,,,,,,,,,,366000000.0,,,,,,-111000000.0,5036000000.0,,,,,5262000000.0,0.63,,,5036000000.0,,,,,431746032.0,,,,-193000000.0,,,,,272000000.0,,,,300000000.0,,,,,,,,,,-5000000.0,,,,,,,-80000000.0,,,,,,,,,,180000000.0,,9000000.0,,,,,,,,,,,,,,,,,,,,189000000.0,,,,,,,,,,,,272000000.0,,272000000.0,,,,,,226000000.0,,,,,,,,,,,,,73000000.0,546000000.0,272000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,-66000000.0,,,0.63,,,431746032.0,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,,,50000000.0,,,,,,,,,,,,,,,,,,,546000000.0,,,,,,-117000000.0,5562000000.0,,,,,5828000000.0,0.6,,,5562000000.0,,,,,431666667.0,,,,-95000000.0,,,,,209000000.0,,,,184000000.0,,,,,,,,,,-158000000.0,,,,,,,-291000000.0,,,,,,,,,,-136000000.0,,2000000.0,,,,,,,,,,,,,,,,,,,,67000000.0,,,,,,,,,,,,259000000.0,,259000000.0,,,,,,266000000.0,,,,,,,,,,,,,-225000000.0,410000000.0,259000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,-76000000.0,,,0.6,,,431666667.0,,,,,,,,,,,,,,,,,,,,,
780883200,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,410000000.0,,,,,,-111000000.0,5704000000.0,,,,,5888000000.0,0.58,,,5704000000.0,,,,,437931034.0,,,,-69000000.0,,,,,136000000.0,,,,793000000.0,,,,,,,,,,3000000.0,,,,,,,355000000.0,,,,,,,,,,616000000.0,,,,,,,,,,,,,,,,,,,,,,682000000.0,,,,,,,,,,,,254000000.0,,254000000.0,,,,,,184000000.0,,,,,,,,,,,,,-108000000.0,1026000000.0,254000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,-74000000.0,,,0.58,,,437931034.0,,,,,,,,,,,,,,,,,,,,,
788832000,,8176000000.0,1018000000.0,6086000000.0,978000000.0,1622000000.0,,-107000000.0,,,-519000000.0,273000000.0,366000000.0,,,,,,,1971000000.0,,,1306000000.0,,275000000.0,9906000000.0,1026000000.0,200000000.0,,1199000000.0,639000000.0,639000000.0,-170000000.0,6604000000.0,,,-125000000.0,,-14062000000.0,,0.0,,-14523000000.0,,-221000000.0,-718000000.0,285000000.0,,2.56,,1544000000.0,-361000000.0,-4721000000.0,-509000000.0,1055000000.0,0.0,388000000.0,22906000000.0,1199000000.0,,216000000.0,73000000.0,8176000000.0,-169000000.0,,,304000000.0,,,111000000.0,35000000.0,,,8143000000.0,5635000000.0,,,-388000000.0,-4721000000.0,3159000000.0,,3455000000.0,4470000000.0,,,1779000000.0,,-387000000.0,1622000000.0,,-404000000.0,,132000000.0,2831000000.0,3473000000.0,9906000000.0,767000000.0,,,2831000000.0,18049000000.0,,18049000000.0,11963000000.0,,1018000000.0,3594000000.0,4470000000.0,3473000000.0,46000000.0,,2.33,0.0,,,21127000000.0,1306000000.0,1779000000.0,374000000.0,,-502000000.0,233000000.0,3594000000.0,270000000.0,-274000000.0,984000000.0,639000000.0,1675000000.0,,261000000.0,111000000.0,,6328000000.0,978000000.0,1005000000.0,275000000.0,285000000.0,639000000.0,937000000.0,,,6086000000.0,-242000000.0,639000000.0,233000000.0,,620000000.0,,,,,,3159000000.0,0.0,767000000.0,,1649000000.0,11963000000.0,,,1544000000.0,1493000000.0,6328000000.0,,,1971000000.0,639000000.0,436600000.0,,-58000000.0,32000000.0,0.0,,0.0,1649000000.0,,8143000000.0,5635000000.0,3455000000.0,,2916000000.0,,,,,,,,,,,,,,,,
796608000,,,,6178000000.0,,,,0.0,,,,,,,,,,,,2000000000.0,,,1001000000.0,,395000000.0,,639000000.0,,,1200000000.0,513000000.0,513000000.0,-127000000.0,5644000000.0,,,,,534000000.0,0.31,,,455000000.0,,,,,441000000.0,,,,-44000000.0,,,,,126000000.0,,,,186000000.0,,,,233000000.0,,,,,306000000.0,-141000000.0,,,8022000000.0,5576000000.0,,,-327000000.0,,,96000000.0,3482000000.0,4537000000.0,,,,,-126000000.0,1628000000.0,19000000.0,,,,2827000000.0,3529000000.0,9936000000.0,872000000.0,5189000000.0,,,,,17958000000.0,,,,3596000000.0,,,59000000.0,,,,,,,,,,,,137000000.0,,137000000.0,,,,,,222000000.0,,,6204000000.0,837000000.0,,,281000000.0,,,79000000.0,,,-268000000.0,513000000.0,122000000.0,,,,,,-143000000.0,455000000.0,2975000000.0,0.0,,,1627000000.0,11780000000.0,,,1488000000.0,,,,0.0,,,,,-70000000.0,,,0.325,,,377000000.0,,,,,,,,,,,,,,,,,,,,,
804470400,,,,6059000000.0,,,,0.0,,,,,,,,,,,,1897000000.0,,,1042000000.0,,349000000.0,,513000000.0,,,1200000000.0,247000000.0,247000000.0,-142000000.0,5606000000.0,,,,,230000000.0,-0.18,,,470000000.0,,,,,444800000.0,,,,-190000000.0,,,,,-134000000.0,,,,73000000.0,,,,-86000000.0,,,,,77000000.0,-7000000.0,,,7861000000.0,6003000000.0,,,-561000000.0,,,-33000000.0,3459000000.0,4399000000.0,,,,,-266000000.0,1833000000.0,7000000.0,,,,2813000000.0,3583000000.0,10414000000.0,822000000.0,5136000000.0,,,,,18275000000.0,,,,2894000000.0,,,-69000000.0,,,,,,,,,,,,-53000000.0,,-53000000.0,,,,,,243000000.0,,,6213000000.0,1557000000.0,,,892000000.0,,,73000000.0,,,-149000000.0,247000000.0,-68000000.0,,,,,,-483000000.0,470000000.0,3099000000.0,0.0,,,2245000000.0,12216000000.0,,,1337000000.0,,,,0.0,,,,,-85000000.0,,,-0.18,,,378600000.0,,,,,,,,,,,,,,,,,,,,,
812419200,,,,6255000000.0,,,,0.0,,,,,,,,,,,,1861000000.0,,,1023000000.0,,306000000.0,,247000000.0,,,1199000000.0,122000000.0,122000000.0,-125000000.0,5551000000.0,,,,,734000000.0,0.645,,,510000000.0,,,,,446200000.0,,,,-297000000.0,,,,,244000000.0,,,,360000000.0,,,,464000000.0,,,,,286000000.0,-63000000.0,,,8013000000.0,5969000000.0,,,-84000000.0,,,177000000.0,3431000000.0,4608000000.0,,,,,-125000000.0,1747000000.0,,,,,2794000000.0,3820000000.0,10353000000.0,818000000.0,5041000000.0,,,,,18366000000.0,,,,2892000000.0,,,235000000.0,,,,,,,,,,,,287000000.0,,287000000.0,,,,,,200000000.0,,,6142000000.0,1480000000.0,,,715000000.0,,,70000000.0,,,-188000000.0,122000000.0,272000000.0,,,,,,24000000.0,510000000.0,3183000000.0,0.0,,,2267000000.0,12111000000.0,,,1380000000.0,,,,,,,,,-73000000.0,,,0.715,,,380000000.0,,,,,,,,,,,,,,,,,,,,,
820368000,,8185000000.0,682000000.0,6433000000.0,1136000000.0,1353000000.0,,126000000.0,,,-301000000.0,14000000.0,639000000.0,,,,,,,1808000000.0,,,787000000.0,,264000000.0,9471000000.0,122000000.0,-595000000.0,,1199000000.0,653000000.0,653000000.0,-137000000.0,6052000000.0,,,-294000000.0,,800000000.0,,0.0,,538000000.0,,430000000.0,-579000000.0,722000000.0,,1.64,,1570000000.0,-48000000.0,-5020000000.0,-531000000.0,682000000.0,0.0,928000000.0,22853000000.0,1199000000.0,,673000000.0,-116000000.0,8185000000.0,-394000000.0,478000000.0,,288000000.0,,,292000000.0,-83000000.0,,,8177000000.0,5291000000.0,,,295000000.0,-5020000000.0,2804000000.0,167000000.0,3165000000.0,4838000000.0,,,1972000000.0,,531000000.0,1353000000.0,,-677000000.0,,126000000.0,2817000000.0,3876000000.0,9471000000.0,567000000.0,5514000000.0,,2817000000.0,17648000000.0,,17648000000.0,11215000000.0,,682000000.0,3010000000.0,4838000000.0,3876000000.0,536000000.0,,1.525,,,,20881000000.0,787000000.0,1972000000.0,378600000.0,,-699000000.0,311000000.0,3010000000.0,311000000.0,-314000000.0,761000000.0,653000000.0,1089000000.0,,256000000.0,292000000.0,,5924000000.0,1136000000.0,1164000000.0,264000000.0,722000000.0,653000000.0,921000000.0,66000000.0,,6433000000.0,-94000000.0,653000000.0,356000000.0,,407000000.0,,,,6000000.0,538000000.0,2804000000.0,0.0,567000000.0,,1681000000.0,11215000000.0,,,1570000000.0,1292000000.0,5924000000.0,,0.0,1808000000.0,653000000.0,446400000.0,,-86000000.0,61000000.0,,,-150000000.0,1681000000.0,,8177000000.0,5291000000.0,3165000000.0,,2298000000.0,,,,,,,,,,,,,,,,
