,quarterlyInvestingCashFlow,trailingTaxProvision,annualNetOtherFinancingCharges,annualTaxProvision,trailingEndCashPosition,trailingTotalRevenue,quarterlyEndCashPosition,trailingCostOfRevenue,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyOtherNonCashItems,trailingOperatingIncome,annualOtherCurrentAssets,annualResearchAndDevelopment,trailingNetIncomeContinuousOperations,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyBasicEPS,quarterlyBasicAverageShares,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyRetainedEarnings,annualOperatingExpense,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingOperatingExpense,quarterlyChangeInWorkingCapital,annualFreeCashFlow,quarterlyNonCurrentDeferredRevenue,annualCostOfRevenue,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,annualBeginningCashPosition,quarterlyFreeCashFlow,quarterlyTotalRevenue,trailingSellingGeneralAndAdministration,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualTotalAssets,quarterlyOtherCurrentAssets,annualNetIncome,trailingPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyCostOfRevenue,annualLongTermDebt,annualCashDividendsPaid,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualEbitda,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyGrossProfit,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherShortTermInvestments,trailingSaleOfInvestment,annualOtherIntangibleAssets,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyCashDividendsPaid,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingNetIncomeCommonStockholders,annualAccountsReceivable,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyTaxProvision,annualInventory,quarterlyNetPPE,quarterlyInventory,annualChangeInInventory,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,annualDilutedAverageShares,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCashItems,annualOperatingCashFlow,quarterlyCommonStockIssuance,annualTotalNonCurrentAssets,annualCurrentLiabilities,annualOtherIncomeExpense,annualNetPPE,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,annualBasicAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,trailingPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,annualDilutedEPS,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyTotalAssets,annualGoodwill,trailingNetIncome,trailingInterestExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingPurchaseOfInvestment,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualInterestExpense,trailingBeginningCashPosition,quarterlyTotalNonCurrentAssets,trailingCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,annualChangeInWorkingCapital,annualGrossPPE,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualAccumulatedDepreciation,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualOperatingIncome,quarterlyAccountsPayable,annualCapitalStock,annualPurchaseOfInvestment,trailingResearchAndDevelopment,annualTotalRevenue,annualInvestingCashFlow,trailingGrossProfit,annualRepaymentOfDebt,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualBasicEPS,annualCapitalExpenditure,trailingRepurchaseOfCapitalStock,trailingNetOtherInvestingChanges,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,trailingOperatingCashFlow,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,-24430000.0,117413000.0,,,,,620970000.0,,75630000.0,,,274558000.0,,,,,,,694948000.0,,,,,216001000.0,,,,,,,,,,585245000.0,,1861652000.0,403706000.0,,102803000.0,,,,-31446000.0,620970000.0,1984134000.0,,294367000.0,,,,,,,-6772000.0,1537384000.0,294367000.0,48813000.0,560841000.0,,199854000.0,,3332000.0,,826000.0,,,,,,485278000.0,,,41550000.0,36670000.0,,,,,,,,,,390087000.0,,,-88566000.0,,,,5134308140.0,,,605450000.0,642120000.0,,446750000.0,1227472000.0,,341027000.0,740172000.0,9052000.0,621796000.0,,,5134308140.0,,,,,262332000.0,-7861000.0,,,0.057333,,,,,,0.0,,,,,,521119000.0,,,,,,,,,,,,,,,,,,524171000.0,,,-15000000.0,,2601824000.0,-92751000.0,,-133470000.0,,80606000.0,,0.057333,-56875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,1678202000.0,187608000.0,,,,,2515369000.0,,1000000.0,,,598700000.0,,,,,,,663482000.0,,,,,325943000.0,,,,,,,,,,547474000.0,,2495518000.0,685031000.0,,620970000.0,,,,-277120000.0,2515369000.0,4631123000.0,,523398000.0,,,,,,,-47680000.0,3774148000.0,523398000.0,358575000.0,927483000.0,,304918000.0,,9311000.0,,855000.0,,,,,,2739539000.0,,,56306000.0,57238000.0,,,,,,,,,,517090000.0,,,-114472000.0,,,,5199317881.0,,,613095000.0,670333000.0,,856975000.0,1523561000.0,,441344000.0,1196188000.0,5253000.0,2516224000.0,,,5199317881.0,,,,,362770000.0,-3402000.0,,,0.100667,,,,,,2434000.0,,,,,,872639000.0,,,,,,,,,,,,,,,,,,870245000.0,,,-17160000.0,,3691706000.0,-406456000.0,,-83300000.0,,303791000.0,,0.100667,-122859000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,12984000.0,69160000.0,,,,,2196877000.0,,0.0,,,168464000.0,,,,,,,617033000.0,,,,,369564000.0,,,,,,,,,,-241025000.0,,2296668000.0,483809000.0,,2515369000.0,,,,0.0,2028413000.0,4813891000.0,,402917000.0,,,,,,,-18755000.0,3294394000.0,402917000.0,0.0,622647000.0,,298063000.0,,8000.0,20769000.0,509000.0,,,,,,3142568000.0,,,49826000.0,69632000.0,,,,,,410825000.0,,,,405772000.0,,,111318000.0,,,,7081500000.0,,,-11846000.0,403179000.0,,1519497000.0,1318800000.0,,1460001000.0,887946000.0,1109000.0,2028922000.0,,,7081500000.0,,,,,351414000.0,-23700000.0,,,0.057333,,,,,,-13402000.0,,,,,,552969000.0,,46000.0,,,,,,,,,-17778000.0,1698399000.0,,,-238398000.0,,,553588000.0,,472100000.0,0.0,,3184614000.0,-656010000.0,,-1000000.0,,0.0,,0.057333,-644204000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,0.0,69658749.0,,,,,2556675045.0,,251180000.0,,,9522610.0,,,,,,,1118370276.0,,57458758.0,,,510027996.0,,,,1907162020.0,,,,,,390250505.0,,2791013395.0,506124669.0,,2196877091.0,,,,58432635.0,2556675045.0,5757712036.0,,455222633.0,,,,,,,-33858638.0,4115873433.0,455222633.0,0.0,599390984.0,,452104121.0,,,,394453.0,,202757638.0,,,,3504721054.0,,,54980613.0,110134000.0,,,,,,717136985.0,,,,691836894.0,,,-286065000.0,,,,7037345745.0,,,654150000.0,764284000.0,,1641838603.0,1849703262.0,,1379278842.0,1069028976.0,0.0,2557069498.0,,,2845141456.0,,,,,57458758.0,-250000.0,,,0.16,,,,,,2163713.0,,,,,,575783418.0,57459000.0,23607566.0,,,,,,,,,,1379278842.0,,,,,,559000980.0,,944200000.0,,,3860042371.0,-345007851.0,,0.0,,44988648.0,359797954.0,0.16,-405983762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,,1881744.0,9799116.0,,,,,2429186998.0,,240465000.0,,,5677537.0,,,,,,,1135119115.0,,55511004.0,,,686827847.0,,,,1990372144.0,,,,,,45815716.0,,3663142095.0,743975069.0,,2556675045.0,,,,0.0,2429186998.0,6450416856.0,,713962297.0,,,,,,,-152307634.0,4186464363.0,713962297.0,0.0,786705829.0,,563146865.0,,7750.0,1881744.0,862528.0,,259824679.0,,,,4113265287.0,,,31084901.0,141273000.0,,,,,,1167697049.0,,,,651709243.0,,,-11255000.0,,,,7123418919.0,,,832167000.0,973440000.0,,2263952493.0,1934861140.0,,1893321977.0,1373084356.0,,2430049526.0,,,2818272225.0,,,,,55511004.0,-150000.0,,,0.253333,,,,,,2163713.0,,,,,,753774185.0,55511000.0,32931644.0,,,,,,,,,,1893321977.0,,,,,,686256509.0,,944200000.0,-4491810.0,,5036226451.0,-958533765.0,,,,47197292.0,-127488047.0,0.253333,-966043696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,1543710165.0,36837929.0,,,,,3312062847.0,,457395000.0,,,226486709.0,,,,,,,2169775776.0,,69892250.0,,,1109264554.0,,,,3227346853.0,,,,,,-198530352.0,,5767588056.0,1015379022.0,,2429186998.0,,,,16729000.0,3312062847.0,10085138702.0,,945465349.0,,,,,,,-153719916.0,5795983197.0,945465349.0,0.0,1052775418.0,,790199801.0,,9281853.0,1543710165.0,190000000.0,,290432353.0,,,,6442041490.0,,,152210482.0,168404000.0,,,,,,1772107397.0,,,,957633378.0,,,-369020000.0,,,,7726244505.0,,,1118452000.0,1286856000.0,,4289155505.0,3157454603.0,,3764251042.0,2129208308.0,,3312062847.0,,,3083039182.0,,,,,69892250.0,0.0,,,0.306667,,,,,,2163713.0,,,,,,1052216951.0,69892000.0,558467.0,,,,,,,,,,3764251042.0,,,,,,1019943754.0,,1095272000.0,-310467417.0,,7896796364.0,-1764555857.0,,,,60386306.0,882875849.0,0.306667,-1485386695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,-219540409.92,33478389.34,,,,,1766460381.56,,1322463201.53,,,111015384.26,,,,,,,2731576644.15,,67062173.0,,,1238650998.66,,,,3679442898.04,,,,,,-944274577.53,,6683553705.98,552141386.29,,3205599076.97,,,,-255980700.0,2092464560.77,10696883364.22,,514124320.62,,,,,,,-219189974.16,4963949209.47,514124320.62,0.0,872825677.0,,1021312144.68,,383280931.42,0.0,575941000.0,,867819359.12,,,,6734401014.36,,,251936216.79,237865817.79,,,,,,2076902814.26,,,,876391028.02,,,-30033299.0,,,,8214540000.0,,,24829896.0,826121759.58,,5732934154.75,3612380725.04,,4592795127.22,1741086718.13,,2092464560.77,,,8117752431.0,,,,,67062173.0,-120000000.0,,,0.063333,,,,,,2163713.0,,,,,,585619775.63,67062000.0,49340083.58,,,,,,,,,21917148.15,4592795127.22,,,-861341000.0,,,502435719.47,,1095272000.0,-134620000.0,,8424640424.11,-1772312170.91,,-3593767.0,,68532433.26,-1439138695.41,0.063333,-1770396337.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,,154253745.43,-139618900.88,,,,,2420034966.53,,75596267.0,,,156706125.29,,,,,,,4272700081.95,,654490638.4,,,1757372238.33,8270675000.0,7225236000.0,,7131498932.75,,6570746000.0,5374690000.0,,,87514792.73,654490000.0,10225785025.6,1052685611.73,,1766460381.56,,,,-1307999443.11,2591785400.31,14969658894.95,0.0,1003358112.58,,,147827000.0,,,,-164290801.93,8176936456.96,1003358112.58,0.0,1336352464.91,0.0,1331769464.6,,1900501634.08,,620452000.0,,994226942.47,,,,7592662935.97,654490000.0,,147826636.14,399707217.56,2164000.0,,,,,2768028051.82,,7592664000.0,,1589925300.14,4205777000.0,1589925000.0,-538800207.71,,75596000.0,2121333000.0,8214540000.0,,2741785000.0,7997882.82,1303689044.45,,6792722437.99,6477008294.35,,5267964862.35,2588815812.07,,2591785400.31,,,8135336048.0,,,,,654490638.4,-37497000.0,,-1168913000.0,0.123333,,1085234000.0,,,15063397000.0,2163713.0,,,,,,913066710.85,654490000.0,23578536.5,,6792722000.0,,620452000.0,0.0,,,1095272000.0,89688788.69,5267964862.35,,,-1168913000.0,,,831443573.74,3095398000.0,1095272000.0,-57497000.0,,12814600837.67,-676810914.16,,0.0,,167327007.16,653574584.97,0.123333,-1216174251.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,,,,,,,,,,,,,,,,,,,,,,,,10230308000.0,8936541000.0,,,,8294811000.0,5997871000.0,,,,641730000.0,,,,,,,,,,,0.0,,,,270460000.0,,,,,,,,,0.0,,,,,,,,,,,,641730000.0,,,,2164000.0,,,,,,,8185918000.0,,,4594972000.0,2630929000.0,,,69797000.0,1995308000.0,,,2548973000.0,,,,,,,,,,,,,,,,,,,,,-1402899000.0,,,1154169000.0,,,17436206000.0,,,,,,,,,,,7205898000.0,,553665000.0,0.0,,,1095272000.0,,,,,,,,,4014226000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,,,,,,,,,,572345436.74,,,,,,,,785592001.03,0.07,8176363382.0,,,,,,,,,,,,,,,,,,,,738582046.01,,,5739786878.22,,,,,,,,,,,4291569292.66,,,,,,,,,1448217585.56,,,,,,,709635539.55,,,,,,,,,572345436.74,605821945.99,,,514300415.06,,166638920.23,,,,,,,,,13131134.81,,,,,,,,,,,,,,,772460866.22,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
