date,annualGrossPPE,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,trailingChangesInAccountReceivables,quarterlyChangeInInventory,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,trailingGrossProfit,quarterlyBasicAverageShares,trailingOtherIncomeExpense,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualCapitalExpenditure,quarterlyOtherIntangibleAssets,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyCapitalStock,quarterlyTotalRevenue,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,trailingNetOtherFinancingCharges,quarterlyEbitda,trailingChangeInInventory,annualNetOtherFinancingCharges,annualChangeInInventory,quarterlyOperatingIncome,annualStockBasedCompensation,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualOperatingExpense,annualTotalRevenue,quarterlyOtherNonCashItems,quarterlyDilutedEPS,annualCapitalStock,annualDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,trailingCostOfRevenue,trailingFreeCashFlow,quarterlyPurchaseOfBusiness,annualInterestExpense,quarterlyIncomeTaxPayable,trailingCashDividendsPaid,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,annualAccumulatedDepreciation,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyTaxProvision,annualChangesInAccountReceivables,quarterlyNetPPE,annualInventory,trailingNetIncomeContinuousOperations,annualGrossProfit,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualBasicAverageShares,quarterlyGoodwill,quarterlyCostOfRevenue,trailingNetIncome,annualGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualNetIncome,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualRetainedEarnings,annualAccountsReceivable,quarterlyFreeCashFlow,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,trailingInvestingCashFlow,annualAccountsPayable,annualCostOfRevenue,trailingOperatingIncome,quarterlyNetIncomeContinuousOperations,annualOperatingIncome,annualInvestingCashFlow,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualCashDividendsPaid,trailingSaleOfInvestment,annualFreeCashFlow,trailingCommonStockIssuance,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,annualEndCashPosition,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,annualLongTermDebt,annualBasicEPS,quarterlyOtherNonCurrentLiabilities,trailingPurchaseOfInvestment,annualOtherCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,annualDilutedAverageShares,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingEndCashPosition,annualInvestmentsAndAdvances,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentAccruedExpenses,quarterlyInventory,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,quarterlyOperatingExpense,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualDilutedEPS,annualEbitda,annualCurrentAssets,annualNetPPE,trailingNetOtherInvestingChanges,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingResearchAndDevelopment,trailingRepurchaseOfCapitalStock,trailingDilutedEPS
1979-12-31,,4576000000.0,219100000.0,,,,,,125000000.0,,,,,9611000000.0,,2784000000.0,1355000000.0,,,,1750000000.0,,,-6523000000.0,-1865000000.0,,,,,1044000000.0,,,,,-7625000000.0,,,3416000000.0,,,880000000.0,,170000000.0,,,,,104000000.0,,,,-445000000.0,,,219100000.0,,,3128200000.0,,,,,,,,,12231000000.0,-1383000000.0,,,,-2539000000.0,,,,,,,,1891000000.0,-227000000.0,,,,,,,4604000000.0,,,,4318000000.0,,,,,288289474.0,,,4591000000.0,,,,,,6327000000.0,219100000.0,,-426000000.0,,,,,,,-3333000000.0,,,5293000000.0,,3128200000.0,,,,21842000000.0,,949000000.0,,835000000.0,,,,,,1723000000.0,,,,0.76,,-954000000.0,,,,288289474.0,,,,,,,,,2935000000.0,,,,,,,,,,,,6242000000.0,-616000000.0,,,,,,,,,,,,,,,,,0.76,3128200000.0,,,4524000000.0,,,,,,,,,
1980-12-31,,,344400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344400000.0,,,3763500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307500000.0,,,,,,,,,,344400000.0,,,,,,,,,,,,,,3763500000.0,,,,,,,,,,,,,,,,,,1.12,,,,,,307500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,3763500000.0,,,,,,,,,,,,
1981-12-31,,,326000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326000000.0,,,4256200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358241758.0,,,,,,,,,,326000000.0,,,,,,,,,,,,,,4256200000.0,,,,,,,,,,,,,,,,,,0.91,,,,,,358241758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,4256200000.0,,,,,,,,,,,,
1982-12-31,,,449300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449300000.0,,,4927200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397610619.0,,,,,,,,,,449300000.0,,,,,,,,,,,,,,4927200000.0,,,,,,,,,,,,,,,,,,1.13,,,,,,397610619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,4927200000.0,,,,,,,,,,,,
1983-12-31,,,594700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594700000.0,,,5418000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437279412.0,,,,,,,,,,594700000.0,,,,,,,,,,,,,,5418000000.0,,,,,,,,,,,,,,,,,,1.36,,,,,,437279412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,5418000000.0,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,481623992.0,,,,,,,,,,,,,,,,,,,,,,1433500000.0,,,,,1433500000.0,,,,1433500000.0,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165600000.0,,,,,,,,,,,,,,,,,481623992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,471137991.0,,,,,,,,,,,,,,,,,,,,,,1484300000.0,,,,,1484300000.0,,,,1484300000.0,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145200000.0,,,,,,,,,,,,,,,,,471137991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,481623992.0,,,,,,,,,,,,,,,,,,,,,,1752100000.0,,,,,1752100000.0,,,,1752100000.0,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253700000.0,,,,,,,,,,,,,,,,,481623992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,694900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454000000.0,,,,,1454000000.0,,,,1454000000.0,,,,,,,,,719700000.0,,,6124000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463266667.0,,,,,,,,,,719700000.0,,,,,,,,,,,,,155200000.0,6124000000.0,,,,,,,,,,,,,,,,,,1.5,,,,,,463266667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,6124000000.0,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,491727991.0,,,,,,,,,,,,,,,,,,,,,,1592500000.0,,,,,1592500000.0,,,,1592500000.0,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195300000.0,,,,,,,,,,,,,,,,,491727991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
