date,trailingNetIncome,annualGoodwill,annualTotalAssets,trailingPretaxIncome,quarterlyAccountsReceivable,annualNetOtherInvestingChanges,quarterlyGoodwill,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,trailingChangeInWorkingCapital,quarterlyCostOfRevenue,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualStockholdersEquity,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyInventory,annualTaxProvision,trailingEndCashPosition,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,trailingOperatingCashFlow,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualSaleOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEbitda,trailingNetOtherInvestingChanges,annualBasicEPS,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualDilutedAverageShares,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualRepaymentOfDebt,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualInterestExpense,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,trailingGrossProfit,quarterlySaleOfInvestment,quarterlyCapitalStock,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyDilutedEPS,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingTaxProvision,quarterlyNetPPE,annualStockBasedCompensation,annualBasicAverageShares,quarterlyTaxProvision,annualNetOtherFinancingCharges,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingChangeInInventory,trailingNetOtherFinancingCharges,quarterlyEbitda,annualInventory,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,annualCapitalStock,annualCostOfRevenue,quarterlyBasicAverageShares,annualTotalRevenue,annualCurrentDebt,trailingOtherNonCashItems,quarterlyPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyCurrentAssets,annualOperatingExpense,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossProfit,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,trailingOperatingExpense,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyPretaxIncome,trailingBeginningCashPosition,trailingPurchaseOfBusiness,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1970-01-01 00:00:01.569801600,614300000.0,,79600000.0,772100000.0,,,,32200000.0,,,,,,,,,-10300000.0,,12800000.0,7200000.0,,,,0.0,,,,0.0,,,-548800000.0,,4287900000.0,,20100000.0,,1500000.0,9900000.0,,0.0,41900000.0,-333500000.0,,,,,5600000.0,119100000.0,,9800000.0,,,12000000.0,813100000.0,,,12900000.0,,,,,,9000000.0,,838400000.0,-250000000.0,,9800000.0,,3600000.0,0.0,,,,,,50400000.0,0.0,25700000.0,,11800000.0,-4100000.0,0.031683,25600000.0,,,,,75300000.0,10700000.0,-73600000.0,62400000.0,227254794.0,7200000.0,614300000.0,,100000.0,0.0,,,-28000000.0,1100000.0,,,,4000000.0,1934300000.0,,,54000000.0,12700000.0,,,24900000.0,,0.031683,,,-69700000.0,,,-299300000.0,,,157800000.0,,,227254794.0,,,21200000.0,,,-1700000.0,-3100000.0,,5000000.0,,,,,165600000.0,7200000.0,,61000000.0,,97700000.0,1300000.0,7400000.0,,-12000000.0,,26800000.0,,5500000.0,,1095900000.0,37700000.0,,743400000.0,,,,,36700000.0,,,,,614300000.0,,,,,-221900000.0,,1095900000.0,,,2353600000.0,,188300000.0,-475000000.0,,,,,,,,,,,,,,
,,,92800000.0,,,,,37300000.0,,,,,,,,,,,7800000.0,7500000.0,,,,0.0,,,,0.0,,,,,,,21400000.0,,4600000.0,8800000.0,,0.0,47100000.0,,,,,,300000.0,,,5600000.0,,,14500000.0,,,,,,,,,,,,,,,5600000.0,,3600000.0,0.0,,,,,,61700000.0,0.0,31200000.0,,11600000.0,,0.03335,27500000.0,,,,,,13100000.0,,75900000.0,224887556.0,7500000.0,,,300000.0,0.0,,,,1700000.0,,,,700000.0,,,,65300000.0,,,,23900000.0,,0.03335,,,,,,,,,,,,224887556.0,,,,,,,,,8600000.0,,,,,,7500000.0,,69000000.0,,104500000.0,1400000.0,,,-14200000.0,,26700000.0,,9500000.0,,,45700000.0,,,,,,,35500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,95100000.0,,,,,41300000.0,,,,,,,,,,,10900000.0,6500000.0,,,,0.0,,,,0.0,,,,,,,19000000.0,,3700000.0,11500000.0,,0.0,51300000.0,,,,,,4400000.0,,,5400000.0,,,12400000.0,,,,,,,,,,,,,,,5400000.0,,3600000.0,1900000.0,,,,,,61200000.0,0.0,31400000.0,,15200000.0,,0.028348,28400000.0,,,,,,11000000.0,,79000000.0,229297116.0,6500000.0,,,200000.0,0.0,,,,2400000.0,,,,1700000.0,,,,66700000.0,,,,25600000.0,,0.028348,,,,,,,,,,,,229297116.0,,,,,,,,,9000000.0,,,,,,6500000.0,,86300000.0,,127100000.0,1400000.0,,,-17800000.0,,29300000.0,,12200000.0,,,43800000.0,,,,,,,40800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,106900000.0,,,,,47100000.0,,,,,,,,,,,12900000.0,8600000.0,,,,0.0,,,,0.0,,,,,,,20100000.0,,2500000.0,13800000.0,,0.0,57500000.0,,,,,,4300000.0,,,16000000.0,,,15600000.0,,,,,,,,,,,,,,,16000000.0,,3600000.0,1400000.0,,,,,,62300000.0,0.0,33800000.0,,17700000.0,,0.038353,39600000.0,,,,,,14200000.0,,83700000.0,153643180.0,8600000.0,,,100000.0,0.0,,,,2200000.0,,,,1400000.0,,,,67300000.0,,,,30700000.0,,0.038353,,,,,,,,,,,,153643180.0,,,,,,,,,9100000.0,,,,,,8600000.0,,90700000.0,,139100000.0,1400000.0,,,-21400000.0,,34600000.0,,13600000.0,,,49400000.0,,,,,,,48400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,127900000.0,,,,,53900000.0,,,,,,,,,,,16300000.0,10100000.0,,,,0.0,,,,0.0,,,,,,,26200000.0,,2000000.0,15800000.0,,0.0,65800000.0,,,,,,6200000.0,,,32600000.0,,,20000000.0,,,,,,,,,,,,,,,32600000.0,,3600000.0,1300000.0,,,,,,63600000.0,0.0,42100000.0,,20000000.0,,0.041688,59400000.0,,,,,,18600000.0,,89000000.0,158224888.0,10100000.0,,,100000.0,0.0,,,,2100000.0,,,,2500000.0,,,,68500000.0,,,,37200000.0,,0.041688,,,,,,,,,,,,158224888.0,,,,,,,,,12700000.0,,,,,,10100000.0,,94900000.0,,152100000.0,1400000.0,,,-25400000.0,,41400000.0,,15800000.0,,,62100000.0,,,,,,,57200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236233884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011673,,,,,,,,,,,,,,,,,,,,,,,41500000.0,,,,,,,,,,236233884.0,,,,,,,,,,,,,,,,,,,,,,,,,41500000.0,41500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.010005,,,,,,,,,,,,,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237433284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010005,,,,,,,,,,,,,,,,,,,,,,,45900000.0,,,,,,,,,,237433284.0,,,,,,,,,,,,,,,,,,,,,,,,,45900000.0,45900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.01334,,,,,,,,,,,,,,3100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238512744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01334,,,,,,,,,,,,,,,,,,,,,,,45700000.0,,,,,,,,,,238512744.0,,,,,,,,,,,,,,,,,,,,,,,,,45700000.0,45700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,142000000.0,,,,,61500000.0,,200000.0,,,,22300000.0,,,,,18700000.0,11200000.0,,142000000.0,82100000.0,0.0,,,2900000.0,0.0,,,,,,,22300000.0,,2600000.0,17500000.0,42300000.0,0.0,72600000.0,,,,,14500000.0,7500000.0,,,28600000.0,1400000.0,,27100000.0,,,19800000.0,,,,,,,,,,,,28600000.0,,3600000.0,1700000.0,,,,69400000.0,1700000.0,76800000.0,0.0,42300000.0,,21700000.0,,0.04669,59900000.0,,,,,,25700000.0,,106000000.0,239880060.0,11200000.0,,,200000.0,0.0,,,,2100000.0,3600000.0,,,3300000.0,,,,82100000.0,,,,46500000.0,28600000.0,0.04669,72600000.0,28600000.0,,,,,,2600000.0,,76800000.0,,239880060.0,,,,,,,,-115500000.0,14500000.0,-29200000.0,,,,,11200000.0,,116400000.0,,184600000.0,1400000.0,,,-29200000.0,59900000.0,50700000.0,61500000.0,19800000.0,27100000.0,,69400000.0,106000000.0,,,,,,68200000.0,,,,,,-115500000.0,51600000.0,25700000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.011673,,,,,,,,,,,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238080960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011673,,,,,,,,,,,,,,,,,,,,,,,53200000.0,,,,,,,,,,238080960.0,,,,,,,,,,,,,,,,,,,,,,,,,53200000.0,53200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
