,quarterlyRepaymentOfDebt,quarterlyTaxProvision,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,annualInventory,quarterlyAccumulatedDepreciation,annualCurrentLiabilities,trailingOtherIncomeExpense,trailingGrossProfit,quarterlyOtherIncomeExpense,annualPurchaseOfBusiness,quarterlyInventory,annualCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualEbitda,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,annualGrossProfit,quarterlyOperatingCashFlow,quarterlyCommonStockIssuance,annualOperatingCashFlow,annualNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyPurchaseOfBusiness,annualNetIncome,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,trailingSellingGeneralAndAdministration,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualBeginningCashPosition,annualAccountsReceivable,quarterlyChangeInInventory,annualCashDividendsPaid,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,annualBasicAverageShares,annualTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,annualSellingGeneralAndAdministration,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualStockholdersEquity,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,annualEndCashPosition,annualTaxProvision,quarterlySellingGeneralAndAdministration,quarterlyEbitda,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOperatingIncome,annualNetIncomeContinuousOperations,quarterlyCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,annualTotalRevenue,annualNetOtherFinancingCharges,annualCommonStockIssuance,annualFreeCashFlow,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCurrentDebt,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualOtherShortTermInvestments,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualOperatingExpense,quarterlyRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,trailingOperatingExpense,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,annualBasicEPS,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyCurrentAssets,trailingNetIncome,quarterlyRetainedEarnings,annualChangesInAccountReceivables,trailingCostOfRevenue,trailingPretaxIncome,annualGoodwill,annualPretaxIncome,quarterlyBasicEPS,annualPurchaseOfInvestment,annualChangeInCashSupplementalAsReported,quarterlyChangeInCashSupplementalAsReported,annualDilutedAverageShares,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,quarterlyTotalAssets,annualInterestExpense,annualInvestmentsAndAdvances,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyBeginningCashPosition,annualDilutedEPS,annualInvestingCashFlow,annualRepaymentOfDebt,annualCapitalExpenditure,quarterlyInterestExpense,quarterlyCurrentDebt,annualAccountsPayable,annualGrossPPE,annualOperatingIncome,annualOtherCurrentLiabilities,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,trailingTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,quarterlyCurrentDeferredRevenue,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingOperatingCashFlow,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,annualStockBasedCompensation,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,1907000000.0,-198000000.0,,,3302000000.0,,4767000000.0,,,,0.0,,,,,,8148000000.0,703000000.0,1132000000.0,2499000000.0,,,,,8731000000.0,,,684000000.0,9959000000.0,,,,,1215000000.0,,18177000000.0,,,,,,,1215000000.0,,,,,124000000.0,2077000000.0,,,,,,712000000.0,11443000000.0,,,961000000.0,606000000.0,162000000.0,213000000.0,2510000000.0,8936000000.0,,,,,108000000.0,670000000.0,,,,,234000000.0,4474000000.0,,1215000000.0,,-258000000.0,56527000000.0,65258000000.0,-151000000.0,,-2103000000.0,,,15000000.0,9241000000.0,,,,1024000000.0,,-1211000000.0,1811000000.0,,236000000.0,-123000000.0,-3899000000.0,108000000.0,668000000.0,,,,,,,,,1.706461,6734000000.0,,,,,,,,866000000.0,1885000000.0,,-8636000000.0,-16000000.0,,716000000.0,,,,,,0.0,,8000000.0,382000000.0,,,,,,1.696927,-2607000000.0,-15519000000.0,-2787000000.0,,,3345000000.0,13858000000.0,6920000000.0,202000000.0,,153000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,103000000.0,,,,,,,,,,27000000.0,,,,,448000000.0,,,,,,,,,,,,,,,,271000000.0,,,,,,,,,,,,,,10467000000.0,,,,,,,1971000000.0,,168000000.0,,,168000000.0,,,,,,,,0.234637,,168000000.0,716000000.0,,,220000000.0,445000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12438000000.0,,1523000000.0,,,,,,,,,,,,,0.235955,,,,,712000000.0,,,,,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,-4000000.0,-64000000.0,209000000.0,-22000000.0,1251000000.0,992000000.0,3324000000.0,-4448000000.0,6637000000.0,,,15000000.0,0.0,3324000000.0,,-68000000.0,460000000.0,,16950000000.0,1251000000.0,992000000.0,1363000000.0,-73000000.0,,-603000000.0,220000000.0,7319000000.0,685000000.0,,2455000000.0,11897000000.0,129000000.0,-116000000.0,11897000000.0,,449000000.0,41000000.0,21254000000.0,2601000000.0,36000000.0,872000000.0,,0.0,,449000000.0,,11817000000.0,243000000.0,3526000000.0,108000000.0,3526000000.0,102000000.0,,1604000000.0,365000000.0,-52000000.0,712000000.0,13354000000.0,-52000000.0,9172000000.0,842000000.0,670000000.0,41000000.0,81000000.0,2601000000.0,9172000000.0,,5445000000.0,-52000000.0,,128000000.0,236000000.0,219000000.0,76000000.0,,-5127000000.0,243000000.0,5445000000.0,,449000000.0,,-520000000.0,38320000000.0,45639000000.0,207000000.0,,-436000000.0,128000000.0,-602000000.0,11000000.0,12082000000.0,-68000000.0,605000000.0,,864000000.0,12082000000.0,1126000000.0,1741000000.0,,220000000.0,225000000.0,-4448000000.0,128000000.0,75000000.0,-34000000.0,864000000.0,,6637000000.0,13421000000.0,,1144000000.0,16345000000.0,0.630618,7900000000.0,,7900000000.0,,,,,,872000000.0,685000000.0,,-16778000000.0,20000000.0,10000000.0,716000000.0,,5092000000.0,,82000000.0,13354000000.0,0.0,21254000000.0,8000000.0,365000000.0,5507000000.0,,194000000.0,,118000000.0,0.627095,-2644000000.0,-13000000.0,-2891000000.0,-2000000.0,11000000.0,5507000000.0,16345000000.0,5578000000.0,129000000.0,128000000.0,66000000.0,,-520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,-407000000.0,-128000000.0,,,,,,,,,,26000000.0,,,,-514000000.0,494000000.0,,,,,,142000000.0,,-337000000.0,,,-149000000.0,,,,,-417000000.0,,,,,,,3000000.0,,,,,,,12104000000.0,,,,,-176000000.0,,1287000000.0,,-289000000.0,,,-289000000.0,,,,,,,,-0.405899,,-289000000.0,716000000.0,,,206000000.0,-193000000.0,,-4528000000.0,,,,,,,,,,,,146000000.0,25000000.0,,,-113000000.0,14000000.0,,,,,,,,,,,,-6000000.0,,,,13391000000.0,,793000000.0,,,,,,,,,,,,,-0.405899,,,18000000.0,,712000000.0,4887000000.0,,-486000000.0,,,,,,,,220000000.0,,128000000.0,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,-4723000000.0,235000000.0,,,,,,,,,,21000000.0,,,,14000000.0,560000000.0,,,,,,-239000000.0,,-297000000.0,,,444000000.0,,,,,640000000.0,,,,,,,2000000.0,,,,,,,14629000000.0,,,,,-62000000.0,,1178000000.0,,405000000.0,,,405000000.0,,,,,,,,0.565,,405000000.0,716000000.0,,,228000000.0,887000000.0,,-1512000000.0,,,,,,,,,,,,154000000.0,-197000000.0,,,234000000.0,-461000000.0,,,,,,,,,,,,96000000.0,,,,15807000000.0,,618000000.0,,,,,,,,,,,,,0.57,,,8000000.0,,712000000.0,1610000000.0,,147000000.0,,,,,,,,269000000.0,,146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,-5596000000.0,162000000.0,,,1355000000.0,383000000.0,,-4526000000.0,,,,20000000.0,,3623000000.0,,-487000000.0,519000000.0,,,,,,258000000.0,,-287000000.0,726000000.0,,-5000000.0,,,,119000000.0,439000000.0,11632000000.0,,,384000000.0,,263000000.0,5000000.0,840000000.0,,0.0,,,,13615000000.0,217000000.0,,,,-369000000.0,,2313000000.0,309000000.0,277000000.0,,,277000000.0,8485000000.0,,,,,,,0.386872,3049000000.0,277000000.0,716000000.0,,,226000000.0,679000000.0,,-19000000.0,,,,,,,,,,,,117000000.0,-290000000.0,,,161000000.0,-578000000.0,,,13483000000.0,,,,,,,,,-108000000.0,266000000.0,,10434000000.0,15928000000.0,,1794000000.0,16158000000.0,,,,8461000000.0,,,,,,,,0.389045,,,-37000000.0,,712000000.0,11000000.0,,-292000000.0,13507000000.0,,21968000000.0,,,5514000000.0,,234000000.0,,154000000.0,,,,,6000000.0,3525000000.0,,,,,117000000.0,,,-466000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,-6830000000.0,131000000.0,-82000000.0,-76000000.0,1367000000.0,2522000000.0,3071000000.0,-4900000000.0,8620000000.0,,,20000000.0,,3071000000.0,,-343000000.0,535000000.0,,8063000000.0,1367000000.0,2522000000.0,1971000000.0,-243000000.0,,-296000000.0,303000000.0,8327000000.0,1927000000.0,,2217000000.0,11724000000.0,168000000.0,361000000.0,11724000000.0,,623000000.0,65000000.0,23232000000.0,3231000000.0,753000000.0,837000000.0,,0.0,,623000000.0,,15238000000.0,266000000.0,,128000000.0,,531000000.0,,2223000000.0,312000000.0,230000000.0,712000000.0,13176000000.0,230000000.0,8244000000.0,920000000.0,941000000.0,65000000.0,51000000.0,3231000000.0,8244000000.0,,6368000000.0,230000000.0,,118000000.0,400000000.0,260000000.0,577000000.0,,-3695000000.0,266000000.0,6368000000.0,,623000000.0,,-623000000.0,54278000000.0,62605000000.0,-1330000000.0,,1000000000.0,118000000.0,-1683000000.0,666000000.0,14988000000.0,26000000.0,1351000000.0,,2404000000.0,14988000000.0,326000000.0,2108000000.0,,303000000.0,308000000.0,-4900000000.0,118000000.0,763000000.0,69000000.0,2404000000.0,,8620000000.0,17461000000.0,,1688000000.0,16624000000.0,0.875,10056000000.0,,10056000000.0,,,,,,837000000.0,1023000000.0,,-9754000000.0,-10000000.0,1000000.0,716000000.0,,1555000000.0,,1631000000.0,13176000000.0,0.0,23232000000.0,7000000.0,312000000.0,6453000000.0,,218000000.0,,117000000.0,0.870112,-2145000000.0,-17556000000.0,-1217000000.0,-2000000.0,666000000.0,6453000000.0,16624000000.0,6219000000.0,168000000.0,118000000.0,87000000.0,,-623000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,-7972000000.0,293000000.0,,,1355000000.0,2984000000.0,,-5160000000.0,,,,26000000.0,,2735000000.0,,250000000.0,501000000.0,,,,,,-330000000.0,,-243000000.0,339000000.0,,915000000.0,,,,192000000.0,822000000.0,11708000000.0,,,106000000.0,,3263000000.0,125000000.0,834000000.0,,0.0,,,,15342000000.0,221000000.0,,,,336000000.0,,2529000000.0,316000000.0,529000000.0,,,529000000.0,9036000000.0,,,,,,,0.742978,6459000000.0,529000000.0,712000000.0,,,217000000.0,1052000000.0,,-3378000000.0,,,,,,,,,,,,219000000.0,-484000000.0,,,-12000000.0,176000000.0,,,14741000000.0,,,,,,,,,-38000000.0,2765000000.0,,8282000000.0,17871000000.0,,2028000000.0,16868000000.0,,,,10580000000.0,,,,,,,,0.742978,,,101000000.0,,712000000.0,3012000000.0,,672000000.0,13197000000.0,,23777000000.0,,,6766000000.0,,216000000.0,,118000000.0,,,,,14000000.0,64000000.0,,,,,219000000.0,,,-611000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,-3400000000.0,531000000.0,,,1383000000.0,1622000000.0,,-5431000000.0,,,,35000000.0,,3679000000.0,,-1007000000.0,565000000.0,,,,,,-1062000000.0,,-274000000.0,351000000.0,,37000000.0,,,,247000000.0,1333000000.0,11935000000.0,,,170000000.0,,3262000000.0,13000000.0,842000000.0,,0.0,,,,18904000000.0,222000000.0,5041000000.0,,,-949000000.0,,1873000000.0,323000000.0,802000000.0,,,802000000.0,8977000000.0,,,,,,,1.12,6438000000.0,802000000.0,716000000.0,,,288000000.0,1526000000.0,,-6990000000.0,,,,,,,,,,,,1622000000.0,2428000000.0,,,46000000.0,-966000000.0,,,14987000000.0,,,,,,,,,1261000000.0,0.0,,8549000000.0,20777000000.0,,1308000000.0,17366000000.0,,,,10513000000.0,,0.0,,,,,,1.125,,,1403000000.0,,712000000.0,9753000000.0,,-237000000.0,13451000000.0,,23964000000.0,,,7313000000.0,4000000.0,218000000.0,,219000000.0,,,,,,12000000.0,,,,,1622000000.0,,,-596000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
