date,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualOtherCurrentAssets,trailingTotalRevenue,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,annualOperatingIncome,quarterlyGoodwill,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyCurrentLiabilities,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyCurrentAssets,trailingNetIncome,annualBasicEPS,quarterlyTotalAssets,trailingEndCashPosition,annualNonCurrentDeferredRevenue,trailingTaxProvision,annualNetIncome,trailingPretaxIncome,trailingPurchaseOfInvestment,quarterlyPurchaseOfInvestment,annualCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,trailingOperatingIncome,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,quarterlyGrossProfit,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentAssets,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualCurrentAssets,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualDilutedEPS,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingOperatingCashFlow,annualAccountsReceivable,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,trailingRepaymentOfDebt,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,annualNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualOtherIncomeExpense,annualGrossProfit,trailingGrossProfit,annualEbitda,annualRepaymentOfDebt,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,annualDilutedAverageShares,quarterlyOtherCurrentAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualBeginningCashPosition,trailingOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,annualCapitalExpenditure,annualOperatingExpense,quarterlyCashFlowFromContinuingFinancingActivities,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,trailingCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,trailingNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,trailingOperatingExpense,quarterlyGrossPPE,annualChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingBeginningCashPosition,trailingStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,annualChangeInCashSupplementalAsReported,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,quarterlyOtherNonCashItems,annualTotalRevenue,annualDeferredIncomeTax,annualCapitalStock,annualInterestExpense,annualNetOtherFinancingCharges,annualStockBasedCompensation,trailingChangesInAccountReceivables,annualGoodwill,annualChangeInInventory,trailingCashDividendsPaid,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualCashDividendsPaid,trailingBasicEPS,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingSaleOfInvestment,annualInventory,quarterlyCashDividendsPaid,quarterlyInventory,trailingDilutedEPS
1984-03-31,,,164000000.0,,,,,,12000000.0,,7693000000.0,,,210782608.0,,,1660000000.0,131000000.0,,4022000000.0,,,,932000000.0,,,1074000000.0,,232000000.0,,1177000000.0,-7000000.0,,,,,1552000000.0,,,-0.003335,,,,,,,-963000000.0,,,,,,,,,,,,,-400000,,,,,,,,,,,,185000000.0,,,,2188000000.0,,,,,,,,,,,,,-0.003335,-3800000000.0,,,,,,,,3671000000.0,,,,,932000000.0,,,,,,,,15328000000.0,,397000000.0,,,,1020000000.0,,,,2000000.0,,,84000000.0,,,210782608.0,,,,,,,,,2119000000.0,,,,,-17115000000.0,54000000.0,,,,-528000000.0,6200000,6200000,,,959000000.0,-307000000.0,2119000000.0,,,-16716000000.0,673000000.0,140000000.0,,,,,338000000.0,,,,,6200000,,,,,,,,,,,72000000.0,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,210782608.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003335,,,,,,,,,,,,,,,,,,,,-400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210782608.0,,,,,,,,,,,,,,,,,,,,6200000,6200000,,,,,,,,,,,,,,,,,,,,6200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,210782608.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003335,,,,,,,,,,,,,,,,,,,,-400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210782608.0,,,,,,,,,,,,,,,,,,,,6200000,6200000,,,,,,,,,,,,,,,,,,,,6200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,16400000.0,,-1900000.0,,,,,,1000000.0,,,,,4300000.0,,,,3900000.0,,12500000.0,0.0,6700000.0,,-0.011673,23600000.0,,,,-1700000.0,,,,,0.0,9800000.0,,,,,16900000.0,1000000.0,,0.0,,,,8400000.0,,,,16400000.0,,0.0,0.0,700000.0,,6700000.0,12500000.0,-500000,-0.011673,7200000.0,23600000.0,,,,12500000.0,,3900000.0,-1900000.0,,,,12500000.0,,,,-1700000.0,,,,,,,,,,700000.0,,,8900000.0,16900000.0,8000000.0,,,-3600000.0,15000000.0,,6600000.0,,0.0,700000.0,,7200000.0,2900000.0,,,,210782608.0,1000000.0,,-2300000.0,,10300000.0,700000.0,1000000.0,,,,0.0,,,0.0,,,,,8900000.0,,,,-2300000.0,,,,,0.0,,10700000.0,,,,-1700000.0,,,,6200000,-14300000,2900000.0,,,,,10300000.0,,,,,,,,,,,8000000.0,210782608.0,,-14300000,,,,,24800000.0,,,2500000.0,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,265055472.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001668,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265055472.0,,,,,,,,,,,,,,,,,,,,7400000,7400000,,,,,,,,,,,,,,,,,,,,7400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,265055472.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001668,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265055472.0,,,,,,,,,,,,,,,,,,,,7400000,7400000,,,,,,,,,,,,,,,,,,,,7400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,265055472.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.001668,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265055472.0,,,,,,,,,,,,,,,,,,,,7400000,7400000,,,,,,,,,,,,,,,,,,,,7400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,16800000.0,,-1600000.0,,,,,,900000.0,,,,,6200000.0,,,,8900000.0,,7900000.0,0.0,8600000.0,,0.001668,33500000.0,,,,300000.0,,,,,0.0,13400000.0,,,500000.0,,24900000.0,3800000.0,,0.0,,,,10600000.0,,,,16800000.0,,100000.0,100000.0,700000.0,,8600000.0,7900000.0,100000,0.001668,16700000.0,33500000.0,200000.0,,,7900000.0,,8900000.0,-1600000.0,,,,7900000.0,,,,300000.0,,,,,,,,,,700000.0,,,16600000.0,24900000.0,8200000.0,,,-4400000.0,19500000.0,,8900000.0,,0.0,700000.0,,16700000.0,5100000.0,,,,265055472.0,900000.0,,-4700000.0,,12900000.0,700000.0,3800000.0,,,,0.0,,,0.0,,,,,16600000.0,,,,-4700000.0,,,,,0.0,,13300000.0,,,,300000.0,,,,10600000,-16100000,5100000.0,,,,,12900000.0,,,,,,,,,,,8200000.0,265055472.0,,-16100000,,,,,32900000.0,,,1400000.0,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.003335,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,15600000,15600000,,,,,,,,,,,,,,,,,,,,15600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,15700000,15700000,,,,,,,,,,,,,,,,,,,,15700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.003335,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,19100000,19100000,,,,,,,,,,,,,,,,,,,,19100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,17300000.0,,3900000.0,,,,,,2000000.0,,,,,5800000.0,,,,13100000.0,,4200000.0,0.0,18100000.0,,0.016675,51200000.0,,,,4800000.0,,,,,0.0,30800000.0,,,8100000.0,,33100000.0,4100000.0,,0.0,,,,23400000.0,,,,17300000.0,,3900000.0,3900000.0,5000000.0,,18100000.0,3700000.0,1400000,0.016675,33900000.0,51200000.0,3300000.0,,,3700000.0,,13100000.0,3900000.0,500000.0,,,4200000.0,,,,4800000.0,,,,,,,,,,5000000.0,,,15700000.0,33100000.0,13500000.0,,,3600000.0,39600000.0,,16200000.0,,0.0,5000000.0,,33900000.0,9000000.0,,,,287856072.0,2000000.0,,-8600000.0,,22100000.0,5000000.0,4100000.0,,,,0.0,,,0.0,,,,,15700000.0,,500000.0,,-8600000.0,,,,,0.0,,33800000.0,,,,4800000.0,,,,20000000,-44600000,9000000.0,,,,,22100000.0,,,,,,,,,,,13500000.0,287856072.0,,-44600000,,,,,70400000.0,,,1200000.0,,,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312065968.0,,,,,,,,,,,,,,,,,,,,20500000,20500000,,,,,,,,,,,,,,,,,,,,20500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,,352833584.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352833584.0,,,,,,,,,,,,,,,,,,,,21400000,21400000,,,,,,,,,,,,,,,,,,,,21400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,,354836580.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,1800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354836580.0,,,,,,,,,,,,,,,,,,,,21000000,21000000,,,,,,,,,,,,,,,,,,,,21000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,22300000.0,,11100000.0,,,,,,2500000.0,,,,,8800000.0,,,,16000000.0,,6300000.0,0.0,44000000.0,,0.02001,78900000.0,,,,7200000.0,,,,,0.0,25700000.0,,,12500000.0,,34900000.0,2300000.0,,0.0,,,,39800000.0,,,,22300000.0,,7200000.0,7200000.0,28000000.0,,44000000.0,3600000.0,2000000,0.02001,56600000.0,78900000.0,5300000.0,,,3600000.0,,16000000.0,11100000.0,2700000.0,,,6300000.0,,,,7200000.0,,,,,,,,,,28000000.0,,,12200000.0,34900000.0,15500000.0,,,3600000.0,59800000.0,,20000000.0,,0.0,28000000.0,,56600000.0,13700000.0,,,,359820090.0,2500000.0,,-11000000.0,,26500000.0,28000000.0,2300000.0,,,,0.0,,,0.0,,,,,12200000.0,,2700000.0,,-11000000.0,,,,,0.0,,51000000.0,,,,7200000.0,,,,22600000,-54100000,13700000.0,,,,,26500000.0,,,,,,,,,,,15500000.0,359820090.0,,-54100000,,,,,85500000.0,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,,,,,,355460268.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,2100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355460268.0,,,,,,,,,,,,,,,,,,,,23900000,23900000,,,,,,,,,,,,,,,,,,,,23900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,355568216.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,2200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355568216.0,,,,,,,,,,,,,,,,,,,,27100000,27100000,,,,,,,,,,,,,,,,,,,,27100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,362290856.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00667,,,,,,,,,,,,,,,,,,,,2400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362290856.0,,,,,,,,,,,,,,,,,,,,36200000,36200000,,,,,,,,,,,,,,,,,,,,36200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,62400000.0,,20300000.0,,,,,,4500000.0,,,,,10800000.0,,,,36000000.0,,26400000.0,0.0,50600000.0,,0.025013,133600000.0,,,,9200000.0,,,,,0.0,60300000.0,,,15100000.0,,83000000.0,2200000.0,,0.0,,,,40000000.0,,,,62400000.0,,22500000.0,22500000.0,21800000.0,,50600000.0,21900000.0,2400000,0.025013,71200000.0,133600000.0,5900000.0,,,21900000.0,,36000000.0,20300000.0,4500000.0,,,26400000.0,,,,9200000.0,,,,,,,,,,21800000.0,,,36100000.0,83000000.0,24400000.0,,,4300000.0,64700000.0,,24700000.0,,0.0,21800000.0,,71200000.0,33800000.0,,,,367816092.0,4500000.0,,-17100000.0,,41500000.0,21800000.0,2200000.0,,,,0.0,,,0.0,,,,,36100000.0,,4500000.0,,-17100000.0,,,,,0.0,,53900000.0,,,,9200000.0,,,,37800000,-76400000,33800000.0,,,,,41500000.0,,,,,,,,,,,24400000.0,367816092.0,,-76400000,,,,,125000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,3500000.0,,,22900000.0,,,,,,,,,19300000.0,389805097.0,,,,,36600000.0,,27500000.0,,49100000.0,,,138000000.0,,,,,,,,,1000000.0,,,-4300000.0,,0.00667,88900000.0,,2600000.0,,26700000.0,,,,,,2600000.0,64100000.0,,23600000.0,,,,,,2600000,,,,,1000000.0,-100000.0,21600000.0,,,,4900000.0,,,,,,,,,22800000.0,12400000.0,,0.0,,,,-8400000.0,,0.00667,,,,,6600000.0,,,,,,,,2400000.0,,73900000.0,,4300000.0,,,,23800000.0,,-17100000.0,,,2400000.0,1700000.0,,600000.0,,,,,,,,0.0,389805097.0,34900000.0,,,400000.0,,,6900000.0,,,,,,200000.0,,,,100000.0,-8300000.0,,39100000,3900000,28000000.0,4000000.0,,,,47500000.0,,,,,,,-1500000.0,1700000.0,,,30400000.0,,,7400000,,-4200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,3600000.0,,,25700000.0,,,,,,,,,20000000.0,335832084.0,,,,,292300000.0,,25600000.0,,304200000.0,,,394700000.0,,,,,,,,,1000000.0,,,2100000.0,,0.008338,90500000.0,,2800000.0,,26900000.0,,,,,,2800000.0,317900000.0,,25300000.0,,,,,,2800000,,,,,1600000.0,-400000.0,19500000.0,,,,5100000.0,,,,,,,,,23600000.0,13200000.0,,0.0,,,,-3100000.0,,0.008338,,,,,0.0,,,,,,,,1900000.0,,76800000.0,,4600000.0,,,,278700000.0,,-17100000.0,,,1900000.0,1600000.0,,500000.0,,,,,,,,0.0,335832084.0,34200000.0,,,400000.0,,,6500000.0,,,,,,-2200000.0,,,,100000.0,-2700000.0,,40100000,3300000,284200000.0,4800000.0,,,,48100000.0,,,,,,,-200000.0,1800000.0,,,31000000.0,,,6900000,,-500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
