date,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualDilutedEPS,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyFreeCashFlow,quarterlyGoodwill,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingChangeInAccountPayable,trailingPretaxIncome,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualEndCashPosition,trailingPurchaseOfInvestment,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualTaxProvision,annualCurrentDeferredRevenue,annualPretaxIncome,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyTotalAssets,trailingOperatingIncome,annualLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,annualCashDividendsPaid,trailingTotalRevenue,annualBasicAverageShares,annualNetIncome,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingTaxProvision,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,annualStockholdersEquity,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyChangeInInventory,annualDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualCurrentAssets,trailingOperatingCashFlow,quarterlyInventory,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualCurrentLiabilities,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyBasicEPS,trailingNetOtherInvestingChanges,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualRepaymentOfDebt,annualEbitda,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyOperatingExpense,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,annualBeginningCashPosition,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingOtherNonCashItems,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualCapitalExpenditure,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,trailingDeferredIncomeTax,annualChangeInInventory,quarterlyGrossPPE,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualBasicEPS,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingBeginningCashPosition,annualInterestExpense,trailingChangesInAccountReceivables,annualPurchaseOfInvestment,trailingCashDividendsPaid,trailingNetIncome,annualGoodwill,annualCapitalStock,annualStockBasedCompensation,quarterlyOtherCurrentLiabilities,annualTotalRevenue,trailingResearchAndDevelopment,trailingCostOfRevenue,quarterlyTaxProvision,annualChangesInAccountReceivables,quarterlyNetPPE,trailingChangeInInventory,annualDeferredIncomeTax,quarterlyStockBasedCompensation,trailingOperatingExpense,annualNetOtherFinancingCharges,annualResearchAndDevelopment,quarterlyCommonStockIssuance,annualAccumulatedDepreciation,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,annualInventory,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance
1970-01-01 00:00:01.572480,-35283000.0,,50000000.0,,0.04,,0.0,,,1977728000.0,,,,-6371000.0,1485728000.0,16100000.0,,,0.0,0.0,1400000.0,,4700000.0,,11800000.0,83500000.0,1500000.0,45800000.0,,1806267000.0,30300000.0,,,,5991065000.0,177500000.0,7100000.0,,15400000.0,-293186000.0,,,648322000.0,,122717000.0,,,,,,,,-613005000.0,33500000.0,,,,,,0.0,600000.0,,,,177500000.0,,,,,,,52600000.0,2253100000.0,,,7100000.0,,,16500000.0,0.0,900000.0,28300000.0,,,,,-6644000.0,33500000.0,1700000.0,,,,,-2175000000.0,,19600000.0,,,,1900000.0,,4013750000.0,15100000.0,,600000.0,,1359782000.0,,,,,,229075000.0,0.0,,-101693000.0,,100000.0,30900000.0,40300000.0,-275372000.0,,-168269000.0,-2126794000.0,811251000.0,,34900000.0,,,,,-11170000.0,,1300000.0,,1363011000.0,,55074000.0,,,,-2831000.0,150300000.0,,,-91253000.0,,,39100000.0,648094000.0,,7100000.0,,,0.04,0.0,,816591000.0,2900000.0,5890000.0,,-777481000.0,1363011000.0,,,,,100300000.0,1130348000.0,1977315000.0,,,,-42771000.0,,,2207483000.0,,,,-12000000.0,,,,,54500000.0,26200000.0,,,,,,,,,,
,,,77100000.0,,0.04,,0.0,,,,,,,,,25100000.0,,,0.0,,1900000.0,,5100000.0,,14400000.0,125900000.0,1400000.0,58900000.0,,,52300000.0,,,,,155000000.0,9300000.0,,22000000.0,,,,,,,,,,,,,,,48800000.0,,,,,,,600000.0,,,,155000000.0,,,,,,,78300000.0,,,,9300000.0,,,23200000.0,0.0,1400000.0,42300000.0,,,,,,53900000.0,3900000.0,,,,,,,28300000.0,,,,200000.0,,,21300000.0,,600000.0,,,,,,,,,0.0,,,,-500000.0,47600000.0,59300000.0,,,,,,,48500000.0,,,,,,,1400000.0,,,,,,,,,,,,,,,54800000.0,,,9300000.0,,,0.06,0.0,,,6400000.0,,,,,,,,,135700000.0,,,,,,,,,,,,,-17000000.0,,,,,76800000.0,41500000.0,,,,,,,,,,
,,,73800000.0,,0.02,,0.0,,,,,,,,,29700000.0,,,0.0,,1200000.0,,2200000.0,,6800000.0,144900000.0,2500000.0,74000000.0,,,53100000.0,,,,,230000000.0,4600000.0,,17700000.0,,,,,,,,,,,,,,,71100000.0,,,,,,,500000.0,,,,230000000.0,,,,,,,80500000.0,,,,4600000.0,,,18800000.0,0.0,8800000.0,51800000.0,,,,,,55000000.0,3800000.0,,,,,,,25200000.0,,,,100000.0,,,17600000.0,,500000.0,,,,,,,,,0.0,,,,-700000.0,64400000.0,75500000.0,,,,,,,57000000.0,,,,,,,1800000.0,,,,,,,,,,,,,,,64500000.0,,,4600000.0,,,0.02,0.0,,,10200000.0,,,,,,,,,156200000.0,,,,,,,,,,,,,-23700000.0,,,,,82200000.0,44500000.0,,,,,,,,,,
,,,79000000.0,,0.04,,0.0,,,,,,,,,39500000.0,,,0.0,,2300000.0,,4600000.0,,14500000.0,162900000.0,5800000.0,73700000.0,,,51900000.0,,,,,247500000.0,9900000.0,,22900000.0,,,,,,,,,,,,,,,83900000.0,,,,,,,600000.0,,,,247500000.0,,,,,,,87300000.0,,,,9900000.0,,,22900000.0,0.0,10900000.0,60600000.0,,,,,,56100000.0,4100000.0,,,,,,,32800000.0,,,,100000.0,,,20600000.0,,600000.0,,,,,,,,,0.0,,,,-600000.0,75600000.0,92600000.0,,,,,,,67500000.0,,,,,,,4100000.0,,,,,,,,,,,,,,,77400000.0,,,9900000.0,,,0.04,0.0,,,7700000.0,,,,,,,,,174000000.0,,,,,,,,,,,,,-32000000.0,,,,,100300000.0,46700000.0,,,,,,,,,,
,,,71400000.0,,0.07,,0.0,,,,,,,,,58000000.0,,,0.0,,3800000.0,,8700000.0,,27100000.0,222500000.0,5900000.0,86400000.0,,,27700000.0,,,,,262857143.0,18400000.0,,32600000.0,,,,,,,,,,,,,,,151100000.0,,,,,,,24200000.0,,,,262857143.0,,,,,,,128300000.0,,,,18400000.0,,,38300000.0,0.0,20200000.0,69400000.0,,,,,,33100000.0,4600000.0,,,,,,,45100000.0,,,,200000.0,,,34500000.0,,24200000.0,,,,,,,,,0.0,,,,-200000.0,94200000.0,112300000.0,,,,,,,82500000.0,,,,,,,5200000.0,,,,,,,,,,,,,,,95000000.0,,,18400000.0,,,0.07,0.0,,,5400000.0,,,,,,,,,214000000.0,,,,,,,,,,,,,-42900000.0,,,,,127600000.0,56600000.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201520000.0,,,,,,,,,,,,,,,,,,,,,,,,,7700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,201520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,69500000.0,,,,,,,,69500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69500000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250790000.0,,,,,,,,,,,,,,,,,,,,,,,,,9300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,250790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,77600000.0,,,,,,,,77600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77600000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250226000.0,,,,,,,,,,,,,,,,,,,,,,,,,10200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,250226000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,81800000.0,,,,,,,,81800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81800000.0,,,,,,,,,
,,35800000.0,100900000.0,,0.14,95300000.0,0.0,,,,,152000000.0,65100000.0,,,95300000.0,,,0.0,,4100000.0,,17600000.0,,55000000.0,296100000.0,4500000.0,115700000.0,296100000.0,,30000000.0,144100000.0,,,,267142857.0,37400000.0,,57000000.0,,,600000.0,,,,27700000.0,,,,100900000.0,,,,195200000.0,,,,10300000.0,,,13800000.0,,,,267142857.0,5200000.0,30000000.0,,,,,152000000.0,,73200000.0,,37400000.0,,,65100000.0,0.0,27700000.0,112400000.0,,,,,,35800000.0,4000000.0,,,,,,,75300000.0,4000000.0,,,600000.0,,,61000000.0,,13800000.0,,,,195200000.0,,-55700000.0,,,0.0,4500000.0,,,1600000.0,144100000.0,168100000.0,,13800000.0,,,,,122400000.0,13800000.0,4100000.0,,,,,5200000.0,,,,,,,,,,,84500000.0,,,168100000.0,140700000.0,,,37400000.0,-171900000.0,,0.14,0.0,,,3600000.0,,,,,,,,61000000.0,313400000.0,,,,,112400000.0,,,,,,,,-55700000.0,,,,,197700000.0,73200000.0,-171900000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251306000.0,,,,,,,,,,,,,,,,,,,,,,,,,9300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,251306000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,82000000.0,,,,,,,,82000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82000000.0,,,,,,,,,
