,quarterlyInventory,quarterlyOtherIncomeExpense,annualChangeInInventory,trailingStockBasedCompensation,annualDepreciationAndAmortization,annualInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualSaleOfInvestment,trailingOtherIncomeExpense,annualCapitalStock,annualStockBasedCompensation,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,annualGrossProfit,annualEbitda,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,trailingNetIncome,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingPretaxIncome,quarterlyOtherShortTermInvestments,annualGrossPPE,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,annualPretaxIncome,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,annualGoodwill,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingGrossProfit,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualCapitalExpenditure,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyAccountsPayable,trailingTotalRevenue,annualEndCashPosition,annualCurrentAccruedExpenses,annualBasicAverageShares,annualNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,quarterlyEbitda,trailingEndCashPosition,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingTaxProvision,quarterlyStockBasedCompensation,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalRevenue,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyGrossProfit,annualCurrentDebt,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGrossPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyCurrentAssets,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyRepurchaseOfCapitalStock,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOperatingIncome,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,trailingCostOfRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualDilutedAverageShares,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyBasicEPS,annualBeginningCashPosition,quarterlyChangeInInventory,annualAccountsReceivable,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,quarterlyNetIncome,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingChangeInAccountPayable,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualDilutedEPS,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherNonCashItems,annualOtherCurrentAssets,annualTaxProvision,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualStockholdersEquity,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,8500000.0,8500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8500000.0,,,,,,,,,,,,,,,,,,,,0.0,,8461538.0,,,,,,-1100000.0,,,,,8500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-0.13,,,,,,,,,,,-1100000.0,,,,8461538.0,,,,,0.0,,,-1100000.0,,0.0,,,,,,,,-0.13,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,,,,,,,,7200000.0,,,,,,,,,,,,,,,,,,,0.0,,,,15400000.0,15400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,15400000.0,,,,,,,,,,,,,,,,,,,,0.0,,11048000.0,,,,,,,,,,,15400000.0,,,,,,,,,,,,,,,,,,,,,,,,-8700000.0,,,,,,,,8400000.0,,0.01,-1500000.0,,,,,,,,,,,,,,11048000.0,,,,,0.0,,,,,0.0,,-8400000.0,,,,,,0.01,,,,,,,0.0,,,1500000.0,,,,,,,,,,,,,,,,,,,,,
410140800,,,,,,6100000.0,,,,,,,10700000.0,,,,,,,,,,,,,,,,300000.0,100000.0,2900000.0,0.0,,,,11800000.0,2300000.0,,,,,,,,,,3900000.0,,,600000.0,,,1300000.0,,900000.0,,,,0.0,,,,,0.0,,2200000.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,10000000.0,,,,,,500000.0,,,100000.0,,23800000.0,,12000000.0,,,,,6800000.0,,,,,,,,,,,100000.0,9600000.0,,,,,1300000.0,,,-300000.0,,,,,11100000.0,,0.05,12000000.0,,,,,,,,,,500000.0,,,,10000000.0,,-100000.0,,,0.0,,,500000.0,,0.0,,3300000.0,,,,9500000.0,,0.05,,1300000.0,,0.0,400000.0,,14400000.0,,,2400000.0,,,,,,,,,,,,,,,,,,,,,
441676800,,,,,,7400000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,600000.0,800000.0,2800000.0,0.0,,,,19200000.0,3700000.0,,,,,,,,,,7800000.0,,,1000000.0,,,800000.0,,2700000.0,,,,,,,,,0.0,,3400000.0,,100000.0,,,,,,,,,,,,,,,,,,0.0,,16363636.0,,,,,,1800000.0,,,800000.0,,37900000.0,,18700000.0,,,,,2200000.0,,,,,,,,,,,200000.0,15800000.0,,,,,-100000.0,,,-400000.0,,,,,17800000.0,,0.11,9900000.0,,,,,,,,,,1800000.0,,,,16363636.0,,1700000.0,,,0.0,,,1800000.0,,0.0,,3600000.0,,,,15500000.0,,0.11,,,,100000.0,900000.0,,21400000.0,,,11500000.0,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,17920000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,7900000.0,,7900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900000.0,,,,,17920000.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,17920000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,8800000.0,,8800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800000.0,,,,,17920000.0,,,,,,,,,,,,,,,0.02,,,,,,,,,,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,17920000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,15400000.0,,15400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15400000.0,,,,,17920000.0,,,,,,,,,,,,,,,0.06,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,14700000.0,,,,,14700000.0,,,,,,-600000.0,17700000.0,10600000.0,,,,,,,,,,,,,,,600000.0,2200000.0,2200000.0,0.0,,,300000.0,22800000.0,3600000.0,7100000.0,,,600000.0,,,,,,7100000.0,,,1200000.0,,,1100000.0,,1700000.0,,,,,2200000.0,3100000.0,30700000.0,,0.0,,2800000.0,,100000.0,,,2200000.0,,,2200000.0,,,,,,,,,,,,0.0,,17500000.0,,,-29300000.0,,10700000.0,1400000.0,,,2200000.0,17700000.0,42800000.0,,20000000.0,,,,,10600000.0,,,,,17700000.0,1200000.0,,,,27600000.0,300000.0,20000000.0,,,,,,,,-600000.0,,,,,27600000.0,-29300000.0,0.08,17700000.0,3100000.0,,,,,,,,,1400000.0,,,,17500000.0,13000000.0,3100000.0,,,0.0,,,1400000.0,,0.0,,3100000.0,,-100000.0,,19200000.0,,0.08,,,,500000.0,300000.0,500000.0,30700000.0,,,13000000.0,,,,,,,,,,,,,,,,,,,,,
