date,quarterlyBeginningCashPosition,annualEbitda,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingGrossProfit,quarterlyOperatingExpense,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,annualBasicAverageShares,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,annualBasicEPS,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualTotalNonCurrentAssets,quarterlyDilutedAverageShares,trailingCapitalExpenditure,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,annualSellingGeneralAndAdministration,trailingPurchaseOfBusiness,trailingOtherNonCashItems,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,trailingNetOtherFinancingCharges,annualInvestingCashFlow,annualChangeInInventory,annualOperatingExpense,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,trailingStockBasedCompensation,quarterlyGrossPPE,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,trailingBeginningCashPosition,annualInterestExpense,trailingChangesInAccountReceivables,annualDilutedAverageShares,trailingCashDividendsPaid,quarterlyOtherCurrentLiabilities,trailingNetIncome,quarterlyTaxProvision,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,quarterlyNetPPE,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyStockBasedCompensation,trailingOperatingExpense,trailingChangeInInventory,quarterlyEbitda,annualNetOtherFinancingCharges,annualDilutedEPS,quarterlyOtherShortTermInvestments,annualAccumulatedDepreciation,annualInventory,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,trailingChangeInWorkingCapital,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyBasicAverageShares,annualFreeCashFlow,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGoodwill,quarterlyCurrentAssets,trailingFreeCashFlow,annualTotalRevenue,trailingChangeInAccountPayable,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,annualPretaxIncome,annualEndCashPosition,annualCurrentDeferredRevenue,annualTaxProvision,annualCostOfRevenue,quarterlyTotalAssets,annualTotalAssets,trailingOperatingIncome,annualNetIncome,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,trailingTotalRevenue,annualCashDividendsPaid,quarterlyPurchaseOfInvestment,annualOperatingIncome,annualOtherCurrentAssets,trailingEndCashPosition,trailingTaxProvision,quarterlyDepreciationAndAmortization,annualAccountsPayable,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,annualSaleOfInvestment,quarterlyGrossProfit,annualInvestmentsAndAdvances,annualStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,trailingPretaxIncome,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyCashDividendsPaid,annualNetPPE,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualOperatingCashFlow,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,trailingDeferredIncomeTax,annualRepaymentOfDebt,trailingRepurchaseOfCapitalStock,quarterlyRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,trailingRepaymentOfDebt,annualCurrentDebt,trailingDilutedEPS,trailingNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyCurrentAccruedExpenses,annualLongTermDebt,annualRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,annualDeferredIncomeTax,trailingDilutedAverageShares
2015-12-31,,55760000.0,,,,,360401000.0,,,,,-128765000.0,,11111111.0,,-7422000.0,,,8105000.0,28360000.0,4826000.0,3.95325,,1673000.0,,-846887000.0,,,-56332000.0,,11598000.0,,30184000.0,,-2559000.0,290000.0,,,,44895000.0,-22491000.0,26838000.0,-128835000.0,,,-30559000.0,,,,-5412000.0,307189000.0,202000.0,-36619000.0,-5129000.0,46910000.0,,,32569000.0,,43925000.0,,-648000.0,,,849455000.0,378000.0,-43654000.0,11111111.0,0.0,,-128765000.0,,,,3120000.0,,-22393000.0,85801000.0,,312780000.0,-9492000.0,,10043000.0,3.95325,,,,,,88466000.0,,177207000.0,-32547000.0,,,,,18959000.0,,,0.0,,,,,,71486000.0,116505000.0,226071000.0,,,,52263000.0,683000.0,,8338000.0,28039000.0,,,47621000.0,43925000.0,,,446202000.0,-5217000.0,,41556000.0,,36986000.0,-72413000.0,,,-937728000.0,,,,,,,,,,,,,,,3119000.0,,,,-201248000.0,,,127818000.0,,,,,,,,,43925000.0,,,,,24371000.0,-1168000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,98685000.0,,,,,,,11082000.0,,69973000.0,,,11111111.0,,3675000.0,,,683000.0,,-12641000.0,6.76161,,,,,160849000.0,,,,42981000.0,,,,,101000.0,,,7289000.0,68533000.0,,,,,6233000.0,-39957000.0,,,,-7154000.0,,,-24921000.0,-8312000.0,66971000.0,,,,,74395000.0,,-2900000.0,,,,90000.0,,11111111.0,,,,,48517000.0,33210000.0,2043000.0,,-13641000.0,,,,,,846000.0,6.76161,,-1590000.0,12550000.0,,,117946000.0,,,-24040000.0,81701000.0,,,,34083000.0,0.0,,,187372000.0,,,,,,159270000.0,,-707000.0,,,92838000.0,4358000.0,1948000.0,18443000.0,41324000.0,,322869000.0,,75129000.0,,,,-13487000.0,,50975000.0,4059000.0,,,,11246000.0,,,,,,2628000.0,,,25797000.0,,46006000.0,241052000.0,,,,5757000.0,4358000.0,,,,162020000.0,67741000.0,,,,,,,,5699000.0,,75129000.0,798000.0,53054000.0,65615000.0,,41237000.0,211000.0,31605000.0,50096000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,9428000.0,,28170000.0,,,,,,,,,,,,,,,,,,,,11111111.0,,,,,,2990000.0,,,,,,,,,,10583000.0,,,,,,,,,,,,53077000.0,,,,,,,,,,,,,,,,4593000.0,,,,,,,,,,12418000.0,,,,,,,,,,,,,,,11111111.0,,,,,,,0.43515,,,,,,,26913000.0,,,,,,,,,,,,4835000.0,,,,,,,,,,,,,,,,,0.43515,,38753000.0,,,,4835000.0,4835000.0,,,,,,,,,,,1959000.0,,,,,14324000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,2897000.0,,,,-29036000.0,486000.0,,27154000.0,,,,,,,,,,,,,,,,,13659000.0,,,11111111.0,,13431000.0,,,,3159000.0,,,,,,,,,,5175000.0,,,,,7357000.0,,,,,,,38415000.0,,,,,-3848000.0,,18011000.0,11095000.0,,,,,,,,1150000.0,,,,,,,553000.0,,,7024000.0,,,,,,0.0,3109000.0,,9881000.0,,,,14163000.0,,11111111.0,,,,,,,-0.05976,,,,,,,27656000.0,,,,,,,,,,,,-664000.0,,,13659000.0,,,,,3379000.0,,,,86148000.0,,,,,-0.05976,,32329000.0,,,1011000.0,-664000.0,-664000.0,,,-6608000.0,,,,,,,-19225000.0,-1082000.0,,12778000.0,-75053000.0,,6086000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,12778000.0,91823000.0,55897000.0,85849000.0,-7700000.0,12331000.0,,36168000.0,7238000.0,0.0,83843000.0,,5898000.0,11111111.0,305624000.0,-3524000.0,-3847000.0,,4358000.0,,11095000.0,3.928,7329000.0,,,,220369000.0,,,-51025000.0,4053000.0,,,2530000.0,,9995000.0,834000.0,83843000.0,12926000.0,114245000.0,,,,15632000.0,80000.0,-48247000.0,242674000.0,18854000.0,-54517000.0,-11361000.0,,,-77269000.0,-8914000.0,110946000.0,69872000.0,17375000.0,,12926000.0,43640000.0,-2856000.0,-17361000.0,-30587000.0,0.0,,11179000.0,,11111111.0,,7238000.0,,4276000.0,55897000.0,89634000.0,1890000.0,9079000.0,-24347000.0,,658000.0,,,19278000.0,86148000.0,3.928,83009000.0,-3847000.0,18820000.0,,2588000.0,185865000.0,-11929000.0,,-30940000.0,124674000.0,-33443000.0,,,51289000.0,,55000000.0,,242674000.0,69674000.0,,89634000.0,210040000.0,,244382000.0,,-300000.0,37739000.0,,66356000.0,834000.0,5898000.0,22716000.0,58517000.0,430409000.0,430409000.0,,43640000.0,220369000.0,8055000.0,,-75053000.0,29214000.0,74919000.0,7329000.0,,,4417000.0,18854000.0,,,0.0,1295000.0,12853000.0,17375000.0,124674000.0,,,51800000.0,12853000.0,305624000.0,-1143000.0,8055000.0,8055000.0,14288000.0,834000.0,-6815000.0,80000.0,,210040000.0,94936000.0,,,18658000.0,-255000.0,18820000.0,834000.0,0.0,9079000.0,18072000.0,43640000.0,1295000.0,85849000.0,83009000.0,94936000.0,62650000.0,-1512000.0,55000000.0,69674000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,834000.0,,,,-8045000.0,53154000.0,,30825000.0,,,,,,,,,,0.0,,,,,,,,,,11111111.0,,-15862000.0,,,,2498000.0,,,,,,,,,,56969000.0,,,,,-13609000.0,,,,,,,113634000.0,,,,,-2785000.0,,34228000.0,0.0,,,,,,,,12763000.0,,,,,,,343000.0,,,60026000.0,,,,,,,2080000.0,,3112000.0,,,,31443000.0,,11111111.0,,,,,,,3.64851,,,,,,,30452000.0,,,,,,,,,,,,40539000.0,,,-20286000.0,,,,,4374000.0,,,,,,,,,3.64851,,87794000.0,,,-592000.0,40391000.0,40539000.0,,,2279000.0,,,,,,,-31116000.0,-393000.0,,3946000.0,,,25840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,3946000.0,,55897000.0,83004000.0,-5775000.0,21504000.0,,42583000.0,,,,,13543000.0,,282147000.0,,-4976000.0,0.0,,,,,15592000.0,,53756000.0,,,11111111.0,,18949000.0,,,,2326000.0,,,5644000.0,55160000.0,,,,,,21991000.0,,,168847000.0,6400000.0,18707000.0,,,,,,,81436000.0,17223000.0,,14929000.0,,-4284000.0,,43051000.0,-85050000.0,,,,,,6499000.0,,7588000.0,,,,9953000.0,,,344000.0,,,28358000.0,,,49516000.0,,,,1972000.0,,1698000.0,,,,38767000.0,49663000.0,11111111.0,,,58797000.0,,,57859000.0,1.252,89634000.0,178235000.0,,,,,41107000.0,,,,,,,398634000.0,,,,220399000.0,13916000.0,,,,,,,,4528000.0,,,,,1588000.0,12582000.0,,116656000.0,1.252,,64574000.0,,,2166000.0,13916000.0,13916000.0,,,-3226000.0,0.0,,,,,,43697000.0,2005000.0,16525000.0,5644000.0,-85050000.0,,16862000.0,,,,,82955000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,5644000.0,,10000.0,,-2000000.0,-55585000.0,,104357000.0,,,,,3969000.0,,1147970000.0,,,,,,,,9679000.0,,,,,50261000.0,,23333000.0,,,,2538000.0,,,849455000.0,903794000.0,,,,,,-53581000.0,,,1090616000.0,19126000.0,17052000.0,,,,,,,64902000.0,20943000.0,,11245000.0,,-6826000.0,,24839000.0,832746000.0,,,,,,228000.0,,4749000.0,,,,11245000.0,,,59472000.0,,,-48090000.0,,,54339000.0,,,895182000.0,2274000.0,,843811000.0,,,,18013000.0,-9868000.0,50261000.0,,,63384000.0,,,62896000.0,-1.2,,1003172000.0,,,,,105343000.0,,,,,,,1274008000.0,,,,270836000.0,-60243000.0,,,-4948000.0,,,,,4957000.0,,,,-62486000.0,1667000.0,12452000.0,,126280000.0,-1.2,,50776000.0,,,3262000.0,-60334000.0,-60243000.0,,,-4092000.0,1855000.0,,,,,,-13774000.0,1437000.0,21482000.0,849455000.0,50000.0,,14126000.0,,,,,57046000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,849455000.0,81662000.0,10000.0,98106000.0,-936000.0,-119974000.0,,56869000.0,479000.0,,819090000.0,,5997000.0,50261000.0,1070178000.0,11467000.0,-6278000.0,,834000.0,,734742000.0,-1.64,6091000.0,,,,346728000.0,50261000.0,,-83440000.0,-792000.0,,,2419000.0,,8704000.0,12301000.0,819090000.0,13347000.0,243024000.0,,,,40223000.0,1378000.0,-16756000.0,1089505000.0,15675000.0,57242000.0,-36257000.0,,,-780964000.0,-3563000.0,238168000.0,121009000.0,17294000.0,,13347000.0,-82916000.0,-22362000.0,-727951000.0,-9994000.0,-12954000.0,,9781000.0,,50261000.0,,479000.0,,-43085000.0,10000.0,89634000.0,60297000.0,13347000.0,-57020000.0,,138000.0,,,45958000.0,-75440000.0,-1.64,806789000.0,-6278000.0,15131000.0,0.0,2378000.0,300236000.0,-837154000.0,,79392000.0,264994000.0,-32356000.0,-86687000.0,50261000.0,55867000.0,895182000.0,207106000.0,,1089505000.0,57888000.0,-1.53,89634000.0,988150000.0,,380981000.0,,,57211000.0,-86687000.0,-100901000.0,12301000.0,5997000.0,-17985000.0,80745000.0,1334878000.0,1334878000.0,,-82916000.0,346728000.0,-76889000.0,,-85000000.0,-756473000.0,62068000.0,6091000.0,,,5735000.0,15675000.0,,,-12954000.0,2286000.0,16232000.0,17294000.0,264994000.0,-1.53,,97092000.0,16232000.0,1070178000.0,135798000.0,-76889000.0,-76889000.0,19594000.0,12301000.0,1476000.0,1378000.0,,988150000.0,136611000.0,,,-779771000.0,-243000.0,15131000.0,12301000.0,0.0,13347000.0,23917000.0,-82916000.0,2286000.0,98106000.0,806789000.0,136611000.0,92124000.0,140634000.0,207106000.0,57888000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,12301000.0,,10000.0,103302000.0,0.0,41561000.0,,51955000.0,,-14000000.0,,,26332000.0,,1091424000.0,,-5793000.0,-515000.0,,,,,4665000.0,,,,,50298000.0,,-16201000.0,,,,7919000.0,,,4357000.0,837313000.0,,,,,,43231000.0,,,1081261000.0,14811000.0,6230000.0,,,,,,,117055000.0,18134000.0,,37934000.0,,-14285000.0,,46526000.0,30000.0,,,,,,127000.0,,10720000.0,,,,32141000.0,,,137000.0,,,56720000.0,,,832956000.0,,,,6337000.0,,-7944000.0,,,,32241000.0,-57334000.0,50298000.0,,,227582000.0,,,86071000.0,0.61,75037000.0,1023675000.0,,,,,49894000.0,,,,,,,1405077000.0,,,,381402000.0,30841000.0,,,-26291000.0,,,,,7240000.0,,,17410000.0,545000.0,4812000.0,15791000.0,,313653000.0,0.59,,95186000.0,,,686000.0,30841000.0,30841000.0,,,36000.0,1167000.0,,,,,,-54576000.0,8588000.0,13768000.0,4357000.0,,,21869000.0,,,,,151159000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
