,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,quarterlyChangeInInventory,annualInterestExpense,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualDilutedAverageShares,trailingDeferredIncomeTax,trailingNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualCapitalExpenditure,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualOperatingExpense,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,trailingSellingGeneralAndAdministration,quarterlyDeferredIncomeTax,annualDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,annualRepurchaseOfCapitalStock,trailingRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,annualCashCashEquivalentsAndMarketableSecurities,annualNetIncomeCommonStockholders,annualOperatingCashFlow,annualDeferredIncomeTax,quarterlyStockBasedCompensation,annualGrossProfit,annualEbitda,quarterlyPretaxIncome,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualOtherNonCurrentAssets,annualNetPPE,trailingOperatingExpense,quarterlyRepaymentOfDebt,quarterlyTaxProvision,annualBasicEPS,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,trailingTaxProvision,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyTotalRevenue,annualTaxProvision,annualDepreciationAndAmortization,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyOperatingExpense,annualCurrentAccruedExpenses,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,annualPurchaseOfBusiness,quarterlyInventory,trailingOtherNonCashItems,annualNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,annualCostOfRevenue,trailingOperatingCashFlow,annualCurrentDeferredRevenue,annualSellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyNetIncome,annualFreeCashFlow,trailingSaleOfInvestment,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,annualNetIncome,trailingPretaxIncome,quarterlyBasicEPS,trailingCashDividendsPaid,annualGoodwill,quarterlyTotalAssets,annualCashDividendsPaid,annualRetainedEarnings,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyGoodwill,annualPretaxIncome,annualTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualNetOtherInvestingChanges,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualAccountsReceivable,annualPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,annualCommonStockIssuance,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,trailingFreeCashFlow,annualChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,annualChangeInWorkingCapital,quarterlyNetPPE,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,annualInventory,trailingCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyEbitda,trailingEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingOtherIncomeExpense,trailingOperatingIncome,trailingNetOtherFinancingCharges,annualCashAndCashEquivalents,annualBasicAverageShares,annualCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalRevenue,quarterlyAccountsPayable,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,annualInvestingCashFlow,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,annualAccountsPayable,trailingInvestingCashFlow,annualGrossPPE,annualOperatingIncome,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,trailingTotalRevenue,trailingPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,trailingRepaymentOfDebt,trailingCapitalExpenditure,annualOtherIncomeExpense,trailingChangeInAccountPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,,43000000.0,,,134634000.0,,,8000000.0,-617000000.0,,-391000000.0,807000000.0,506000000.0,1288000000.0,-1158000000.0,,,2.01,,,-1101000000.0,,-1716000000.0,,,359000000.0,,,,,,,409000000.0,271000000.0,386000000.0,-100000000.0,,891000000.0,731000000.0,,,1065000000.0,491000000.0,3495000000.0,,,,2.01,,,,,26000000.0,14000000.0,,,,208000000.0,214000000.0,,,,306000000.0,,,,,,,266000000.0,,2847000000.0,,,292000000.0,,3434000000.0,,-231000000.0,,,,794000000.0,5183000000.0,67000000.0,-76000000.0,271000000.0,,,,203000000.0,,-1000000.0,1213000000.0,,,,,474000000.0,6248000000.0,,,,43000000.0,,,,-55000000.0,,,,2779000000.0,135000000.0,,,,,,,,,,,,-19000000.0,,,2082000000.0,697000000.0,,,47000000.0,,,,,,416000000.0,150000000.0,,0.0,,,,-374000000.0,,,,,409000000.0,134585000.0,1000000.0,-4000000.0,,,3738000000.0,,324000000.0,,,-389000000.0,,,54000000.0,303000000.0,,5211000000.0,385000000.0,,,,,,,,,,,,,,132000000.0,,,,,,,,,,,,,
1222732800,,,-5000000.0,,-18000000.0,,,,,,,,,,,,,,-13000000.0,,-10000000.0,217000000.0,,,,-17000000.0,,,,,,,100000000.0,,,,,,,,,93000000.0,,,,,,-17000000.0,11000000.0,,-188000000.0,,,,,,55000000.0,437000000.0,942000000.0,,,,-49000000.0,117000000.0,,,0.0,16000000.0,,,,,,,,,,,,137000000.0,,,,,,,,,,,,,,,,,,,,,,,725000000.0,,,,94000000.0,82000000.0,,,,,45000000.0,,,,,,,,,,,,,,,0.0,2000000.0,,,-80000000.0,,,,,,,137000000.0,,,,,,178000000.0,,,,,,,,,,,,,,,,2000000.0,,,27000000.0,62000000.0,,,,,,,-292000000.0,23000000.0,,,,,,513000000.0,,,,,,,,,,,,,,,,,,
1230681600,0.0,,-6000000.0,75000000.0,1000000.0,,128061000.0,,,0.0,-286000000.0,3564000000.0,12000000.0,416000000.0,539000000.0,1209000000.0,-186000000.0,,19000000.0,1.31,-42000000.0,173000000.0,0.0,,-1796000000.0,15000000.0,,256000000.0,,,,23000000.0,14000000.0,5412000000.0,428000000.0,170000000.0,291000000.0,5000000.0,,903000000.0,528000000.0,-171000000.0,,1057000000.0,330000000.0,3616000000.0,,-169000000.0,-28000000.0,1.31,-87000000.0,,,-1796000000.0,38000000.0,-21000000.0,97000000.0,428000000.0,886000000.0,90000000.0,249000000.0,,-94000000.0,159000000.0,274000000.0,,5000000.0,-161000000.0,,170000000.0,,114000000.0,204000000.0,2934000000.0,,,290000000.0,1874000000.0,3564000000.0,-140000000.0,5000000.0,,,1209000000.0,665000000.0,5062000000.0,0.0,-44000000.0,170000000.0,,,,120000000.0,6119000000.0,-2000000.0,1381000000.0,,5062000000.0,,120000000.0,204000000.0,6119000000.0,713000000.0,274000000.0,,-5000000.0,54000000.0,-143000000.0,,-368000000.0,,665000000.0,-40000000.0,2527000000.0,236000000.0,,,1381000000.0,,330000000.0,1057000000.0,,-1000000.0,653000000.0,,,-10000000.0,,-58000000.0,1874000000.0,653000000.0,-9000000.0,,-179000000.0,3616000000.0,,,0.0,-140000000.0,428000000.0,170000000.0,,-7000000.0,,-85000000.0,,-20000000.0,,,,,428000000.0,128037000.0,1000000.0,-60000000.0,,2527000000.0,3837000000.0,318000000.0,204000000.0,0.0,256000000.0,-284000000.0,14000000.0,62000000.0,23000000.0,318000000.0,,5412000000.0,364000000.0,428000000.0,-8000000.0,24000000.0,38000000.0,,,-60000000.0,428000000.0,437000000.0,,1000000.0,,,-85000000.0,,,,,,,,,,,,,
1238457600,,,,,-2000000.0,,,,,,,,,,,,,,0.0,,-20000000.0,139000000.0,,,,,,,,0.11,,,21000000.0,,,,,,,,,25000000.0,,,,,,-43000000.0,12000000.0,,-181000000.0,128180193.0,,,,,53000000.0,364000000.0,789000000.0,,,,-167000000.0,118000000.0,,,72000000.0,20000000.0,,,,,,,,,,,,12000000.0,,,,,,,,,,,0.11,,,,,,,,,,,,650000000.0,,,,36000000.0,13000000.0,,,128086698.0,,-131000000.0,,,,,,,,,,,,,,,,,,,-64000000.0,,,,,,,12000000.0,,,,,,106000000.0,,,,,,,,,,,,,,,,0.0,,,22000000.0,65000000.0,,,,,,,-34000000.0,16000000.0,,,,,,428000000.0,,,,,,,,,,,,,,,,,,
1246320000,0.0,,,,19000000.0,,,,,,,4874000000.0,,,,,,,-9000000.0,,-20000000.0,158000000.0,,,,,,,,-0.34,,11000000.0,24000000.0,5412000000.0,,,,,,,,-73000000.0,,,,,,13000000.0,-25000000.0,,-33000000.0,145602119.0,,-1796000000.0,,,69000000.0,968000000.0,847000000.0,,,,-46000000.0,134000000.0,,,627000000.0,-86000000.0,,134000000.0,,,224000000.0,,,,,1265000000.0,,-50000000.0,,,,670000000.0,,,,,,,-0.34,,,6739000000.0,,,,5210000000.0,,120000000.0,,,689000000.0,161000000.0,255000000.0,,25000000.0,-48000000.0,,,145602119.0,595000000.0,-21000000.0,,,,,1345000000.0,,438000000.0,1529000000.0,,,574000000.0,,,,,,,,604000000.0,,,3616000000.0,,,0.0,-50000000.0,,,,,,3000000.0,,,,,,,,,,,,1839000000.0,,291000000.0,,1355000000.0,276000000.0,,2000000.0,65000000.0,,,,,,968000000.0,-5000000.0,11000000.0,17000000.0,,,-64000000.0,968000000.0,364000000.0,,2000000.0,,,,,,,,,,,,,,,,
1254268800,0.0,,0.0,,-24000000.0,,,,,,,4902000000.0,,,,,,,80000000.0,,-7000000.0,129000000.0,,,,-23000000.0,,,,0.03,,7000000.0,-5000000.0,5484000000.0,,,,,,,,8000000.0,,,,,,-877000000.0,2000000.0,,-65000000.0,168194482.0,,-1867000000.0,,,66000000.0,1297000000.0,806000000.0,,,,-50000000.0,134000000.0,,,234000000.0,28000000.0,,134000000.0,,,224000000.0,,,,,1564000000.0,,5000000.0,,,,0.0,,,,,,,0.03,,,7054000000.0,,,,5160000000.0,,120000000.0,,,677000000.0,278000000.0,,,160000000.0,6000000.0,,,168184196.0,1564000000.0,110000000.0,,,,,1350000000.0,,460000000.0,1894000000.0,,,562000000.0,,,,0.0,17000000.0,,,329000000.0,,,3617000000.0,,,0.0,5000000.0,,,,,,92000000.0,,,,,,,,,,,,2126000000.0,,265000000.0,,-13000000.0,274000000.0,,14000000.0,69000000.0,,,,,,1297000000.0,-8000000.0,15000000.0,12000000.0,,,-46000000.0,1297000000.0,968000000.0,,2000000.0,,,,,,,,,,,,,,,,
1262217600,0.0,,1000000.0,56000000.0,6000000.0,,153571429.0,,,0.0,-325000000.0,5016000000.0,899000000.0,428000000.0,531000000.0,0.0,-1586000000.0,,2000000.0,-0.28,-37000000.0,154000000.0,0.0,,-1922000000.0,19000000.0,,284000000.0,,,,5000000.0,10000000.0,5527000000.0,1327000000.0,-43000000.0,276000000.0,73000000.0,,579000000.0,271000000.0,-10000000.0,,1989000000.0,482000000.0,3605000000.0,,-679000000.0,3000000.0,-0.28,-148000000.0,,,-1922000000.0,12000000.0,-10000000.0,73000000.0,1327000000.0,889000000.0,-10000000.0,270000000.0,,-62000000.0,144000000.0,282000000.0,,123000000.0,-6000000.0,,133000000.0,,-45000000.0,223000000.0,2753000000.0,,,261000000.0,1620000000.0,5016000000.0,-12000000.0,-49000000.0,,,0.0,1620000000.0,5166000000.0,0.0,56000000.0,-43000000.0,,,,113000000.0,7155000000.0,-1000000.0,1338000000.0,,5166000000.0,,113000000.0,-55000000.0,7155000000.0,735000000.0,282000000.0,,-1000000.0,55000000.0,-13000000.0,,-139000000.0,,1620000000.0,-7000000.0,2115000000.0,38000000.0,,,1338000000.0,,482000000.0,1989000000.0,1482000000.0,0.0,495000000.0,,,-19000000.0,127000000.0,17000000.0,1620000000.0,495000000.0,30000000.0,,-84000000.0,3605000000.0,,,0.0,-12000000.0,1327000000.0,133000000.0,,-12000000.0,,75000000.0,,1056000000.0,,,,,1327000000.0,153571429.0,2000000.0,-53000000.0,,2115000000.0,3332000000.0,196000000.0,223000000.0,0.0,284000000.0,-427000000.0,0.0,71000000.0,5000000.0,196000000.0,,5527000000.0,48000000.0,1327000000.0,-92000000.0,14000000.0,12000000.0,,,-53000000.0,1327000000.0,1297000000.0,,2000000.0,,,-47000000.0,,,,,,,,,,,,,
1269993600,599000000.0,,,,-111000000.0,,,,,,,5026000000.0,,,,,,,9000000.0,,-28000000.0,160000000.0,,,,,,,,0.03,,,21000000.0,,,,,,,,,24000000.0,,,,,,-3000000.0,17000000.0,,-89000000.0,174003970.0,,,,,69000000.0,1308000000.0,841000000.0,,,,-37000000.0,139000000.0,,,-3000000.0,15000000.0,,130000000.0,,,222000000.0,,,,,1625000000.0,,5000000.0,,,,0.0,,,,,,,0.03,,,7154000000.0,,,,4992000000.0,,,,,681000000.0,,,,61000000.0,7000000.0,,,173963792.0,1625000000.0,24000000.0,,,,,1343000000.0,,676000000.0,2162000000.0,,,480000000.0,,,,,1000000.0,,,-19000000.0,,,3454000000.0,,,284000000.0,5000000.0,,,,,,106000000.0,,,,,,,,,,,,2105000000.0,,196000000.0,,0.0,262000000.0,,2000000.0,70000000.0,,,,,,1308000000.0,-56000000.0,12000000.0,,,,-49000000.0,1308000000.0,1327000000.0,,2000000.0,,,,,,,,,,,,,,,,
1277856000,4000000.0,,,,91000000.0,,,,,,,5039000000.0,,,,,,,-9000000.0,,21000000.0,183000000.0,,,,,,,,0.14,,6000000.0,59000000.0,,,,,,,,,19000000.0,,,,,,-2000000.0,0.0,,-259000000.0,174257957.0,,,,,58000000.0,1179000000.0,889000000.0,,,,-53000000.0,124000000.0,,,-2000000.0,-28000000.0,,129000000.0,,,208000000.0,,,,,1546000000.0,,25000000.0,,,,0.0,,,,,,,0.14,,,7170000000.0,,,,4959000000.0,,113000000.0,,,706000000.0,294000000.0,,,123000000.0,19000000.0,,,174118518.0,1546000000.0,70000000.0,,,,,1368000000.0,,494000000.0,2211000000.0,,,563000000.0,,,,,,,,-129000000.0,,,3414000000.0,,444000000.0,0.0,25000000.0,,,,,,97000000.0,,,,,,,,,,,,2109000000.0,,204000000.0,,0.0,279000000.0,,83000000.0,66000000.0,,,,,,1179000000.0,-380000000.0,12000000.0,59000000.0,,,-69000000.0,1623000000.0,1308000000.0,,2000000.0,,,,,,,,,,,,,,,,
