date,annualCurrentAssets,annualBeginningCashPosition,trailingInterestExpense,quarterlyOtherCurrentAssets,annualInterestExpense,trailingBeginningCashPosition,trailingOperatingExpense,annualNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,trailingCapitalExpenditure,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualGrossPPE,quarterlyCapitalStock,annualRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyAccountsPayable,trailingNetOtherFinancingCharges,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualCapitalExpenditure,quarterlyAccumulatedDepreciation,annualTaxProvision,trailingResearchAndDevelopment,annualCostOfRevenue,annualCapitalStock,quarterlyNetPPE,trailingCostOfRevenue,annualStockBasedCompensation,annualCurrentDebt,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualInventory,annualOtherCurrentAssets,annualResearchAndDevelopment,trailingTaxProvision,annualOtherNonCashItems,annualBasicAverageShares,annualGrossProfit,trailingPurchaseOfBusiness,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualChangeInInventory,trailingFreeCashFlow,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingPurchaseOfInvestment,quarterlyLongTermDebt,trailingCashDividendsPaid,annualLongTermDebt,annualPretaxIncome,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,annualDilutedAverageShares,annualAccountsReceivable,annualGoodwill,annualTotalAssets,trailingNetIncome,annualNetIncome,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualDilutedEPS,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyGoodwill,trailingCommonStockIssuance,annualInvestingCashFlow,quarterlyInventory,trailingSaleOfInvestment,annualTotalRevenue,annualDepreciationAndAmortization,annualPurchaseOfInvestment,annualRetainedEarnings,annualBasicEPS,trailingOperatingCashFlow,trailingEndCashPosition,trailingOperatingIncome,trailingTotalRevenue,annualEndCashPosition,annualOtherIncomeExpense,annualNetPPE,annualCurrentLiabilities,annualOperatingIncome,annualOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualEbitda,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentLiabilities,annualInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,quarterlyInterestExpense,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,quarterlyOperatingIncome,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2003-12-31,1429267222.217213,345749063.379864,74460955.75271,,27040533.611627,3676830000.0,9997265565.315088,536074500.539672,363117324.455447,-548309433.042074,-2679728034.495702,99180254.585921,314239980.564092,2402649664.03185,,-664101473.97984,-768493570.294297,,-755849259.129507,14436087334.152138,0.0,,,158787566.267559,3583549612.717154,-444361020.011644,,101267923.242976,1773199993.537243,1656344370.786633,163998208.109758,,6451209504.730887,,171981035.094114,2155151106.990229,108317803.304491,311182047.107283,31920645.686877,,835250405.597397,0.0,1515192387.0,986215526.572711,-379438681.810696,414565360.858735,-18350799.416021,1313392015.725182,3579697789.934849,,,677141406.398522,8481518619.002447,,,,-11450190.862161,1157123254.67886,537557619.590725,326980303.74241,-2061438608.87678,,-997896274.922535,262973747.485182,640308661.884755,,4414948195.532245,1535693788.0,581627899.775631,62850768.297961,3584418329.207443,3583549612.717154,536074500.539672,-210901448.264936,,,,2890268575.397347,,,-1884190003.983367,0.16985,,23662732.638415,,,2262206499.829984,,1122794000.0,-541136937.099271,,85790976.383231,2642559897.359344,155628341.430555,,,0.16985,3836851289.174562,4039947324.455447,4438821768.837048,20887296838.883022,504536629.647423,,1854340230.989776,1050418268.240001,659235222.830301,64433046.279099,,,1121502426.410166,,860131215.182162,262973747.485182,822977536.926937,,,,,,504536629.647423,-82778514.569847,,504536629.647423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,1584137559.50121,504145078.558457,,,29787451.476896,,,260628214.699852,,-716433007.988407,,51096468.859113,385095420.025199,3926054077.02178,,-211744576.654342,,,,,0.0,,,29987746.225552,,-1226374914.884279,,4020810.539497,,1938814812.670769,163870935.532902,,,,266150170.456666,3430951027.887995,-49830776.511227,482470629.799704,7758225.317599,,,0.0,1538124661.0,672100748.48681,,93392753.54858,0.0,2597598091.167193,,,,-691723241.469445,,,,,-171530078.873772,,261034131.185159,381122552.377667,,,,929268551.784361,265460858.209964,,,1538124661.0,559775879.599898,59410831.723511,5015088587.389205,,260628214.699852,-114710294.111591,,,,,,,,0.169445,,0.0,,,2406774727.168948,,,-1150755124.086069,,,2610915561.157579,195845648.281019,,,0.169718,,,,,534132824.784009,,3209621069.033373,1668329539.382832,290978196.109143,74524562.066201,,,534651673.414835,,1398032841.469959,929268551.784361,491093957.967879,,,,,,534132824.784009,68712818.162396,,534132824.784009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,1982678180.054152,521869124.677669,,,,,,162925228.597215,,,,163468597.215059,305234718.733883,,,-929679763.602372,,,,,366468822.782362,,,-42781430.698814,,-438408954.100052,,-7599874.097473,,2600779760.636926,,,,,,3617327719.443012,1227168877.191851,787002823.040227,37384177.282104,,,-78208648.207839,1537504912.0,721955770.242393,,-300976249.355338,,3002320841.735431,,,,-243849678.958226,,,,,-315609728.33935,,162925228.597215,305234718.733883,,,,,155091143.888602,,,1537504912.0,,58046757.864879,5600005899.497163,,162691017.986075,-57071400.786488,,,,,,,,0.105967,,,,,2586551205.776173,,,-477758418.643631,,,3322735530.879319,272767923.349665,,,0.105967,,,,,492056716.219701,,3307000741.554925,1809164549.96132,416721051.50851,63739637.119649,,,194559275.141826,,1435067747.808149,1193156291.77411,689488974.858174,,,,,,492056716.219701,-47663420.771016,,492056716.219701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,1772234931.524465,473982515.913329,,,,,,15706299.749245,,,,147632599.81997,308925990.484151,,,-727960522.085771,,,,,775903641.09818,,,-111198476.499711,,-336904340.963158,,-13800166.205877,,2933328956.149939,,,,,,3515413609.593005,712876899.31203,684779227.480229,23030023.789623,,,-101749027.518807,1535686275.0,614981249.598148,,-262589197.58246,,2629656113.290041,,,,-105463029.962065,,,,,73315451.038385,,15706299.749245,308925990.484151,,,,,1604320.709831,,,1535686275.0,,55914587.539381,5287648541.117469,,15404486.915708,0.0,,,,,,,,0.010228,,,,,2648774602.649007,,,-327556164.727062,,,3548310205.748087,333190338.5199,,,0.010228,,,,,388451165.370025,,3241756604.513599,1770850202.211792,306055259.113997,48405363.916929,,,231441311.001093,,979904049.05806,858805911.078249,639245597.633897,,,,,,388451165.370025,9174709.059345,,388451165.370025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,821228273.851812,362919504.048505,,,112809000.0,,,447215230.053065,,,,1320766000.0,796729181.506911,,,-854921083.398949,,,,,273544469.4368,,,22444698.435741,,-597433299.599638,,42688862.76632,,3231610332.508329,153812000.0,,,,516174.666643,1237503938.178545,-166654157.615986,,,,,448252263.366992,1537976804.0,1439310433.709416,,45964838.826664,-132981957.58367,626751271.228042,,,,245209196.946886,,,,,-200172723.083276,,447215230.053065,866822141.411706,,,,,489333583.977307,,,1537976804.0,,,2058732212.030357,,446644721.210986,-399075.150617,,,,,,,,0.290782,,,,,1431980940.802314,,,-743590357.930428,,,4670920766.217745,394390233.179532,,,0.290782,,,,,408529297.142579,-2683000.0,215463.109488,289504665.073083,572488292.297709,,,,842642496.546524,,,337246606.154959,966878525.477241,,,,1320766000.0,,24517828.267466,-16313367.776618,,24517828.267466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,3255393162.416388,383980950.668896,,,96298131.201226,,,828167274.247492,,-1768311822.603122,,-2858117.474916,867543433.667781,5097771259.127648,,-1187935232.789855,,,,,0.0,,,580079859.810479,,-363532115.105909,,141746249.37291,,4005116294.384058,135153912.486065,,,,508066922.101449,3703591064.311594,15298764.980491,1166413942.795429,5716234.949833,,,83058866.151059,1537782278.0,2008724760.172798,,-134445106.396321,-33201181.647157,2923460591.346154,,,13639014.074693,971570633.012821,,,,,-335311066.680602,,833864138.09922,936193724.846711,,,,808855169.941472,975610387.472129,,,1537782278.0,1087890555.11427,93996492.544593,6958984226.727982,,828167274.247492,-69455072.254738,,,,,,,,0.538517,,,-1142014.283724,,3959961384.197324,,,-388641460.772018,,,6013841054.556856,414925399.386845,-13796624.37291,,0.538517,,,,,987100090.16165,,3329459436.524526,2100966407.329989,1072531035.326087,78658104.863434,,,1335102748.118729,,1487048761.148272,822494184.016165,1486833918.060201,-5654599.637681,,,,,987100090.16165,5547178.093645,,987100090.16165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,3801717579.187685,987038256.710406,,44688965.281001,,,,854686476.109976,,-2154389008.912821,,-52826.95819,923911802.57172,5715796755.293277,135145446.239388,-100050737.01503,,1639872925.57562,,,32971945.954415,31100110.735875,4543368451.95948,283593601.000371,,-627696960.810407,-2154389008.912821,125707029.709405,,4194731658.687422,135145446.239388,3561407746.380456,,,775483898.14471,4084936989.234209,-968941501.733049,861541654.384458,44688965.281001,,,0.0,1534960661.0,1996236541.932298,,33271298.717492,-235751746.764718,3194332583.801411,,,31100110.735875,752580770.421347,,5715796755.293277,2533327345.402779,3801717579.187685,373660042.917453,,865511600.292452,965615164.265672,,629905127.662757,,629905127.662757,991218630.001857,32971945.954415,,1534960661.0,1618106457.90265,132809614.238078,7886654568.421894,,854686476.109976,-270290892.478775,4084936989.234209,7886654568.421894,1618106457.90265,,,0.0,,0.556796,,,0.0,661005238.398632,4543368451.95948,132809614.238078,,-890781375.742735,861541654.384458,,6190968200.61972,442153716.008263,-5732605.41294,,0.556796,,,,,1270631857.710777,,3561407746.380456,2533327345.402779,1030621377.666625,136054069.920259,775483898.14471,1270631857.710777,1380277731.231754,1270631857.710777,1639872925.57562,661005238.398632,1472775093.674888,0.0,3194332583.801411,0.0,,136054069.920259,1270631857.710777,-43050449.127802,-52826.95819,1270631857.710777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,37046103.053788,,,,,,,,,,,134243694.00468,,,1789194979.114381,,,,33357147.632723,4561600652.313075,,,,,,,,,3508751960.267104,,,,,,,,,,,,,,,,,,,,,,,2248498789.99684,3974420050.096715,,,,,,1017527249.990367,,,,17794968.220105,,,,,,,,,4024397612.338712,7998817662.435427,1773156156.575997,,,0.0,,,,,,1050884397.62309,,131923447.742925,,,1008641572.636641,,,,,,,,,,,,,,,,,380328855.103047,1148663580.644871,,1148663580.644871,,,,,3299383187.619931,,,133217818.066105,,,-244006.29741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3974256672.698841,1229899582.1584,,35733794.089719,54361728.056166,,,640608155.151612,,-2472930247.057901,,0.0,977492696.140547,6183009954.316684,130813128.01325,-957392969.605703,,1882219013.207482,,,0.0,37794474.130476,4892205260.581468,-333486719.929176,,-637003243.417781,-2472930247.057901,161891216.948852,,4687950791.297633,130813128.01325,3710079707.258783,,,275509001.21423,4308679987.898817,6931145.893911,1026815217.794316,35733794.089719,,,47441661.087205,1534960661.0,1937607672.384041,,-371937407.306709,0.0,3274887604.060796,,,37794474.130476,221224825.632717,,6183009954.316684,2209109511.666245,3974256672.698841,-192891753.409802,,660313301.513226,1068483054.532419,,1027983618.264075,,1027983618.264075,822204518.462078,0.0,,1534960661.0,713825361.248203,133088568.753044,8282936660.597658,,640608155.151612,-313952018.566797,4308679987.898817,8282936660.597658,713825361.248203,,,0.0,,0.417335,,,0.0,1065778092.394552,4892205260.581468,133088568.753044,,-702054429.601,1026815217.794316,,6625558463.681674,489306686.00526,-36784587.510006,,0.417335,,,,,937282164.145908,,3710079707.258783,2209109511.666245,869124617.851622,176924465.881422,275509001.21423,937282164.145908,858228069.050498,937282164.145908,1882219013.207482,1065778092.394552,1365872932.523504,,3274887604.060796,0.0,,176924465.881422,937282164.145908,-58778810.211353,0.0,937282164.145908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,46595395.728659,,,,,,,,,,,127183938.841701,,,344500807.324501,,,,39844488.184423,4799807136.34109,,,,,,,,,3754523050.474808,,,,,,,,,,,,,,,,,,,,,,,2578495834.240115,4201024084.766323,,,,,,1025648256.509168,,,,0.0,,,,,,,,,4354396889.081353,8555420973.847676,724269286.819753,,,0.0,,,,,,1065492744.693592,,132963779.882037,,,1217020688.929723,,,,,,,,,,,,,,,,,589282728.852109,620899756.315133,,620899756.315133,,,,,3643988578.933707,,,174649802.57514,,,-3450279.102042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
