,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,quarterlyCapitalStock,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualEbitda,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyStockholdersEquity,annualBasicAverageShares,annualChangeInCashSupplementalAsReported,annualDilutedEPS,annualOtherIntangibleAssets,annualBasicEPS,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualCapitalStock,trailingOperatingCashFlow,annualTotalNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,trailingRepaymentOfDebt,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,annualInventory,annualAccumulatedDepreciation,trailingTaxProvision,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualCurrentDebt,annualCostOfRevenue,quarterlyOtherCurrentLiabilities,annualBeginningCashPosition,annualOperatingExpense,annualGrossProfit,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingFreeCashFlow,trailingOperatingExpense,quarterlyCurrentAssets,trailingCostOfRevenue,trailingNetIncome,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyOtherShortTermInvestments,quarterlyGoodwill,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualRetainedEarnings,annualGoodwill,annualNetIncome,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualCashDividendsPaid,annualPretaxIncome,annualCommonStockIssuance,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualTotalRevenue,trailingOperatingIncome,annualOtherCurrentAssets,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyLongTermDebt,annualInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,trailingInvestingCashFlow,annualTotalAssets,trailingSaleOfInvestment,annualTaxProvision,trailingPurchaseOfInvestment,annualLongTermDebt,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyCurrentDebt,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,trailingEndCashPosition,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualOtherNonCurrentAssets,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,trailingCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,trailingCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangeInInventory,trailingSellingGeneralAndAdministration,annualNonCurrentDeferredRevenue,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualGainsLossesNotAffectingRetainedEarnings,trailingBasicEPS,annualChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInAccountPayable,annualIncomeTaxPayable,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,annualResearchAndDevelopment,quarterlyIncomeTaxPayable,annualCurrentDeferredRevenue,quarterlyGrossProfit,trailingBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,trailingDeferredIncomeTax,trailingDepreciationAndAmortization,quarterlyDilutedEPS,trailingResearchAndDevelopment,quarterlyNetOtherInvestingChanges,trailingOtherNonCashItems,quarterlyDilutedAverageShares,trailingRepurchaseOfCapitalStock
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,202870000.0,,,-4485000.0,0.0,18253000.0,,181158000.0,,405000000.0,71607000.0,0.0,,0.002,,319000.0,,,0.0,,161836000.0,,,44945000.0,,-61293000.0,,,,,828000.0,-3273000.0,,,,14581000.0,-20445000.0,,103328000.0,,2713000.0,1011052000.0,,83499000.0,45305000.0,48677000.0,,,,,469415000.0,-5172000.0,,,,,,,,,,,,11198000.0,0.0,,0.0,-4485000.0,,,,6483000.0,,-35778000.0,,,1059729000.0,,0.0,,24776000.0,,-59949000.0,,37272000.0,,356032000.0,,342000.0,,172722000.0,3372000.0,154839000.0,,,-11948000.0,,11451000.0,93823000.0,,154839000.0,0.0,,,,25515000.0,375592000.0,194196000.0,0.0,160713000.0,154839000.0,,,405000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,364206000.0,,,-5113000.0,0.0,87425000.0,,251226000.0,,472335000.0,-11972000.0,0.0554,,0.0671,,2571000.0,,,50000000.0,,231798000.0,,,60104000.0,,-44130000.0,,,,,31693000.0,-1629000.0,-7082000.0,,,26021000.0,-33096000.0,,58740000.0,,3274000.0,880502000.0,,154839000.0,61163000.0,127833000.0,,,,,580927000.0,-9430000.0,,,,,,,,,,,,-107469000.0,0.0,,13073000.0,-5113000.0,,,,68499000.0,,-66915000.0,,,1008335000.0,,0.0,,129286000.0,,-48488000.0,,19235000.0,,529972000.0,,0.0,,100000000.0,66670000.0,142867000.0,,,131148000.0,,16355000.0,116721000.0,,142867000.0,1673000.0,,,,-22785000.0,464206000.0,298174000.0,0.0,218130000.0,142867000.0,,,472335000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,-1496000.0,,132538000.0,30834000.0,199628000.0,,,,605076000.0,-44558000.0,17.44,,21.97,,,,,,,378304000.0,,,81310000.0,,-98113000.0,,,,,169758000.0,177706000.0,,,,22986000.0,,,11313000.0,,14599000.0,888427000.0,,142867000.0,82182000.0,261895000.0,,,,,251499000.0,3161000.0,,,,,,,,,,,,-141890000.0,-30777000.0,,5378000.0,132538000.0,,,,178303000.0,4772000.0,-42382000.0,,,1150322000.0,,142640000.0,,93386000.0,,-127039000.0,,89341000.0,,735540000.0,,8545000.0,,,179713000.0,98224000.0,,,268373000.0,,19915000.0,151499000.0,,98224000.0,,,,,55731000.0,100000000.0,357236000.0,0.0,371987000.0,98224000.0,,,605076000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,,209074000.0,32435000.0,307354000.0,,,,615466588.0,259670000.0,0.3036,9662000.0,0.3397,,,,,,,629288000.0,,,102789000.0,,-200540000.0,,,,,251259000.0,269849000.0,,,,36374000.0,,,388276000.0,,32526000.0,1073289000.0,,98224000.0,99705000.0,384343000.0,,,,,591296000.0,-11410000.0,,,,,,,,,,,,-177610000.0,-10906000.0,,-4068000.0,209074000.0,,,,274134000.0,,-85585000.0,,,1457632000.0,,229657000.0,-5144000.0,183859000.0,,-211310000.0,,79062000.0,,1435987000.0,,22875000.0,,,284638000.0,356809000.0,,,580054000.0,,22716000.0,212732000.0,,356809000.0,,,,,114955000.0,378564000.0,806699000.0,0.0,615788000.0,356809000.0,,,688649539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,334859000.0,,,264088000.0,47020000.0,376294000.0,,,,938479033.0,1820873000.0,0.2638,9160000.0,0.2814,,,,,,,1135304000.0,,,124001000.0,,-285655000.0,,,,,290783000.0,322696000.0,-152611000.0,,,39677000.0,,,1533831000.0,,29420000.0,1353382000.0,,356809000.0,110693000.0,446871000.0,,,,,2169458000.0,-1591000.0,,,,,,,,,,,,-237675000.0,12659000.0,,-18269000.0,264088000.0,,,-3684000.0,310494000.0,625592000.0,-160518000.0,,,1800253000.0,,0.0,0.0,187451000.0,,-421472000.0,,24076000.0,,3938840000.0,,19711000.0,,1921004000.0,336178000.0,2174503000.0,,,1434523000.0,,40116000.0,248454000.0,,2174503000.0,1712000.0,,,,125137000.0,1921004000.0,2803536000.0,0.0,1063321000.0,2174503000.0,,,1001091736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,389618000.0,-34777000.0,,155777000.0,196984000.0,464660000.0,,1841217000.0,,942251000.0,-1123355000.0,0.1653,8969000.0,0.1653,,159938000.0,,,0.0,,2682219000.0,,,222336000.0,,-570134000.0,,,,,205933000.0,60012000.0,-419796000.0,,,66865000.0,-165383000.0,,0.0,16129000.0,86770000.0,1634540000.0,,2096553000.0,204842000.0,689560000.0,,,,,2889401000.0,-24822000.0,,,,,,,,,,,,-368024000.0,-128894000.0,700261000.0,55412000.0,155777000.0,,,-5858000.0,240997000.0,0.0,-504145000.0,,,2324100000.0,,0.0,-244296000.0,493235000.0,,-1152548000.0,,246955000.0,,4921745000.0,,35064000.0,,1928535000.0,484718000.0,986411000.0,,,1642726000.0,,63725000.0,960866000.0,,986411000.0,73059000.0,,,,65989000.0,1928535000.0,2239526000.0,0.0,1675834000.0,986411000.0,,,1057827000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,502367000.0,,,-256334000.0,480457000.0,107989000.0,,,,944809000.0,-381330000.0,-0.2713,136527000.0,-0.2713,,,,,,,3528075000.0,,,394807000.0,,-273249000.0,,,,,-256334000.0,-114439000.0,-241341000.0,,,96737000.0,,,5758000.0,,110964000.0,2238179000.0,,986411000.0,405439000.0,404737000.0,,,43140000.0,,2737591000.0,3678000.0,,,,,,,,,,,,370347000.0,-201843000.0,,68641000.0,-246639000.0,,,-10764000.0,-229566000.0,8799000.0,91350000.0,,,2642916000.0,,400040000.0,0.0,132673000.0,,-682795000.0,,151279000.0,,4776596000.0,,17073000.0,,1951751000.0,-702000.0,614479000.0,,,1536638000.0,,108691000.0,742700000.0,,614479000.0,0.0,,,,364599000.0,1994891000.0,1248521000.0,150785000.0,2356654000.0,614479000.0,,,944809000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,193750000.0,,,144504000.0,602717000.0,3179609000.0,,,,1728201000.0,124661000.0,0.083,183892000.0,0.0836,,,,,,,7732510000.0,,,,,-565882000.0,,,,,144504000.0,68634000.0,-8278000.0,,,152612000.0,,,434672000.0,,315524000.0,,,614479000.0,157107000.0,,,,49973000.0,,2780469000.0,-43218000.0,,,,,,,,,,,,133554000.0,-338807000.0,,2180291000.0,204378000.0,,,-19957000.0,241391000.0,13678000.0,-222412000.0,,,3195434000.0,,345257000.0,,92589000.0,,-841275000.0,,150418000.0,,9115192000.0,,37013000.0,,1468087000.0,3038327000.0,86961000.0,,,5730203000.0,,141282000.0,1068659000.0,,786961000.0,,,,,343470000.0,1711810000.0,1382682000.0,662884000.0,3110475000.0,786961000.0,,,1740003000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,735033000.0,-305482000.0,0.0,202282000.0,747643000.0,677193000.0,,4395157000.0,6177801000.0,1957494000.0,54588000.0,0.1032,195276000.0,0.1033,195276000.0,139268000.0,863882000.0,,0.0,,8775933000.0,60467000.0,,,863882000.0,-581602000.0,0.0,199286000.0,,,271187000.0,127057000.0,-72278000.0,,,192510000.0,-583725000.0,,44505000.0,8644000.0,222950000.0,3359495000.0,747643000.0,786961000.0,432517000.0,1049703000.0,-583725000.0,777427000.0,60467000.0,3811432000.0,3473711000.0,-39798000.0,4395157000.0,1372483000.0,,,1610612000.0,,,,,84781000.0,2491871000.0,154384000.0,-61966000.0,777427000.0,2491871000.0,202282000.0,84781000.0,101694000.0,,361126000.0,2506000.0,-155810000.0,8775933000.0,10386545000.0,4409198000.0,,0.0,-37705000.0,101694000.0,2040761000.0,-697565000.0,735033000.0,199286000.0,,10386545000.0,,89939000.0,,2040761000.0,617186000.0,863882000.0,,2101228000.0,6177801000.0,222950000.0,168816000.0,1372483000.0,0.0,863882000.0,,3473711000.0,192510000.0,,425792000.0,2101228000.0,1610612000.0,0.0,3811432000.0,863882000.0,0.0,,1960748000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
