,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualLongTermDebt,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,annualTotalAssets,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,annualStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,annualCurrentLiabilities,annualDilutedEPS,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,annualInventory,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,annualCapitalStock,quarterlyInventory,annualStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualNetPPE,trailingGrossProfit,annualOperatingIncome,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBeginningCashPosition,annualEbitda,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,trailingTotalRevenue,annualEndCashPosition,trailingChangeInCashSupplementalAsReported,trailingEndCashPosition,quarterlyCurrentDebt,annualCashAndCashEquivalents,trailingPretaxIncome,annualNetOtherInvestingChanges,annualGrossPPE,quarterlyInterestExpense,annualPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualIncomeTaxPayable,quarterlyFreeCashFlow,quarterlyTotalAssets,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyBasicEPS,annualDeferredIncomeTax,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualAccumulatedDepreciation,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyOperatingIncome,trailingInterestExpense,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,quarterlyEbitda,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualNetOtherFinancingCharges,quarterlyBasicAverageShares,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,quarterlyGrossProfit,annualTotalRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTotalNonCurrentAssets,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyCurrentAssets,quarterlyCurrentDeferredRevenue,annualResearchAndDevelopment,quarterlySellingGeneralAndAdministration,annualGrossProfit,annualBasicAverageShares,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,annualTaxProvision,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyTotalRevenue,annualChangeInInventory,trailingTaxProvision,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualPurchaseOfBusiness,annualCurrentDeferredRevenue,annualCostOfRevenue,annualFreeCashFlow,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingChangeInWorkingCapital,quarterlyStockBasedCompensation,trailingCommonStockIssuance,trailingDilutedAverageShares,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,quarterlyCommonStockIssuance,trailingRepaymentOfDebt,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,trailingChangeInAccountPayable,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,trailingPurchaseOfBusiness,trailingCapitalExpenditure,quarterlyPurchaseOfBusiness,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure
915062400,-2952044000.0,,,30000000000.0,,,,,8333216000.0,,4710054000.0,21324509000.0,,932390000.0,6358694000.0,,,2813104000.0,0.0,,,,,442643000.0,,,,,,,,,1071271000.0,,,,,,,,0.0,18962591000.0,,1755561000.0,,,579786000.0,425776000.0,,3941906000.0,,,784901000.0,12152711000.0,,3709957000.0,,-894647000.0,,425776000.0,,,,425776000.0,,623883000.0,18962591000.0,,1843898000.0,,,,,,,,,,,260400000.0,1227105000.0,,,,,,-52390000.0,0.0,6124399000.0,,,,-3575927000.0,649779000.0,,,,,,2101518000.0,,,,,,1549470000.0,234547000.0,,-67676000.0,,,,,95215000.0,,-2670377000.0,,9312341000.0,,,19222991000.0,,,,,,584067000.0,,7879960000.0,30000000000.0,-715758000.0,14965815000.0,130783000.0,294428000.0,,,,,,,,,,1549470000.0,,,330411000.0,,,1432381000.0,365979000.0,1549470000.0,1696971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,-4442058000.0,,,30000000000.0,,,,,6033487000.0,,8225456000.0,26168560000.0,,1169625000.0,8384240000.0,,,9177013000.0,0.138,,,,,567320000.0,,,,,,,,,3005145000.0,,,,,,,,0.138,20907525000.0,,5388969000.0,,,12390000.0,878882000.0,,7323120000.0,,,4371190000.0,8607307000.0,,7762349000.0,,-2428055000.0,,878882000.0,,,,878882000.0,,-372368000.0,20907525000.0,,4833364000.0,,,,,,,,,,,273701000.0,1404195000.0,,,,,,-197510000.0,0.0,6184947000.0,,,,-4069690000.0,516485000.0,,,,,,4987334000.0,,,,,,4111439000.0,0.0,,-1098128000.0,,,,,453007000.0,,-2143892000.0,,15310587000.0,,,21181226000.0,,,,,,246402000.0,,11573916000.0,30000000000.0,-704826000.0,17784320000.0,132574000.0,721925000.0,,,,,,,,,,4111439000.0,,,425776000.0,,,3736671000.0,3253430000.0,4111439000.0,3069302000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,-7850400611.4,,,31591714924.0,,,,,4742676684.0,,-5264614180.8,32555094895.8,,1449333091.8,16100877243.6,,,8756391907.8,0.325504,,,2574534499.2,,626048865.0,,,3364153873.2,,,,-299610576.0,,1913704682.4,,,,700273582.2,,,1215076312.8,0.325504,22624971942.6,,12259082602.8,,,185785012.8,2793000544.2,,9152689726.8,,,341807385.6,7697825744.4,,14833617102.0,,619310934.0,,2793000544.2,,,,2793000544.2,,-3179650307.4,38134978108.2,,12206807832.6,,,,,,,,,,,,1505815968.6,,,,,,,470415060.0,4720916887.2,,,-15510006165.6,-4398248532.6,1110998014.2,,,,,,9459707893.2,,,,,,10283231874.6,7418354554.8,,3647609949.6,,,,,1915258953.6,474383412.0,,,24192470982.6,,,23095387002.6,,,,,,,,16979999490.0,31591714924.0,-326024919.0,16454217652.2,3723339333.6,1923575958.0,,,,,,,,-2438883.0,,10283231874.6,,,877741590.6,,,7212471492.6,4754441194.2,10283231874.6,996229967.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,2314956000.0,2314956000.0,,,,,,,,,,,,,,,,,,,,,,,0.059941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314956000.0,,38620689655.0,,,,,,,0.059941,,,,,,,,,,,5622036000.0,,,,,,,,5622036000.0,,,,,38620689655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5622036000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,2305855431.1,2305855431.1,,1559405487.9,,,,,4601724688.6,,,,,,2282964938.8,,,,1186345850.3,56775695.6,,,,,0.059917,,3559401285.7,,1613329172.0,,,,,,,,561457730.6,,,,,,,,,,,7588070063.6,,7588070063.6,,,,,,875765931.3,,,,,,1258530674.7,,,,,,,,505128436.8,13825320013.7,,,44625051939.0,,2305855431.1,,38249878900.0,,,,23462291672.3,,,0.059917,,,,,38465856170.3,,,,,,3151034572.4,,,,1232928704.8,1215874502.7,10730267533.7,,3797746780.1,,,,,38246622600.0,,30799731925.3,,,,,4426338381.4,,,,,,7093184068.1,1275303809.0,21162760266.7,,,383244212.0,,,,,,,917893034.5,7975579892.8,22957163235.5,6732135945.6,3223748465.6,,5612684231.7,,,,,-15508692934.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001808000,,1626145694.4,1626145694.4,,,,,,,,,,,,,,,,,,,,,,,0.039945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626145694.4,,40709437086.0,,,,,,,0.039945,,,,,,,,,,,5419573544.4,,,,,,,,5419573544.4,,,,,40709437086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5419573544.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,-11366341915.2,1719656955.36,1719656955.36,39780588133.0,1598124734.4,,,,3255669527.04,2568191539.2,,44319292319.04,,1763620109.76,33310240614.72,1194170986.56,,4391637333.12,0.200036,,,2566900158.72,,627329458.56,8895732383.04,,,3255669527.04,,1763620109.76,-8699243876.16,,1194170986.56,1683008166.72,10101484403.52,,876971517.12,627329458.56,,,0.200036,23827310904.96,,10931651656.32,,8895732383.04,-126952634.88,15289406808.0,6393674424.96,7490884260.48,15289406808.0,,591617821.44,6617414371.2,,13498551815.04,876971517.12,7472531757.12,,6393674424.96,,,1231827972.48,6393674424.96,,-13832671.68,42059806939.2,,11005773584.64,,461983088.64,11009051704.32,,,44319292319.04,,1719656955.36,,,,1598124734.4,,24289293993.6,,,,,461983088.64,5105332000.32,,42059806939.2,-18232496034.24,-4342589709.12,615384189.12,,,-5713417874.88,,,20029998325.44,591617821.44,,692593841.28,,-5713417874.88,7957569298.56,2568191539.2,,-1631427450.24,,,33310240614.72,,3597065824.32,116629869.12,,,20819387756.16,,,24289293993.6,,4391637333.12,,20029998325.44,,1039288109.76,,16036983656.64,39780588133.0,-5950706086.08,11009051704.32,692593841.28,3048204286.08,,,23827310904.96,6617414371.2,,,4174318224.96,35421904.32,,7957569298.56,,-18232496034.24,2796608600.64,,,4782404099.52,3148294551.36,7957569298.56,1231827972.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,1807080024.6,1807080024.6,,,,,,,,,,,,,,,,,,,,,,,0.043941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807080024.6,,41124929445.0,,,,,,,0.043941,,,,,,,,,,,5313292632.0,,,,,,,,5313292632.0,,,,,41124929445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313292632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,1807014450.9,1807014450.9,,1944240043.8,,,,,2572440438.6,,,,,,2252602873.8,,,,1289593196.1,-1488078.0,,,,8801204262.6,0.04394,,6753030237.6,,5978072283.6,,,,,,,,725371888.2,,,,,,,,,,,7829629869.3,,16630834131.9,,,,,,875808306.9,,,,,,178594161.3,,,,,69013750.8,,,439975062.0,19071645804.3,,,54946469974.2,,1807014450.9,,41082719300.0,,,,34070223712.2,,,0.04394,,,,,51838561201.5,,,,,,2523532275.0,,,,1645268639.4,1803947356.8,921186418.8,,3317512826.1,,,,,41070828300.0,,35874824169.9,,,,,4023506631.9,,,,,,4396303239.3,1499974356.9,20876246262.0,,,495819322.5,,,,,,,685706342.4,12461570259.9,33630248650.2,14675342565.0,2492720793.3,,5313099828.0,,,,,-18208312551.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,2801304832.68,2801304832.68,,,,,,,,,,,,,,,,,,,,,,,0.068058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801304832.68,,41160655738.0,,,,,,,0.068058,,,,,,,,,,,7850757661.32,,,,,,,,7850757661.32,,,,,41160655738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7850757661.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
