,trailingCapitalExpenditure,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyGrossPPE,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingChangeInCashSupplementalAsReported,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyStockBasedCompensation,quarterlyEbitda,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,trailingChangesInAccountReceivables,quarterlyInvestingCashFlow,trailingRepurchaseOfCapitalStock,annualInterestExpense,annualRepaymentOfDebt,quarterlyChangeInInventory,trailingGrossProfit,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,annualOtherCurrentAssets,trailingChangeInAccountPayable,trailingCostOfRevenue,trailingFreeCashFlow,annualGrossProfit,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualDilutedEPS,quarterlyTaxProvision,annualTaxProvision,quarterlyRetainedEarnings,annualInventory,trailingTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,quarterlyPretaxIncome,annualChangeInWorkingCapital,quarterlyNetPPE,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,annualOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,annualBasicEPS,quarterlyTotalRevenue,quarterlyOperatingIncome,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCashDividendsPaid,trailingOtherNonCashItems,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCostOfRevenue,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyNetIncome,annualInvestingCashFlow,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,quarterlyDilutedEPS,trailingNetIncome,trailingPurchaseOfBusiness,trailingPurchaseOfInvestment,annualLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,annualStockholdersEquity,quarterlyGoodwill,annualCurrentLiabilities,trailingStockBasedCompensation,quarterlyAccountsReceivable,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,annualGoodwill,annualCommonStockIssuance,annualRetainedEarnings,annualStockBasedCompensation,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,trailingChangeInWorkingCapital,quarterlyInventory,annualCapitalStock,annualDilutedAverageShares,annualAccountsReceivable,trailingOperatingIncome,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualBasicAverageShares,annualOtherIncomeExpense,annualEbitda,annualNetPPE,trailingTotalRevenue,annualOperatingIncome,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualNetOtherInvestingChanges,quarterlyInterestExpense,annualGrossPPE,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingEndCashPosition,annualIncomeTaxPayable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingInterestExpense,trailingCashDividendsPaid,annualSaleOfInvestment,trailingSaleOfInvestment,annualOtherShortTermInvestments,trailingResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,,3300000.0,,,,,5700000.0,3000000.0,,,,200000.0,,,,,,,,,,157700000.0,,1500000.0,,,,,,,,-51600000.0,4800000.0,23899000.0,0.0,,,-53300000.0,,,,600000.0,,4600000.0,,100000.0,,,,,,11400000.0,82900000.0,3300000.0,,,,,,,,,,,,,2300000.0,,,,120800000.0,-2700000.0,23899000.0,,10600000.0,200000.0,,,,,,-1000000.0,,,,,,,,,1100000.0,,,68600000.0,,,,,,,,,,,,,,4600000.0,154800000.0,,,,,,,,5800000.0,,,,,,,,,,300000.0,,3800000.0,,,,,,68600000.0,,,,,68600000.0,,,,,1300000.0,,,,,,,,,,,0.0,,,1100000.0,,500000.0,,,,,,86200000.0,169100000.0,50500000.0,,33400000.0,0.0,,,11400000.0,-1600000.0,,,,,,,,,,,,,,,,,,,
891302400,,,,,,,,,28100000.0,10000000.0,,,1400000.0,-800000.0,,,,,,,,,,384600000.0,,11000000.0,,,,,,,0.1,-700000.0,18800000.0,26000000.0,0.0,,,-154100000.0,,,,-2900000.0,,13500000.0,,,,,,,,28100000.0,111100000.0,7800000.0,,1800000.0,,2700000.0,,,,,37400000.0,,4400000.0,,11900000.0,,,,132700000.0,-156400000.0,28888889.0,,39200000.0,5300000.0,,,,,,,,,,,,,,,7600000.0,,10400000.0,-13800000.0,,2600000.0,,,2600000.0,,,,0.09,,,,,0.0,206500000.0,,,,,,,,20400000.0,,,,,,,26500000.0,500000.0,,400000.0,,14900000.0,,,,,,54800000.0,,,,,54800000.0,,,,,5700000.0,,,,,,,,,,,68600000.0,,,,,1200000.0,,,,,,339000000.0,450100000.0,186300000.0,2600000.0,140800000.0,-700000.0,,,65500000.0,-148800000.0,,,,,,,,,,,,,,,,,,,
899164800,,,,47500000.0,,,,,55900000.0,22900000.0,,,2200000.0,4100000.0,,,,,,,,,,418400000.0,,25800000.0,,,,,,,0.17,-5200000.0,43100000.0,32941176.0,0.0,,,-285000000.0,,,,1100000.0,,30000000.0,,,,,,,,55900000.0,128900000.0,17300000.0,,3900000.0,,8300000.0,,,,,414900000.0,,9500000.0,,32300000.0,,,,214400000.0,-287300000.0,40000000.0,,88200000.0,13100000.0,,,,,,-15200000.0,,,,,,,,,21200000.0,,23300000.0,-49300000.0,,5600000.0,,,5600000.0,,,,0.14,,,,,0.0,0.0,,,,,,,,45100000.0,,,,,,,389200000.0,2400000.0,,100000.0,,33300000.0,,,,,,5500000.0,,,,,5500000.0,,,,,12700000.0,,,,,,,,,,,0.0,,,,,3800000.0,,,,,,760300000.0,889200000.0,429000000.0,5600000.0,299000000.0,600000.0,,,470800000.0,-266100000.0,,,,,,,,,,,,,,,,,,,
907113600,,,,1800800000.0,,,,,137300000.0,36700000.0,,,-3200000.0,59400000.0,,,,,,,,,,708000000.0,,192900000.0,,,,,,,-0.46,72500000.0,253300000.0,68478261.0,0.0,,,-820400000.0,,,,-7600000.0,,186200000.0,,0.0,,,,,,292700000.0,365800000.0,60400000.0,,8400000.0,,18500000.0,,,,,1256300000.0,,-1800000.0,,1372100000.0,,,,653700000.0,-882400000.0,76829268.0,,379100000.0,67100000.0,,,,,,-428700000.0,,,,,,,,,179300000.0,,0.0,12500000.0,,-31500000.0,,,-10200000.0,,,,-0.46,,,,,155400000.0,300500000.0,,,,,,,,125800000.0,,,,,,,1235500000.0,20800000.0,,-41900000.0,,74900000.0,,,,,,21800000.0,,,,,21800000.0,,,,,125800000.0,,,,,,,,,,,0.0,,,,,26900000.0,,,,,,2191200000.0,2557000000.0,819100000.0,-31500000.0,0.0,-26600000.0,,,1549000000.0,-703100000.0,,,,,,,,,,,,,,,,,,,
915062400,,-1475900000.0,,1737400000.0,27300000.0,,,-408900000.0,121900000.0,59400000.0,195600000.0,,26900000.0,-81600000.0,,0.0,,,,,384100000.0,,,726200000.0,,139300000.0,,-52000000.0,296600000.0,0.0,,13500000.0,,-70800000.0,206100000.0,,0.0,,,-90400000.0,,64200000.0,,3000000.0,,135000000.0,,,59400000.0,,,,600700000.0,121900000.0,384100000.0,66800000.0,0.18,18300000.0,43500000.0,36800000.0,71000000.0,,,,1486600000.0,2250600000.0,36600000.0,-18900000.0,1328500000.0,34800000.0,,,81300000.0,-149800000.0,,0.2,416000000.0,71100000.0,-6400000.0,1608500000.0,13500000.0,-1259800000.0,,-408900000.0,,,,408000000.0,,,72400000.0,619600000.0,8000000.0,,128400000.0,-1400000.0,,18300000.0,-1349900000.0,78300000.0,18300000.0,,43600000.0,2634700000.0,,,,,1314600000.0,0.0,-299400000.0,,726200000.0,,121900000.0,,,,209900000.0,,212400000.0,,207600000.0,36800000.0,,1314600000.0,43600000.0,,-12500000.0,,71000000.0,,75000000.0,,,1220300000.0,20400000.0,1486600000.0,216100000.0,,,20400000.0,121900000.0,,20400000.0,922100000.0,68200000.0,1082100000.0,,0.0,67500000.0,-50200000.0,405100000.0,1328500000.0,,192700000.0,,0.0,,20400000.0,,-4200000.0,22100000.0,1737400000.0,,,,,2250600000.0,2634700000.0,922100000.0,18300000.0,0.0,323300000.0,,128400000.0,1608500000.0,-141800000.0,,,,,,,,,,,,,,,,,,,
922838400,,,,1892000000.0,,,,,197600000.0,98200000.0,,,7100000.0,16100000.0,,,,,,,,,,1115100000.0,,128700000.0,,,,,,,0.24,-1200000.0,194000000.0,67500000.0,0.0,,,-250100000.0,,,,-21900000.0,,137500000.0,,-100000.0,,,,,,197600000.0,568200000.0,65300000.0,,11300000.0,,53000000.0,,,,,1440900000.0,,27500000.0,,1440300000.0,,,,244100000.0,-284800000.0,90000000.0,,392300000.0,56500000.0,,,,,,-451700000.0,,,,,,,,,96400000.0,,129600000.0,90400000.0,,16200000.0,,,16200000.0,,,,0.18,,,,,0.0,352200000.0,,,,,,,,198300000.0,,,,,,,1260500000.0,50800000.0,,200000.0,,98800000.0,,,,,,110800000.0,,,,,110800000.0,,,,,72200000.0,,,,,,,,,,,20400000.0,,,,,24400000.0,,,,,,2485400000.0,3053600000.0,1045100000.0,16200000.0,0.0,-4300000.0,,,1638500000.0,-188400000.0,,,,,,,,,,,,,,,,,,,
930700800,,,,2357900000.0,,,,,249200000.0,114400000.0,,,11700000.0,-18700000.0,,,,,,,,,,1141700000.0,,165400000.0,,,,,,,0.36,-1500000.0,250000000.0,71944444.0,0.0,,,-696500000.0,,,,-16000000.0,,164900000.0,,,,,,,,249200000.0,639100000.0,84600000.0,,18000000.0,,78900000.0,,,,,2201100000.0,,43900000.0,,1871100000.0,,,,528400000.0,-746300000.0,92500000.0,,503700000.0,85100000.0,,,,,,-486800000.0,,,,,,,,,77100000.0,,189500000.0,-91000000.0,,25900000.0,,,25900000.0,,,,0.28,,,,,0.0,17500000.0,,,,,,,,253700000.0,,,,,,,1947900000.0,63700000.0,,-9400000.0,,149300000.0,,,,,,19800000.0,,,,,19800000.0,,,,,80300000.0,,,,,,,,,,,0.0,,,,,26900000.0,,,,,,3252900000.0,3892000000.0,1381700000.0,25900000.0,100000.0,-400000.0,,,2450300000.0,-669200000.0,,,,,,,,,,,,,,,,,,,
938649600,,,,2595000000.0,,,,,353500000.0,132700000.0,,,25500000.0,45300000.0,,,-100000.0,,,,,,,1353200000.0,,236600000.0,,,,,,,0.78,-4400000.0,334900000.0,72051282.0,31100000.0,,,-464500000.0,,,,14700000.0,,192900000.0,,,,,,,,353500000.0,779900000.0,98300000.0,,39100000.0,,135100000.0,,,,,2519300000.0,,95300000.0,,2058200000.0,,,,284200000.0,-532700000.0,91521739.0,,668600000.0,142000000.0,,,,,,-536800000.0,,,,,,,,,191600000.0,,215600000.0,11300000.0,,56200000.0,,,56200000.0,,,,0.6,,,,,0.0,153300000.0,,,,,,,,333700000.0,,,,,,,2214600000.0,89100000.0,,400000.0,,160300000.0,,,,,,31100000.0,,,,,31100000.0,,,,,94600000.0,,,,,,,,,,700000.0,0.0,,,,,42200000.0,,,,,,3746100000.0,4526000000.0,1687900000.0,56200000.0,0.0,-6600000.0,,,2872800000.0,-341100000.0,,,,,,,,,,,,,,,,,,,
946598400,,-1828600000.0,,2479600000.0,41800000.0,,,-515000000.0,242900000.0,81500000.0,352600000.0,,-2500000.0,-48300000.0,,-100000.0,300000.0,,,,669800000.0,,,1397500000.0,,222200000.0,,3400000.0,68600000.0,0.0,,142700000.0,,-2100000.0,326600000.0,,23800000.0,,,-184500000.0,,139800000.0,,16700000.0,,200800000.0,,,81500000.0,,,,1105500000.0,242900000.0,669800000.0,104400000.0,1.53,30800000.0,99100000.0,179500000.0,129500000.0,,,,2557300000.0,3827900000.0,75200000.0,-5600000.0,1964600000.0,142700000.0,,-200000.0,120300000.0,-264800000.0,,2.0,669000000.0,125800000.0,-6500000.0,2800200000.0,142700000.0,-1407200000.0,,-515000000.0,,,,696100000.0,,,20400000.0,1128100000.0,56300000.0,,210000000.0,-7300000.0,,44400000.0,-1595600000.0,241800000.0,44400000.0,,81200000.0,4497700000.0,,,,,2266100000.0,0.0,-500000.0,,1397500000.0,,242900000.0,,,,342400000.0,,343500000.0,,522500000.0,179500000.0,,2266100000.0,81200000.0,,-19000000.0,,129500000.0,700000.0,93267974.0,,,2233600000.0,23800000.0,2557300000.0,421400000.0,,,23800000.0,242900000.0,,23800000.0,1863400000.0,96400000.0,1177000000.0,,23800000.0,71350000.0,-27800000.0,752900000.0,1964600000.0,,409400000.0,700000.0,31100000.0,,23800000.0,,-9200000.0,46300000.0,2479600000.0,,,,,3827900000.0,4497700000.0,1863400000.0,44400000.0,-100000.0,79900000.0,300000.0,210000000.0,2800200000.0,-208500000.0,,,,,,,,,,,,,,,,,,,
