,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualGrossPPE,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,annualNetIncomeCommonStockholders,quarterlyBasicAverageShares,annualInterestExpense,quarterlyOtherIntangibleAssets,annualBeginningCashPosition,quarterlyBasicEPS,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualCapitalExpenditure,annualTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyAccountsPayable,quarterlyCapitalStock,annualSellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyEbitda,trailingTaxProvision,quarterlyTotalRevenue,annualCurrentDebt,annualStockBasedCompensation,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalStock,annualTotalRevenue,trailingResearchAndDevelopment,annualPurchaseOfBusiness,annualCostOfRevenue,annualResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,annualGrossProfit,annualBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,annualDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,trailingNetIncome,quarterlyDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,annualChangeInWorkingCapital,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,quarterlyNetPPE,quarterlyRetainedEarnings,trailingOperatingExpense,quarterlyTaxProvision,quarterlyResearchAndDevelopment,trailingNetIncomeContinuousOperations,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,annualNetIncome,trailingPretaxIncome,annualPretaxIncome,annualGoodwill,annualFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualAccountsReceivable,trailingOperatingIncome,annualAccountsPayable,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyDepreciationAndAmortization,annualTaxProvision,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualStockholdersEquity,annualLongTermDebt,trailingTotalRevenue,annualOtherNonCashItems,annualOtherCurrentAssets,annualOperatingIncome,annualBasicEPS,annualDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyCurrentDebt,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,quarterlyInterestExpense,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,annualNetPPE,annualOtherIntangibleAssets,annualCommonStockIssuance,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualEbitda,annualOtherNonCurrentAssets,annualDilutedEPS,annualCurrentAssets,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyChangeInInventory,trailingDeferredIncomeTax,trailingFreeCashFlow,trailingRepurchaseOfCapitalStock,quarterlyInventory,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,annualInventory,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingOtherNonCashItems,annualCashDividendsPaid,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,trailingEndCashPosition,annualChangeInInventory,quarterlyCashDividendsPaid,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingBeginningCashPosition,trailingChangeInAccountPayable,trailingInvestingCashFlow,annualRepurchaseOfCapitalStock,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,,,-2122362000.0,,,,-2575112000.0,,55492000.0,,3711101000.0,,-131708000.0,,,,,,-2912143000.0,,,,,,-131708000.0,,,,1204464000.0,,,,-85855000.0,,,,-2575112000.0,-131708000.0,,,,,,,44194000.0,,,1704421000.0,,,5318584000.0,,,6041764000.0,499957000.0,,,-723180000.0,581624534.0,,,,,5201000.0,,,,,,,,,919994000.0,,,,-295007000.0,,,,,,,0.0,,,,,,,-2575112000.0,,-2563946000.0,,-1841373000.0,,,,-221232000.0,,,,,,,,,,-3133375000.0,,11166000.0,,,1588739000.0,,,,-349834000.0,,-2427601000.0,-4.427447,2920315000.0,,,,,,,,,,,0.0,,,,,,,,,,,1040691000.0,1070770000.0,,,,,,581624534.0,411861000.0,,-4.427447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,158007000.0,,1232148000.0,-624532000.0,,,,-7948761000.0,,110477000.0,,1588739000.0,,-688234000.0,347000.0,,,,,-5732843000.0,8477331000.0,,,,,3411766000.0,,,,1765824000.0,,,,-177972000.0,,,,-3074022000.0,3311766000.0,,,,,,100000000.0,62392000.0,,796703000.0,2590306000.0,,23000.0,11237407000.0,,0.0,11436595000.0,824482000.0,,,-199188000.0,581624534.0,,,,,478000.0,28936309000.0,6942000.0,-692937000.0,,,,,,556043000.0,,,,-322756000.0,,,,,,,0.0,,,-15989796000.0,,,,-3074022000.0,,-3060934000.0,3276107000.0,-3120722000.0,,,,-4694741000.0,359370000.0,,1779659000.0,,4184558000.0,,,,,-6663100000.0,,13088000.0,13631636000.0,,964207000.0,-15304673000.0,0.0,,29016000.0,657719000.0,-2789494000.0,-13.666482,5019388000.0,,,,11889853000.0,1734556000.0,964207000.0,,183764000.0,,,3764484000.0,,,,,,,,,,17046456000.0,1076988000.0,2612121000.0,539211000.0,3243206000.0,0.0,902978000.0,1867185000.0,581624534.0,2068931000.0,47943000.0,-13.666482,5154305000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490918400,,,,,,,,,581624534.0,,,,-3.163596,,,765025000.0,,,,,,,,,,,,,,,,,,,,,,,,,-1039619000.0,-1050658000.0,,3284034000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-3.163596,,,,,-1118729000.0,,,,,,,840000.0,268880000.0,,,3558628000.0,,,,,,,,,,,,,,,,,,,,,-1119569000.0,496145000.0,-1119569000.0,,,,,,,,,,,,,,,,581624534.0,,,,,68071000.0,,,,,,,-1840025000.0,,,,-274594000.0,-18538000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,,,,,,,,581624534.0,,,,-2.878403,,,921994000.0,,,,,,,,,,,,,,,,,,,,,,,,,-990656000.0,-870079000.0,,4326319000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-2.878403,,,,,-952465000.0,,,,,,,705000.0,294371000.0,,,4394981000.0,,,,,,,,,,,,,,,,,,,,,-953170000.0,627623000.0,-953170000.0,,,,,,,,,,,,,,,,581624534.0,,,,,82386000.0,,,,,,,-1674150000.0,,,,-68662000.0,104187000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506729600,,,,,,,,,581624534.0,,,,-20.123025,,,1119366000.0,,,,,,,,,,,,,,,,,,,,,,,,,-1066626000.0,-967488000.0,,4950583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-20.123025,,,,,-1051027000.0,,,,,,,786000.0,342328000.0,,,4897843000.0,,,,,,,,,,,,,,,,,,,,,-1051813000.0,777038000.0,-1051813000.0,,,,,,,,,,,,,,,,581624534.0,,,,,83539000.0,,,,,,,-11704045000.0,,,,52740000.0,78085000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514678400,214326000.0,,2245624000.0,-231197000.0,2186147000.0,8278780000.0,50009000.0,-3624475000.0,707695998.0,277577000.0,6550367000.0,964207000.0,22.878678,-6831000000.0,6432000.0,1138411000.0,,1633649000.0,,-10220043000.0,14500371000.0,1512926000.0,733010000.0,5655190000.0,1177925000.0,6561110000.0,,7041304000.0,265000.0,2674990000.0,-3220000000.0,93126000.0,1189111000.0,402962000.0,,-3049097000.0,51679000.0,-3736932000.0,45500000.0,-2980784000.0,-856108000.0,1504841000.0,,4817414000.0,309374000.0,233424000.0,-996656000.0,1633649000.0,3944796000.0,,265000.0,17378350000.0,,,17386563000.0,1269806000.0,1052764000.0,58033000.0,-8213000.0,581624534.0,-456101000.0,11625612000.0,5700528000.0,2245624000.0,-12214000.0,11918299000.0,2255000.0,-996656000.0,,22.878678,-406582000.0,,-8807000.0,-735339000.0,-622276000.0,,214326000.0,-512060000.0,1248968000.0,-15016867000.0,,-9896000.0,364227000.0,,114416000.0,4535111000.0,779916000.0,-15016867000.0,2395005000.0,3276107000.0,2235384000.0,-3736932000.0,,-3744497000.0,3276107000.0,-6208259000.0,20200899000.0,14500371000.0,284000000.0,-16084121000.0,93126000.0,-1996333000.0,2235384000.0,,7041304000.0,6432000.0,-612380000.0,774184000.0,-612380000.0,-10660674000.0,2083536000.0,-7565000.0,20200899000.0,292687000.0,733010000.0,8278780000.0,284000000.0,,112457000.0,1177925000.0,-3953009000.0,-6.23,8765184000.0,-3265027000.0,707695998.0,309374000.0,11625612000.0,2395005000.0,733010000.0,43581000.0,567887000.0,-125686000.0,11918299000.0,15529074000.0,1527213000.0,733010000.0,16191149000.0,159913000.0,2255000.0,,282303000.0,239228000.0,567887000.0,292687000.0,1050178000.0,4011784000.0,1248968000.0,6550367000.0,,779916000.0,1512926000.0,581624534.0,5298264000.0,159913000.0,-6.23,5700528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522454400,,,,,,-14363364000.0,,,49625962.0,,8041075000.0,,-13.79,,,1091566000.0,,1795911000.0,,,,896106000.0,403519000.0,,1201687000.0,,,8725820000.0,24000.0,,,-281292000.0,,,,,,,,,-1062480000.0,-387918000.0,,4877305000.0,,,,,,,,,,,,,,,,,,13450546000.0,6044582000.0,,,,,,,-13.79,,,,,-396243000.0,,,,1318390000.0,-14851247000.0,,509000.0,387329000.0,,,4848219000.0,492587000.0,,2341576000.0,3276107000.0,2912775000.0,,,,,,22929590000.0,16885008000.0,279000000.0,,,,,,,18527000.0,-395693000.0,704237000.0,-396752000.0,,,,,23839647000.0,,,,,,,,,,,49625962.0,406748000.0,,,,8325000.0,,,37290193000.0,,,,-685056000.0,2738236000.0,1093000.0,,29086000.0,669836000.0,1184719000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530316800,,,,,,23353322000.0,,,704442937.0,,9999899000.0,,-3.01,,,1391416000.0,,1853312000.0,,,,13033452000.0,8281338000.0,,1163963000.0,,,9067544000.0,320000.0,,,989592000.0,,,,,,,,,-1327914000.0,-2086631000.0,,6170231000.0,,,,,,,,,,,,,,,,,,14784501000.0,19398766000.0,,,,,,,-3.01,,,,,-2096193000.0,,,,1404619000.0,-16841429000.0,,4858000.0,441482000.0,,,6106729000.0,4752114000.0,,2982311000.0,3276107000.0,2423492000.0,,,,,,39112186000.0,19713420000.0,279000000.0,,,,,,,40982000.0,-2096931000.0,949934000.0,-2101051000.0,,,,,972211000.0,,,,,,,,,,,704442937.0,642619000.0,,,,9562000.0,,,15756712000.0,,,,-2106558000.0,3222020000.0,2229000.0,,63502000.0,-784332000.0,1242548000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538265600,,,,,,21417040000.0,,,722664368.0,,12437992000.0,,-4.34,,,1850410000.0,,2356275000.0,,,,9675689000.0,5831440000.0,,1051997000.0,,,10422892000.0,320000.0,,,1880892000.0,,,,,,,,,-2591254000.0,-3115069000.0,,6914258000.0,,,,,,,,,,,,,,,,,,17944322000.0,17034612000.0,,,,,,,-4.34,,,,,-3130655000.0,,,,1475642000.0,-19981862000.0,,-6058000.0,558373000.0,,,7655102000.0,3844249000.0,,3490059000.0,3888346000.0,3164612000.0,,,,,,41216780000.0,24182168000.0,274000000.0,,,,,,,66929000.0,-3140433000.0,1292037000.0,-3124597000.0,,,,,1774685000.0,,,,,,,,,,,722664368.0,1182553000.0,,,,15586000.0,,,19719007000.0,,,,-3140433000.0,4070153000.0,117225000.0,,-740844000.0,-589418000.0,2306070000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
