date,annualNetOtherInvestingChanges,quarterlyGoodwill,trailingNetIncome,quarterlyAccountsReceivable,annualGoodwill,annualTotalAssets,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,quarterlyTotalAssets,annualCashDividendsPaid,quarterlyBasicEPS,annualRetainedEarnings,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyLongTermDebt,annualOperatingIncome,annualAccountsPayable,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,annualFreeCashFlow,quarterlyDepreciationAndAmortization,annualPretaxIncome,annualEndCashPosition,trailingTaxProvision,trailingTotalRevenue,annualLongTermDebt,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,annualStockholdersEquity,quarterlyInvestingCashFlow,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,annualCommonStockIssuance,annualOtherIntangibleAssets,annualSaleOfInvestment,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualRepurchaseOfCapitalStock,annualBasicEPS,annualNetPPE,quarterlyDilutedAverageShares,annualGrossPPE,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,trailingInterestExpense,annualInterestExpense,annualRepaymentOfDebt,annualBeginningCashPosition,quarterlySaleOfInvestment,annualCapitalExpenditure,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,annualDilutedEPS,annualDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualCurrentDebt,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualCapitalStock,annualPurchaseOfBusiness,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualTotalRevenue,annualBasicAverageShares,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTaxProvision,quarterlyRetainedEarnings,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingChangeInInventory,annualIncomeTaxPayable,annualChangesInAccountReceivables,annualCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualGrossProfit,annualInventory,annualOperatingExpense,trailingBeginningCashPosition,trailingGrossProfit,annualCurrentAccruedExpenses,quarterlyNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,annualAccountsReceivable,trailingChangeInCashSupplementalAsReported,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,trailingCashFlowFromContinuingFinancingActivities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyChangesInAccountReceivables,quarterlyCurrentLiabilities,trailingCapitalExpenditure,quarterlyOtherIncomeExpense,annualNonCurrentDeferredRevenue,trailingFreeCashFlow,annualTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentAssets,trailingRepaymentOfDebt,trailingBasicAverageShares,annualOtherCurrentLiabilities,quarterlyGrossProfit,annualCostOfRevenue,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingBasicEPS,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,annualEbitda,trailingDeferredIncomeTax,trailingNetOtherInvestingChanges,annualOtherIncomeExpense,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingOperatingExpense,trailingPurchaseOfInvestment,trailingEndCashPosition,annualChangeInInventory,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,annualOtherCurrentAssets,quarterlyCostOfRevenue,trailingDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,trailingDilutedAverageShares,trailingResearchAndDevelopment,annualOtherNonCurrentLiabilities,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingInvestingCashFlow,annualOtherNonCurrentAssets,quarterlyEbitda
1970-01-01 00:00:00.315446400,,,3224000000.0,,,,4300000.0,,4019000000.0,,,,,,,,,,,,,,,,,,,782000000.0,12445000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,4300000.0,3028000000.0,,,,,2096000000.0,,,,,,,,,0.27,15925926.0,,,,,,,,,,,,,,,,,,,5389000000.0,4300000.0,,15925926.0,,,,,,,,,,,,,,,3237000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.347068800,,,,,,,5400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,5400000.0,,,,,,,,,,,,,,,0.29,15000000.0,,,,,,,,,,,,,,,,,,,,5400000.0,,12282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.378604800,,,,,,,5600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,5600000.0,,,,,,,,,,,,,,,0.3,18666667.0,,,,,,,,,,,,,,,,,,,,5600000.0,,18666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.410140800,,,,,,,6900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,6900000.0,,,,,,,,,,,,,,,0.37,18648649.0,,,,,,,,,,,,,,,,,,,,6900000.0,,18648649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.441676800,,,,,,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,7400000.0,,,,,,,,,,,,,,,0.39,18974359.0,,,,,,,,,,,,,,,,,,,,7400000.0,,18974359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.449539200,,,,,,,,,,,,0.08,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25928000.0,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,25928000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.457401600,,,,,,,,,,,,,,,,,,,,,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.465350400,,,,,,,,,,,,,,,,,,,,,,2800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.473299200,,,,,,,9900000.0,,,,,,,,,,,,,,,2800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,9900000.0,,,,,,,,,,,,,,,0.38,26052632.0,,,,,,,,,,,,,,,,,,,,9900000.0,,26052632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.481075200,,,,,,,,,,,,0.11,,,,,,,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25934000.0,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,25934000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.488937600,,,,,,,,,,,,,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
