,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyBasicAverageShares,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualRepurchaseOfCapitalStock,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCurrentAccruedExpenses,quarterlyGrossPPE,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualTaxProvision,quarterlyTotalRevenue,annualCashAndCashEquivalents,trailingNetOtherFinancingCharges,annualCapitalExpenditure,trailingCostOfRevenue,annualCurrentAssets,annualInterestExpense,annualTotalRevenue,trailingBeginningCashPosition,annualChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,annualOtherNonCurrentAssets,quarterlyEndCashPosition,quarterlyStockBasedCompensation,trailingOperatingExpense,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,annualChangeInAccountPayable,quarterlyEbitda,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyPretaxIncome,annualRetainedEarnings,trailingCommonStockIssuance,quarterlyGoodwill,trailingFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,trailingNetIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualCurrentDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualTotalNonCurrentAssets,annualFreeCashFlow,trailingTaxProvision,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualDilutedEPS,trailingOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,quarterlyOperatingCashFlow,annualBasicEPS,quarterlyOtherCurrentLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyLongTermDebt,annualPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,trailingCashDividendsPaid,annualCapitalStock,quarterlyTaxProvision,annualBasicAverageShares,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualStockBasedCompensation,quarterlyAccountsReceivable,annualCurrentLiabilities,annualGoodwill,quarterlyCurrentAccruedExpenses,annualNetPPE,annualSaleOfInvestment,quarterlyCostOfRevenue,annualOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,annualEbitda,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,trailingPretaxIncome,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingInterestExpense,annualPretaxIncome,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,annualEndCashPosition,trailingOperatingIncome,annualOperatingIncome,trailingTotalRevenue,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualDilutedAverageShares,trailingEndCashPosition,quarterlyCurrentDebt,annualAccountsPayable,quarterlyDepreciationAndAmortization,trailingInvestingCashFlow,annualGrossPPE,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlySaleOfInvestment,annualChangeInInventory,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingCapitalExpenditure,annualOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,,,,29318000.0,,,,,,,,,,,,23283000.0,,,,29329000.0,,,,,,49018000.0,,,,,,,,,,,,,,29318000.0,,,,,,,,,,,,,,,,,,,384474000.0,2570000.0,,,,255000.0,,,,,,,,,29318000.0,,,38485000.0,,,,381904000.0,0.741999,,,,,,,,,,,,,,,,,,0.741999,,,,,,,,,,39512195.0,,,,,,,,,,,,,,38485000.0,,,,,,,25735000.0,,,,21915000.0,,29329000.0,,,,,,,,,,,,,,,25735000.0,,,,,,,,39512195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,26900000.0,,39259259.0,,16700000.0,,,,,,,,,,340100000.0,,,,12200000.0,,,,,,,,,,,,,,,,,,,,,,,,26900000.0,-0.135,,,,-132500000.0,,,,,,,,,,,,,,339500000.0,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5300000.0,,-5300000.0,,,,,,13100000.0,,,,,,,39259259.0,-14700000.0,340100000.0,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.135,-5300000.0,,356200000.0,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,13900000.0,,,25200000.0,17400000.0,-700000.0,,,-8600000.0,,,,,,338500000.0,-23200000.0,,,12300000.0,,,-3500000.0,,,400000.0,48900000.0,,-1000000.0,,-1400000.0,,,,,,-1100000.0,-8800000.0,,-5500000.0,15200000.0,,600000.0,17300000.0,,,-800000.0,,-137100000.0,,-137100000.0,,,,,2400000.0,,,,352800000.0,17400000.0,,335400000.0,,12600000.0,29300000.0,-44700000.0,,,,,,,15200000.0,,,25000000.0,,,,335400000.0,0.39,,-8700000.0,,,,,-9700000.0,100000.0,,,-46400000.0,13800000.0,,17100000.0,300000.0,7100000.0,6400000.0,0.39,,,,12600000.0,,,,,,38974359.0,,-1600000.0,338500000.0,,,,,,,,338500000.0,,,28500000.0,-3500000.0,-900000.0,,,,2900000.0,85900000.0,,,,-17700000.0,,,,,,3800000.0,,,,,,7100000.0,,352800000.0,,,72100000.0,,,,,,-3600000.0,,38974359.0,,,,3400000.0,,338500000.0,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,16700000.0,,38709677.0,,20900000.0,300000.0,,,1200000.0,,,,,,347500000.0,,,,11900000.0,,,,,,,,,,,,,,,,,-12300000.0,-8800000.0,,-600000.0,,,,20000000.0,0.155,,,,453000000.0,,,,,,,300000.0,,,,,,,332700000.0,900000.0,,,,,,,,,,,,,,,,,,,,-5500000.0,,,,,,3300000.0,,,,,-12600000.0,6000000.0,,6000000.0,9900000.0,,,,,15900000.0,,,,,,,38709677.0,-4800000.0,347500000.0,,,,,,,,,,,,-7900000.0,,11700000.0,,,-2700000.0,,,,,,,,,,,,,,,,0.155,6000000.0,,353600000.0,,,,,,,,,300000.0,,,,,,3300000.0,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,17400000.0,,38666667.0,,49500000.0,-400000.0,,,-200000.0,,,,,,373000000.0,,,,12300000.0,,,,,,,,,,,,,,,,,-29000000.0,-8800000.0,,100000.0,,,,21000000.0,0.15,,,,-142800000.0,,,,,,,0.0,,,,,,,329700000.0,800000.0,,,,,,,,,,,,,,,,,,,,19500000.0,,,,,,28300000.0,,,,,-29000000.0,5800000.0,,5800000.0,9300000.0,,,,,44200000.0,,,,,,,38666667.0,-5100000.0,373000000.0,,,,,,,,,,,,-100000.0,,,,,-19700000.0,,,,,,,,,,,,,,,,0.15,5800000.0,,379200000.0,,,,,,,,,300000.0,,,,,,3600000.0,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,17800000.0,,39354839.0,,65700000.0,600000.0,,,-1600000.0,,,,,,383600000.0,,,,13100000.0,,,,,,,,,,,,,,,,,-14300000.0,,,800000.0,,,,21700000.0,0.155,,,,-146200000.0,,,,,,,200000.0,,,,,,,346200000.0,1300000.0,,,,,,,,,,,,,,,,,,,,4400000.0,,,,,,,,,,,-14500000.0,6100000.0,,6100000.0,9200000.0,,,,,57200000.0,,,,,,,39354839.0,-4700000.0,383600000.0,,,,,,,,,,,,-800000.0,,,,,-5300000.0,,,,,,,,,,,,,,,,0.155,6100000.0,,411900000.0,,,,,,,22600000.0,,-1400000.0,,,,,,3900000.0,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,-26218000.0,,,25600000.0,36218000.0,-600000.0,,,400000.0,,,,,,515426000.0,25973000.0,,,14255000.0,1650000.0,,-65890000.0,,,2600000.0,51555000.0,,,,-10000.0,,,,,46630000.0,-10655000.0,,,-237000.0,25600000.0,-126062000.0,-100000.0,-22169000.0,,,-200000.0,,-157674000.0,,-157674000.0,,22567000.0,,,-1482000.0,,,,417639000.0,36218000.0,,381421000.0,1721000.0,18597000.0,11673000.0,-36700000.0,,-126062000.0,,,,,25600000.0,,,-25578000.0,,,4821000.0,381421000.0,0.635,,-2480000.0,,,,,63000.0,26190000.0,,,15920000.0,14849000.0,-9790000.0,7700000.0,-66255000.0,7600000.0,11912000.0,0.635,,,1638000.0,18597000.0,,,,22976000.0,,40461926.0,,40473000.0,389364000.0,,,,1638000.0,,22567000.0,,389364000.0,,,40312000.0,-1223000.0,-44600000.0,,22976000.0,,2122000.0,40431000.0,,,,-10023000.0,,1650000.0,,,,-982000.0,1650000.0,1650000.0,,,,7600000.0,,417639000.0,1650000.0,,25582000.0,,,,,,,,40461926.0,,,,4049000.0,,515426000.0,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,19200000.0,,46470588.0,,33300000.0,-100000.0,,,1000000.0,,,,,,387700000.0,,,,14400000.0,,,,,,,,,,,,,,,,,-1700000.0,-16000000.0,,-900000.0,,,,23300000.0,0.17,,,,-156900000.0,,,,,,,1500000.0,,,,,,,382100000.0,1300000.0,,,,,,-15300000.0,,,,,,,,,,,,,,-10000000.0,,,,,,6000000.0,700000.0,,,,-3200000.0,7900000.0,,7900000.0,12100000.0,,,,,24600000.0,,,,,,,46470588.0,-4800000.0,387700000.0,,,,1100000.0,,,,,,,,300000.0,,1700000.0,,,8900000.0,,,,,,,,,,,,,,,,0.17,7900000.0,,415400000.0,,,,,,,22300000.0,,600000.0,,,,,,4100000.0,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,18200000.0,,46060606.0,,32900000.0,-300000.0,,,-400000.0,,,,,,385700000.0,,,,13800000.0,,,,,,,,,,,,,,,,,-1600000.0,-10700000.0,,0.0,,,,22200000.0,0.165,,,,-160000000.0,,,,,,,600000.0,,,,,,,378900000.0,1300000.0,,,,,,0.0,,,,,,,,,,,,,,-10800000.0,,,,,,-100000.0,200000.0,,,,-2200000.0,7600000.0,,7600000.0,11200000.0,,,,,24600000.0,,,,,,,46060606.0,-4400000.0,385700000.0,,,,,,,,,,,,-1100000.0,,,,,9000000.0,,,,,,,,,,,,,,,,0.165,7600000.0,,411800000.0,,,,,,,22100000.0,,100000.0,,,,,,4000000.0,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
