,annualSaleOfInvestment,trailingInvestingCashFlow,trailingSaleOfInvestment,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,trailingPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,trailingCashDividendsPaid,quarterlyCommonStockIssuance,annualNonCurrentDeferredRevenue,annualLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,trailingNetIncome,trailingPretaxIncome,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualNetOtherInvestingChanges,annualCashDividendsPaid,trailingOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualNetIncome,annualGrossProfit,quarterlyPretaxIncome,annualOtherIncomeExpense,trailingFreeCashFlow,quarterlyOtherIntangibleAssets,trailingGrossProfit,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualAccountsPayable,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,quarterlyBeginningCashPosition,trailingCostOfRevenue,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,quarterlyCashAndCashEquivalents,annualDilutedAverageShares,annualChangeInWorkingCapital,quarterlyBasicAverageShares,trailingRepaymentOfDebt,annualOperatingIncome,trailingTotalRevenue,quarterlyNetPPE,quarterlyRetainedEarnings,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualStockBasedCompensation,trailingStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,trailingNetOtherFinancingCharges,quarterlyEbitda,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualInterestExpense,trailingChangesInAccountReceivables,annualPurchaseOfInvestment,annualTotalRevenue,annualCapitalStock,trailingChangeInWorkingCapital,annualOtherNonCurrentAssets,quarterlyGrossPPE,annualCapitalExpenditure,annualBasicEPS,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlySaleOfInvestment,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,annualBasicAverageShares,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,annualCurrentAssets,quarterlyOperatingIncome,trailingBeginningCashPosition,trailingCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,trailingOperatingExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualDilutedEPS,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,trailingEndCashPosition,annualGrossPPE,annualCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualCurrentDeferredRevenue,annualBeginningCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,annualCostOfRevenue,annualCurrentDebt,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualFreeCashFlow,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualCommonStockIssuance,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,annualOtherCurrentAssets,annualEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTotalAssets,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyLongTermDebt,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,annualCurrentAccruedExpenses,annualPurchaseOfBusiness,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,trailingTaxProvision,trailingPurchaseOfBusiness,annualIncomeTaxPayable,annualInventory,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,trailingDilutedEPS,trailingNetOtherInvestingChanges,annualResearchAndDevelopment,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,annualOtherShortTermInvestments,annualDeferredIncomeTax,annualTaxProvision,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,,,-192321000.0,,,0.0,,,,,830000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2260000.0,2916000.0,,0.0,,,,,,,,4390000.0,,139811000.0,,,,,96000.0,,20297096.0,-4221000.0,,,1557000.0,,,,96000.0,63047000.0,,,,,197327000.0,,,,0.0,0.0,3860000.0,,,6963000.0,,,0.0,,-192321000.0,-0.111346,,1359000.0,,618000.0,-741000.0,,,20297096.0,,-846000.0,9004000.0,,,,,,,,,,,-0.111346,,,,180093000.0,96000.0,,,,0.0,,-2260000.0,,,,4047000.0,134280000.0,0.0,194008000.0,11206000.0,96000.0,-197231000.0,179352000.0,,,,-4910000.0,1141000.0,,,,0.0,2298000.0,,,,,138670000.0,,,,203012000.0,,741000.0,-2260000.0,,,,846000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,,212000.0,-178424000.0,-1040000.0,-1040000.0,0.0,,14810000.0,-1162000.0,0.0,-530000.0,,,,,374335000.0,,,,152000000.0,-3141000.0,2881000.0,,,2632000.0,,,1767000.0,-5592000.0,0.0,-2929000.0,,386702000.0,1767000.0,,-1710000.0,18248000.0,,-856000.0,,17250000.0,,,12367000.0,160679000.0,648000.0,8679000.0,2496000.0,177305000.0,6117000.0,,,4955000.0,4955000.0,4955000.0,20297096.0,12632000.0,,,9553000.0,,353024000.0,,4859000.0,145732000.0,,,,,163451000.0,,,5165000.0,0.0,-23875000.0,10244000.0,,,35588000.0,,,0.0,358616000.0,-192460000.0,-0.084249,,8695000.0,,2096000.0,-5592000.0,,,20297096.0,,-595000.0,12367000.0,2669000.0,,,-2524000.0,,,8679000.0,,,0.0,-0.084249,98000.0,,,358616000.0,4955000.0,10891000.0,,,96000.0,177305000.0,-1710000.0,-1040000.0,,,17340000.0,152000000.0,14810000.0,374335000.0,17250000.0,4955000.0,-172628000.0,353024000.0,,,,19832000.0,16626000.0,,543000.0,0.0,0.0,16152000.0,16626000.0,,0.0,1228000.0,160679000.0,5303000.0,-3141000.0,4955000.0,386702000.0,,6599000.0,-1710000.0,0.0,,,1228000.0,,,,,,-836000.0,5588000.0,2919000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,,1690000.0,,97000.0,97000.0,,,,2367000.0,,,,,,,,0.004779,,,,-1932000.0,2097000.0,,,,,,2609000.0,,,-242000.0,,,2609000.0,,,,,,,,,0.004779,,,-176000.0,,2449000.0,,4955000.0,,,,,,,,20297096.0,,,,,,,,,,,,,,,4622000.0,,,,,,,,,,,,,,,,,,20297096.0,,,,,,2173000.0,,,-1250000.0,,,,,,,,-148000.0,,,,,9892000.0,,,,,,97000.0,,,,,,,,,,,,,,,,,607000.0,,,,,,0.0,,,4663000.0,-1932000.0,7322000.0,,,,,,,,,,,,,,-72000.0,5229000.0,3056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,,-637000.0,,-68000.0,-71000.0,,,,-4282000.0,,,,,,,,-0.00335,,,,-3882000.0,2181000.0,,,,,,237000.0,,,-4519000.0,,,0.0,,,,,,,,,-0.00335,,,1066000.0,,3156000.0,,7322000.0,,,,,,,,20297096.0,,,,,,,,,,,,,,,5201000.0,,,,,,,,,,,,,,,,,,20297096.0,,,,,,2045000.0,,,-4659000.0,,,,,,,,-291000.0,,,,,10828000.0,,,,,,-68000.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,6095000.0,-3882000.0,4272000.0,,,,,,,,,,,,,,63000.0,4733000.0,2688000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,,-3656000.0,,95000.0,97000.0,,,12194000.0,-498000.0,0.0,,,,,,373802000.0,0.00468,,,152000000.0,1651000.0,2231000.0,,,,,,1477000.0,-11071000.0,0.0,-2005000.0,,386557000.0,1714000.0,,,,97000.0,,,14867000.0,,0.00468,12755000.0,158356000.0,-2077000.0,,1939000.0,,4272000.0,,,2542000.0,,2542000.0,,,20297096.0,,,,353930000.0,,,,,,,,,,,5057000.0,,,,,,,,,,365001000.0,,,,,,,,20297096.0,,,,,,2194000.0,,,-4943000.0,,,6356000.0,,,0.0,,-60000.0,,,,,11556000.0,,,,172164000.0,,95000.0,,,,,,,,,,,,,,,,,0.0,0.0,,,13808000.0,,0.0,1656000.0,,6633000.0,1681000.0,2542000.0,,,,,0.0,,,,,,,,,130000.0,4923000.0,2729000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,,,2515000.0,-7537000.0,-172000.0,-172000.0,0.0,,11444000.0,-286000.0,0.0,-1498000.0,,,,,374442000.0,,,,152000000.0,-3404000.0,2046000.0,,,0.0,,,603000.0,-12909000.0,0.0,-889000.0,,384615000.0,603000.0,,31000.0,20249000.0,,315000.0,,14235000.0,,,10173000.0,156207000.0,-311000.0,4207000.0,3108000.0,169686000.0,2542000.0,,,2256000.0,2256000.0,2256000.0,20297096.0,-10767000.0,,,8051000.0,,353505000.0,,-2699000.0,4926000.0,,,,,4926000.0,,,4780000.0,0.0,0.0,8352000.0,,,39337000.0,,,0.0,366414000.0,-7567000.0,0.001527,,12198000.0,,2218000.0,-12909000.0,,,20297096.0,,-236000.0,10173000.0,1672000.0,,,85000.0,,,4207000.0,,,0.0,0.001527,263000.0,,,366414000.0,2256000.0,9476000.0,,,4955000.0,169686000.0,31000.0,-172000.0,,,19088000.0,152000000.0,11444000.0,374442000.0,14235000.0,2256000.0,-7655000.0,353505000.0,,,,-88000.0,13479000.0,,522000.0,0.0,0.0,18703000.0,13479000.0,,0.0,1273000.0,156207000.0,4846000.0,-3404000.0,2256000.0,384615000.0,,10652000.0,31000.0,0.0,,,1273000.0,,,,,,194000.0,4630000.0,2958000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,,,,1927000.0,,738000.0,738000.0,,,10653000.0,2256000.0,0.0,,,,,,372156000.0,0.03636,,,152000000.0,-654000.0,2052000.0,,,,,,983000.0,-14811000.0,0.0,1273000.0,,386554000.0,983000.0,,,,,,,13621000.0,,0.03636,14398000.0,157011000.0,-661000.0,,2498000.0,,2256000.0,,,4512000.0,,4512000.0,,,20297096.0,,,,352727000.0,,,,,,,,,,,5078000.0,,,,,,,,,,367538000.0,,,,,,,,20297096.0,,,,,,2580000.0,,,-1144000.0,,,5011000.0,,,0.0,,-300000.0,,,,,10142000.0,,,,169904000.0,,738000.0,,,,,,,,,,,,,,,,,541000.0,,,,12893000.0,,0.0,1705000.0,,4523000.0,-654000.0,4512000.0,,,,,0.0,,,,,,,,,207000.0,5619000.0,3039000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,-244000.0,,-2563000.0,-2847000.0,,,13682000.0,78036000.0,0.0,,,,,,528948000.0,-0.115389,,,94020000.0,-12260000.0,2331000.0,,,,,,90540000.0,-21442000.0,0.0,-12504000.0,,621780000.0,-2728000.0,,,,,,,22288000.0,,-0.115389,92832000.0,99880000.0,-784000.0,,3170000.0,,4512000.0,,222000.0,84509000.0,,84509000.0,,,22211799.0,,,,487936000.0,-2177000.0,,,,,,,,,,4944000.0,,,,,,,,,,509378000.0,,,,,,,,22211799.0,,,,,,1774000.0,,,667000.0,,,5860000.0,,,0.0,,378000.0,,,,,11087000.0,,,,138374000.0,,-2563000.0,,,,,,,,,,,,,,,,,0.0,,,,38494000.0,,0.0,1724000.0,,6358000.0,-12260000.0,84509000.0,,,,,417059000.0,8754000.0,,,,,,,,-2293000.0,4729000.0,2955000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,,,,1738000.0,,-172000.0,27000.0,,,13114000.0,-43245000.0,0.0,,,-235000.0,,,571866000.0,-0.01,,,94069000.0,-36274000.0,1784000.0,,,,,,-1230000.0,-24222000.0,0.0,-34536000.0,,623915000.0,2867000.0,,,,27000.0,,,39317000.0,,-0.01,52049000.0,104815000.0,-1365000.0,,4317000.0,,84509000.0,,222000.0,40741000.0,,40741000.0,,,21946508.0,,,,515812000.0,-1948000.0,,,,,,,,,,6353000.0,,,,,,,,,,540034000.0,,,,,,,,21946508.0,,,,,,2036000.0,,,-1991000.0,8839000.0,,10746000.0,-30000.0,,0.0,,-1931000.0,,,,,17513000.0,,,,142725000.0,,-172000.0,,,,,,,,,,,,,,,,,2379000.0,-3459000.0,,,37910000.0,,-7479000.0,3346000.0,,8781000.0,-43753000.0,40741000.0,,,,,414868000.0,8754000.0,,,,,,,,-248000.0,8732000.0,6696000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
