date,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualCapitalExpenditure,annualAccumulatedDepreciation,quarterlyOperatingIncome,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyAccountsPayable,trailingOperatingExpense,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,annualTaxProvision,trailingInterestExpense,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,quarterlyStockBasedCompensation,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,quarterlyEbitda,annualChangeInCashSupplementalAsReported,trailingResearchAndDevelopment,annualRepaymentOfDebt,annualTotalRevenue,quarterlyChangeInInventory,quarterlyGrossProfit,annualInterestExpense,annualDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyRetainedEarnings,annualFreeCashFlow,trailingFreeCashFlow,quarterlyCurrentLiabilities,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualResearchAndDevelopment,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,annualBasicAverageShares,annualOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTaxProvision,trailingCostOfRevenue,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,trailingNetIncome,annualChangeInInventory,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualCostOfRevenue,annualCurrentDebt,annualNetIncome,annualCashDividendsPaid,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,annualInvestingCashFlow,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,annualLongTermDebt,quarterlyCommonStockIssuance,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,annualStockholdersEquity,annualStockBasedCompensation,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetPPE,annualGoodwill,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,annualCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyGoodwill,annualInventory,annualCurrentLiabilities,quarterlyBasicEPS,annualRetainedEarnings,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualCapitalStock,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualAccountsPayable,annualOperatingCashFlow,annualDilutedEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,annualEndCashPosition,trailingRepaymentOfDebt,annualOperatingIncome,quarterlyDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualGrossPPE,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,trailingPretaxIncome,annualBasicEPS,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualOtherNonCurrentLiabilities,annualPretaxIncome,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,trailingOperatingIncome,quarterlyTotalAssets,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,annualChangeInAccountPayable,trailingBasicEPS,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingChangeInWorkingCapital,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
1991-03-31,,,,,,3802000000.0,,,,,,,,50500000,,1090000000.0,-381000000.0,,0.025,,5682000000.0,,,,980000000.0,,,,,,358000000.0,,-138000000.0,,,,1090000000.0,50500000,,1154000000.0,,,,,,,,,,,782000000.0,,120000000.0,,380000000.0,,,,,,,,,,,,,2994000000.0,,,-101000000.0,1090000000.0,,50500000,,,,,,,,,,,,,,,-5587000000.0,9400000,,,9500000,,,,,,,-455000000.0,,-4862000000.0,,,,,,,,,,,,,,,,0.025,,,,,1163000000.0,,,,,,,,,,,,,,,7398000000.0,,,,,10392000000.0,,,,,,,-2056000000.0,,380000000.0,4122000000.0,677000000.0,,,-304000000.0,989000000.0,,,,,,,,,9500000,,1716000000.0,,-403000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,,,55900000,,,,,0.03,,,,,,,,,,,,,,,,,,,55900000,,,,,,,,,,,,,,,,,360000000.0,,,,,,,,,,,,,,,,,,,55900000,,,,,,,,,,,,,,,,10700000,,,10800000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000000.0,,,,,,,,,,,,,,,10800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,59900000,,,,,0.03,,,,,,,,,,,,,,,,,,,59900000,,,,,,,,,,,,,,,,,363333333.0,,,,,,,,,,,,,,,,,,,59900000,,,,,,,,,,,,,,,,10800000,,,10900000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363333333.0,,,,,,,,,,,,,,,10900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,77700000.0,,81100000.0,4900000.0,44300000.0,,,47100000.0,,,,-7300000.0,-11300000.0,-95700000,89100000.0,,,,,6800000.0,,,,3800000.0,,,,,0.0,26300000.0,,15100000.0,,41800000.0,,,,-95700000,5600000.0,,,230000000.0,,,2900000.0,380000000.0,,89100000.0,68500000.0,22300000.0,,25700000.0,,47100000.0,,,48300000.0,151600000.0,90300000.0,,-15300000.0,,,380000000.0,3800000.0,,,,,21400000.0,,,-10500000.0,63800000,-11300000.0,,,,41500000.0,300000.0,78400000.0,3800000.0,41800000.0,,,,,,,10500000,4900000.0,-10800000.0,10600000,,0.0,15100000.0,100000.0,21400000.0,,,,,90300000.0,,36100000.0,,33000000.0,,,137400000.0,,-13200000.0,,3400000.0,,36100000.0,25700000.0,,68500000.0,,,,,,21400000.0,,,,,10400000.0,10400000.0,,33000000.0,,,200000.0,5900000.0,,6800000.0,29600000.0,0.11,21400000.0,,73900000.0,5900000.0,,5900000.0,,0.0,,70500000.0,,,,44300000.0,-3500000.0,,,0.11,3800000.0,5900000.0,,,0.0,67800000.0,,10600000,,,137400000.0,,48300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,53800000.0,,,68600000.0,,,,,,21000000,,,,-2100000.0,0.035,5900000.0,,,,3700000.0,,2100000.0,0.0,-100000.0,,,,,,,,,,22000000,,,,,-900000.0,46900000.0,,,,91900000.0,61100000.0,,,45400000.0,,,357142857.0,,,,82400000.0,24900000.0,,,,,,,8100000.0,,20600000.0,23200000.0,,,,72600000,-12100000.0,-2200000.0,,-8400000.0,,,,,,,,,,11400000.0,,12500000,6800000.0,,12500000,2800000.0,0.0,20000000.0,,,,,,,,,36800000.0,200000.0,41700000.0,,,,25700000.0,,,,,,,0.035,,,,,,,23200000.0,,25900000.0,,,10600000.0,,,,1000000.0,-20000000.0,,,,,,,,,,8700000.0,5900000.0,8700000.0,,,,,357142857.0,,,,,,,,19500000.0,,,700000.0,,,9200000.0,12500000,,,151000000.0,,59100000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,56800000.0,,,50100000.0,,,,,,22000000,,,,-9000000.0,0.035,6200000.0,,,,4800000.0,,0.0,0.0,-3100000.0,,,,,,,,,,23200000,,,,,-2300000.0,49300000.0,,,,207400000.0,74400000.0,,,26700000.0,,,380000000.0,,,,218500000.0,26100000.0,,,,,,,8100000.0,,21400000.0,23400000.0,,,,76300000,-13100000.0,-3100000.0,,106700000.0,,,,,,,,,,5400000.0,,13300000,6900000.0,,13300000,109200000.0,0.0,16300000.0,,,,,,,,,39400000.0,200000.0,43700000.0,,,,27000000.0,,,,,,,0.035,,,,,,,23400000.0,,27300000.0,,,10600000.0,,,,1200000.0,0.0,,,,,,,,,,117800000.0,0.0,117800000.0,,,,,380000000.0,,,,,,,,4200000.0,,,800000.0,,,2300000.0,13300000,,,268600000.0,,61200000.0,122000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,60000000.0,,,52900000.0,,,,,,24400000,,,,-1100000.0,0.04,4200000.0,,,,6200000.0,,0.0,0.0,-3200000.0,,,,,,,,,,25600000,,,,,0.0,53400000.0,,,,223200000.0,89600000.0,,,46500000.0,,,380000000.0,,,,234200000.0,27800000.0,,,,,,,9500000.0,,24700000.0,6400000.0,,,,81900000,-14100000.0,-3200000.0,,-200000.0,,,,,,,,,,15400000.0,,15200000,8600000.0,,15200000,12000000.0,0.0,21000000.0,,,-100000.0,,,,,,39700000.0,1100000.0,45900000.0,,,,28500000.0,,,,,,,0.04,,,,,,,6400000.0,,29000000.0,,,9400000.0,,,,1200000.0,0.0,,,,,,,,,,129800000.0,0.0,129800000.0,,,,,380000000.0,,,,,,,,21300000.0,,,700000.0,,,12200000.0,15200000,,,287100000.0,,63900000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,105900000.0,,110500000.0,6700000.0,61600000.0,,,50000000.0,,,,-10400000.0,-15000000.0,25500000,236500000.0,,,-6900000.0,,6500000.0,,,,51500000.0,,-400000.0,0.0,-44100000.0,1000000.0,34900000.0,,16100000.0,,56600000.0,,,,26700000,89500000.0,,,315200000.0,-1600000.0,53800000.0,2800000.0,390344828.0,,236500000.0,105200000.0,32100000.0,,42600000.0,,50000000.0,,,62600000.0,203300000.0,249100000.0,27100000.0,-19100000.0,,,390344828.0,51500000.0,,9300000.0,,24900000.0,7400000.0,,,-4800000.0,84400000,-15000000.0,-1900000.0,,-200000.0,56600000.0,5900000.0,111900000.0,20000000.0,56600000.0,-20000000.0,,1400000.0,,10300000.0,,15600000,6700000.0,-50500000.0,15600000,-34500000.0,-100000.0,16100000.0,100000.0,6100000.0,0.0,,,,249100000.0,,40500000.0,100000.0,46600000.0,,,299100000.0,30600000.0,97900000.0,,4600000.0,,40500000.0,42600000.0,,105200000.0,,1400000.0,-41800000.0,,,6100000.0,,28300000.0,121900000.0,,9300000.0,9300000.0,,46600000.0,1200000.0,0.0,1600000.0,95400000.0,,6500000.0,42500000.0,0.145,7400000.0,,97400000.0,95400000.0,0.0,95400000.0,,0.0,,92800000.0,,,,61600000.0,1700000.0,,,0.145,20000000.0,95400000.0,,600000.0,-100000.0,91500000.0,8400000.0,15600000,,,299100000.0,,62600000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,63100000.0,,,56000000.0,,,-700000.0,,,23600000,,,,1100000.0,0.04,6200000.0,,,,58500000.0,,0.0,0.0,-9400000.0,,,,,,,,,,25000000,,,,,,56700000.0,,,,256400000.0,120500000.0,,,48400000.0,,,382500000.0,,,,264200000.0,31700000.0,,,,,,,8700000.0,,24000000.0,7600000.0,,,,88900000,-15000000.0,-2700000.0,,-200000.0,,,,,,,,,,17800000.0,,15300000,15700000.0,,15300000,8200000.0,100000.0,21900000.0,,,,,,,,,41800000.0,400000.0,48100000.0,,,,32200000.0,,,,,,,0.04,,,1400000.0,,,,6100000.0,,33100000.0,,,,,,,1400000.0,,,,,,,,,,,103600000.0,95400000.0,103600000.0,,,,,382500000.0,,,,,,,,20300000.0,,-6700000.0,,,,15100000.0,15300000,,,320200000.0,,63800000.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,89600000.0,,,72400000.0,,,-32400000.0,,,26200000,,,,-6500000.0,0.045,21800000.0,,,,67000000.0,,-4000000.0,0.0,-36100000.0,,,,,,,,,,27600000,,,,,,61500000.0,,,,214500000.0,137200000.0,,,50400000.0,,,373333333.0,,,,234200000.0,33900000.0,,,,,,,9800000.0,,26600000.0,22000000.0,,,,94400000,-17400000.0,-25300000.0,,-27400000.0,,,,,,,,,,11600000.0,,16800000,19900000.0,,16800000,-52000000.0,14200000.0,3800000.0,,,,,,,,,42400000.0,900000.0,72200000.0,,,,32900000.0,,,,,,,0.045,,,1700000.0,,,,6100000.0,,35300000.0,,,,,,,1400000.0,,,,,,,,,,,51600000.0,0.0,51600000.0,,,,,373333333.0,,,,,,,,24800000.0,,-6800000.0,500000.0,,,-13700000.0,16800000,,,306600000.0,,92100000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,
