,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,annualInvestingCashFlow,quarterlyNetIncome,annualChangeInInventory,quarterlyCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,trailingCashDividendsPaid,quarterlyBasicEPS,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,quarterlyTaxProvision,annualAccountsReceivable,quarterlyNetPPE,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualCapitalStock,quarterlyInventory,quarterlyAccountsReceivable,quarterlyOperatingExpense,annualGrossProfit,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualStockBasedCompensation,quarterlyCostOfRevenue,annualGoodwill,annualOperatingCashFlow,annualNetPPE,annualInventory,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,trailingChangeInInventory,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,annualEbitda,annualDilutedEPS,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualOtherCurrentLiabilities,trailingPurchaseOfInvestment,annualBasicEPS,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyTotalAssets,trailingCapitalExpenditure,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualNonCurrentDeferredRevenue,trailingTotalRevenue,trailingOtherIncomeExpense,annualOperatingIncome,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,quarterlyTotalNonCurrentAssets,annualGrossPPE,trailingInvestingCashFlow,annualAccountsPayable,trailingChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,trailingEndCashPosition,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualOperatingExpense,trailingDeferredIncomeTax,annualTaxProvision,annualCashAndCashEquivalents,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,annualInterestExpense,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingCostOfRevenue,trailingChangesInAccountReceivables,trailingChangeInAccountPayable,annualDilutedAverageShares,annualTotalRevenue,annualCurrentAssets,quarterlyChangeInInventory,trailingOperatingExpense,quarterlyCashDividendsPaid,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyEndCashPosition,annualOtherShortTermInvestments,annualOtherNonCurrentAssets,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyOtherNonCashItems,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyEbitda,annualNetIncomeCommonStockholders,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyRetainedEarnings,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingNetIncome,annualTotalAssets,trailingNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,annualCashDividendsPaid,annualCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,annualCostOfRevenue,annualOtherCurrentAssets,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualBasicAverageShares,annualBeginningCashPosition,annualTotalNonCurrentAssets,annualFreeCashFlow,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,trailingTaxProvision,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingStockBasedCompensation,trailingSellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,trailingBasicAverageShares,trailingBasicEPS,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330400000.0,1.4,,,,,,,,,,,,,1.4,,,,,,,,,,,,,330400000.0,,,,,,,,,,,,,,,,,,,,,,,36900000.0,,,,,,,,,,,,,,,,,,,,,,,22428571.0,330400000.0,,,,,,,,,,,,,,,,,,,31400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36900000.0,22428571.0,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385400000.0,1.61,,,,,,,,,,,,,1.61,,,,,,,,,,,,,385400000.0,,,,,,,,,,,,,,,,,,,,,,,49000000.0,,,,,,,,,,,,,,,,,,,,,,,25590062.0,385400000.0,,,,,,,,,,,,,,,,,,,41200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49000000.0,25590062.0,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410100000.0,1.65,,,,,,,,,,,,,1.65,,,,,,,,,,,,,410100000.0,,,,,,,,,,,,,,,,,,,,,,,54500000.0,,,,,,,,,,,,,,,,,,,,,,,28303030.0,410100000.0,,,,,,,,,,,,,,,,,,,46700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54500000.0,28303030.0,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481500000.0,1.8,,,,,,,,,,,,,1.8,,,,,,,,,,,,,481500000.0,,,,,,,,,,,,,,,,,,,,,,,64100000.0,,,,,,,,,,,,,,,,,,,,,,,31277778.0,481500000.0,,,,,,,,,,,,,,,,,,,56300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,64100000.0,31277778.0,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859600000.0,2.33,,,,,,,,,,,,,2.33,,,,,,,,,,,,,859600000.0,,,,,,,,,,,,,,,,,,,,,,,83600000.0,,,,,,,,,,,,,,,,,,,,,,,32317597.0,859600000.0,,,,,,,,,,,,,,,,,,,75300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,83600000.0,32317597.0,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,32000000.0,,,0.9,,,,,,,,,,,,,,,,,,,,,,,32772000.0,,,,,,,,,,,,,,,,,,,,,,,,,32772000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,527700000.0,,,,,,,,,,,,,,,,,,527700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,527700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,13600000.0,,,0.34,,,,,,,,,,,,,,,,,,,,,,,33226000.0,,,,,,,,,,,,,,,,,,,,,,,,,33226000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,290500000.0,,,,,,,,,,,,,,,,,,290500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,290500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,24800000.0,,,0.67,,,,,,,,,,,,,,,,,,,,,,,33450000.0,,,,,,,,,,,,,,,,,,,,,,,,,33450000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,271800000.0,,,,,,,,,,,,,,,,,,271800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,271800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,,,,,,,,,,,,,,,,,19400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480200000.0,2.4,,,,,,,,,,,,,2.4,,,,,,,,,,,,,1480200000.0,,,,,,,,,,,,,,,,,,,,390200000.0,,,89800000.0,,,,,,,,,,,,,,,390200000.0,,,,,,,,37416667.0,1480200000.0,,,,,,,,,,,,,,,,,,390200000.0,89800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,89800000.0,37416667.0,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,31500000.0,,,0.86,,,,,,,,,,,,,,,,,,,,,,,33876000.0,,,,,,,,,,,,,,,,,,,,,,,,,33876000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,490200000.0,,,,,,,,,,,,,,,,,,490200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,490200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
