,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,trailingNetIncomeCommonStockholders,trailingInterestExpense,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualDilutedEPS,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,trailingChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualBasicAverageShares,quarterlyCurrentDebt,annualGrossPPE,quarterlyDilutedEPS,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyInterestExpense,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOtherNonCashItems,trailingStockBasedCompensation,quarterlyGrossPPE,annualChangeInInventory,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualInterestExpense,trailingBeginningCashPosition,quarterlyOtherNonCashItems,trailingChangesInAccountReceivables,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualTotalRevenue,quarterlyBasicAverageShares,annualCapitalStock,trailingOperatingExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualAccumulatedDepreciation,annualInventory,annualDeferredIncomeTax,quarterlyEbitda,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyRetainedEarnings,annualRetainedEarnings,trailingFreeCashFlow,trailingNetIncome,annualGainsLossesNotAffectingRetainedEarnings,annualTotalAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualEndCashPosition,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalAssets,annualCostOfRevenue,trailingTotalRevenue,annualNetIncome,annualLongTermDebt,annualOperatingIncome,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingEndCashPosition,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDepreciationAndAmortization,trailingTaxProvision,annualStockholdersEquity,quarterlyDilutedAverageShares,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualBasicEPS,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingExpense,quarterlyChangeInInventory,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetPPE,quarterlyCashDividendsPaid,annualSaleOfInvestment,annualCommonStockIssuance,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,trailingChangeInInventory,annualIncomeTaxPayable,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingPurchaseOfInvestment,quarterlyIncomeTaxPayable,trailingDilutedEPS,annualCurrentDebt,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualInvestmentsAndAdvances
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,,407000.0,,,,,13954000.0,,,,,,,428377000.0,,,,-645173000.0,,15306000.0,15306000.0,,,1559000.0,,,,,,52966000.0,,,,,0.37,,,,,13942000.0,,,,,,19272000.0,-315000.0,,,1170858000.0,,,,,,,,,32547000.0,,,,,,,0.0,,,,,,,,26745000.0,,,4024000.0,525685000.0,,,,,,,,,,24100000.0,,,,,,161813000.0,0.37,196073000.0,,,,,,65901000.0,60547000.0,,,,,1699000.0,,1721000.0,,,,9930000.0,,650737000.0,,,,,,584836000.0,,,,,,,,26749000.0,,6185000.0,222360000.0,,,,25799000.0,,,,,,9930000.0,9930000.0,36000000.0,,,,,124092000.0,,0.0,4557000.0,11857000.0,,,,,43660000.0,41275000.0,6748000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,15306000.0,414000.0,111031000.0,,2130000.0,13091000.0,24388000.0,-2245000.0,,20261000.0,,,,444880000.0,24022000.0,30317000.0,7170000.0,-665711000.0,,20261000.0,20261000.0,,1.31,2949000.0,,,162000.0,27995000.0,,45836000.0,586741000.0,30239000.0,,1196429000.0,,,,550000.0,,24614000.0,-3705000.0,39819000.0,,8499000.0,-12751000.0,22339000.0,-10814000.0,,,1196429000.0,1770000.0,-69054000.0,,90380000.0,127023000.0,,-17613000.0,-22234000.0,119465000.0,,-73751000.0,32826000.0,,4955000.0,,24022000.0,620000.0,,,,,,209570000.0,,414000.0,,8601000.0,530718000.0,,152055000.0,-14016000.0,,,,-665711000.0,3986000.0,21428000.0,45825000.0,10592000.0,,-6206000.0,,,161153000.0,,211860000.0,211860000.0,,,-10814000.0,674286000.0,87545000.0,68253000.0,,229406000.0,-5010000.0,,23127000.0,,2130000.0,2949000.0,20261000.0,61379000.0,15787000.0,,674286000.0,57515000.0,,39819000.0,32000000.0,61675000.0,586741000.0,35401000.0,,,22339000.0,21211000.0,,444880000.0,,,10187000.0,229406000.0,,1.32,,81981000.0,-108000.0,21892000.0,21560000.0,49356000.0,20261000.0,15787000.0,15787000.0,32000000.0,87545000.0,7524000.0,,,127023000.0,,0.0,3986000.0,57367000.0,571000.0,10187000.0,45836000.0,68253000.0,7524000.0,21892000.0,37484000.0,,-24166000.0,20261000.0,530718000.0,,,403000.0,104455000.0,161153000.0,,39819000.0,,,,,,,,,,,,,,,,,,,,,,,,
1049068800,,20261000.0,415000.0,,,,,50129000.0,-292000.0,,,,,,479399000.0,,,,-680343000.0,,17231000.0,17231000.0,,,3913000.0,,,,,,45940000.0,,,,,0.78,,,422000.0,,50964000.0,-26063000.0,,938000.0,12136000.0,-11722000.0,22441000.0,-10555000.0,,,1245741000.0,,,,,,,,-29979000.0,136384000.0,,,53833000.0,,-3030000.0,,24197000.0,,,,,,,,41479000.0,,,18986000.0,565398000.0,-1000.0,,,,,,,,,72547000.0,23854000.0,,,,,161054000.0,0.79,244608000.0,,,,,,102004000.0,76431000.0,,,,,50144000.0,,16423000.0,,,,32748000.0,,716884000.0,,,,,,614880000.0,,,,,21583000.0,,,42027000.0,,3542000.0,237485000.0,,,,129396000.0,0.0,,,,,32748000.0,31143000.0,5000000.0,,,,,139631000.0,,-442000.0,5002000.0,78432000.0,-1016000.0,,,,73870000.0,29793000.0,6988000.0,,-30800000.0,17231000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056931200,,17231000.0,416000.0,,,,,34135000.0,292000.0,,,,,,502529000.0,,,,-700664000.0,,47490000.0,47490000.0,,,3533000.0,,,,,,44852000.0,,,,,0.5,,,274000.0,,34317000.0,-3911000.0,,1093000.0,5590000.0,17019000.0,21255000.0,-9987000.0,,,1278134000.0,,,,,,,,-32177000.0,99063000.0,,,65465000.0,,28193000.0,,19272000.0,,,,,,,,41545000.0,,,13095000.0,577470000.0,-4000.0,,,,,,,,,55640000.0,33288000.0,,,,,160618000.0,0.51,265594000.0,,,,,,114739000.0,75138000.0,,,,,29557000.0,,17074000.0,,,,21040000.0,,738285000.0,,,,,,623546000.0,,,,,21323000.0,,,42246000.0,,1224000.0,235756000.0,,,,90908000.0,0.0,,,,,21040000.0,21040000.0,,,,,,143544000.0,,39000.0,5232000.0,56591000.0,-230000.0,,,,56267000.0,34611000.0,8155000.0,,-33361000.0,47490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064880000,,47490000.0,416000.0,,,,,35705000.0,0.0,,,,,,525780000.0,,,,-722693000.0,,56858000.0,56858000.0,,,3533000.0,,,,,,44967000.0,,,,,0.53,,,302000.0,,36125000.0,232000.0,,235000.0,6411000.0,-624000.0,18160000.0,-9959000.0,,,1312277000.0,,,,,,,,-42431000.0,112113000.0,,,51862000.0,,9368000.0,,22580000.0,,,,,,,,41612000.0,,,13164000.0,589584000.0,-3000.0,,,,,,,,,59311000.0,9431000.0,,,,,167471000.0,0.54,288135000.0,,,,,,125386000.0,79314000.0,,,,,4629000.0,,17830000.0,,,,22541000.0,,772565000.0,,,,,,647179000.0,,,,,23186000.0,,,42297000.0,,12628000.0,246785000.0,,,,69557000.0,0.0,,,,,22541000.0,22541000.0,,,,,,149641000.0,,-482000.0,6744000.0,33432000.0,-1512000.0,,,,56510000.0,38574000.0,42556000.0,,-42726000.0,56858000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,56858000.0,411000.0,241330000.0,,29966000.0,18093000.0,28200000.0,-158650000.0,,40420000.0,,,,534740000.0,18776000.0,42640000.0,22327000.0,-746161000.0,,40420000.0,40420000.0,,2.22,6160000.0,,,-3040000.0,49327000.0,,44967000.0,682304000.0,41521000.0,,1370465000.0,,,,591000.0,,29447000.0,1163000.0,93028000.0,1163000.0,6453000.0,-15311000.0,18394000.0,-9540000.0,,,1370465000.0,-2714000.0,,,165586000.0,155293000.0,,-28579000.0,,106652000.0,,-159641000.0,35153000.0,,-16438000.0,,18776000.0,1285000.0,,,,,,454212000.0,,411000.0,,9896000.0,624304000.0,0.0,316228000.0,0.0,,,,-746161000.0,6700000.0,30590000.0,54043000.0,139740000.0,,-10638000.0,,,185259000.0,,306439000.0,306439000.0,,,-9540000.0,805508000.0,123204000.0,85509000.0,,270768000.0,-158650000.0,,35657000.0,,29966000.0,6160000.0,40420000.0,148169000.0,18304000.0,,805508000.0,137984000.0,,94633000.0,,150642000.0,682304000.0,206313000.0,,,18394000.0,24596000.0,,534740000.0,,,13033000.0,270768000.0,,2.28,-8000.0,97238000.0,0.0,48339000.0,55141000.0,90688000.0,40420000.0,18304000.0,18304000.0,,123204000.0,15847000.0,,,155293000.0,,-1566000.0,6700000.0,67791000.0,44000.0,13033000.0,44967000.0,85509000.0,15847000.0,48339000.0,9414000.0,,-52754000.0,40420000.0,624304000.0,,,3429000.0,206313000.0,185259000.0,,94633000.0,,,,,,,,,,,,,,,,,,,,,,,,
1080691200,,40420000.0,413000.0,,,,,47616000.0,-1952000.0,,,,,,570735000.0,,,,-771743000.0,,38493000.0,38493000.0,,,4323000.0,,,,,,44967000.0,,,,,0.7,,,296000.0,,48583000.0,4250000.0,,4371000.0,10924000.0,-6405000.0,22208000.0,-9236000.0,,,1452924000.0,,,,,,,,-67376000.0,135919000.0,,,63047000.0,,-1927000.0,,24316000.0,,,,,,,,41305000.0,,,17751000.0,681181000.0,-121000.0,,,,,,,,,75389000.0,-4329000.0,,,,,195715000.0,0.72,336304000.0,,,,,,135517000.0,96080000.0,,,,,43164000.0,,31147000.0,,,,29865000.0,,862530000.0,,,,,,727013000.0,,,,,26806000.0,,,42615000.0,,865000.0,291795000.0,,,,126450000.0,0.0,,,,,29865000.0,29865000.0,,,,,,164568000.0,,-758000.0,9377000.0,77867000.0,-2677000.0,,,,81767000.0,49556000.0,9469000.0,,-69224000.0,38493000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088553600,,38493000.0,414000.0,,,,,58598000.0,1952000.0,,,,,,607954000.0,,,,-801803000.0,,58081000.0,58081000.0,,,4023000.0,,,,,,44967000.0,,,,,0.85,,,280000.0,,58776000.0,153000.0,,153000.0,16375000.0,-3120000.0,24676000.0,-8986000.0,,,1521806000.0,,,,,,,,-64309000.0,170193000.0,,,81446000.0,,19588000.0,,34049000.0,,,,,,,,41379000.0,,,22128000.0,720003000.0,0.0,,,,,,,,,90094000.0,17137000.0,,,,,213167000.0,0.88,372774000.0,,,,,,167286000.0,125942000.0,,,,,61700000.0,,32320000.0,,,,36470000.0,,947063000.0,,,,,,779777000.0,,,,,31318000.0,,,42704000.0,,14807000.0,339109000.0,,,,160774000.0,0.0,,,,,36470000.0,36470000.0,,,,,,180847000.0,,0.0,13272000.0,101998000.0,-3895000.0,,,,90353000.0,67217000.0,9419000.0,,-62011000.0,58081000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096502400,,58081000.0,416000.0,,,,,62373000.0,-8078000.0,,,,,,650916000.0,,,,-832935000.0,,92197000.0,92197000.0,,,3985000.0,,,,,,44967000.0,,,,,0.91,,,290000.0,,62750000.0,2262000.0,,2855000.0,15600000.0,24569000.0,25582000.0,-9141000.0,,,1597068000.0,,,,,,,,-74240000.0,170273000.0,,,113958000.0,,34116000.0,,33013000.0,,,,,,,,41511000.0,,,23191000.0,764133000.0,-593000.0,,,,,,,,,95300000.0,39718000.0,,,,,230231000.0,0.94,411956000.0,,,,,,190276000.0,120794000.0,,,,,54395000.0,,35457000.0,,,,39182000.0,,1001941000.0,,,,,,811665000.0,,,,,32550000.0,,,42885000.0,,2565000.0,351025000.0,,,,158929000.0,0.0,,,,,39182000.0,39182000.0,,,,,,194774000.0,,-638000.0,11322000.0,96179000.0,1950000.0,,,,81215000.0,62199000.0,11344000.0,,-82104000.0,92197000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
