,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedAverageShares,annualChangeInWorkingCapital,annualCommonStockIssuance,annualFreeCashFlow,quarterlyFreeCashFlow,annualOperatingIncome,quarterlyRetainedEarnings,annualNetOtherInvestingChanges,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualRetainedEarnings,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,quarterlyGoodwill,trailingCommonStockIssuance,trailingPretaxIncome,annualEndCashPosition,annualCurrentDebt,annualTaxProvision,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,annualCurrentDeferredRevenue,annualTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,annualDilutedEPS,annualPretaxIncome,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,annualOtherCurrentAssets,annualCashDividendsPaid,annualCostOfRevenue,trailingPurchaseOfInvestment,annualLongTermDebt,annualNetIncome,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,annualBasicAverageShares,trailingEndCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualOtherNonCashItems,annualStockholdersEquity,trailingRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,annualCashAndCashEquivalents,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyEndCashPosition,annualCurrentAssets,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyInventory,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,annualNetPPE,annualOperatingCashFlow,annualOtherIntangibleAssets,annualNetIncomeCommonStockholders,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualRepaymentOfDebt,annualEbitda,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingGrossProfit,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,trailingInterestExpense,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,trailingOtherIncomeExpense,quarterlyOtherCurrentAssets,annualBeginningCashPosition,annualGrossPPE,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyChangesInAccountReceivables,annualTotalNonCurrentAssets,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,annualSellingGeneralAndAdministration,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,trailingOperatingExpense,annualBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,annualCapitalExpenditure,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyDilutedAverageShares,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOperatingIncome,trailingNetOtherFinancingCharges,annualInvestingCashFlow,trailingBeginningCashPosition,annualInterestExpense,trailingNetIncome,annualGoodwill,annualStockBasedCompensation,annualPurchaseOfInvestment,quarterlyNetPPE,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualTotalRevenue,annualChangesInAccountReceivables,annualCapitalStock,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualGrossProfit,annualInventory,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualDeferredIncomeTax,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingChangeInWorkingCapital,trailingBasicAverageShares,annualIncomeTaxPayable,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualOtherShortTermInvestments,trailingStockBasedCompensation,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBasicEPS
638841600,,,,,,,-43200000.0,,12300000.0,,178600000.0,,,119700000.0,6600000.0,,,,,,,,,1381700000.0,,,17600000.0,0.132032,,,,1262000000.0,,,,,,,,,,,,79900000.0,19400000.0,,,1150300000.0,,193500000.0,,-20200000.0,,,,,,833200000.0,62600000.0,,,,,17600000.0,17600000.0,133300870.0,891800000.0,-38300000.0,28300000.0,,,,,9700000.0,-300000.0,10700000.0,,,,,,-796900000.0,,171200000.0,,,,,,,56100000.0,,,,57600000.0,29900000.0,0.132032,26000000.0,,,,,231400000.0,,-1900000.0,,,,-2100000.0,,-269300000.0,,10200000.0,,,,,1800000.0,,,,56000000.0,56000000.0,16500000.0,,22100000.0,,-27200000.0,60700000.0,,,,,,,,,,,,233800000.0,2000000.0,,1280200000.0,,133300870.0,,-45200000.0,36300000.0,,36600000.0,,,,,,,,,1010900000.0,,95800000.0,,,,12300000.0,,,36900000.0,,,,,,,,56000000.0,,,,,,,,,,,,,,,,,,,,
646704000,,,,,,,-37300000.0,,20900000.0,,208700000.0,,,146500000.0,7400000.0,,,,,,,,,1435500000.0,,,8500000.0,0.063146,,,,1289000000.0,,,,,,,,,,,,93400000.0,17600000.0,,,1193700000.0,,186100000.0,,-10600000.0,,,,,,28500000.0,69800000.0,,,,,8500000.0,8500000.0,134609091.0,891600000.0,-40600000.0,40800000.0,,,,,1300000.0,-200000.0,10800000.0,,,,,,0.0,,183700000.0,,,,,,,,,,,57200000.0,14400000.0,0.063146,25000000.0,,,,,241800000.0,,1700000.0,,,,-3500000.0,,-282600000.0,,12400000.0,,,,,-2400000.0,,,,54000000.0,54000000.0,31600000.0,,65100000.0,,-18400000.0,50100000.0,,,,,,,,,,,,253500000.0,10000000.0,,1328300000.0,,134609091.0,,-47300000.0,28500000.0,,44800000.0,,,,,,,,,1045700000.0,,93500000.0,,,,5900000.0,,,37700000.0,,,,,,,,62400000.0,,,,,,,,,,,,,,,,,,,,
654652800,,,,,,,18400000.0,,36600000.0,,183600000.0,,,144100000.0,5800000.0,,,,,,,,,1460700000.0,,,15700000.0,0.120551,,,,1316600000.0,,,,,,,,,,,,95700000.0,20600000.0,,,1206500000.0,,183500000.0,,18400000.0,,,,,,-17700000.0,87800000.0,,,,,15700000.0,15700000.0,130235238.0,927200000.0,-46700000.0,40800000.0,,,,,100000.0,0.0,10800000.0,,,,,,0.0,,190200000.0,,,,,,,,,,,56700000.0,29100000.0,0.120551,26400000.0,,,,,254200000.0,,-5300000.0,,,,-4200000.0,,-297200000.0,,12100000.0,,,4600000.0,,-2200000.0,,,,53500000.0,53500000.0,32300000.0,,28100000.0,,20900000.0,54400000.0,,,,,,,,,,,,278000000.0,63900000.0,,1373600000.0,,130235238.0,,-45500000.0,-17700000.0,,61400000.0,,,,,,,,,1076400000.0,,101100000.0,,,,13400000.0,,,44600000.0,,-500000.0,,,,,,82000000.0,,,,,,,,,,,,,,,,,,,,
662601600,1219500000.0,,135876000.0,-4400000.0,,-71000000.0,-8900000.0,153000000.0,18400000.0,-14700000.0,204000000.0,,18400000.0,110300000.0,14200000.0,,,,,,53400000.0,20700000.0,,1432800000.0,,1432800000.0,-18500000.0,,0.172216,44100000.0,,1322500000.0,10600000.0,-796900000.0,735000000.0,,903500000.0,23400000.0,,56500000.0,,135876000.0,,112000000.0,24500000.0,,,1219500000.0,-23700000.0,168800000.0,,600000.0,4000000.0,,163300000.0,213300000.0,,4700000.0,48900000.0,40300000.0,82100000.0,,,-18500000.0,-18500000.0,,903500000.0,-45100000.0,57500000.0,,,,110300000.0,-1400000.0,-400000.0,11400000.0,-11800000.0,,,204000000.0,,0.0,168800000.0,189900000.0,1097500000.0,103200000.0,56200000.0,23400000.0,,,,-8600000.0,235100000.0,,56200000.0,-29400000.0,,38700000.0,112000000.0,,,,213300000.0,-15800000.0,-9200000.0,40300000.0,94100000.0,,1200000.0,51800000.0,-309800000.0,,10600000.0,56100000.0,1407300000.0,-10200000.0,9600000.0,-400000.0,1322500000.0,,,40300000.0,40300000.0,38300000.0,34100000.0,53400000.0,,20300000.0,56500000.0,,,,57500000.0,,116200000.0,,,,0.172216,,238800000.0,27300000.0,-174200000.0,1407300000.0,,,23400000.0,-36200000.0,4700000.0,-900000.0,10200000.0,,-170700000.0,,118600000.0,,,,,1097500000.0,,94100000.0,1004200000.0,-3200000.0,,-10900000.0,,,44100000.0,,-13200000.0,-309800000.0,848700000.0,269200000.0,11400000.0,,34700000.0,,,,,,,,,,,,,,,,,,,,
670377600,,,,,,,-18800000.0,,16200000.0,,213200000.0,,,106100000.0,4700000.0,,,,,,,,,1435400000.0,,,-2200000.0,-0.017222,,,,1329300000.0,,,,,,,,,,,,95500000.0,21100000.0,,,1223500000.0,,165700000.0,,-1900000.0,,,,,,13300000.0,55400000.0,,,,,-2200000.0,-2200000.0,127746667.0,914800000.0,-31200000.0,41200000.0,,,,,700000.0,500000.0,10900000.0,,,,,,,,170900000.0,,,,,,,40300000.0,,,,55800000.0,-3800000.0,-0.017222,25800000.0,,,,,211900000.0,,-3400000.0,,,,-700000.0,,-323900000.0,,13500000.0,,,,,4700000.0,,,,33900000.0,33900000.0,33900000.0,,52800000.0,,-12400000.0,54600000.0,-1100000.0,,,,,,,,,,,226300000.0,11500000.0,,1431700000.0,,127746667.0,,-30300000.0,13300000.0,,29600000.0,,,,,,,,,1107800000.0,,105800000.0,,,,-1600000.0,,,44900000.0,,-6400000.0,,,,,,50700000.0,,,,,,,,,,,,,,,,,,,,
678240000,,,,,,,12100000.0,,26000000.0,,238500000.0,,,138300000.0,5400000.0,,,,,,,,,1473200000.0,,,9800000.0,0.068886,,,,1334900000.0,,,,,,,,,,,,77100000.0,21200000.0,,,1123300000.0,,162300000.0,,-1500000.0,,,,,,17400000.0,75400000.0,,,,,9800000.0,9800000.0,142263333.0,807700000.0,-31300000.0,23100000.0,,,,,1000000.0,300000.0,10600000.0,,,,,,,,186900000.0,,,,,,,,,,,55300000.0,16600000.0,0.068886,26600000.0,,,,,349900000.0,,-7600000.0,,,,-108700000.0,,-338500000.0,,18000000.0,,,,,-2700000.0,,,,60000000.0,60000000.0,33300000.0,,51500000.0,,2300000.0,52100000.0,4000000.0,,,,,,,,,,,262300000.0,40100000.0,,1455800000.0,,142263333.0,,-28000000.0,17400000.0,,48800000.0,,,,,,,,,1117300000.0,,134900000.0,,,,6800000.0,,,43300000.0,,26200000.0,,,,,,70000000.0,,,,,,,,,,,,,,,,,,,,
686188800,,,,,,,13600000.0,,49200000.0,,223800000.0,,,125300000.0,5900000.0,,,,,,,,,1479400000.0,,,23200000.0,0.132032,,,,1354100000.0,,,,,,,,,,,,80200000.0,23100000.0,,,1099900000.0,,163000000.0,,-6400000.0,,,,,,-28600000.0,92500000.0,,,,,23200000.0,23200000.0,175714783.0,795900000.0,-7000000.0,25400000.0,,,,,6600000.0,200000.0,10500000.0,,,,,,,,198700000.0,,,,,,,,,,,54900000.0,39300000.0,0.132032,29000000.0,,,,,379500000.0,,-3700000.0,,,,-28600000.0,,-352700000.0,,16000000.0,,,,,2500000.0,,,,53500000.0,53500000.0,30700000.0,,51600000.0,,-12100000.0,48700000.0,2100000.0,,,,,,,,,,,291200000.0,29100000.0,,1488900000.0,,175714783.0,,-15500000.0,-28600000.0,,63500000.0,,,,,,,,,1136200000.0,,123500000.0,,,,16100000.0,,,42400000.0,,-6500000.0,,,,,,86600000.0,,,,,,,,,,,,,,,,,,,,
694137600,1148100000.0,,158363636.0,-24800000.0,,-7500000.0,-14400000.0,177300000.0,48400000.0,-17200000.0,223500000.0,,48400000.0,103400000.0,10800000.0,,,,,,52200000.0,22200000.0,,1523100000.0,,1523100000.0,-800000.0,,0.189437,52200000.0,,1419700000.0,10800000.0,,738900000.0,,835200000.0,30000000.0,,53200000.0,,158363636.0,,89400000.0,22700000.0,,,1148100000.0,,160300000.0,,4500000.0,12000000.0,,185700000.0,375000000.0,,-1400000.0,68800000.0,34600000.0,88100000.0,,,-800000.0,-800000.0,,835200000.0,-47600000.0,34100000.0,,,,103400000.0,700000.0,-700000.0,11100000.0,-5300000.0,,,223500000.0,,,160300000.0,182400000.0,1205000000.0,110800000.0,54400000.0,30000000.0,,,,-164400000.0,265400000.0,,54400000.0,0.0,,33500000.0,89400000.0,,,,375000000.0,-5700000.0,-2500000.0,34600000.0,118100000.0,,-26400000.0,700000.0,-368300000.0,,10800000.0,40300000.0,1573300000.0,-100000.0,8900000.0,-1900000.0,1419700000.0,,,34600000.0,34600000.0,36100000.0,26800000.0,52200000.0,,-2600000.0,53200000.0,,,,34100000.0,,114900000.0,,,,0.189437,,251200000.0,30100000.0,-118300000.0,1573300000.0,,,30000000.0,-44500000.0,-1400000.0,300000.0,35300000.0,,-117100000.0,,134000000.0,,,,,1205000000.0,,118100000.0,1031100000.0,2600000.0,,800000.0,,,55100000.0,,-19000000.0,-368300000.0,700000.0,292200000.0,11100000.0,,58000000.0,,,,,,,,,,,,,,,,,,,,
702000000,,,,,,,-13500000.0,,53800000.0,,222500000.0,,,98300000.0,69300000.0,,,,,,,,,1528600000.0,,,5500000.0,0.028703,,,,1430300000.0,,,,,,,,,,,,93500000.0,22500000.0,,,1145800000.0,,163100000.0,,,,,,,,14000000.0,138800000.0,,,,,5500000.0,5500000.0,191620000.0,829800000.0,-29400000.0,37300000.0,,,,,-7600000.0,,11100000.0,,,,,,,,118900000.0,,,,,,,34600000.0,,,,53900000.0,9500000.0,0.028703,91800000.0,,,,,382800000.0,,-2800000.0,,,,-1000000.0,,-384600000.0,,12200000.0,,,,,,,,,32400000.0,32400000.0,29900000.0,,72100000.0,,-9900000.0,48600000.0,,,,,,,,,,,,257700000.0,13100000.0,,1597900000.0,,191620000.0,,-26600000.0,14000000.0,,47000000.0,,,,,,,,,1213300000.0,,101800000.0,,,,4000000.0,,,38000000.0,,-2200000.0,,,,,,69500000.0,,,,,,,,,,,,,,,,,,,,
709862400,,,,,,,11200000.0,,67800000.0,,217100000.0,,,120400000.0,7600000.0,,,,,,,,,1570500000.0,,,14000000.0,0.080367,,,,1450100000.0,,,,,,,,,,,,95200000.0,24500000.0,,,1172500000.0,,156100000.0,,,,,,,,-2500000.0,88100000.0,,,,,14000000.0,14700000.0,174200000.0,860200000.0,-41100000.0,42400000.0,,,,,300000.0,,11200000.0,,,,,,,,193100000.0,,,,,,,,,,,53500000.0,25500000.0,0.080367,32100000.0,,,,,398000000.0,,-2700000.0,,,,-197100000.0,,-401200000.0,,14100000.0,,,,,,,,,45500000.0,45500000.0,30700000.0,,49600000.0,,17200000.0,55900000.0,,,,,,,,,,,,281200000.0,56800000.0,,1641700000.0,,174200000.0,,-45600000.0,-2500000.0,,56000000.0,,,,,,,,,1240500000.0,,111600000.0,,,,10800000.0,,,48000000.0,,13100000.0,,,,,,80500000.0,,,,,,,,,,,,,,,,,,,,
