,trailingResearchAndDevelopment,trailingTotalRevenue,annualTotalRevenue,annualOtherCurrentAssets,trailingCostOfRevenue,annualAccountsPayable,quarterlyOtherNonCashItems,trailingOperatingIncome,annualResearchAndDevelopment,quarterlyCashDividendsPaid,trailingFreeCashFlow,annualTaxProvision,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,trailingTaxProvision,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyFreeCashFlow,annualCashAndCashEquivalents,annualBasicEPS,annualNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,trailingEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,annualOperatingExpense,annualFreeCashFlow,annualCurrentDebt,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualCashDividendsPaid,annualNetIncome,annualCostOfRevenue,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,quarterlyNetIncome,trailingSaleOfInvestment,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualLongTermDebt,quarterlyOtherCurrentAssets,annualCurrentAssets,quarterlyStockholdersEquity,annualStockholdersEquity,trailingNetIncomeCommonStockholders,annualEbitda,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyAccountsReceivable,annualDepreciationAndAmortization,quarterlyGoodwill,annualOtherShortTermInvestments,annualRetainedEarnings,annualSaleOfInvestment,quarterlyEndCashPosition,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,annualBasicAverageShares,quarterlyInventory,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualOtherIntangibleAssets,quarterlyNetPPE,annualInventory,annualChangeInInventory,quarterlyPretaxIncome,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualNetPPE,quarterlyPurchaseOfBusiness,quarterlyCapitalStock,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyCurrentDebt,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,annualGrossPPE,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,annualPurchaseOfBusiness,annualBeginningCashPosition,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualDilutedEPS,trailingCapitalExpenditure,trailingInvestingCashFlow,quarterlyBasicAverageShares,annualInterestExpense,annualPretaxIncome,annualCapitalExpenditure,quarterlySaleOfInvestment,trailingCashDividendsPaid,trailingInterestExpense,quarterlyGrossPPE,quarterlyOperatingCashFlow,annualInvestingCashFlow,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,trailingOperatingExpense,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,annualRepaymentOfDebt,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualGoodwill,trailingGrossProfit,annualCapitalStock,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,80186340000.0,0.0,,1348571000.0,,,,,,7641300000.0,8244017000.0,,,,,,,25669910000.0,,,,,4236545000.0,,15567510000.0,,,,,11380108000.0,,,,,,3718540000.0,,373600000.0,,,,15527100000.0,50797890000.0,782291000.0,,,,,,26655627000.0,,2698420000.0,0.0,8125089000.0,,5414691000.0,,14258885000.0,,25141700000.0,,,15527100000.0,3136091000.0,,,,0.0,1246372000.0,,,,,,,,,,,,,,,,287368000.0,,302108000.0,,,29388450000.0,4236545000.0,21240936000.0,20736126000.0,,,,,,,,,1016634000.0,,,,,20736126000.0,,,,,,,,,,,,1932890000.0,23208810000.0,,,,,,,,,,,,,,,,,,,,,,,,,555107000.0,,,,,,5162849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,9956277000.0,0.0,,2001873000.0,,,,,,919271000.0,11721327000.0,,,,,4155484000.0,,3225532000.0,,,,,5427558000.0,0.177899,1920889000.0,,,,502463000.0,18509067000.0,,,,,,473372000.0,-4072848000.0,2860834000.0,,,-972539000.0,1836933000.0,6257373000.0,1035870000.0,,,,,,35329955000.0,,347982000.0,100000000.0,11582399000.0,,6941839000.0,,15476276000.0,,4841359000.0,,,1836933000.0,6787740000.0,,1633947000.0,,0.0,2058095000.0,101100000.0,,291488000.0,,,,,,,,,,,,3781517000.0,275884000.0,,342834000.0,-40726000.0,,3698904000.0,5427558000.0,28388116000.0,27608329000.0,,,,,,,,,1344612000.0,436589000.0,,,,27608329000.0,,,,2359935000.0,-210031000.0,,,0.177899,,,,367252000.0,2840160000.0,-7854365000.0,,,,,,-7460162000.0,,,,,,,,,,,,,,-220939000.0,,-1000253000.0,,829209000.0,,1795549000.0,244022000.0,,,5162849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,13585006000.0,0.0,,2971467000.0,,,,,,914993000.0,19395151000.0,,,,,3462019000.0,,4203284000.0,,,,,3672428000.0,0.218504,2693062000.0,,,,1061665000.0,30332199000.0,,,,,,546246000.0,-10519479000.0,5979560000.0,,,-2267553000.0,2256207000.0,8835476000.0,1289931000.0,,,,,,49219577000.0,,377313000.0,100000000.0,19224974000.0,,5629617000.0,,16828984000.0,,6272422000.0,,,2256207000.0,10937048000.0,,2069138000.0,,0.0,2335186000.0,63824000.0,,343423000.0,,,,,,,,,,,,5115975000.0,276176000.0,,442615000.0,-99780000.0,,4749530000.0,3672428000.0,43589960000.0,42255025000.0,,,,,,,,,2058394000.0,622774000.0,,,,42255025000.0,,,,4155484000.0,-497340000.0,,,0.218504,,,,597032000.0,3608055000.0,-15635454000.0,,,,,,-15002152000.0,,,,,,,,,,,,,,-287393000.0,,-11884245000.0,,1106875000.0,,-693465000.0,343423000.0,,,5162849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,17997628000.0,0.0,,4079501000.0,,,,,,859880000.0,30670258000.0,,,,,1029339000.0,,4561016000.0,,,,,1029339000.0,0.228628,3035287000.0,,,,53690000.0,43839157000.0,,,,,,716360000.0,-11938150000.0,5717280000.0,,,-2788423000.0,2360740000.0,12720252000.0,1409528000.0,,,,,,64273309000.0,,510921000.0,0.0,30459316000.0,,3689015000.0,,17964059000.0,,7287423000.0,,,2360740000.0,13168899000.0,,2726407000.0,,0.0,1624046000.0,166253000.0,,115100000.0,,,,,,,,,,,,5978100000.0,353460000.0,,693019000.0,-302052000.0,,5277376000.0,1029339000.0,60584294000.0,58953505000.0,,,,,,,,,2470093000.0,716889000.0,,,,58953505000.0,,,,3462019000.0,-330043000.0,,,0.228628,,,,669641000.0,3895167000.0,-17916250000.0,,,,,,-17812837000.0,,,,,,,,,,,,,,-459351000.0,,-18626991000.0,,2488884000.0,,-2432680000.0,115100000.0,,,5162849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,,,,,,,,,,,,,,,4959689000.0,17590307000.0,,35023049000.0,,,937348000.0,,,,,,,,,,,,73210525000.0,,68250836000.0,,,,,,52613356000.0,,,,,2560063000.0,,,,,,,,,,0.0,,18037106000.0,,,,,,,,2169896000.0,,,,,,,,,,,34812107000.0,,892014000.0,,,1259637000.0,0.0,1259637000.0,,,66182298000.0,,,,,,,,,5162849000.0,,,,,,,,,8003766000.0,,0.0,,429831000.0,,,,,2159715000.0,,,,,,,,,,,,66182298000.0,,,,,,,,,,,,6145082000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,,24850228000.0,0.0,,6985488000.0,,,,,,1119546000.0,41707686000.0,,,9318008000.0,21400561000.0,4451284000.0,41707686000.0,6083082000.0,,1895314000.0,,,4451284000.0,0.23904,3485558000.0,,,,75019000.0,63108247000.0,,89074543000.0,,79756535000.0,,1286579000.0,-7943196000.0,9300496000.0,,63108247000.0,-3563982000.0,2707291000.0,17480567000.0,3337529000.0,3282691000.0,,,,,89074543000.0,,1007094000.0,87850000.0,41477133000.0,0.0,9318008000.0,22683605000.0,22683605000.0,,10269443000.0,,,2707291000.0,21400561000.0,3337529000.0,4102790000.0,,0.0,1895314000.0,30108000.0,,3665406000.0,,,,41477133000.0,,806965000.0,,,4451284000.0,,4451284000.0,7450924000.0,391922000.0,77493503000.0,806965000.0,-146168000.0,,7369661000.0,4451284000.0,79756535000.0,77493503000.0,,5662849000.0,,,,,,,3282691000.0,1795684000.0,9300496000.0,,87850000.0,77493503000.0,391922000.0,,,1029339000.0,-1082179000.0,3942804000.0,,0.23904,,,,1561549000.0,4605104000.0,-15394120000.0,,,,77493503000.0,,-16322130000.0,,,,,,,,,,6985488000.0,,,0.0,-1749084000.0,,-21216537000.0,,3942804000.0,,3421945000.0,3470686000.0,,,5662849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175299200,,,,,,,505953000.0,,,-767038000.0,,,,259942000.0,,15035755000.0,21842039000.0,,42388489000.0,,11579613333.0,2982811000.0,1926327000.0,-550334000.0,,,,0.075,-141002000.0,7569159000.0,,,1201141000.0,93255341000.0,,78219586000.0,868471000.0,,,,,64230528000.0,,,,,275707000.0,1080859000.0,,868471000.0,,,13284000.0,,,,0.0,,25640275000.0,,,,,5297591000.0,,,3641910000.0,,33127000.0,,,,4065063000.0,,-3774563000.0,-325794000.0,345241000.0,41445328000.0,,1130180000.0,2271568000.0,0.075,4065063000.0,667454000.0,4065063000.0,,,73683305000.0,,,1437487000.0,,,,,,5753556000.0,-4689775000.0,,4447295000.0,356628000.0,-3645685000.0,488576000.0,,,10637521000.0,,87850000.0,,607508000.0,61693000.0,,,,2785683000.0,-382232000.0,,,,11579613333.0,,,,-1160000.0,,,73683305000.0,3095351000.0,,,,,57130000.0,,,,,,7111345000.0,,,,,61670000.0,,,,3127204000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,,,,,,,,,-852324000.0,,,,179259000.0,,11240165000.0,25620786000.0,,44986633000.0,,,2063444000.0,1987123000.0,-1894162000.0,,,,,-196082000.0,7895863000.0,,,,101135442000.0,,89895277000.0,985332000.0,,,,,70607419000.0,,,,,299573000.0,1222945000.0,,985332000.0,,,84417000.0,,,,0.0,,25974664000.0,,,,,5647090000.0,,,3622233000.0,,44346000.0,,,,5613437000.0,,-5605692000.0,,261650000.0,43950584000.0,,1011125000.0,2248773000.0,,5658437000.0,736476000.0,5663095000.0,,,85050397000.0,,,1597187000.0,,,,,,5833079000.0,-11217906000.0,,4065063000.0,374242000.0,-5616562000.0,564158000.0,,,10516067000.0,,87850000.0,,678453000.0,919973000.0,,,,4253076000.0,1544385000.0,,,,,,,,51188000.0,,,85050397000.0,,,,,,,,,,,,8329991000.0,,,4658000.0,,944340000.0,,,,2161345000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191110400,,,,,,,,,,-2097641000.0,,,,250960000.0,,10521139000.0,31672038000.0,,45455341000.0,,12114585714.0,2911340000.0,1925525000.0,-2904218000.0,,,,0.07,131025000.0,8423744000.0,,,,109635410000.0,,99114271000.0,848021000.0,,,,,77127379000.0,,,,,329975000.0,1122957000.0,,848021000.0,,,-293312000.0,,,,0.0,,28232104000.0,,,,,6157271000.0,,,3558457000.0,,44346000.0,,,,4404088000.0,,-6582633000.0,,340948000.0,43821727000.0,,1051511000.0,2266473000.0,0.07,4404088000.0,1303639000.0,4408746000.0,,,90746622000.0,,,1487557000.0,,,,,,11695190000.0,-6105235000.0,,5613437000.0,364600000.0,-6229519000.0,477115000.0,,,14880973000.0,,90000000.0,,702323000.0,98177000.0,,,,4541913000.0,-1209349000.0,,,,12114585714.0,,,,6198000.0,,,90746622000.0,,,,,,,,,,,,9341396000.0,,,4658000.0,,31600000.0,,,,1964672000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
