,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualDilutedEPS,annualNetIncomeCommonStockholders,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualEbitda,annualOtherCurrentLiabilities,annualGrossPPE,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,trailingOperatingCashFlow,annualTotalNonCurrentAssets,annualOtherIncomeExpense,trailingGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,quarterlyAccountsPayable,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyDilutedEPS,annualInventory,annualAccumulatedDepreciation,trailingTaxProvision,annualOperatingExpense,annualNetOtherFinancingCharges,annualCurrentDebt,annualCostOfRevenue,quarterlyOtherCurrentLiabilities,annualBeginningCashPosition,annualBasicEPS,quarterlyAccumulatedDepreciation,annualGrossProfit,trailingNetIncome,quarterlyNetPPE,quarterlyRetainedEarnings,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,annualChangeInInventory,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingOperatingExpense,trailingCostOfRevenue,trailingBeginningCashPosition,quarterlyOtherShortTermInvestments,quarterlyGoodwill,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualRetainedEarnings,quarterlyTotalAssets,annualGoodwill,annualNetIncome,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualPretaxIncome,annualFreeCashFlow,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,trailingOperatingIncome,annualOtherCurrentAssets,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,annualInvestingCashFlow,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualAccountsPayable,annualTotalAssets,annualTaxProvision,annualOperatingIncome,annualLongTermDebt,trailingTotalRevenue,annualEndCashPosition,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualSaleOfInvestment,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,trailingEndCashPosition,annualInvestmentsAndAdvances,annualOperatingCashFlow,annualDilutedAverageShares,annualCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,quarterlyBasicEPS,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,trailingRepaymentOfDebt,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,trailingCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualStockBasedCompensation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,15464400.0,4.25271,4399621800.0,,,-1554172200.0,,1268080800.0,,,1724280600.0,,,,,,,,27240540600.0,,,,,-1314474000.0,,,,,1034545455.0,,4391889600.0,4639320000.0,,,,,,,,-487128600.0,0.0,,,564450600.0,4.25271,,,,,,69589800.0,,,,20397543600.0,,,,,,,,,-193305000.0,,,,4399621800.0,,,,4616123400.0,3324846000.0,,,,1005186000.0,-3085147800.0,,,-873738600.0,,,,,34678917000.0,224233800.0,,16832999400.0,,2288731200.0,14281373400.0,,,,3479490000.0,,2288731200.0,,,,,,,4639320000.0,1034545455.0,7438376400.0,,14374159800.0,,12866380800.0,16918053600.0,,2288731200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,38674500.0,5.801175,6853121400.0,,,-16838877300.0,,3326007000.0,,,27745086300.0,,,,,,,,52365273000.0,,,,,-1299463200.0,,,,,1181333333.0,,6837651600.0,9088507500.0,,,,,,,,31279935600.0,15895219500.0,,,2289530400.0,5.801175,,,,,,30939600.0,,,,23274314100.0,,,,,,,,,-193372500.0,,,,6853121400.0,,,,7510587900.0,7789044300.0,,,,1098355800.0,-24171562500.0,,,-25602519000.0,,,,,87860729100.0,672936300.0,,0.0,,30034616700.0,64586415000.0,,,,23204700000.0,,30034616700.0,,,,,,,9088507500.0,1181333333.0,35495456100.0,,39780590700.0,,12584682300.0,69614100.0,,30034616700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,2.33,4709000000.0,,,-2057000000.0,8065000000.0,5403000000.0,,,-1486000000.0,,,,,,,,35268000000.0,,,,,-233000000.0,,,,,2021030043.0,,4709000000.0,1320000000.0,-9000000.0,,,,,,,-32000000.0,,,,3883000000.0,2.33,,,,,,,,,,16994000000.0,,,,,,,,,-3584000000.0,,,,4709000000.0,,,,4959000000.0,1087000000.0,,,,931000000.0,,,8065000000.0,-3817000000.0,,,,,36199000000.0,432000000.0,8065000000.0,,,2397000000.0,19205000000.0,,,,5403000000.0,,,,,,,,,1320000000.0,2021030043.0,931000000.0,,89000000.0,,35179000000.0,11591000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,1.27,2855000000.0,,,-400000000.0,3291000000.0,5523000000.0,,,-1066000000.0,,,,,,,,37903000000.0,,,,,-816000000.0,,,,,2248031496.0,,2853000000.0,1434000000.0,,,,,,,,249000000.0,,,,2397000000.0,1.27,,,,,,,,,,17786000000.0,,,,,,,,,-1934000000.0,,,,2855000000.0,,,,3126000000.0,618000000.0,,,,1156000000.0,,,3291000000.0,-2749000000.0,,,,,39059000000.0,273000000.0,3291000000.0,,,1331000000.0,21273000000.0,,,,5523000000.0,,,,,,,,,1434000000.0,2248031496.0,1156000000.0,,90000000.0,,37813000000.0,12263000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,1.39,3141000000.0,,,-21000000.0,1194000000.0,4843000000.0,,,112000000.0,,,,,,,,39768000000.0,,,,,-142000000.0,,,,,2259712230.0,,3139000000.0,321000000.0,,,,,,,1869000000.0,,,,,1331000000.0,1.39,,,,,,,,,,17382000000.0,,,,,,,,,-1039000000.0,,,,3141000000.0,,,,3384000000.0,179000000.0,,,,2601000000.0,,,3063000000.0,-1085000000.0,,,,,42369000000.0,245000000.0,1194000000.0,,,1443000000.0,24987000000.0,,,,4843000000.0,,,,,,,,,321000000.0,2259712230.0,2601000000.0,,3959000000.0,,35786000000.0,12539000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,1.43,3228000000.0,,,-5898000000.0,-252000000.0,7956000000.0,,,674000000.0,,,,,,,,48809000000.0,,,,,-150000000.0,,,,,2257342657.0,,3213000000.0,391000000.0,-1000000.0,,,,,,2819000000.0,,,,,1443000000.0,1.43,,,,,,,,,,23205000000.0,,,,,,,,,-6454000000.0,,,,3228000000.0,,,,3501000000.0,241000000.0,,,,2841000000.0,,,2567000000.0,-6584000000.0,,,,,51650000000.0,288000000.0,-252000000.0,,,2117000000.0,28445000000.0,,,,7956000000.0,,,,,,,,,391000000.0,2257342657.0,2841000000.0,,5169000000.0,,36423000000.0,15249000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,1.47,3323000000.0,,,-3300000000.0,-1530000000.0,3510000000.0,,,1906000000.0,,,,,,,,49184000000.0,,,,,-87000000.0,,,,,2260544218.0,,3291000000.0,1028000000.0,-4000000.0,,,,,,3846000000.0,,,,,2117000000.0,1.47,,,,,,,,,,18348000000.0,,,,,,,,,2085000000.0,,,,3323000000.0,,,,3683000000.0,941000000.0,,,,2922000000.0,,,2316000000.0,2494000000.0,,,,,52106000000.0,392000000.0,-1530000000.0,,,4023000000.0,33758000000.0,,,,3510000000.0,,,,,,,,,1028000000.0,2260544218.0,2922000000.0,,4595000000.0,,39360000000.0,14838000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,1.52,3425000000.0,,,-3915000000.0,-179000000.0,5049000000.0,,,3168000000.0,,,,,,,,53817000000.0,,,,,-111000000.0,,,,,2253289474.0,,3420000000.0,1198000000.0,0.0,,,,,,2051000000.0,-221000000.0,,,,4023000000.0,1.52,,,,,,,,,,19489000000.0,,,,,,,,,-562000000.0,,,,3425000000.0,,,,3890000000.0,1087000000.0,-1432000000.0,,,2823000000.0,,,1872000000.0,133000000.0,,,,,56640000000.0,470000000.0,-179000000.0,,,7191000000.0,37151000000.0,,,,5049000000.0,,,,,,,,,1198000000.0,2253289474.0,2823000000.0,,3381000000.0,,42049000000.0,14440000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,1.49,3349000000.0,,,-4311000000.0,-194000000.0,3865000000.0,,,52000000.0,,,,,,,,53692000000.0,,,,,-90000000.0,,,,,2247651007.0,,3339000000.0,1266000000.0,,,,,,,1807000000.0,-179000000.0,,,,7191000000.0,1.49,,,,,,,,,,21401000000.0,,,,,,,,,2719000000.0,,,,3349000000.0,,,,4185000000.0,1176000000.0,-1533000000.0,,,3020000000.0,,,1613000000.0,2684000000.0,,,,,56712000000.0,846000000.0,-194000000.0,,,7243000000.0,35311000000.0,,,,3865000000.0,,,,,,,,,1266000000.0,2247651007.0,3020000000.0,,3236000000.0,,42031000000.0,17536000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
