date,annualCapitalExpenditure,annualDilutedAverageShares,quarterlyGrossPPE,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,trailingInterestExpense,quarterlyIncomeTaxPayable,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyStockBasedCompensation,quarterlyEbitda,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyDilutedEPS,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualDilutedEPS,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,annualInterestExpense,annualRepaymentOfDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,trailingGrossProfit,trailingResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualBasicAverageShares,annualOtherCurrentAssets,trailingCostOfRevenue,annualGrossProfit,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,annualTaxProvision,quarterlyRetainedEarnings,annualInventory,trailingTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,quarterlyPretaxIncome,annualChangeInWorkingCapital,quarterlyNetPPE,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCashDividendsPaid,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCostOfRevenue,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,annualInvestingCashFlow,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,trailingNetIncome,quarterlyBasicEPS,annualLongTermDebt,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualStockholdersEquity,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,annualSaleOfInvestment,annualGoodwill,annualCommonStockIssuance,annualRetainedEarnings,annualStockBasedCompensation,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,annualCapitalStock,annualAccountsReceivable,trailingOperatingIncome,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherIncomeExpense,annualNetPPE,trailingTotalRevenue,annualEbitda,annualOperatingIncome,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyCurrentDebt,annualGrossPPE,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,annualIncomeTaxPayable,quarterlyNetIncomeCommonStockholders,annualBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBeginningCashPosition,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingChangeInCashSupplementalAsReported,trailingOtherIncomeExpense,trailingCommonStockIssuance,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,trailingStockBasedCompensation,trailingPurchaseOfInvestment,trailingChangesInAccountReceivables,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,trailingChangeInInventory,trailingChangeInAccountPayable,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingDepreciationAndAmortization,trailingSaleOfInvestment,annualOtherShortTermInvestments,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares,trailingFreeCashFlow
1970-01-01 00:00:00.646704000,,,,,,,42770000.0,,,,,,,,,,,,766838000.0,,337222000.0,335962000.0,,,1600000,,,,-0.0075,,,,,,,,,,,,,1246223000.0,62879000.0,,,,,,1651871000.0,,,,,,,,,70655000.0,,,13333333.0,,,,,,,,,1600000,,,1600000,,,,,,,703959000.0,,,,,,,,,-100000.0,,,-100000.0,407877000.0,,,335962000.0,-0.0075,,,,,,,,,,,,,,,,,,,,,,,,,479385000.0,,,,,,,,,,,,,,,,2898094000.0,,,,,,,,,,,,,-100000.0,,,,,,,,,,,13333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.654652800,,,,,,,,,,,,,,,,,,,,,,,,,2400000,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13333333.0,,,,,,,,,2400000,,,2400000,,,,,,,,,,,,,,,,100000.0,,,100000.0,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,13333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.662601600,,,,,,,,,,,,,,,,,,,,,,,,,2500000,,,,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13333333.0,,,,,,,,,2500000,,,2500000,,,,,,,,,,,,,,,,,,,,,,,,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.670377600,-500000.0,13333333.0,700000.0,,,,,,-200000.0,1100000.0,200000.0,5000000.0,,,,0.0,,,,3600000.0,,,1500000.0,,-6400000,,-100000.0,100000.0,,,1100000.0,,-0.015,,,,,,,,,,,,,,13333333.0,200000.0,,5400000.0,3600000.0,2500000.0,,,,-6500000.0,1300000.0,,,,,400000.0,800000.0,,-400000.0,500000.0,,,,-6400000,-400000.0,2900000.0,2200000,,-800000.0,300000.0,-200000.0,,,,5200000.0,,400000.0,3400000.0,,,,0.0,,-500000.0,,,,,4400000.0,,,400000.0,-100000.0,1100000.0,,,,1500000.0,,2500000.0,,,,200000.0,,,,-6500000.0,,400000.0,,,1300000.0,7000000.0,,,8800000.0,300000.0,400000.0,-300000.0,,300000.0,1100000.0,,300000.0,300000.0,,700000.0,0.0,,500000.0,,400000.0,200000.0,7000000.0,,300000.0,0.0,,300000.0,700000.0,,,,,-0.015,800000.0,4400000.0,300000.0,0.0,,,0.0,2900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.678240000,,,,,,,,,,,,,,,,,,,,,,,,,2300000,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,,,,2300000,,,2300000,,,,,,,,,,,,,,,,-200000.0,,,-200000.0,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200000.0,,,,,,,,,,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.686188800,,,,,,,,,,,,,,,,,,,,,,,,,2500000,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,,,,2500000,,,2500000,,,,,,,,,,,,,,,,-200000.0,,,-200000.0,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200000.0,,,,,,,,,,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.694137600,,,,,,,,,,,,,,,,,,,,,,,,,3400000,,,,-0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13333333.0,,,,,,,,,3400000,,,3400000,,,,,,,,,,,,,,,,-100000.0,,,-100000.0,,,,,-0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100000.0,,,,,,,,,,,13333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.702000000,-700000.0,20000000.0,1300000.0,,,,,,-300000.0,1600000.0,500000.0,7100000.0,,,,100000.0,,,,6500000.0,,,5300000.0,,-8200000,,700000.0,-100000.0,,,1100000.0,,-0.0125,,,,,,,,,,,,,,20000000.0,500000.0,,7300000.0,6500000.0,2700000.0,,,,-6400000.0,1400000.0,,,,,,1500000.0,,-1900000.0,1000000.0,,,,-8200000,-100000.0,2700000.0,4700000,,-2300000.0,,-300000.0,,,,7300000.0,,300000.0,5600000.0,,,,,,-700000.0,,,,,8000000.0,,,,100000.0,1100000.0,,,,5300000.0,,2700000.0,,,,200000.0,,,3200000.0,-6400000.0,,,,,1400000.0,11400000.0,,,12900000.0,1000000.0,,-1600000.0,,1000000.0,1600000.0,,1000000.0,400000.0,,2900000.0,0.0,100000.0,1000000.0,,200000.0,0.0,11400000.0,,1000000.0,0.0,,,1300000.0,,,,,-0.0125,1500000.0,8000000.0,400000.0,100000.0,,,,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.709862400,,,1600000.0,,,,,,,2600000.0,600000.0,,,400000.0,,,,,,,,,17700000.0,,300000,,,,0.0025,,,0.0,,3000000.0,0.0,-300000.0,,,,-700000.0,2800000.0,,,,,,,,,,20000000.0,3900000.0,2700000.0,,,-6200000.0,,,,,31468000.0,,,,,1200000.0,,12200000.0,-300000.0,200000,,,5000000,,,,-400000.0,,,,,,,,700000.0,,12700000.0,,200000.0,,,200000.0,,,,,0.0025,,,1300000.0,,13800000.0,,,,,,2000000.0,,,,,,,,,,,2100000.0,,,,,13600000.0,,,,13600000.0,,-1600000.0,,,100000.0,,,,,,,,,1000000.0,,,,,,,,,200000.0,,1600000.0,21600000.0,400000.0,0.0,0.0,,,3900000.0,400000.0,31468000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.717811200,,,1900000.0,,,,,,,1700000.0,600000.0,,,-2100000.0,,,,,,,,,18000000.0,,400000,,,,0.005,,,0.0,,3600000.0,0.0,-300000.0,,,,0.0,3300000.0,,,,,,,,,,19500000.0,3300000.0,3200000.0,,,-5800000.0,,,,,31468000.0,,,,,1400000.0,,0.0,-300000.0,300000,,,6200000,,,,-500000.0,,,,,,,,-1600000.0,,-2000000.0,,400000.0,,,400000.0,,,,,0.005,,,1600000.0,,0.0,,,,,,2600000.0,,,,,,,,,,100000.0,2100000.0,,,,,11700000.0,,,,11700000.0,,0.0,,,100000.0,,,,,,,,,0.0,,,,,,,,,400000.0,,1800000.0,21300000.0,400000.0,0.0,0.0,,,3300000.0,-1900000.0,31468000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
