,annualNetPPE,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualGrossProfit,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,annualDilutedEPS,annualEbitda,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,trailingOtherNonCashItems,quarterlyDilutedEPS,annualPurchaseOfBusiness,annualBeginningCashPosition,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBasicAverageShares,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,annualOperatingExpense,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualAccumulatedDepreciation,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfBusiness,trailingPurchaseOfInvestment,annualChangesInAccountReceivables,trailingInterestExpense,trailingNetIncomeContinuousOperations,trailingCashDividendsPaid,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,annualInterestExpense,trailingChangeInWorkingCapital,annualRepaymentOfDebt,trailingChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyBasicEPS,annualGoodwill,annualCapitalStock,annualStockBasedCompensation,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingCommonStockIssuance,annualOperatingIncome,annualOtherShortTermInvestments,quarterlyCurrentAssets,trailingFreeCashFlow,annualTotalRevenue,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualOtherCurrentAssets,quarterlyRetainedEarnings,trailingTotalRevenue,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,trailingEndCashPosition,trailingTaxProvision,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualInvestmentsAndAdvances,annualNetIncome,annualCurrentDebt,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,trailingSaleOfInvestment,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualLongTermDebt,annualBasicEPS,annualCurrentAssets,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalAssets,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,annualRetainedEarnings,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,trailingChangeInInventory,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,annualInventory,quarterlyAccountsPayable,trailingGrossProfit,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualDeferredIncomeTax,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingBasicEPS,trailingDeferredIncomeTax,trailingCostOfRevenue,quarterlyChangeInInventory,annualChangeInInventory,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingChangeInAccountPayable,annualAccountsPayable
772934400,,-1100000.0,,,,,,,,,,-15500000.0,,,,,,,,,,137800000.0,,,,,,-6000000.0,,2400000.0,,200000.0,,,,0.43,,,,,,,,,,,,,,,,,,5900000.0,,,-34700000.0,,,,,,,9200000.0,,,,,,,,,,,9200000.0,,0.0,,,,,,,9767442.0,0.43,,,,,,-5200000.0,,,,,,,1500000.0,,,500000.0,,,,,,23200000.0,,,,,8100000.0,,,,,,,99900000.0,5900000.0,290600000.0,,,4200000.0,,,,,,,4200000.0,4200000.0,,,,,,,,,,,9767442.0,,,,,,,-34500000.0,,,,,,,,190700000.0,,,97600000.0,,,,,,,,-34500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,-1300000.0,,,,,,,,,,8500000.0,,,,,,,,,,325600000.0,,,8000000.0,,,1600000.0,,2500000.0,,4900000.0,,,,0.44,,,,11300000.0,,,,,,,,,,,,,,6600000.0,,,2500000.0,,,,,,,10100000.0,,,,,,,,,,,10100000.0,,0.0,,,,,,,10000000.0,0.44,,,,,,-5300000.0,,,,,,,-9600000.0,,,600000.0,,,,,,27500000.0,,,,,8800000.0,,,,,,,144700000.0,-22300000.0,483600000.0,,,4400000.0,,,,,,,4400000.0,4400000.0,,,,,,,,,,,10000000.0,,,,,,,23200000.0,,,,,,,,338900000.0,,,127100000.0,,,,,,,,-5700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,325000000.0,-3300000.0,,10900000.0,,,27700000.0,,,,,1200000.0,1.7,51200000.0,,,53700000.0,8787879.0,,,,325000000.0,,,20000000.0,,,14900000.0,,3100000.0,-4500000.0,800000.0,,,,,,8600000.0,,10900000.0,,,8787879.0,,,,,-77100000.0,-6700000.0,,,,,10800000.0,,-33400000.0,0.0,,,,,,,17000000.0,,,,,,,,,,,17000000.0,200000.0,-2400000.0,,4300000.0,10500000.0,,-11600000.0,,,,,,,,,-5700000.0,,44500000.0,,,,37800000.0,9700000.0,,,900000.0,,,162200000.0,,,33800000.0,,,,,13700000.0,,,17800000.0,-43700000.0,,,162200000.0,6300000.0,500700000.0,,,6200000.0,-5700000.0,,17800000.0,20000000.0,,-19800000.0,6200000.0,6200000.0,,,,2700000.0,133600000.0,1.7,,,,3200000.0,,500700000.0,,338500000.0,,,17800000.0,-21300000.0,6700000.0,,,,,,33800000.0,338500000.0,,,133600000.0,,,,,,,,-25800000.0,70400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,-3200000.0,,,,,,,,,12900000.0,-1400000.0,,,,,,,,,,327700000.0,,,20000000.0,,,-10500000.0,,3500000.0,-5500000.0,200000.0,,,,0.44,,,,10400000.0,,,,,,,,,,,,,,11200000.0,,,-6600000.0,,,,,,,17700000.0,,,,,,,,,,,20900000.0,,,,,,,,,15681818.0,0.44,,,,,,-9300000.0,,,,,,,1100000.0,3200000.0,,900000.0,,,,,,40700000.0,,,,,14500000.0,,,,,,,160300000.0,5700000.0,499000000.0,,,6900000.0,,,,,,,6900000.0,6900000.0,,,,,,,,,,,15681818.0,,,,,,,-1900000.0,,,,,,,,338700000.0,,,133300000.0,,,,,,,,-7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,-3200000.0,,,,,,,,,,-1200000.0,,,,,,,,,,324900000.0,,,24000000.0,,,-1100000.0,,3600000.0,0.0,5400000.0,,,,0.45,,,,10000000.0,,,,,,,,,,,,,,11300000.0,,,2300000.0,,,,,,,17900000.0,,,,,,,,,,,21100000.0,,,,,,,,,16000000.0,0.45,,,,,,-9300000.0,,,,,,,900000.0,3200000.0,,700000.0,,,,,,47800000.0,,,,,14700000.0,,,,,,,163600000.0,11300000.0,505500000.0,,,7200000.0,,,,,,,7200000.0,7200000.0,,,,,,,,,,,16000000.0,,,,,,,-7800000.0,,,,,,,,341900000.0,,,133100000.0,,,,,,,,-7800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,-3200000.0,,,,,,,,,,-5300000.0,,,,,,,,,,322100000.0,,,40400000.0,,,32100000.0,,4100000.0,0.0,5000000.0,,,,0.46,,,,9600000.0,,,,,,,,,,,,,,11700000.0,,,3100000.0,,,,,,,19000000.0,,,,,,,,,,,22000000.0,,,,,,,,,16304348.0,0.46,,,,,,-9500000.0,,,,,,,1300000.0,3000000.0,,1000000.0,,,,,,55300000.0,,,,,15800000.0,,,,,,,201100000.0,11700000.0,547200000.0,,,7500000.0,,,,,,,7500000.0,7500000.0,,,,,,,,,,,16304348.0,,,,,,,-40800000.0,,,,,,,,346100000.0,,,155000000.0,,,,,,,,-40800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,336700000.0,-3600000.0,,9200000.0,,,44800000.0,,,,,-89800000.0,1.43,87400000.0,,,20700000.0,16083916.0,,,,336700000.0,,,74700000.0,,,200000.0,,3800000.0,-17500000.0,9500000.0,,,,,,13000000.0,,9200000.0,,,16083916.0,,,,,-72000000.0,-13000000.0,,,,,10600000.0,,-23000000.0,-5300000.0,,,-700000.0,,,,20000000.0,,,,,,,,,,,23600000.0,20100000.0,,,-6500000.0,15300000.0,,-97700000.0,,,,,,,,,-9700000.0,,74400000.0,,,,61400000.0,-2400000.0,3600000.0,1400000.0,1000000.0,,1400000.0,204100000.0,,,56800000.0,,,,,16400000.0,,,29500000.0,-49000000.0,,,204100000.0,-6900000.0,551200000.0,,,1500000.0,21800000.0,,23000000.0,74700000.0,,-37800000.0,1500000.0,8000000.0,,,,3600000.0,120500000.0,1.43,,,,900000.0,,551200000.0,,347100000.0,,,23000000.0,1500000.0,13000000.0,,,,,,56800000.0,347100000.0,,,120500000.0,,,,,,,,-16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,-3400000.0,,,,,,,,,6500000.0,-79900000.0,,,,,,,,,,334300000.0,,,4500000.0,,,14500000.0,,4600000.0,-400000.0,24900000.0,,,,0.49,,,,8800000.0,,,,,,,,,,,,,,13300000.0,,,-3400000.0,,,,,,,20600000.0,,,,,,,,,,,24000000.0,,,,,,,,,16734694.0,0.49,,,,,,-10400000.0,,,,,,,1700000.0,3400000.0,,1000000.0,,,,,,65000000.0,,,,,17200000.0,,,,,,,221300000.0,12900000.0,578300000.0,,,8200000.0,,,,,,,8200000.0,8200000.0,,,,,,,,,,,16734694.0,,,,,,,-30800000.0,,,,,,,,357000000.0,,,205800000.0,,,,,,,,-31200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,-3400000.0,,,,,,,,,,20500000.0,,,,,,,,,,331300000.0,,,25300000.0,,,9400000.0,,4900000.0,-100000.0,20000000.0,,,,0.49,,,,8400000.0,,,,,,,,,,,,,,15500000.0,,,4000000.0,,,,,,,21100000.0,,,,,,,,,,,24500000.0,,,,,,,,,17346939.0,0.49,,,,,,-10600000.0,,,,,,,3600000.0,3400000.0,,900000.0,,,,,,73500000.0,,,,,17700000.0,,,,,,,243900000.0,15400000.0,599000000.0,,,8500000.0,,,,,,,8500000.0,8500000.0,,,,,,,,,,,17346939.0,,,,,,,-20800000.0,,,,,,,,355100000.0,,,205500000.0,,,,,,,,-20900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,-3400000.0,,,,,,,,,,49400000.0,,,,,,,,,,346100000.0,,,62800000.0,,,52400000.0,,5600000.0,-17800000.0,600000.0,,,,0.51,,,,8000000.0,,,,,,,,,,,,,,7500000.0,,,-3600000.0,,,,,,,22200000.0,,,,,,,,,,,25600000.0,,,,,,,,,17254902.0,0.51,,,,,,-10700000.0,,,,,,,-4700000.0,3400000.0,,1000000.0,,,,,,82300000.0,,,,,18800000.0,,,,,,,302900000.0,-10300000.0,656500000.0,,,8800000.0,,,,,,,8800000.0,8800000.0,,,,,,,,,,,17254902.0,,,,,,,-45600000.0,,,,,,,,353600000.0,,,230400000.0,,,,,,,,-63400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
