,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyBasicAverageShares,annualOperatingExpense,annualCashAndCashEquivalents,trailingDeferredIncomeTax,quarterlyTotalRevenue,annualTaxProvision,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,annualCurrentAssets,trailingBeginningCashPosition,quarterlyOtherNonCashItems,trailingChangeInAccountPayable,trailingChangesInAccountReceivables,annualTotalRevenue,trailingOperatingExpense,quarterlyChangeInInventory,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,trailingFreeCashFlow,trailingNetIncome,quarterlyPurchaseOfBusiness,annualTotalAssets,quarterlyCurrentAssets,trailingNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualCashDividendsPaid,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,annualCurrentDebt,annualCostOfRevenue,annualOtherCurrentAssets,quarterlyDilutedEPS,annualNetIncome,quarterlyOtherCurrentAssets,annualBeginningCashPosition,annualLongTermDebt,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,trailingTaxProvision,trailingDepreciationAndAmortization,annualStockholdersEquity,annualBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,quarterlyNetIncome,trailingStockBasedCompensation,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,quarterlyCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,trailingCashDividendsPaid,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyNetPPE,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyTaxProvision,annualCapitalStock,quarterlyInventory,annualBasicEPS,annualGrossProfit,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyCurrentAccruedExpenses,annualStockBasedCompensation,quarterlyCostOfRevenue,annualGoodwill,annualNetPPE,annualOperatingCashFlow,annualSaleOfInvestment,annualInventory,quarterlyDilutedAverageShares,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,annualRepaymentOfDebt,trailingNetOtherInvestingChanges,annualDilutedAverageShares,quarterlyFreeCashFlow,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,quarterlyBasicEPS,trailingPretaxIncome,trailingInterestExpense,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,annualPretaxIncome,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalAssets,annualOperatingIncome,trailingTotalRevenue,annualDilutedEPS,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,quarterlyTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingInvestingCashFlow,annualAccountsPayable,annualIncomeTaxPayable,trailingEndCashPosition,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingNetOtherFinancingCharges,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,361900000.0,,,,,,,,,,,,,,,,160000000.0,,,,361900000.0,,,,,,,,,,,,,361900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,7200000.0,,,,,,,,6700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000000.0,,,,,,,,,,,,,,,,0.045,,,,,,,,,,7200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,413100000.0,,,,,,,,,,,,,,,,158333333.0,,,,413100000.0,,,,,,,,,,,,,413100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,9500000.0,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,158333333.0,,,,,,,,,,,,,,,,0.06,,,,,,,,,,9500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,413600000.0,,,,,,,,,,,,,,,,155000000.0,,,,413600000.0,,,,,,,,,,,,,413600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,9300000.0,,,,,,,,8700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000000.0,,,,,,,,,,,,,,,,0.06,,,,,,,,,,9300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,-1138500000.0,166400000.0,,32400000.0,,,,140400000.0,-6900000.0,,,,36600000.0,-4800000.0,,,,129000000.0,42600000.0,,417300000.0,20700000.0,,,,280400000.0,,,,,1605900000.0,,,-1138500000.0,,100000.0,,,,,,9600000.0,,,,-13600000.0,-2500000.0,34600000.0,-5300000.0,,,150600000.0,166400000.0,,,150600000.0,,,,320800000.0,280400000.0,,166400000.0,154400000.0,,,-7700000.0,-13600000.0,,,,1426800000.0,61600000.0,,34600000.0,61600000.0,34500000.0,,129000000.0,30600000.0,40400000.0,,,154400000.0,167196000.0,,,100000.0,9600000.0,,,,,8600000.0,,2100000.0,,7600000.0,,-14500000.0,,8000000.0,-12700000.0,,,26000000.0,,,,,23000000.0,170900000.0,,,,,5300000.0,0.21,179100000.0,170900000.0,166400000.0,,,,,23000000.0,35400000.0,,5300000.0,,7800000.0,,,57700000.0,,,167196000.0,,,,,,8100000.0,42600000.0,,,,,26000000.0,-8000000.0,42600000.0,42600000.0,53100000.0,42600000.0,,8600000.0,,320800000.0,50100000.0,,0.21,,3100000.0,40400000.0,,36600000.0,7800000.0,,,140400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,403700000.0,,,,,,,,,,,,,,,,156000000.0,,,,403700000.0,,,,,,,,,,,,,403700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,7800000.0,,,,,,,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,156000000.0,,,,,,,,,,,,,,,,0.05,,,,,,,,,,7800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,451400000.0,,,,,,,,,,,,,,,,158461538.0,,,,451400000.0,,,,,,,,,,,,,451400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,10300000.0,,,,,,,,9800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,158461538.0,,,,,,,,,,,,,,,,0.065,,,,,,,,,,10300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,15400000.0,201400000.0,,,,,,163500000.0,,53500000.0,,,39000000.0,,,,165060000.0,,,,466400000.0,,,,,,,,,,,,,15400000.0,,,,,,,,,,,,,,,,,,178000000.0,201400000.0,16300000.0,,,,,,,348600000.0,,,181700000.0,38100000.0,,,-17200000.0,,,,,,0.065,,38700000.0,,,,,,,,,,,,,-100000.0,,,,,10500000.0,,,,,,,,9900000.0,,,,37900000.0,,,,,21800000.0,,900000.0,38100000.0,6400000.0,,3300000.0,,,201900000.0,,,,412900000.0,,,,,,165060000.0,,,,,,,,,,,,,,,,0.065,,,,,104700000.0,,,104700000.0,,10500000.0,,383100000.0,,,,,,34500000.0,,,12800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,-10100000.0,201600000.0,19900000.0,11500000.0,5800000.0,,,166800000.0,-1400000.0,53300000.0,,,40800000.0,-6300000.0,,,,174000000.0,62500000.0,,469200000.0,23500000.0,,,,310700000.0,,-200000.0,,,1790800000.0,,300000.0,-7700000.0,0.0,0.0,,-103600000.0,,62500000.0,27300000.0,1000000.0,100000.0,,,-18600000.0,4800000.0,27600000.0,22200000.0,,,73500000.0,201600000.0,-9800000.0,25700000.0,73500000.0,,,,340600000.0,310700000.0,,201600000.0,139000000.0,63400000.0,,-104400000.0,-18600000.0,,,,1584800000.0,21100000.0,,27600000.0,21100000.0,42600000.0,,174000000.0,64100000.0,29900000.0,,,139000000.0,165140000.0,-103600000.0,,-100000.0,1000000.0,0.0,,0.0,,-1000000.0,,2200000.0,,8700000.0,-2200000.0,-105700000.0,34100000.0,-15600000.0,55300000.0,,-42200000.0,34800000.0,-81300000.0,,,,22200000.0,224000000.0,100000.0,63400000.0,5800000.0,,3100000.0,0.1675,206000000.0,224000000.0,201600000.0,,,415900000.0,,22200000.0,70400000.0,119100000.0,3100000.0,,6700000.0,104700000.0,,40700000.0,,,165208000.0,31900000.0,,,,,19900000.0,62500000.0,,,,,34800000.0,22400000.0,62500000.0,62500000.0,35000000.0,62500000.0,,-1000000.0,,340600000.0,32000000.0,,0.1675,,2900000.0,29900000.0,,40800000.0,6700000.0,2400000.0,,166800000.0,,,,,-32400000.0,,36100000.0,,,,,,,,,,,,,,,,,,,
891302400,,13300000.0,195500000.0,1200000.0,,200000.0,,,176300000.0,,55200000.0,,,41000000.0,,,,165004000.0,,,,468200000.0,,,,,,,,,,,,-200000.0,15200000.0,-1600000.0,,,-2500000.0,,63500000.0,-6600000.0,,,,,,,,,,,79400000.0,195500000.0,13900000.0,-900000.0,,,,,,308200000.0,,,143900000.0,41900000.0,,,-18600000.0,,,,,,0.05,,21900000.0,,,,,,,,,,-4000000.0,,,0.0,,,100000.0,,8400000.0,,,,,-1600000.0,,11700000.0,8400000.0,,,1000000.0,19200000.0,,,,,22400000.0,,500000.0,41900000.0,5500000.0,,3400000.0,,,219400000.0,,,,413000000.0,,,,,,165408000.0,,62500000.0,,,,,,10100000.0,,,,,,,,0.05,,,,,63500000.0,,,63500000.0,,8400000.0,,339400000.0,,,,,,31200000.0,,,8800000.0,1900000.0,,,,,,,-12400000.0,,8300000.0,,,,,,,,,,,,,,,,,,,
