date,trailingRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualCapitalExpenditure,annualBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,annualSellingGeneralAndAdministration,trailingDeferredIncomeTax,trailingCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,annualNetOtherFinancingCharges,trailingInterestExpense,annualTaxProvision,annualNetIncomeCommonStockholders,quarterlyStockBasedCompensation,trailingNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualTotalRevenue,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,annualInterestExpense,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,trailingCommonStockIssuance,annualChangeInWorkingCapital,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,annualDilutedAverageShares,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,trailingNetIncome,trailingTaxProvision,annualNetIncome,annualDilutedEPS,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualCurrentDebt,annualCashDividendsPaid,annualFreeCashFlow,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,trailingSaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,trailingInvestingCashFlow,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,annualOtherNonCashItems,annualDepreciationAndAmortization,annualLongTermDebt,trailingPurchaseOfInvestment,trailingStockBasedCompensation,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,annualStockholdersEquity,quarterlyTaxProvision,annualGoodwill,quarterlyNetPPE,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,trailingChangeInWorkingCapital,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualStockBasedCompensation,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,annualNetPPE,quarterlyBeginningCashPosition,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,annualAccountsPayable,annualChangeInAccountPayable,annualRepaymentOfDebt,annualOperatingCashFlow,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,trailingTotalRevenue,annualOperatingIncome,annualEndCashPosition,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,trailingPretaxIncome,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,annualGrossPPE,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyNetOtherFinancingCharges,annualPretaxIncome,annualBasicAverageShares,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInAccountPayable,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,annualOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,annualCostOfRevenue,quarterlyGrossProfit,trailingBasicAverageShares,annualEbitda,trailingOperatingIncome,quarterlyResearchAndDevelopment,annualChangeInInventory,trailingPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,annualInventory,quarterlyOtherIncomeExpense,annualTotalNonCurrentAssets,trailingResearchAndDevelopment,annualCurrentAssets,trailingDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyEbitda,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,trailingChangesInAccountReceivables,annualResearchAndDevelopment,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,annualOtherIncomeExpense,trailingDilutedAverageShares,annualOtherNonCurrentLiabilities,annualGrossProfit,trailingOperatingExpense,annualCurrentDeferredRevenue,annualOtherCurrentAssets,trailingCostOfRevenue,annualOtherCurrentLiabilities,trailingGrossProfit,trailingChangeInInventory,quarterlyChangeInInventory,annualCurrentLiabilities,trailingBasicEPS
1970-01-01 00:00:01.572480,-1375000000.0,,,,,-46000000.0,-426000000.0,0.845,,,9527000000.0,1652000000.0,2472000000.0,-186000000.0,,,8798000000.0,8997000000.0,,,,,,,,,,594000000.0,15607000000.0,371000000.0,772000000.0,,2795000000.0,189000000.0,1902000000.0,8208000000.0,4672000000.0,,,,7421000000.0,,139736000000.0,-12211000000.0,255000000.0,87000000.0,,,,913609467.0,,,,,,8390000000.0,2472000000.0,876000000.0,0.845,,876000000.0,1053000000.0,1846000000.0,,-17177000000.0,277000000.0,-387000000.0,152000000.0,3485000000.0,,,86956000000.0,,,-13049000000.0,,,,15218000000.0,,,-480000000.0,141000000.0,3249000000.0,-89018000000.0,7000000.0,-4442000000.0,,7320000000.0,,,,147189000000.0,12660000000.0,,,,3751000000.0,,,1575000000.0,,-12025000000.0,1317000000.0,-24265000000.0,,,,,,,,-1771000000.0,1485000000.0,,,,1902000000.0,,-17000000.0,578000000.0,-568000000.0,,30384000000.0,1268000000.0,2035000000.0,10904000000.0,-1288000000.0,11270000000.0,-16108000000.0,1907000000.0,,16728000000.0,,,,,,,,1247000000.0,913609467.0,21974000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,920833333.0,,,,,,146535000000.0,,,,,,417000000.0,1316000000.0,,,,,,,,,,1620000000.0,4303000000.0,,,,,,,,,,,-100000000.0,,1697000000.0,,3804000000.0,,,,,0.24,,188000000.0,,7412000000.0,477000000.0,410000000.0,-160000000.0,,,,,,,,,,,,,,,,,,,24664000000.0,249000000.0,,249000000.0,437000000.0,-2395000000.0,,-29000000.0,,,,,,,,,,161000000.0,,,,,,3050000000.0,,,920833333.0,-338000000.0,,,,,,,,,,,,,,,2035000000.0,,1575000000.0,,,,,,14819000000.0,,,,,,,,,-2654000000.0,,,,408000000.0,1817000000.0,0.24,,-2445000000.0,,,,221000000.0,153947000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,921568627.0,,,,,,150594000000.0,,,,,,428000000.0,1297000000.0,,,,,,,,,,-6287000000.0,,,,,,,,,,,,,,1590000000.0,,3952000000.0,,,,,0.255,,135000000.0,,7700000000.0,463000000.0,421000000.0,,,,,,,,,,,,,,,,,,,,25750000000.0,262000000.0,,262000000.0,397000000.0,,,,,,,,,,,,,159000000.0,,,,,,3335000000.0,,,921568627.0,-107000000.0,,,,,,,,,,,,,,,1697000000.0,,1675000000.0,,,,,,15288000000.0,,,,,,,,,,,,,426000000.0,1711000000.0,0.255,,,,,,235000000.0,158294000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,946153846.0,,,,,,156404000000.0,,,,,,452000000.0,1346000000.0,,,,,,,,,,-5596000000.0,,,,,,,,,,,,,,2161000000.0,,4129000000.0,,,,,0.26,,-226000000.0,,7921000000.0,473000000.0,444000000.0,,,,,,,,,,,,,,,,,,,,27967000000.0,275000000.0,,275000000.0,49000000.0,,,,,,,,,,,,,169000000.0,,,,,,3334000000.0,,,946153846.0,571000000.0,,,,,,,,,,,,,,,1590000000.0,,1675000000.0,,,,,,16814000000.0,,,,,,,,,,,,,49000000.0,1778000000.0,0.26,,,,,,246000000.0,164325000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-47000000.0,-199000000.0,1.02,149411000000.0,,,1910000000.0,,,468000000.0,1403000000.0,,,,,,,1986000000.0,,,342000000.0,,1798000000.0,,665000000.0,956000000.0,,,134000000.0,1986000000.0,,5362000000.0,,,2169000000.0,7040000000.0,4263000000.0,149411000000.0,,,223000000.0,,,703000000.0,937254902.0,7749000000.0,497000000.0,459000000.0,,,,,1069000000.0,1.02,,1069000000.0,,2035000000.0,,,459000000.0,-418000000.0,2008000000.0,,,,,25905000000.0,283000000.0,-9921000000.0,283000000.0,1324000000.0,,,,,800000000.0,162000000.0,3251000000.0,,,,,7749000000.0,176000000.0,,1523000000.0,157261000000.0,7848000000.0,,3251000000.0,,4263000000.0,,8000000.0,1325000000.0,-3802000000.0,,1178000000.0,,1986000000.0,1178000000.0,,,,,,,1523000000.0,2161000000.0,,1325000000.0,1986000000.0,,-298000000.0,2207000000.0,,14737000000.0,,1765000000.0,2169000000.0,,,,-5920000000.0,,,14737000000.0,,459000000.0,1125000000.0,1734000000.0,,,,1734000000.0,937254902.0,25905000000.0,254000000.0,157261000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,950877193.0,,,,,,160737000000.0,,,,,,490000000.0,1551000000.0,,,,,,,,,,-2503000000.0,-1462000000.0,,,,,,,,,,,-114000000.0,,1838000000.0,,4451000000.0,,,,,0.285,,-915000000.0,,7952000000.0,535000000.0,479000000.0,,,,,,,,,,,,,,,,,,,,26966000000.0,297000000.0,,297000000.0,-618000000.0,2790000000.0,,-59000000.0,,,,,,,,,,182000000.0,,,,,,3581000000.0,,,950877193.0,-331000000.0,,,,,,,,,,,,,,,2169000000.0,,1325000000.0,,,,,,14051000000.0,,,,,,,,,-982000000.0,,,,-677000000.0,1623000000.0,0.285,,-1403000000.0,,,,271000000.0,168689000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,951724138.0,,,,,,167918000000.0,,,,,,451000000.0,1593000000.0,,,,,,,,,,-7303000000.0,,,,,,,,,,,,,,2463000000.0,,4692000000.0,,,,,0.29,,483000000.0,,8210000000.0,531000000.0,443000000.0,,,,,,,,,,,,,,,,,,,,27728000000.0,300000000.0,,300000000.0,783000000.0,,,,,,,,,,,,,143000000.0,,,,,,3629000000.0,,,951724138.0,625000000.0,,,,,,,,,,,,,,,1838000000.0,,1325000000.0,,,,,,17250000000.0,,,,,,,,,,,,,842000000.0,1629000000.0,0.29,,,,,,276000000.0,176128000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,947368421.0,,,,,,173224000000.0,,,,,,636000000.0,1635000000.0,,,,,,,,,,-4064000000.0,,,,,,,,,,,,,,2031000000.0,,4932000000.0,,,,,0.38,,-116000000.0,,8473000000.0,539000000.0,629000000.0,,,,,,,,,,,,,,,,,,,,25956000000.0,384000000.0,,384000000.0,268000000.0,,,,,,,,,,,,,245000000.0,,,,,,5106000000.0,,,947368421.0,-432000000.0,,,,,,,,,,,,,,,2463000000.0,,1325000000.0,,,,,,16059000000.0,,,,,,,,,,,,,268000000.0,1687000000.0,0.38,,,,,,360000000.0,181697000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6000000.0,-1521000000.0,1.4775,185618000000.0,,,2202000000.0,,,979000000.0,1621000000.0,,,,,,,2531000000.0,,,2532000000.0,,522000000.0,,758000000.0,1415000000.0,,,-9000000.0,2531000000.0,,6400000000.0,,,2230000000.0,6771000000.0,5363000000.0,185618000000.0,,,-338000000.0,,,58000000.0,957944000.0,9398000000.0,597000000.0,721000000.0,,,,,1514000000.0,1.4775,,1514000000.0,,2169000000.0,,,340000000.0,-454000000.0,-1482000000.0,556000000.0,,,,27999000000.0,533000000.0,-11338000000.0,533000000.0,-394000000.0,,,,,-490000000.0,185000000.0,5167000000.0,,,,,9398000000.0,188000000.0,,1716000000.0,195153000000.0,11290000000.0,,5167000000.0,,5363000000.0,,129000000.0,1468000000.0,,,2061000000.0,,2531000000.0,2061000000.0,,,,369000000.0,,,1716000000.0,2031000000.0,,1468000000.0,2531000000.0,,,39000000.0,,18174000000.0,,2556000000.0,2230000000.0,,,,-10373000000.0,,,18174000000.0,,340000000.0,-1915000000.0,1832000000.0,,,,2272000000.0,957944000.0,27999000000.0,508000000.0,195153000000.0,369000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,977777778.0,,,,,,201034000000.0,,,,,,533000000.0,1682000000.0,,,,,,,,,,-10911000000.0,,,,,,,,,,,,,,3434000000.0,,5604000000.0,,,,,0.315,,-1121000000.0,,9657000000.0,582000000.0,524000000.0,,,,,,,,,,,,,,,,,,,,28764000000.0,331000000.0,,331000000.0,-790000000.0,,,,,,,,,,,,,193000000.0,,,,,,5229000000.0,,,977777778.0,1204000000.0,,,,,,,,,,,,,,,2230000000.0,,1473000000.0,,,,,,20660000000.0,,,,,,,,,,,,,-790000000.0,1981000000.0,0.315,,,,,,308000000.0,210691000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
