date,trailingNetIncomeCommonStockholders,annualGrossPPE,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualEbitda,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlySaleOfInvestment,annualCapitalExpenditure,trailingDeferredIncomeTax,annualCapitalStock,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,trailingOperatingCashFlow,annualOtherIncomeExpense,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyTotalRevenue,trailingDepreciationAndAmortization,quarterlyEbitda,trailingNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,trailingNetIncomeContinuousOperations,annualNetIncomeContinuousOperations,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualCurrentDebt,annualAccumulatedDepreciation,annualInventory,trailingTaxProvision,annualNetOtherFinancingCharges,quarterlyOperatingCashFlow,annualCostOfRevenue,annualDeferredIncomeTax,trailingOperatingExpense,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualGrossProfit,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualBasicAverageShares,trailingPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTaxProvision,annualChangesInAccountReceivables,quarterlyNetPPE,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,trailingNetIncome,quarterlyGrossPPE,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,quarterlyCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyGoodwill,annualBasicEPS,annualRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,trailingChangeInWorkingCapital,annualNetIncome,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualFreeCashFlow,annualGoodwill,quarterlyCashDividendsPaid,annualPretaxIncome,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyCostOfRevenue,trailingInvestingCashFlow,annualAccountsPayable,annualTotalRevenue,annualInvestingCashFlow,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,annualOtherCurrentAssets,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualTaxProvision,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualLongTermDebt,trailingTotalRevenue,trailingSaleOfInvestment,trailingCommonStockIssuance,annualStockholdersEquity,annualTotalAssets,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyBasicEPS,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyInventory,annualCurrentAccruedExpenses,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,annualDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingEndCashPosition,quarterlyInvestingCashFlow,annualDilutedEPS,annualSaleOfInvestment,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,trailingOperatingIncome,trailingOtherIncomeExpense,annualOtherNonCurrentAssets,annualCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingPretaxIncome,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,annualChangeInInventory,annualStockBasedCompensation,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingChangeInAccountPayable
2007-03-31,91000000.0,,,,,,,,4300000,,-416000000.0,,,,,,,7000000.0,,2000000.0,,,,2106000000.0,,,,,-1114000000.0,,3153000000.0,,846000000.0,,-5444000000.0,34860000.0,,,,0.0,1164000000.0,2000000.0,2728000000.0,0,,,797000000.0,,,,,,,236000000.0,,-1400000,,,1418000000.0,,-1400000,,,,,,,,254000000.0,0.057372,,1144000000.0,,,-3400000.0,,-7880000000.0,,0,,,2000000,3217000000.0,,-2000000.0,0.0,992000000.0,243000000.0,,,-845000000.0,,,34860000.0,,,,-1400000,,,,0.0,4000000.0,,,,,,0.0,,,,,,0.0,-8908000000.0,,,,,2000000,2000000,0.0,,,,,,,,,-161000000.0,,,6370000000.0,80000000.0,852000000.0,,,,,0.057372,,,0.0,,,,4000000.0,,,2000000,,,,0.0,6386000000.0,2900000,728000000.0,0,,,,,,1735000000.0,156000000.0,,,,,1033000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,,,,,,,,,2900000,,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,,34860000.0,,,,0.0,,1600000.0,,0,,,,,,,,,,,,-600000,,,,,-600000,,,,,,,,,0.045898,,,,,-2200000.0,,,,0,,,1600000,,,-1600000.0,0.0,,,,,,,,34860000.0,,,,-600000,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,1600000,1600000,0.0,,,,,,,,,,,,,,,,,,,0.045898,,,0.0,,,,3200000.0,,,1600000,,,,0.0,,2300000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,,,,,,,,2300000,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,34860000.0,,,,0.0,,2900000.0,,0,,,,,,,,,,,,-100000,,,,,-100000,,,,,,,,,0.08319,,,,,-3000000.0,,,,0,,,2900000,,,0.0,0.0,,,,,,,,34860000.0,,,,-100000,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,2900000,2900000,0.0,,,,,,,,,,,,,,,,,,,0.08319,,,0.0,,,,2900000.0,,,2900000,,,,0.0,,2200000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,0.0,,1100000.0,553600000.0,,217900000.0,2200000,554100000.0,,,,,,,,,554100000.0,,,,,,-7300000.0,217900000.0,714000000.0,217900000.0,,,,217900000.0,,,,,,0.0,,,,,,217900000,,,,1100000.0,7300000.0,,,,,,197900000.0,2100000,,-8400000.0,,,220000000,0.0,,0.0,,,,,,,,,378800000.0,,,34860000.0,,-500000.0,-8400000,,,-13800000,,218400000.0,,,,,,,,4600000.0,,,,0.031533,-500000.0,2100000,,,932400000.0,,,1100000.0,714000000.0,,0.0,,,-7300000.0,500000.0,,,20000000.0,,,,,0.0,,-5400000,-5400000,,,500000.0,0.0,,,217900000.0,,-8400000.0,,374200000.0,,,,,553600000.0,932400000.0,,217900000.0,,,4600000.0,,,,,,378800000.0,,-5400000,,34860000.0,,,,217900000,,0,0.031533,,,374200000.0,0.0,,,701000000.0,218400000.0,,,,,701000000.0,217900000.0,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,,,,,646400000.0,,,221300000,554100000.0,,,,,,,,,,2300000.0,4600000.0,31400000.0,,,,121600000.0,,121600000.0,,,,,,,,34860000.0,2200000.0,0.0,0.0,1700000.0,,-700000.0,,-3400000,,,,,,,,,,,,-2700000,,,,,-99700000,0.0,,,-62900000.0,,,,,0.160667,,,,,-10200000.0,,,60900000.0,100000,,204500000.0,7100000,,130900000.0,-1100000.0,,,,267400000.0,,,2200000.0,,34860000.0,,,,-2700000,,,1062700000.0,400000.0,,,931800000.0,,,,,,9300000.0,,,,500000.0,,,,,,5600000,5600000,2300000.0,0.0,,,,116000000.0,,,,,414100000.0,,,,,,,,,0.160667,,,400000.0,,,,7200000.0,416300000.0,,5600000,,,-3400000.0,1200000.0,,121600000,,-93600000,,,,,,,,,,,,,,714300000.0,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,,,,,,573100000.0,,,121600000,554100000.0,,,,,,,,,,3700000.0,4600000.0,-12600000.0,,,,5600000.0,,5600000.0,,,,,,,,34860000.0,36400000.0,0.0,0.0,8300000.0,,3500000.0,,-10200000,,,,,,,,,,,,5500000,,,,,-116000000,0.0,,,-58700000.0,,,,,0.065933,,,,,4800000.0,,,31600000.0,700000,,205400000.0,-600000,,18800000.0,1900000.0,,,,264100000.0,,,36400000.0,,34860000.0,,,,5500000,,,1044200000.0,1600000.0,,,1025400000.0,,,,,,13200000.0,,,,2700000.0,,,,,,2300000,2300000,3700000.0,0.0,,,,116000000.0,,,,,434700000.0,,,,,,,,,0.065933,,,2300000.0,,,,3400000.0,471100000.0,,2300000,,,-10200000.0,5600000.0,,5600000,,-111300000,,,,,,,,,,,,,,807000000.0,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,,,,,,658400000.0,,,5600000,554100000.0,,,,,,,,,,5500000.0,6700000.0,24900000.0,,,,31400000.0,,31400000.0,,,,,,,,34860000.0,35200000.0,0.0,26800000.0,8900000.0,,2900000.0,,-10200000,,,,,,,,,,,,12100000,,,,,25800000,0.0,,,-56400000.0,,,,,-0.040133,,,,,9000000.0,,,79400000.0,1300000,,198300000.0,2600000,,64000000.0,1400000.0,,,,254700000.0,,,35200000.0,,34860000.0,,,,9200000,,,1065700000.0,1500000.0,,,1001700000.0,,,,,,32600000.0,,,,2000000.0,,,,,,-1400000,-1400000,5500000.0,0.0,,,,111900000.0,,,,,372100000.0,,,,,,,,,-0.040133,,,3800000.0,0.0,,,2300000.0,407300000.0,,-1400000,,,-10200000.0,6900000.0,,31400000,,23900000,,,,,,,,,,,,,,790400000.0,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,228200000.0,0.0,169300000.0,28000000.0,-573600000.0,,-212100000.0,31400000,,,26800000.0,,,12900000.0,,-8200000.0,,,7300000.0,10400000.0,,18700000.0,,900000.0,9200000.0,1111500000.0,9200000.0,,,,103600000.0,,,,,6900000.0,0.0,4000000.0,14000000.0,,21000000.0,,127400000,-344100000.0,-5300000.0,,28000000.0,1900000.0,,,-54200000.0,,,0.0,-9100000,10300000.0,,,,-22200000,0.0,22600000.0,221300000.0,-54200000.0,,,18700000.0,,,,,443700000.0,,-10200000.0,34995946.0,,157000000.0,1300000,,174000000.0,-2900000,,62800000.0,1600000.0,,,,228200000.0,10400000.0,,6900000.0,30800000.0,,,0.48,157000000.0,-14400000,,-6600000.0,1174300000.0,4200000.0,,28000000.0,1111500000.0,-33900000.0,-2400000.0,,,6200000.0,53600000.0,,,,5100000.0,,6900000.0,32900000.0,-321500000.0,3900000.0,21500000,21500000,7300000.0,169300000.0,53600000.0,0.0,,237100000.0,9200000.0,,3400000.0,,436800000.0,237100000.0,,,,-573600000.0,1174300000.0,7700000.0,9200000.0,,,6900000.0,6200000.0,,,,-12100000.0,443700000.0,912000000.0,21500000,912000000.0,34995946.0,,8900000.0,,9200000,,-140500000,0.48,,,436800000.0,5800000.0,,,12500000.0,62800000.0,174000000.0,,,-2000000.0,12500000.0,9200000.0,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,0.0,,,9200000,,,,,,,34400000.0,,,,3200000.0,10400000.0,42400000.0,,,,5700000.0,,5700000.0,,,,,,-28000000.0,,35323089.0,8000000.0,0.0,0.0,7200000.0,,2200000.0,,-45800000,,-200000.0,,,,,,,,,,11100000,,,,-7700000.0,-3500000,0.0,,,-54000000.0,,,,,-0.259064,,,,,13500000.0,,,,700000,,167300000.0,-3400000,,20100000.0,700000.0,-3000000.0,,,221300000.0,,,8000000.0,,35323089.0,,,,10900000,,,1126400000.0,1700000.0,,,1106300000.0,,,,-10100000.0,,14400000.0,,,,3300000.0,,,,,,-9000000,-9000000,3200000.0,0.0,,,,206000000.0,,,,,435900000.0,,,,,,,,,-0.259064,,,3900000.0,,,,-200000.0,443900000.0,,-9000000,922600000.0,,0.0,3900000.0,,5700000,,31200000,,,,,,,,,,,,,,3400000.0,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,0.0,,,5700000,,,,,,,197300000.0,,,,4100000.0,6500000.0,8900000.0,,,,237800000.0,,237800000.0,,,,,,,,35323089.0,6100000.0,0.0,-8500000.0,6900000.0,,108200000.0,,40000000,,-2100000.0,,,,,,,,,,5400000,,,,100000.0,232100000,0.0,,,-61800000.0,,,,,1.953397,,,,,2500000.0,,,,33400000,,182200000.0,102400000,,263600000.0,1000000.0,0.0,,,244000000.0,,,6100000.0,,35323089.0,,,,3300000,,,1204000000.0,1700000.0,,,940400000.0,,,,-10100000.0,,25800000.0,,,,1800000.0,,,,,,69000000,69000000,2400000.0,20000000.0,,,,264000000.0,,,,,476800000.0,,,,,,,,,1.953397,,,4100000.0,,,,110100000.0,482900000.0,,69000000,741700000.0,,50000000.0,5100000.0,,237800000,,186700000,,,,,,,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,
