,trailingNetIncomeCommonStockholders,annualGrossPPE,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyBasicAverageShares,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualBeginningCashPosition,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlyOperatingExpense,quarterlySaleOfInvestment,annualCapitalExpenditure,trailingDeferredIncomeTax,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,trailingGrossProfit,trailingCapitalExpenditure,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalRevenue,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,annualOtherNonCashItems,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyCapitalExpenditure,annualInventory,trailingTaxProvision,trailingChangeInInventory,trailingNetOtherFinancingCharges,trailingDepreciationAndAmortization,annualBasicEPS,quarterlyEbitda,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,annualStockBasedCompensation,annualPurchaseOfBusiness,quarterlyDilutedAverageShares,annualCostOfRevenue,annualCapitalStock,trailingOtherNonCashItems,quarterlyOtherNonCashItems,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualOperatingExpense,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualChangeInWorkingCapital,trailingCashDividendsPaid,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCostOfRevenue,trailingNetIncome,trailingNetIncomeContinuousOperations,quarterlyTaxProvision,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyNetPPE,annualNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyCostOfRevenue,annualRetainedEarnings,quarterlyGoodwill,trailingChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyLongTermDebt,annualPretaxIncome,annualDilutedEPS,annualGoodwill,annualFreeCashFlow,annualCommonStockIssuance,quarterlyTotalNonCurrentAssets,annualDilutedAverageShares,annualAccountsReceivable,quarterlyTotalAssets,annualCashDividendsPaid,annualNetIncome,annualAccountsPayable,trailingOperatingIncome,trailingInvestingCashFlow,annualTotalRevenue,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,annualInvestingCashFlow,trailingCommonStockIssuance,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualEndCashPosition,annualTaxProvision,quarterlyDilutedEPS,annualTotalAssets,trailingTotalRevenue,annualStockholdersEquity,annualBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualOperatingIncome,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyCurrentDebt,annualCurrentAccruedExpenses,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,trailingEndCashPosition,quarterlyInvestingCashFlow,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualOperatingCashFlow,quarterlyCashDividendsPaid,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualEbitda,annualCurrentAssets,annualResearchAndDevelopment,trailingBasicAverageShares,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,trailingSellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,723461000.0,,,,-29726000.0,-4368000.0,,,43417000.0,30592000.0,,9866000.0,,,,16703000.0,,,-41822000.0,,843750000.0,,-41694000.0,,,,,,,,,60057000.0,,,,,,,,,36454000.0,18954000.0,17579000.0,,,,,6897000.0,,,,,0.6325,,48712000.0,,,,0.0,,230095000.0,123846000.0,,,,,,,,122906000.0,216940000.0,,-1486000.0,,,,,,,602721000.0,,,6610000.0,,,,,,,,,,,,,-61256000.0,,,,,,,,,,,52340000.0,0.6325,27060000.0,18879000.0,9953000.0,,48398904.0,57823000.0,,-22048000.0,35040000.0,54362000.0,,,447035000.0,0.0,,0.0,,-103078000.0,,,,,5498000.0,20334000.0,,916409000.0,,294698000.0,48398904.0,,,385343000.0,94034000.0,5498000.0,37998000.0,153368000.0,,,,,,,,,,,,,,205000.0,,,,,,,,,,,723461000.0,60701000.0,,,93229000.0,5498000.0,449353000.0,,,132032000.0,72659000.0,,,,,,,,,,,,,,,,,
851990400,,,,,,,,,,,29100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36400000.0,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,49275552.0,,,,36400000.0,,,,474300000.0,,,,,,,,,,,,,,,,49275552.0,,,,474300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474300000.0,,,,,,,,,,,,,,,,,,
859766400,,,,,-2900000.0,,,0.225,50200000.0,,,318044000.0,,47041000.0,,,,36000000.0,,,,,11109000.0,,,,,,,11109000.0,,,,,,7587000.0,318044000.0,,70708000.0,147755000.0,2491000.0,,,,33759000.0,9957000.0,,-12902000.0,,,,,,,44108000.0,,-424276000.0,,,,50200000.0,,,,9537000.0,,1195016000.0,,157615000.0,81817000.0,,,3522000.0,,,,9367000.0,,,,,-11437000.0,,,,0.0,,22123000.0,,,,10856000.0,,,183629000.0,770740000.0,,157615000.0,,,-3535000.0,77996000.0,,,,,355596000.0,,,,,,927639000.0,,,1009456000.0,,,,,,,,,,-364094000.0,,,11267000.0,11267000.0,,,,0.225,,,,,,,,,,,,,,9676000.0,,,,682914000.0,,11267000.0,73637000.0,,,-15802000.0,,,,11109000.0,-1831000.0,,69759000.0,-2930000.0,,,,,,-5565000.0,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,-2476000.0,,,0.2025,50312000.0,,,324300000.0,,,,,,37743000.0,,,,,8505000.0,,,,,,,8505000.0,,,,,,11109000.0,324300000.0,,62813000.0,123160000.0,1604000.0,,,,31450000.0,-7263000.0,,-11784000.0,,,,,,,41978000.0,,-424276000.0,,,,50312000.0,,,,11911000.0,,1196615000.0,,143467000.0,71318000.0,,,-2604000.0,,,,18919000.0,,,,,-3209000.0,,,,0.0,,20195000.0,,,,9978000.0,,,188281000.0,772339000.0,,143467000.0,,,7135000.0,53967000.0,,,,,355523000.0,,,,,,929907000.0,,,1001225000.0,,,,,,,,,,524960000.0,,,10217000.0,10217000.0,,,,0.2025,,,,,,,,,,,,,,9295000.0,,,,668427000.0,,10217000.0,74572000.0,,,-14260000.0,,,,8505000.0,-1831000.0,,69193000.0,-1283000.0,,,,,,-5565000.0,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,,,,-2008000.0,,,0.1025,50468000.0,,,327151000.0,,,,,,34464000.0,,,,,10155000.0,,,,,,,10155000.0,,,,,,8505000.0,327151000.0,,51199000.0,100999000.0,3248000.0,,,,21743000.0,-12334000.0,,-11075000.0,,,,,,,32222000.0,,-424276000.0,,,,50468000.0,,,,9250000.0,,1199057000.0,,185143000.0,61354000.0,,,1650000.0,,,,27067000.0,,,,,12649000.0,,,,0.0,,10219000.0,,,,5051000.0,,,187884000.0,774781000.0,,185143000.0,,,15992000.0,44792000.0,,,,,354813000.0,,,,,,933693000.0,,,995047000.0,,,,,,,,,,474255000.0,,,5168000.0,5168000.0,,,,0.1025,,,,,,,,,,,,,,9563000.0,,,,659398000.0,,5168000.0,76079000.0,,,-13083000.0,,,,10155000.0,-1832000.0,,56207000.0,1624000.0,,,,,,-5565000.0,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,1229996000.0,,,3064000.0,,4236000.0,,,61494000.0,30006000.0,326543000.0,7587000.0,,38658000.0,,510265000.0,37640000.0,,-49681000.0,,938793000.0,11823000.0,-6232000.0,,,,,,11823000.0,80844000.0,,-6247000.0,,,10155000.0,326543000.0,,2221000.0,121912000.0,1796000.0,30006000.0,2481000.0,43354000.0,17908000.0,3393000.0,,-13920000.0,6373000.0,,,,,0.595,28804000.0,61494000.0,-451648000.0,,,,,243119000.0,326543000.0,,12656000.0,,1229996000.0,,172158000.0,78603000.0,145847000.0,250707000.0,1668000.0,-17000.0,0.0,-451648000.0,9131000.0,,,,682423000.0,-6862000.0,,-8859000.0,,61494000.0,,6918000.0,,,,3564000.0,,,185480000.0,778348000.0,-4320000.0,29820000.0,58186000.0,,-4789000.0,66364000.0,185480000.0,,,,435627000.0,59455000.0,0.595,,14803000.0,9139000.0,938793000.0,50492000.0,58186000.0,1017396000.0,-22453000.0,30006000.0,80844000.0,,,493826000.0,2221000.0,,,510265000.0,-54001000.0,,3354000.0,3354000.0,,11823000.0,29449000.0,,1017396000.0,,326543000.0,50492000.0,,,435627000.0,104860000.0,11823000.0,,172158000.0,61494000.0,29820000.0,10124000.0,,,,682423000.0,,3354000.0,73163000.0,,,-10856000.0,,,6373000.0,11823000.0,-738000.0,,55548000.0,5070000.0,,,,778348000.0,64484000.0,-5758000.0,,73163000.0,11823000.0,,-50000000.0,,147112000.0,78603000.0,,,,,,,,,,,,,,,,,
891302400,,,,,-1506000.0,,,0.185,51484000.0,,,334271000.0,,44112000.0,,,,37009000.0,,,,,15376000.0,,,,,,,15376000.0,,,,,,11823000.0,334271000.0,,74530000.0,144195000.0,4038000.0,,,,29720000.0,5502000.0,,-10630000.0,,,,,,,41453000.0,,-451648000.0,,,,51484000.0,,,,11831000.0,,1229731000.0,,174764000.0,89906000.0,,,3553000.0,,,,10187000.0,,,,,-11139000.0,,,,0.0,,18650000.0,,,,9155000.0,,,189170000.0,778083000.0,,174764000.0,,,-443000.0,77466000.0,,,,,389765000.0,,,,,,939709000.0,,,1029615000.0,,,,,,,,,,-398263000.0,,,9495000.0,9495000.0,,,,0.185,,,,,,,,,,,,,,10197000.0,,,,686846000.0,,9495000.0,73013000.0,,,-12136000.0,,,,15376000.0,-744000.0,,66729000.0,96000.0,,,,,,-5805000.0,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,-96000.0,,,0.13,51580000.0,,,336718000.0,,,,,,37529000.0,,,,,7797000.0,,,,,,,7797000.0,,,,,,15376000.0,336718000.0,,57461000.0,115167000.0,1605000.0,,,,24050000.0,-14402000.0,,-14032000.0,,,,,,,36190000.0,,-451648000.0,,,,51580000.0,,,,11935000.0,,1231988000.0,,154507000.0,65258000.0,,,-7579000.0,,,,20951000.0,,,,,2371000.0,,,,0.0,,13015000.0,,,,6370000.0,,,190010000.0,780340000.0,,154507000.0,,,6919000.0,53588000.0,,,,,388945000.0,,,,,,942456000.0,,,1007714000.0,,,,,,,,,,507991000.0,,,6645000.0,6645000.0,,,,0.13,,,,,,,,,,,,,,10163000.0,,,,662498000.0,,6645000.0,72888000.0,,,-14128000.0,,,,7797000.0,-743000.0,,61579000.0,-3149000.0,,,,,,-5805000.0,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,,,,2259000.0,,,0.0825,51620000.0,,,336393000.0,,,,,,80103000.0,,,,,9121000.0,,,,,,,9121000.0,,,,,,7797000.0,336393000.0,,49389000.0,100457000.0,1208000.0,,,,20354000.0,-11978000.0,,-14772000.0,,,,,,,30025000.0,,-451648000.0,,,,51620000.0,,,,10009000.0,,1237379000.0,,152622000.0,58510000.0,,,1324000.0,,,,25815000.0,,,,,11531000.0,,,,0.0,,9009000.0,,,,4734000.0,,,188479000.0,785731000.0,,152622000.0,,,11043000.0,,,,,,388836000.0,,,,,,946530000.0,,,1005040000.0,,,,,,,,,,507527000.0,,,4275000.0,4275000.0,,,,0.0825,,,,,,,,,,,,,,10472000.0,,,,660149000.0,,4275000.0,69929000.0,,,-12513000.0,,,,9121000.0,-744000.0,,100457000.0,-1344000.0,,,,,,-5806000.0,,,,,,,,,,,,,,,,,,,,,,,,,
