,annualStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingSaleOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,quarterlyBasicEPS,annualAccountsReceivable,annualPurchaseOfBusiness,annualPurchaseOfInvestment,quarterlyAccumulatedDepreciation,trailingPretaxIncome,trailingNetIncome,trailingCashDividendsPaid,quarterlyAccountsReceivable,annualCurrentLiabilities,annualNetPPE,annualBasicEPS,annualOtherIntangibleAssets,quarterlyNetPPE,trailingNetOtherInvestingChanges,annualOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualChangeInWorkingCapital,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualRetainedEarnings,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualCashDividendsPaid,quarterlyLongTermDebt,annualLongTermDebt,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,annualCurrentDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualTotalAssets,annualTaxProvision,annualDilutedEPS,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,trailingTaxProvision,annualDilutedAverageShares,annualOtherNonCashItems,annualOtherCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,annualInvestmentsAndAdvances,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyDilutedEPS,trailingNetOtherFinancingCharges,annualCapitalExpenditure,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualInterestExpense,trailingBeginningCashPosition,annualNetOtherFinancingCharges,quarterlyCurrentLiabilities,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualCurrentAssets,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,annualTotalRevenue,annualCapitalStock,annualBasicAverageShares,trailingPurchaseOfInvestment,annualPretaxIncome,annualEndCashPosition,trailingTotalRevenue,trailingEndCashPosition,quarterlyTotalAssets,trailingInterestExpense,annualGrossPPE,annualOperatingIncome,trailingInvestingCashFlow,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,annualAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,trailingCapitalExpenditure,annualOtherIncomeExpense,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingCostOfRevenue,quarterlyGoodwill,quarterlyIncomeTaxPayable,trailingOperatingIncome,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,annualInventory,quarterlyNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyFreeCashFlow,annualGoodwill,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,annualChangeInInventory,trailingGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,annualGrossProfit,quarterlyChangesInAccountReceivables,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,annualRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualEbitda,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,trailingOperatingExpense,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOperatingExpense,annualChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,31344000000.0,,,36000000.0,462000000.0,,1677000000.0,-99490000000.0,,23437000000.0,-102000000.0,-54851000000.0,,,,,,12751000000.0,19060000000.0,0.122219,3933000000.0,,,74757000000.0,,77195000000.0,,,69670000000.0,9995000000.0,,537217000000.0,,12318000000.0,,,,,,34954000000.0,40498000000.0,,,5185000000.0,,585152000000.0,2313000000.0,0.122219,529819000000.0,43424000000.0,,42424000000.0,2879000000.0,,,,288181000000.0,,,,,-5087000000.0,55333000000.0,7897000000.0,,4665000000.0,,27794000000.0,,145021000000.0,5185000000.0,,524466000000.0,,55333000000.0,-195000000.0,22553000000.0,,55333000000.0,-51385000000.0,0.0,15066000000.0,,,220251000000.0,34491000000.0,42424000000.0,,10210000000.0,55507000000.0,,,,,19060000000.0,9382000000.0,,,,3125000000.0,,,,,,-172000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,65374000000.0,340532000000.0,190352000000.0,98000000.0,402000000.0,,1809000000.0,-70187000000.0,,23305000000.0,0.0,-62283000000.0,,,,,23305000000.0,5920000000.0,21942000000.0,0.2,4106000000.0,21942000000.0,,52522000000.0,0.0,58493000000.0,65374000000.0,599388000000.0,48031000000.0,22345000000.0,73873000000.0,605308000000.0,,18407000000.0,,98000000.0,,,35217000000.0,35217000000.0,55507000000.0,13544000000.0,,6832000000.0,,688650000000.0,3176000000.0,0.2,614777000000.0,48945000000.0,,34973000000.0,3066000000.0,,,5486000000.0,340532000000.0,,21942000000.0,,,-4491000000.0,73873000000.0,10144000000.0,605308000000.0,4989000000.0,,17186000000.0,5920000000.0,190352000000.0,6832000000.0,,599388000000.0,18407000000.0,73873000000.0,-90000000.0,13544000000.0,4106000000.0,73873000000.0,-25415000000.0,0.0,18394000000.0,,614777000000.0,239109000000.0,42424000000.0,34973000000.0,,13320000000.0,73873000000.0,,,688650000000.0,,21942000000.0,12749000000.0,,,73873000000.0,5486000000.0,73873000000.0,,,42424000000.0,,205000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,414853000000.0,219328000000.0,,,,,,0.0,,,,,,,,32349000000.0,,,,,22060000000.0,,,0.0,,71050000000.0,628040000000.0,,,60120000000.0,,,,,252000000.0,,,43568000000.0,,,-1402000000.0,,,,,,,,,,,,,,6926000000.0,,,,0.0,,,,,635455000000.0,,,,7415000000.0,,,,,25752000000.0,,,,4129000000.0,,,,,,668665000000.0,,,,,,,,,728785000000.0,,,,,5000000.0,60120000000.0,,60120000000.0,,,42424000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,71575000000.0,443194000000.0,247115000000.0,435000000.0,213591000000.0,,2247000000.0,-63694000000.0,,26762000000.0,,-282498000000.0,-11381000000.0,,,,26762000000.0,8364000000.0,25808000000.0,0.19,533000000.0,25808000000.0,,53851000000.0,0.0,65247000000.0,71575000000.0,652154000000.0,50075000000.0,2951000000.0,50361000000.0,660518000000.0,,25483000000.0,,435000000.0,,-1204000000.0,47333000000.0,47333000000.0,73873000000.0,7992000000.0,5000000.0,8121000000.0,0.0,755319000000.0,3615000000.0,0.19,704958000000.0,55932000000.0,,42424000000.0,3571000000.0,0.0,,27003000000.0,443194000000.0,,37189000000.0,,,-3776000000.0,46607000000.0,12055000000.0,660518000000.0,5512000000.0,,-26842000000.0,8364000000.0,247115000000.0,8121000000.0,-11381000000.0,652154000000.0,25483000000.0,50361000000.0,-10058000000.0,7992000000.0,533000000.0,46607000000.0,-17616000000.0,0.0,-26852000000.0,,704958000000.0,284147000000.0,42424000000.0,42424000000.0,,15670000000.0,46607000000.0,,,755319000000.0,,37189000000.0,12699000000.0,,5000000.0,46607000000.0,27003000000.0,46607000000.0,,,42424000000.0,,-368000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,456174000000.0,178512000000.0,,,,,,0.0,,,,,,,,42806000000.0,,,,,24957000000.0,,,0.0,,80240000000.0,694699000000.0,,,62637000000.0,,,,,138000000.0,,,45637000000.0,,,16480000000.0,,,0.0,,,,,,,,,,,8260000000.0,,,24957000000.0,0.0,,,,,704288000000.0,,,,9589000000.0,,,,,31522000000.0,,,,575000000.0,,,,,,747723000000.0,,,,,,,,,810360000000.0,,,,,0.0,44425000000.0,,44425000000.0,,,42424000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,92581000000.0,460823000000.0,296316000000.0,915000000.0,227430000000.0,,2813000000.0,4183000000.0,,18475000000.0,-2895000000.0,-222829000000.0,-13486000000.0,,,,18475000000.0,9632000000.0,25492000000.0,0.31,808000000.0,25492000000.0,,-399000000.0,0.0,13021000000.0,92581000000.0,647012000000.0,-4263000000.0,2269000000.0,37078000000.0,656644000000.0,,35970000000.0,,915000000.0,,-1333000000.0,48601000000.0,48601000000.0,46607000000.0,8672000000.0,0.0,13109000000.0,0.0,782221000000.0,4705000000.0,0.31,745143000000.0,21649000000.0,,42424000000.0,3715000000.0,0.0,,22629000000.0,460823000000.0,,38978000000.0,,,-3864000000.0,39307000000.0,18715000000.0,656644000000.0,5053000000.0,,-8960000000.0,9632000000.0,296316000000.0,13109000000.0,-13486000000.0,647012000000.0,35970000000.0,37078000000.0,-7587000000.0,8672000000.0,808000000.0,39307000000.0,-26775000000.0,0.0,-7308000000.0,,745143000000.0,328860000000.0,42424000000.0,42424000000.0,,23420000000.0,39307000000.0,,,782221000000.0,,38978000000.0,17575000000.0,,0.0,39307000000.0,22629000000.0,39307000000.0,,,42424000000.0,,306000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,506445000000.0,300922000000.0,,,,,,0.0,,,,,,,,41185000000.0,,,,,26265000000.0,,,0.0,,109800000000.0,711713000000.0,,,55419000000.0,,,,,2077000000.0,,,42521000000.0,,,26583000000.0,,,0.0,,,,,,,,,,,29720000000.0,,,26265000000.0,0.0,,,,,724292000000.0,,,,12579000000.0,,,,,48343000000.0,,,,750000000.0,,,,,,816699000000.0,,,,,,,,,872118000000.0,,,,,0.0,51540000000.0,,51540000000.0,,,42424000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,116101000000.0,410738000000.0,183611000000.0,1455000000.0,252495000000.0,,2436000000.0,10902000000.0,,21558000000.0,-11539000000.0,-278687000000.0,-15110000000.0,,,,21558000000.0,12211000000.0,27036000000.0,0.46,1005000000.0,27036000000.0,,20441000000.0,0.0,37934000000.0,116101000000.0,674062000000.0,16890000000.0,0.0,53825000000.0,686273000000.0,,52670000000.0,,1455000000.0,,-1747000000.0,40190000000.0,40190000000.0,39307000000.0,29134000000.0,,19542000000.0,0.0,843468000000.0,6305000000.0,0.46,789643000000.0,24612000000.0,,42424000000.0,3404000000.0,0.0,,24863000000.0,410738000000.0,,42146000000.0,,,-3551000000.0,49884000000.0,27665000000.0,686273000000.0,4603000000.0,,-7257000000.0,12211000000.0,183611000000.0,19542000000.0,-15110000000.0,674062000000.0,52670000000.0,53825000000.0,-8500000000.0,29134000000.0,1005000000.0,49884000000.0,16531000000.0,0.0,10428000000.0,,789643000000.0,384339000000.0,42424000000.0,42424000000.0,,33970000000.0,49884000000.0,,,843468000000.0,,42146000000.0,27479000000.0,,,49884000000.0,24863000000.0,49884000000.0,,,42424000000.0,,975000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,458471000000.0,151912000000.0,,,,,,0.0,,,,,,,,48820000000.0,,,,,27051000000.0,,,0.0,,120939000000.0,726709000000.0,,,43751000000.0,,,,,1054000000.0,,,35034000000.0,,,41287000000.0,,,0.0,,,,,,,,,,,34162000000.0,,,27051000000.0,0.0,,,,,738847000000.0,,,,12138000000.0,,,,,59436000000.0,,,,933000000.0,,,,,,858525000000.0,,,,,,,,,902276000000.0,,,,,0.0,39882000000.0,,39882000000.0,,,42424000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
