,trailingSaleOfInvestment,annualBasicAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,annualBasicEPS,annualAccountsReceivable,annualPurchaseOfInvestment,quarterlyDilutedAverageShares,annualLongTermDebt,quarterlyLongTermDebt,annualDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,annualStockholdersEquity,trailingCashDividendsPaid,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncome,trailingPretaxIncome,annualRetainedEarnings,quarterlyNetPPE,annualChangeInInventory,quarterlyInventory,annualCurrentLiabilities,annualGoodwill,trailingNetIncome,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,annualOperatingCashFlow,quarterlyCostOfRevenue,annualInventory,quarterlyAccountsReceivable,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualNetPPE,quarterlyOtherIntangibleAssets,annualOperatingIncome,trailingGrossProfit,quarterlyCapitalStock,annualTotalRevenue,quarterlyBeginningCashPosition,quarterlyBasicEPS,trailingRepaymentOfDebt,annualCapitalStock,trailingResearchAndDevelopment,quarterlyFreeCashFlow,trailingTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,trailingPurchaseOfInvestment,annualOtherNonCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,annualPretaxIncome,quarterlyCurrentDebt,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,annualGrossPPE,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlySaleOfInvestment,annualOperatingExpense,annualSellingGeneralAndAdministration,trailingSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualCapitalExpenditure,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyGrossProfit,trailingNetIncomeContinuousOperations,trailingOperatingExpense,quarterlyOperatingIncome,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyTotalRevenue,trailingInterestExpense,trailingNetOtherFinancingCharges,quarterlyGrossPPE,quarterlyEndCashPosition,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyBasicAverageShares,annualCurrentAssets,annualEbitda,quarterlyOtherNonCashItems,annualInterestExpense,annualResearchAndDevelopment,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfBusiness,annualCommonStockIssuance,annualGrossProfit,quarterlyCurrentAssets,quarterlyPretaxIncome,annualOtherShortTermInvestments,annualTotalNonCurrentAssets,quarterlyCurrentLiabilities,annualFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,quarterlyOperatingExpense,quarterlyRetainedEarnings,trailingCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,trailingNetIncomeCommonStockholders,annualTaxProvision,trailingFreeCashFlow,quarterlyGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,trailingTaxProvision,annualTotalAssets,annualCurrentDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,annualPurchaseOfBusiness,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualOtherNonCashItems,annualCashDividendsPaid,quarterlyDilutedEPS,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,,,,,,62314660.58,,,3300000.0,,,,,83797326.06,,,,,,,,,,,,43402905.19,,,,,,,,,,,,34764730.93,,,9135011.79,,16288078.14,,20375239.44,,,99653044.5,,,,83797326.06,,,,,,0.0,,,,,,,,0.0,,,,20167985.65,,20908904.74,,,16288078.14,,,,,22398379.89,21454796.97,,0.0,,,,,,,,,,,9135011.79,16487797.91,,,,,,,,,,,,111547865.65,20427441.91,,259456.26,,16487797.91,3300000.0,,,,,42773619.33,,,0.0,18952365.6,,,,56879425.17,,,,,,,,,3680187.74,,,46702905.19,,,130500231.25,585000.0,,16487797.91,,,,-4363031.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,,,,,,116886209.4,,,,,,,,110810586.36,,,,,,,,,,,,119931262.68,,,,,,,,,,,,63271257.01,,,21153098.55,,19001306.84,,34081947.78,,,145533568.79,,,,,,,,,,0.0,,,,,,,,,,,,33587971.2,,63084704.61,,,19001306.84,,,,,32268992.04,30724625.72,,0.0,,,,,,,,,,,21153098.55,27618186.85,,,,,,,,,,,,202143519.05,33736490.75,,148519.55,,27618186.85,0.0,,,,,66350939.82,,,0.0,28598329.99,,,,79182628.97,,,,,,,,,5969784.35,,,119931262.68,,,230741849.04,7000000.0,,27618186.85,,,,-8432668.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,,,,,,144268640.9,,,,,,,,144569862.08,,,,,,,,4871882.77,,,,151675782.26,,,,,,,,,,,,65790922.86,,4099530.73,29835762.11,,41925488.65,,52701459.19,,,184938366.11,,,,100000000.0,,,,,,0.0,,,,,,,,,,,,50175302.61,,57802474.7,,,41925488.65,,,,,36965023.41,34682350.13,,4068465.57,,,,,,,,,,,29835762.11,44064112.94,,,,,,,,,,,,246210703.76,50712564.1,,537261.49,,44752531.04,0.0,,,,,89666482.6,,,0.0,54246522.48,,,,95271883.51,,,,,,,,,6111189.67,,,151675782.26,,,300457226.24,15000000.0,,44752531.04,,,,-11850200.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,,,,,0.009666,161011996.07,-2000000.0,,,,0.009666,3328388.12,,809674191.29,,4022095.21,,,-26484168.37,,,34546329.6,77180392.01,-16839770.91,82630690.77,124747838.11,,,,0.0,,0.0,-42228156.08,,,4135202.33,,82630690.77,161011996.07,4002768.97,595234693.75,,77180392.01,4002768.97,61777236.78,,150000000.0,248350137.75,,,,150000000.0,,,,-50000000.0,595234693.75,0.0,0.0,91775718.16,950439785.37,,,,,4519348.0,595234693.75,,595234693.75,61969823.79,,59357896.53,,,77180392.01,,,,,49886027.3,47642786.4,,3328388.12,-24484868.37,136246246.08,,59357896.53,,,,,,,595234693.75,52865938.85,,,,,77180392.01,,629267499.06,565398931.64,,,,858664067.21,67153120.82,,1161201.82,,52558172.75,11498407.97,,,,629267499.06,111663264.08,858664067.21,,0.0,91775718.16,124747838.11,-20349666.04,11498407.97,136686873.67,,34546329.6,,,,809674191.29,,,9103884.94,,,136246246.08,,,950439785.37,,-9750186.68,52558172.75,29835762.11,,4519348.0,-9750186.68,655265.28,-26519601.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,,,,,,,,,,,,,0.0,,,,,,,,,,,95440347.77,,92539243.69,,,,,0.0,,18833322.5,,,,,,,179250611.24,,,,,3951888.09,,,150000000.0,,,,,,,,,,,,,107518867.59,1003086584.31,,,,,,602857913.39,,584024590.89,,,,,,,,,,,,,,,,145094411.73,,70824098.39,,,,,,,,,,,,,95440347.77,,,,,,,,,,,,,,,,,,,895567716.72,,,,134827976.04,,10266435.69,,,78632446.7,,,,853271752.71,,,,,,,,,,,-10849258.94,,,,4720419.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,,22406301.05,,,0.019353,181113535.32,-22000000.0,,,,0.019353,0.0,,874895624.43,,5669324.46,,,-83376423.38,,,54359547.77,146528271.1,-46486792.73,129117483.5,171341660.3,,,,0.0,,0.0,-73215658.63,,,35915789.89,,129117483.5,181113535.32,5487182.87,532288844.09,,146528271.1,5487182.87,98542324.7,,300000000.0,392291282.32,,,,300000000.0,,,,,532288844.09,0.0,406301.05,161953799.59,1059936880.73,,,,,4372442.49,532288844.09,,532288844.09,105619085.18,,79748489.45,,,146528271.1,,,,,80808284.17,77373882.25,,0.0,-83884724.43,180668813.81,,79748489.45,,,,,,,532288844.09,105086500.15,,,,,146528271.1,,6014783.83,-62945849.66,,,,897983081.14,104211649.16,,6014783.83,,105233405.66,9327153.51,,,,,179350608.87,897983081.14,,0.0,161953799.59,171341660.3,-47968934.54,9327153.51,212940673.45,,54359547.77,,,,874895624.43,,,532585.03,,,180668813.81,,,1059936880.73,,0.0,105233405.66,595234693.75,,4372442.49,0.0,-2632473.65,-21500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,,,,,,,,,,,6034464.8,,0.0,,,,,18173136.76,,,18030398.98,,,189176464.83,,145547654.41,,,,331560.73,0.0,,0.0,,,,,45286379.08,,216964730.44,,,,,5432103.04,,,300000000.0,,,0.003316,,,,,,,,,,210006242.99,1105815803.56,18030398.98,,,,,453831654.98,1347374.7,453831654.98,,,,,,,,,,,,,,,,186374599.88,,89815132.28,,,38532619.24,,,16933946.15,,,,83818998.32,,,189176464.83,,,,,,,,,,,,,,,19852072.19,,,,895809560.57,18504697.49,,,171628967.71,,14745632.17,,21598673.09,72389946.75,,,20586930.1,892926023.41,,,,,,,,,,,0.0,,,,26515180.27,,,,0.003316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,,,,,,,,,,,,,0.0,,,,,65136445.79,,,64421859.91,,,209913376.6,,133349162.86,,,,592887.88,6153461.7,,0.0,,,,,125239754.63,,231470052.89,,,,,5356773.21,,,300000000.0,,,,,,,,,,,,,262371082.61,1160116739.24,64421859.91,,,,,429317404.93,-1219641.8,429317404.93,,6153461.7,,,,,,,,,,,,,,203248694.32,,99408211.83,,,91985795.32,,,63352859.47,,,,217225549.95,,,209913376.6,,,,,,,,,,,,,,,64509691.87,,,,897745656.63,65729333.67,,,195153513.09,,8095181.23,,28632935.85,101563807.55,,,26003573.78,934847883.32,,,,,,,,,,,0.0,,,,22020161.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,,,,,,,,,,,,,0.0,,,,,26901643.88,,,26969564.87,,,229012521.11,,148376182.45,,,,491576.23,6153461.7,,0.0,,,,,105847936.47,,252893373.88,,,,,16431879.57,,,300000000.0,,,,,,,,,,,,,291520308.65,1208222027.39,26969564.87,,,,,370890636.39,3012210.33,370890636.39,,6153461.7,,,,,,,,,,,,,,224450758.98,,110740674.57,,,65466594.13,,,30181544.16,,,,171314530.6,,,229012521.11,,,,,,,,,,,,,,,30405430.44,,,,916701718.74,27393220.11,,,216901563.89,,7549195.09,,35285049.97,128533372.42,,,34499728.33,961817448.19,,,,,,,,,,,0.0,,,,21953820.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
