date,annualCurrentDeferredRevenue,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualCurrentDebt,annualEndCashPosition,trailingCostOfRevenue,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualChangeInAccountPayable,trailingTaxProvision,trailingEndCashPosition,trailingFreeCashFlow,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualAccountsPayable,quarterlyOtherNonCashItems,annualOtherCurrentAssets,quarterlyRetainedEarnings,annualOperatingIncome,quarterlyDilutedEPS,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,annualCashAndCashEquivalents,annualInvestmentsAndAdvances,annualNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyOperatingIncome,annualDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualNetIncomeContinuousOperations,annualNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,quarterlyFreeCashFlow,annualBeginningCashPosition,annualCostOfRevenue,annualCashDividendsPaid,quarterlyLongTermDebt,annualLongTermDebt,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,annualTotalAssets,trailingPretaxIncome,quarterlyNetOtherInvestingChanges,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualBasicEPS,trailingNetOtherInvestingChanges,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualEbitda,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualSaleOfInvestment,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,annualOtherIntangibleAssets,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyCostOfRevenue,annualCommonStockIssuance,quarterlyDilutedAverageShares,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyGrossProfit,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyInventory,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,annualInventory,trailingCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualTotalNonCurrentAssets,annualCurrentLiabilities,annualOtherIncomeExpense,annualGrossProfit,trailingStockBasedCompensation,quarterlyPretaxIncome,annualNetPPE,quarterlyPurchaseOfBusiness,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualOtherNonCashItems,quarterlyNetPPE,quarterlyBeginningCashPosition,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,quarterlyBasicAverageShares,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualInterestExpense,annualChangesInAccountReceivables,annualBasicAverageShares,annualPretaxIncome,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,trailingBeginningCashPosition,annualGoodwill,trailingCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyGrossPPE,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,trailingNetIncome,trailingInvestingCashFlow,annualGrossPPE,trailingCapitalExpenditure,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualRepaymentOfDebt,annualChangeInWorkingCapital,annualAccumulatedDepreciation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,trailingGrossProfit,annualCapitalExpenditure,annualStockBasedCompensation,trailingDeferredIncomeTax,annualTotalRevenue,trailingChangeInWorkingCapital,annualCapitalStock,trailingChangeInAccountPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,trailingBasicEPS
2005-12-31,12029987.0,6532000000.0,,2235973.0,64703524.0,5723000000.0,,685000000.0,877440345.0,-62968044.0,,134000000.0,692000000.0,611000000.0,,,,,,87914833.0,,0.0,,158535062.0,,474000000.0,,,,64703524.0,,0.0,,,-1.4066,1105719775.0,42274061.0,115828128.0,114000000.0,37360008.0,,,-119157090.0,-119157090.0,,84734285.0,,0.0,1253450419.0,,,497201527.0,,,1221547903.0,608000000.0,,27943136.0,18320030.0,-1.4066,37000000.0,,,336308451.0,184240134.0,,,,115828128.0,,-119157090.0,,25705072.0,1008547.0,20577744.0,,,,,,,,237660000.0,,,,,440000000.0,,,747000000.0,,,71560052.0,,,,,,712469185.0,154275818.0,-658000000.0,1895473.0,885239452.0,228279430.0,-316625301.0,200809123.0,13000000.0,,772512884.0,,,,,82532142.0,1272757.0,,,-6000000.0,,,,,,,209523747.0,,,226000000.0,,64703524.0,,,,23000000.0,170715071.0,,25007159.0,,84716785.0,-182125134.0,,,702000000.0,83774885.0,-301000000.0,,,,,,,-10000000.0,440000000.0,-99000000.0,772512884.0,-136000000.0,,,,124000000.0,,174711403.0,,-56000000.0,105520893.0,-730297803.0,64703524.0,-24628315.0,809000000.0,-45172134.0,,46000000.0,1454259542.0,-2000000.0,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,,,,,,20878605.0,,,,,,,,775283315.0,,,,,,,,,,0.26,,,,,,,,775283315.0,775283315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20878605.0,,,,20878605.0,,,,81659091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81641591.0,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,,,,,20878605.0,,,,,,,,775283315.0,,,,,,,,,,0.26,,,,,,,,775283315.0,775283315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20878605.0,,,,20878605.0,,,,81659091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81641591.0,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,,,,,74907057.0,,,,,,,,743500367.0,,,,,,,,,,0.875,,,,,,,,743500367.0,743500367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74907057.0,,,,74907057.0,,,,84734285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84716785.0,,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,8812350.0,,,5797981.0,41919260.0,,-33149848.0,,1138507475.0,119840160.0,,,,,-1948893167.0,,,230199780.0,342453054.0,138911088.0,,0.0,,281607933.0,,,,,,41919260.0,,0.0,807066262.0,-1948893167.0,2.26,1368707255.0,113604703.0,76446072.0,,-53633083.0,1107026461.0,1449479515.0,191571323.0,191571323.0,1368707255.0,84734285.0,,64703524.0,2642354726.0,,769202019.0,769202019.0,,85182498.0,1449479515.0,,,15457247.0,62600121.0,2.26,,0.0,-250000000.0,342453054.0,335949310.0,76446072.0,,1138507475.0,76446072.0,,191571323.0,33766124.0,54341377.0,638456.0,33766124.0,-33149848.0,83774885.0,69589161.0,,-33149848.0,,,20000000.0,,,,,,8812350.0,,,,161432793.0,69589161.0,,284122958.0,,41919260.0,,30848819.0,161432793.0,,-7156975.0,1107026461.0,230199780.0,70233004.0,395212636.0,,,1007155873.0,,,,41919260.0,186592309.0,6631621.0,1007155873.0,,,,,,,15457247.0,,284122958.0,5797981.0,,,,41919260.0,,,638456.0,,85182498.0,,43879644.0,,84716785.0,311411483.0,,,,83774885.0,,,,,1007155873.0,86770299.0,,,,,1007155873.0,,138911088.0,42912237.0,76446072.0,,,-177270977.0,,,42912237.0,-240225392.0,-22784264.0,-9363681.0,,-240225392.0,,,3037567362.0,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,,,,,,27153733.0,,,,,,,,616947956.0,,,,,,,,,,0.335,,,,,,,,616947956.0,616947956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27153733.0,,,,27153733.0,,,,81641591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81641591.0,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,,,15113118.0,,,,-27153733.0,,,,,,,,78005135.0,,,514581282.0,568075604.0,,,,,,-0.335,,,,,,,,616947956.0,61908906.0,,,,,,,1258159914.0,1826235518.0,,,1799638839.0,,,,,,765360817.0,,,132541484.0,,,,,,,,0.0,,,,21692258.0,,1285057557.0,,,,36959047.0,,,,-27153733.0,83774885.0,76022457.0,,-27153733.0,31209346.0,523829704.0,,81641591.0,,,,,1383699.0,93118252.0,,-146171100.0,179243439.0,,,387155256.0,,23077422.0,,,,,,,,,,,-97765248.0,,,,-70483141.0,23077422.0,,,1157972453.0,,,,,,,15877051.0,,,47701683.0,81641591.0,,13809712.0,,-0.335,,535525.0,,,,,,,,,,,,,,,,1157972453.0,,,,,,,,138394089.0,290142764.0,21692258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,,14034765.0,,,,13399189.0,,,,,,,,57763499.0,,,603251593.0,576256538.0,,441876.0,,,,0.16,,-24921027.0,-4305009.0,19103720.0,,,,585977758.0,38659779.0,,,,,,,1272311229.0,1848567767.0,,,1808946367.0,,-21785364.0,,,,763447415.0,,-30609476.0,113461931.0,,,0.0,,,,,0.0,,,,34452025.0,,1205694774.0,,,,41183078.0,,,,13399189.0,83774885.0,65416983.0,,13399189.0,56708172.0,490609807.0,,86158791.0,,27318206.0,-25641794.0,,6747733.0,95367951.0,,8392546.0,209852915.0,,,328785428.0,,27318206.0,,,,,,,,,,,61055546.0,,,,47609671.0,27318206.0,,,1164047449.0,23077422.0,,-2041196.0,,-25641794.0,26026148.0,23991702.0,,,83629460.0,86141291.0,,18339731.0,,0.16,,497193.0,,,,,,,,,4240784.0,,,,3856430.0,,,1164047449.0,,,,,,,,189713780.0,281977542.0,34452025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,13161103.0,,50999697.0,16513967.0,30508737.0,,-15915299.0,,865510255.0,-81638610.0,,,,,60693070.0,,,536442723.0,557881374.0,159142252.0,43701804.0,0.0,-17897142.0,204234416.0,,,-20893279.0,-41430571.0,18936245.0,30508737.0,,0.0,1146990783.0,41756825.0,-0.66,1401952978.0,195424196.0,,,-122677403.0,1298186717.0,1856068091.0,-56823575.0,-56823575.0,1401952978.0,86141291.0,-44472038.0,41919260.0,2567205841.0,,484328313.0,484328313.0,-31148326.0,94196145.0,1856068091.0,,0.0,21763881.0,93121755.0,-0.66,,0.0,-10600000.0,557881374.0,275418168.0,443515113.0,,865510255.0,443515113.0,,-56823575.0,51391757.0,71183752.0,473492.0,51391757.0,-15915299.0,83774885.0,86545870.0,,-15915299.0,76297331.0,1028936627.0,399556188.0,,-17897142.0,30508737.0,-28897657.0,,13161103.0,118054156.0,,-38314721.0,249243198.0,86545870.0,,286985797.0,,30508737.0,,111266880.0,249243198.0,,-79568448.0,1298186717.0,536442723.0,-324403317.0,399658612.0,,-4197298.0,1192174459.0,,,11718001.0,30508737.0,145915136.0,45355772.0,1192174459.0,27318206.0,,10634206.0,861413.0,-28897657.0,47662569.0,21763881.0,,286985797.0,16513967.0,,,15167029.0,30508737.0,,,473492.0,,94196145.0,,61126183.0,,86141291.0,-138672247.0,,3190531.0,,83774885.0,,-15574381.0,,,1192174459.0,-56901929.0,,,,,1192174459.0,,159142252.0,296233644.0,,,,142038803.0,,,296233644.0,-268592539.0,-11410523.0,8108673.0,,-268592539.0,,,2966864453.0,,861413.0,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,,19260000.0,,,,22221000.0,,,,,,,,107488000.0,,,601013000.0,622464000.0,,-177000.0,,-4279000.0,,0.26,,,-17996000.0,20130000.0,,,,1223003000.0,87358000.0,,,,,,,1301127000.0,1923591000.0,,,1457886000.0,,-1962000.0,,,,483117000.0,,-31642000.0,85782000.0,,,0.0,,,,,0.0,,,,455105000.0,,856873000.0,,,,57027000.0,,,,22221000.0,83775000.0,117033000.0,,22221000.0,38895000.0,1096750000.0,,86158791.0,,25179000.0,-26156000.0,,29784000.0,126253000.0,,-47692000.0,288415000.0,,,287974000.0,,25179000.0,-161231000.0,,,,,,,,,,29070000.0,,,,6849000.0,25179000.0,,,1192542000.0,30509000.0,,-2145000.0,861000.0,-26156000.0,-3368000.0,24360000.0,,,16071000.0,86141291.0,,11298000.0,,0.26,,450000.0,,,,,,,,,-5330000.0,,,,24194000.0,,,1353773000.0,,,,,,,,170194000.0,327937000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
