date,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,annualCashAndCashEquivalents,annualBeginningCashPosition,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualInterestExpense,trailingCostOfRevenue,annualNetOtherFinancingCharges,trailingBeginningCashPosition,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,trailingOperatingExpense,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualEbitda,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualOtherIntangibleAssets,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,quarterlyBasicEPS,trailingOperatingCashFlow,quarterlyGoodwill,annualCostOfRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlyStockholdersEquity,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,trailingNetIncomeCommonStockholders,annualTaxProvision,annualTotalAssets,annualNetIncome,quarterlyOtherCurrentAssets,trailingTaxProvision,annualLongTermDebt,annualCashDividendsPaid,annualCurrentDebt,annualDilutedEPS,annualOtherCurrentAssets,trailingDepreciationAndAmortization,annualOtherNonCashItems,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingSaleOfInvestment,annualStockholdersEquity,trailingOtherNonCashItems,trailingPurchaseOfBusiness,annualDepreciationAndAmortization,annualPurchaseOfBusiness,annualAccountsReceivable,annualInvestingCashFlow,quarterlyLongTermDebt,annualPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,trailingCashDividendsPaid,annualInventory,quarterlyNetPPE,quarterlyInventory,trailingPretaxIncome,quarterlyAccountsReceivable,annualChangeInInventory,trailingNetIncome,annualGoodwill,annualOperatingCashFlow,annualBasicEPS,quarterlyOtherCurrentLiabilities,annualGrossProfit,annualCurrentLiabilities,annualNetPPE,annualChangeInWorkingCapital,trailingChangeInInventory,quarterlyOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyOtherIntangibleAssets,annualTotalRevenue,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,trailingResearchAndDevelopment,annualCapitalStock,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,trailingGrossProfit,annualNonCurrentDeferredRevenue,trailingInterestExpense,annualBasicAverageShares,trailingEndCashPosition,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualPretaxIncome,trailingTotalRevenue,quarterlyTotalAssets,annualEndCashPosition,trailingOperatingIncome,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualOperatingIncome,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualGrossPPE,annualAccountsPayable,quarterlyDilutedEPS,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,annualStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualDeferredIncomeTax,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2005-12-31,,,,,,165126000.0,171284000.0,223287000.0,2105206671.0,-101120000.0,217917000.0,13819000.0,9830758463.0,39800000.0,5681698962.0,,0.0,211733000.0,3306908662.0,1139840000.0,2678842667.0,0.0,260619000.0,825190000.0,,14128000.0,59326480.0,,,,-47289000.0,,0.0,,630902557.0,,542314000.0,,,,640388623.0,,2638508086.0,639000.0,1481397000.0,211733000.0,,234993740.0,,-300000.0,252521000.0,0.33,0.0,423412006.0,12581000.0,,242090000.0,341557000.0,,0.0,13002720070.0,630166000.0,12336354.0,0.0,28244000.0,0.0,509419000.0,-113511000.0,,0.0,,-551000340.0,223878000.0,,,2913836407.0,,-53162000.0,2638508086.0,,53831000.0,0.33,,455662000.0,825190000.0,303003000.0,-193917000.0,411459636.0,,165126000.0,-112458258.0,-2216324327.0,,997976000.0,-17306000.0,0.0,0.0,1460920801.0,669612000.0,-6158000.0,-280519000.0,5931794795.0,,13813954.0,640388623.0,4062781026.0,-14208801622.0,,218556000.0,15762553258.0,,165126000.0,2624886133.0,-571576077.0,,,232375000.0,,,-1614566703.0,-1826516669.0,,190895000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,,,2261310000.0,165126000.0,298536000.0,,-105602000.0,302268000.0,14352000.0,,22666000.0,,,0.0,296771000.0,,3369530000.0,,0.0,353445000.0,940246000.0,,14930000.0,,,,,92386000.0,,2209968000.0,,,,640377000.0,,,,682058366.0,,,313000.0,3788256000.0,296771000.0,,,,-175653000.0,364537000.0,0.44,2969000.0,,-10696000.0,,362399000.0,418726000.0,,100000.0,,2846586000.0,,,36512000.0,-2000000.0,508153000.0,-148020000.0,,-2969000.0,,,357157000.0,,,,,-145576000.0,,,197988000.0,0.44,,615549000.0,940246000.0,367884000.0,-138329000.0,,,2261310000.0,,,,1255926000.0,-44650000.0,0.0,0.0,,1084256000.0,2096184000.0,-368521000.0,,,,682058366.0,,,,302581000.0,,,2261310000.0,,,,,317013000.0,,,,,,230312000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,,,,1426711000.0,2261310000.0,343745000.0,,-284636000.0,347477000.0,3169000.0,,0.0,,,0.0,347389000.0,,2648139000.0,,0.0,398187000.0,508723000.0,,15103000.0,,,,,-206016000.0,,0.0,,,,865480000.0,,,,1084255637.0,,,-2566000.0,3398125000.0,347389000.0,,,,-39983000.0,0.0,0.32,7000.0,,-26035000.0,,397267000.0,749986000.0,,,,2889402000.0,,,50107000.0,-63515000.0,421588000.0,-1221807000.0,,,,,377665000.0,,,,,-77953000.0,,,78620000.0,0.32,,676324000.0,508723000.0,446190000.0,-286837000.0,,,1426711000.0,,,,1541804000.0,-903011000.0,0.0,0.0,,1084256000.0,-1550707000.0,-367537000.0,,,,1084255637.0,,,,344911000.0,,,710603000.0,,,,,332579000.0,,,,,,272170000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,-259753000.0,,,796722000.0,710603000.0,297415000.0,,-420574000.0,423337000.0,959000.0,,0.0,,,39612000.0,422300000.0,,2913374000.0,,-100000000.0,556232000.0,741453000.0,,87557000.0,,,,,-165216000.0,,,,,,1332142000.0,,,,1084255637.0,,,73505000.0,4169122000.0,422300000.0,,,3736000.0,-157000000.0,,0.39,203362000.0,,-48521000.0,,411952000.0,1255748000.0,8876000.0,31205000.0,,3409121000.0,,,58431000.0,-111112000.0,711544000.0,-76070000.0,,,,,523293000.0,,,,,-54644000.0,,47743000.0,255358000.0,0.39,,787181000.0,701841000.0,933250000.0,-182907000.0,,,796722000.0,,,,2119323000.0,399512000.0,27619000.0,27000000.0,,1084256000.0,26119000.0,-35561000.0,,,,1084255637.0,,,,496842000.0,,,736722000.0,,,,,489766000.0,,,,,1193003000.0,370358000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,718381000.0,1522092000.0,-356774000.0,1669515000.0,,1167373000.0,736722000.0,590738000.0,,-451275000.0,534389000.0,8013000.0,,43695000.0,,,51533000.0,530881000.0,,3699824000.0,,0.0,721341000.0,1522092000.0,,94670000.0,,3699824000.0,1470559000.0,,1126000.0,51533000.0,,,,52874000.0,2118287000.0,10961000.0,,3780443000.0,1084255637.0,-356774000.0,,89836000.0,5400711000.0,530881000.0,1956000.0,,3330000.0,-168257000.0,,0.49,1956000.0,,0.0,37242000.0,666947000.0,1700887000.0,10961000.0,3090000.0,,3780443000.0,,,89103000.0,-1130000.0,742255000.0,-103517000.0,3330000.0,,0.0,,886969000.0,1312741000.0,886969000.0,,742255000.0,-397129000.0,,52874000.0,452401000.0,0.49,125456000.0,1207306000.0,1470559000.0,1312741000.0,-169567000.0,,,1167373000.0,,,94670000.0,3325593000.0,327400000.0,125456000.0,37242000.0,,1084256000.0,311712000.0,-25247000.0,,,,1084255637.0,,,1700887000.0,624225000.0,,5400711000.0,1048434000.0,,,1167373000.0,,616568000.0,1084256000.0,1167373000.0,,,1669515000.0,718381000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1127265000.0,2251636000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4640463000.0,2196584000.0,,,55052000.0,,0.0,,49186000.0,,14114000.0,,4072001000.0,,,,,,,10174000.0,,,,,,,,,38241000.0,,,,,,,,,,,,,2697000.0,,0.0,,,1376821000.0,972930000.0,,1522072000.0,,,,,,21037000.0,,,,,,,,,,91380000.0,,,,,,,,,,,,,,,1780855000.0,,,6421318000.0,,,,1092915000.0,10957000.0,,1084256000.0,1092915000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1012637000.0,2509610000.0,-460848000.0,1838607000.0,,1569479000.0,1048434000.0,1205892000.0,,-369365000.0,853676000.0,11464000.0,,0.0,,,141352000.0,852143000.0,,5171010000.0,,43427000.0,1141625000.0,2509610000.0,,59115000.0,,5171010000.0,2368258000.0,,384977000.0,141352000.0,62000.0,,,49209000.0,3679193000.0,12899000.0,,4405923000.0,1084255637.0,-460848000.0,,138357000.0,7012349000.0,852143000.0,111980000.0,,2333000.0,-211430000.0,500739000.0,0.79,111980000.0,,2892000.0,34970000.0,1101297000.0,1841339000.0,12899000.0,580000.0,,4405923000.0,,,138128000.0,,901236000.0,-388957000.0,2333000.0,,43427000.0,,1590491000.0,1377759000.0,1590491000.0,,901236000.0,-689448000.0,,49209000.0,754342000.0,0.79,50585000.0,2152085000.0,2368258000.0,1377759000.0,-346920000.0,,,1569479000.0,,,59115000.0,5831278000.0,-36468000.0,50585000.0,34970000.0,,1084256000.0,521045000.0,-154851000.0,,,,1084255637.0,,,1841339000.0,992033000.0,,7012349000.0,1569479000.0,,,1569479000.0,500739000.0,946193000.0,1084256000.0,1569479000.0,,,1838607000.0,1012637000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1183248000.0,3817469000.0,,,,,,,,,,,,,,,,,,,,,,,,,,7027599000.0,3643657000.0,,,173812000.0,,0.0,,50043000.0,,14191000.0,,5014076000.0,,,,,,,81406000.0,,,,,,,,,33717000.0,,,,,,,,,,,,,1944000.0,,43427000.0,,,1399668000.0,1786345000.0,,1521954000.0,,,,,,50585000.0,,,,,,,,,,60589000.0,,,,,,,,,,,,,,,1898477000.0,,,8926076000.0,,,,1430020000.0,1015418000.0,,1084256000.0,1430020000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,906553647.0,3216494803.0,-511377314.0,2014410487.0,,2157721027.0,1569479328.0,1159787314.0,,-352290785.0,1187036286.0,,,0.0,,,296870953.0,1184442891.0,,6538145570.0,,89647934.0,1501203344.0,3216494803.0,2218523143.0,200313770.0,,6538145570.0,2919623850.0,,889479914.0,296870953.0,24000000.0,,,58694931.0,4598693100.0,15725481.0,2218523143.0,5316660857.0,1084255637.0,-511377314.0,,193885925.0,8654179371.0,1184442891.0,327838403.0,,57075276.0,-357699681.0,639000000.0,1.09,327838403.0,,-16465659.0,89923075.0,1210877821.0,2116033801.0,15725481.0,16340677.0,,5316660857.0,,,134908784.0,,1119253348.0,-618079771.0,57075276.0,-310000000.0,89647934.0,,1668583237.0,1503033173.0,1668583237.0,,1119253348.0,-122337960.0,,58694931.0,1241770699.0,1.09,125258321.0,2526081874.0,2919623850.0,1503033173.0,-130033380.0,,,2157721027.0,,,200313770.0,7124774974.0,0.0,125258321.0,89923075.0,,1084255637.0,484239062.0,-744736975.0,,,,1084255637.0,,,2116033801.0,1380922211.0,,8654179371.0,2053718390.0,,,2157721027.0,639000000.0,1366294560.0,1084255637.0,2157721027.0,,,2014410487.0,906553647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1219466555.0,3062286792.0,,2134691454.0,,,,,,,,,,,,,,,,,,,,,2334512850.0,,,6485449300.0,2797695463.0,,,264591329.0,,0.0,,58292061.0,,16725611.0,,5494536422.0,,-578662592.0,,,,,20147247.0,,,,,,,,,88669619.0,,,,,,,,,,,,,23824643.0,,101170238.0,,,1556028862.0,1593506558.0,,2195034805.0,,,,,,208526918.0,,,,,,,,,,191678407.0,,,,,,,,,,,,,,,2194618142.0,,,8680067442.0,,,,1340875749.0,3770363.0,,1084255637.0,1340875749.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
