,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyAccountsReceivable,annualDilutedAverageShares,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualTotalAssets,annualNetIncome,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualGainsLossesNotAffectingRetainedEarnings,quarterlyLongTermDebt,quarterlyGoodwill,annualNetOtherInvestingChanges,annualRetainedEarnings,annualCostOfRevenue,trailingOperatingIncome,annualOtherCurrentAssets,annualLongTermDebt,annualOperatingIncome,annualPretaxIncome,annualEndCashPosition,trailingTotalRevenue,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,trailingEndCashPosition,annualNonCurrentDeferredRevenue,trailingTaxProvision,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualAccountsPayable,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,annualBasicAverageShares,trailingOtherNonCashItems,trailingPurchaseOfBusiness,trailingStockBasedCompensation,annualNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,annualCurrentDeferredRevenue,trailingNetOtherFinancingCharges,annualOperatingExpense,quarterlyCapitalExpenditure,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualTotalRevenue,quarterlyOtherNonCashItems,annualCapitalStock,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,trailingChangesInAccountReceivables,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyDilutedEPS,trailingBeginningCashPosition,annualInterestExpense,quarterlyTaxProvision,annualGoodwill,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyStockBasedCompensation,annualDeferredIncomeTax,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualRepaymentOfDebt,annualOtherCurrentLiabilities,trailingGrossProfit,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyBasicEPS,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,annualStockholdersEquity,quarterlyGrossProfit,annualBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,annualTaxProvision,annualCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,annualDilutedEPS,annualCashAndCashEquivalents,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,annualAccountsReceivable,annualCurrentAssets,trailingOperatingCashFlow,quarterlyOperatingExpense,annualCommonStockIssuance,quarterlyInvestingCashFlow,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualCurrentLiabilities,annualNetPPE,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualEbitda,annualChangeInAccountPayable,trailingChangeInInventory,annualIncomeTaxPayable,annualInventory,annualResearchAndDevelopment,trailingCashDividendsPaid,quarterlyInventory,quarterlyResearchAndDevelopment,annualSaleOfInvestment,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,trailingBasicEPS,quarterlyChangeInInventory,trailingPurchaseOfInvestment,annualChangeInInventory,quarterlyIncomeTaxPayable,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualInvestmentsAndAdvances
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,,,,,18474000.0,,,,,,135407000.0,13528000.0,,118873000.0,,-1867000.0,,,-7981000.0,20842000.0,88027000.0,,410000.0,,15982000.0,14407000.0,52927000.0,,25063000.0,,7000000.0,,,,,,,,4127000.0,,13528000.0,,,0.0,,,16719000.0,,,,0.0,2411000.0,,,,134000.0,6460000.0,,-9030000.0,4417000.0,,45930000.0,,-1049000.0,,,,149939000.0,,17000.0,,,,,,-2240000.0,,,,,,,,,,185000.0,,9222000.0,-9161000.0,,,,-2671000.0,,,3246000.0,,61912000.0,,0.0,,,52927000.0,,0.0,,,22269000.0,,,,30658000.0,,,,,,,,,,-1617000.0,36688000.0,,,32214000.0,,39248000.0,,,,17346000.0,5618000.0,,,,16534000.0,,0.23,,,879000.0,3178000.0,,,,,,,0.22,52927000.0,26112000.0,88811000.0,,,27450000.0,98719000.0,,,,,,2728000.0,-540000.0,30062000.0,23053000.0,525000.0,3904000.0,20210000.0,1536000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,,,,-4375000.0,,,26186000.0,,,,,,,,,,,,,,,,,,,,,,,,3188000.0,,,,,1441000.0,,,,,,,,3747000.0,,42007000.0,,,,,,,,,-742000.0,-6927000.0,,,,,,,,-1851000.0,,,-15050000.0,,,3406000.0,,-2524000.0,,,,,,,,,,,3224000.0,,0.148805,,,36000.0,,,,,298000.0,,4714000.0,-15050000.0,,-20077000.0,,,,5188000.0,23000.0,,,,,,,,,,,,,,,,17142000.0,,,52927000.0,,,,,,0.185976,,,,49000.0,,,0.0,32850000.0,-2782000.0,,15821000.0,,,-582000.0,,,21424000.0,3188000.0,,10594000.0,3188000.0,,,,,,,,,,,12074000.0,,-1828000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,-2898000.0,,,29003000.0,,,,,,,,,,,,,,,,,,,,,,,,7425000.0,,,,,1552000.0,,,,,,,,8803000.0,,49971000.0,,,,,,,,,742000.0,-10321000.0,,,,,,,,-2126000.0,,,14971000.0,,,6958000.0,,-772000.0,,,,,,,,,,,8023000.0,,,,,598000.0,,,,,297000.0,,9586000.0,0.0,,9527000.0,,,,-3181000.0,-2049000.0,,,,,,,,,,,,,,,,,,,32850000.0,,,,,,,,,,11000.0,,,0.0,42377000.0,-563000.0,,20968000.0,,,-968000.0,,,,7425000.0,,10673000.0,7425000.0,,,,,,,,,,,12165000.0,,-4175000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285804800,,,,3101000.0,,,37214000.0,,,,,,,,,,,,,,,,,,,,,,,,-1399000.0,,,,,1526000.0,,,,,,,,7390000.0,,59072000.0,,,,,,,,,0.0,-4043000.0,,,,,,,,-1927000.0,,,-7511000.0,,,6387000.0,,5028000.0,,,,,,,,,,,7682000.0,,,,,1617000.0,,,,,1158000.0,,9212000.0,-452000.0,,-4220000.0,,,,-4799000.0,-178000.0,,,,,,,,,,,,,,,,,,,42377000.0,,,,,,,,,,4000.0,,,-511000.0,38157000.0,937000.0,,21858000.0,,,121000.0,,,,6065000.0,,10307000.0,6065000.0,,,,,,,,,,,14468000.0,,-2517000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,,7175000.0,16280000.0,41488000.0,19314000.0,40125000.0,68882000.0,,42611000.0,170858000.0,170858000.0,28308000.0,,104609000.0,,-2264000.0,,10032000.0,-2049000.0,47718000.0,132528000.0,,598000.0,,32790000.0,31095000.0,54004000.0,,12108000.0,5096000.0,0.0,,,,1723000.0,,0.0,,2001000.0,,28308000.0,,12850000.0,-412000.0,70774000.0,,17056000.0,,,,26000.0,2939000.0,,-2704000.0,6442000.0,173000.0,-8043000.0,,-10826000.0,5151000.0,,56506000.0,-2461000.0,-8365000.0,,-453000.0,-13573000.0,221824000.0,12101000.0,17000.0,18741000.0,,0.0,,38911000.0,-13791000.0,,128247000.0,35727000.0,0.0,,12166000.0,,,,76000.0,536000.0,10032000.0,-13573000.0,47718000.0,25338000.0,1186000.0,-2704000.0,13901000.0,-538000.0,-14849000.0,15847000.0,89296000.0,,0.0,-10999000.0,155000.0,54004000.0,,0.0,,66249000.0,1077000.0,54004000.0,,,52927000.0,,2023000.0,2001000.0,,598000.0,,-2264000.0,,38157000.0,-2181000.0,42611000.0,17000.0,,38911000.0,,47635000.0,54004000.0,0.0,12000.0,28852000.0,6242000.0,85000.0,54004000.0,-238000.0,66249000.0,30649000.0,0.84,104609000.0,-752000.0,2787000.0,7175000.0,,11630000.0,173000.0,16061000.0,11630000.0,2924000.0,0.79,54004000.0,20473000.0,68882000.0,,5151000.0,41488000.0,128247000.0,,17799000.0,,-2306000.0,,2023000.0,-16040000.0,35727000.0,25338000.0,2924000.0,14310000.0,37413000.0,-2646000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,,,10379000.0,-5956000.0,39848000.0,,45505000.0,71185000.0,,45678000.0,180273000.0,,,,,,,,10263000.0,,,,,,,,,,,,9742000.0,,,,,1690000.0,,0.0,,,,,,11812000.0,,72802000.0,,,,,,,,,-294000.0,-11067000.0,,,,,,,,-6318000.0,,,0.0,,,9319000.0,,362000.0,,0.0,,,,,134595000.0,33419000.0,,,11865000.0,,0.454724,,,2123000.0,,,57460000.0,28030000.0,714000.0,,13557000.0,0.0,,-5373000.0,,,,2399000.0,-83000.0,,,,,75669000.0,,48631000.0,,,,,1804000.0,1466000.0,,0.0,17142000.0,-1012000.0,,54004000.0,,,2000.0,,,0.568312,,48631000.0,0.0,2000.0,,,,48631000.0,-600000.0,,27297000.0,,104604000.0,-134000.0,,,21424000.0,9742000.0,184000.0,13793000.0,9742000.0,3030000.0,,,,,,4284000.0,,,,15485000.0,,-6401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,12468000.0,9714000.0,45270000.0,,48816000.0,86319000.0,,48384000.0,200908000.0,,,,,,,,8620000.0,,,,,,,,,,,,-6994000.0,,,,,1959000.0,,86073000.0,,,,,,12575000.0,,80176000.0,,,,,,,,,365000.0,-3248000.0,,,,,,,,-702000.0,,,4845000.0,,,8988000.0,,10416000.0,,0.0,,,,,152524000.0,44885000.0,,,10603000.0,,-0.41,,,2326000.0,,,65737000.0,31479000.0,655000.0,,14534000.0,0.0,,14702000.0,,,,-5903000.0,-56000.0,,,,,69704000.0,,63333000.0,,,,,1564000.0,3145000.0,,0.0,17056000.0,-845000.0,,48631000.0,,,2000.0,,,-0.41,,63333000.0,5000000.0,,,,,63333000.0,1611000.0,,31360000.0,,131204000.0,-2400000.0,,,20300000.0,8277000.0,246000.0,16805000.0,8277000.0,4213000.0,,,,,,4218000.0,,,,18785000.0,,-758000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317340800,,,15845000.0,11544000.0,50927000.0,,51627000.0,87270000.0,,50329000.0,209758000.0,,,,,,,,8196000.0,,,,,,,,,,,,6128000.0,,,,,2083000.0,,1026000.0,,,,,,16891000.0,,86423000.0,,,,,,,,,0.0,-32000.0,,,,,,,,-5832000.0,,,-5948000.0,,,14540000.0,,17376000.0,,79000.0,,,,,159429000.0,39809000.0,,,14975000.0,,0.33,,,1025000.0,,,79687000.0,34063000.0,785000.0,,18974000.0,0.0,,4066000.0,,,,-6416000.0,-571000.0,,,,,82679000.0,,67399000.0,,,,,1392000.0,1885000.0,,0.0,17124000.0,-2665000.0,,63333000.0,,,17000.0,,,0.36,,67399000.0,,,,,-948000.0,67399000.0,-1448000.0,,34796000.0,,127079000.0,-2301000.0,,,20656000.0,13950000.0,171000.0,15822000.0,13950000.0,4421000.0,,,,,,3981000.0,,,,17905000.0,,-6403000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,,24782000.0,22125000.0,59472000.0,20473000.0,59388000.0,87427000.0,,52050000.0,235613000.0,235613000.0,44353000.0,,140554000.0,,-3514000.0,,8169000.0,-315000.0,74508000.0,205336000.0,,0.0,,56705000.0,52792000.0,88796000.0,,37427000.0,9369000.0,,,,,1806000.0,,1204000.0,,2714000.0,,44353000.0,,15427000.0,0.0,95127000.0,,17094000.0,,,,-1558000.0,2866000.0,,426000.0,10412000.0,283000.0,-1558000.0,,-17408000.0,6949000.0,,72487000.0,-4241000.0,-17093000.0,,-455000.0,-15937000.0,334528000.0,13010000.0,17000.0,26366000.0,,0.0,,51419000.0,-19030000.0,,183563000.0,53127000.0,0.0,,15349000.0,,,,37000.0,2965000.0,8169000.0,-15937000.0,74508000.0,35482000.0,712000.0,497000.0,17155000.0,0.0,-3935000.0,21397000.0,129192000.0,,1204000.0,-9110000.0,395000.0,88796000.0,-5000000.0,0.0,,95059000.0,34792000.0,88796000.0,,,54004000.0,0.0,1251000.0,2714000.0,,0.0,,-3514000.0,,67399000.0,-5191000.0,52050000.0,17000.0,,51419000.0,,64930000.0,88796000.0,,0.0,45857000.0,7538000.0,-455000.0,88796000.0,691000.0,95059000.0,35739000.0,0.69,140554000.0,-407000.0,8439000.0,24782000.0,,12384000.0,283000.0,18510000.0,12384000.0,5273000.0,0.63,88796000.0,54520000.0,87427000.0,,6949000.0,59472000.0,183563000.0,,20312000.0,,-3846000.0,,1251000.0,0.0,53127000.0,35482000.0,5273000.0,11765000.0,60367000.0,254000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
