date,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyBasicEPS,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualOperatingExpense,annualBeginningCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,trailingCapitalExpenditure,trailingBeginningCashPosition,trailingInterestExpense,quarterlyGrossPPE,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,trailingNetIncomeContinuousOperations,annualInterestExpense,annualAccumulatedDepreciation,annualOtherIntangibleAssets,annualNetOtherFinancingCharges,quarterlyRetainedEarnings,trailingOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,annualBasicAverageShares,annualTaxProvision,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualNetIncome,annualCashDividendsPaid,trailingDepreciationAndAmortization,annualFreeCashFlow,trailingTaxProvision,annualInvestingCashFlow,trailingInvestingCashFlow,annualPurchaseOfInvestment,annualDilutedAverageShares,trailingPurchaseOfInvestment,annualStockholdersEquity,annualTotalAssets,trailingNetIncome,annualDepreciationAndAmortization,trailingSaleOfInvestment,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyGoodwill,annualRetainedEarnings,quarterlyDilutedEPS,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualGoodwill,annualSaleOfInvestment,annualCommonStockIssuance,annualDilutedEPS,annualBasicEPS,annualOperatingIncome,annualNetPPE,annualCapitalStock,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,trailingTotalRevenue,trailingChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualGrossPPE,annualPretaxIncome,quarterlyCapitalStock,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,trailingEndCashPosition,annualOtherShortTermInvestments,quarterlyCostOfRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,annualGrossProfit,annualLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyFreeCashFlow,trailingBasicEPS,annualCurrentDebt,annualCashCashEquivalentsAndMarketableSecurities,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualEbitda,quarterlyTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,annualOtherCurrentAssets,quarterlyIncomeTaxPayable,annualStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,annualAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualAccountsReceivable,trailingOtherIncomeExpense,annualInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,annualChangeInInventory,quarterlyOtherCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,trailingGrossProfit,trailingBasicAverageShares,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,quarterlyCurrentDebt,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyAccountsPayable,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,trailingCostOfRevenue,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,annualCurrentAssets,trailingRepaymentOfDebt,annualOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCurrentAssets,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2002-12-31,29436000000.0,469000000.0,,,-195000000.0,,111206000000.0,,-941000000.0,98309000000.0,9971000000.0,,9920000000.0,-37673000000.0,24911000000.0,25197000000.0,4155000000.0,,,25000000.0,,30919000000.0,,,1911368015.0,1307000000.0,29978000000.0,431125000000.0,9935000000.0,,,-34361000000.0,9920000000.0,-9368000000.0,1801000000.0,4486000000.0,4265000000.0,-33011000000.0,-48906000000.0,-96052000000.0,1911368015.0,-638920000000.0,43085000000.0,474654000000.0,25220000000.0,,588182000000.0,-14530000000.0,29462000000.0,,,,,,,7218000000.0,,61213000000.0,,5.19,5.19,,10439000000.0,9559000000.0,4681000000.0,,15087000000.0,,76817000000.0,59642000000.0,-9244000000.0,2009000000.0,107904000000.0,,11242000000.0,,,,,89065000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,,,,-142000000.0,,76817000000.0,,,,,,9539000000.0,-2620000000.0,,,2667000000.0,,,0.0,,,,,1911623246.0,1423000000.0,,462674000000.0,9714000000.0,,,,9539000000.0,-10324000000.0,,33424000000.0,,-25862000000.0,,-98041000000.0,1911623246.0,,39641000000.0,502959000000.0,,,,,,,,,,,,,,69710000000.0,,4.99,4.99,,9565000000.0,9559000000.0,33566000000.0,,15377000000.0,,77575000000.0,,,2576000000.0,100586000000.0,,11137000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,,,,-148000000.0,,77575000000.0,,,,,,11395000000.0,-12011000000.0,,,2781000000.0,,,0.0,,,,,1911912752.0,1764000000.0,,504588000000.0,11603000000.0,,-1634000000.0,,11395000000.0,-9750000000.0,,17484000000.0,,-19893000000.0,,-61039000000.0,1911912752.0,,43185000000.0,548625000000.0,,,,,,,,,,,,,,39337000000.0,,5.96,5.96,,11469000000.0,9559000000.0,17632000000.0,,16053000000.0,,67051000000.0,,,3410000000.0,101788000000.0,,13367000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,,,1976000000.0,-167000000.0,2265000000.0,67051000000.0,,,,,,11342000000.0,-1084000000.0,,,7961000000.0,,1636000000.0,4420000000.0,,,,,1912647555.0,1795000000.0,,537090000000.0,11563000000.0,,,,11342000000.0,-9942000000.0,,26673000000.0,,-22402000000.0,,-48970000000.0,1912647555.0,,42571000000.0,580820000000.0,,,,,,,26052000000.0,,,,,,,21888000000.0,,5.93,5.93,,11023000000.0,9559000000.0,26840000000.0,,23246000000.0,,65513000000.0,,,4661000000.0,9201000000.0,,13358000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,2214000000.0,-379000000.0,2547000000.0,65513000000.0,,,,,,12038000000.0,23850000000.0,,,17568000000.0,,2070000000.0,3157000000.0,,,,,1910793651.0,2049000000.0,,620366000000.0,11730000000.0,,,,12038000000.0,-9942000000.0,,53162000000.0,,-22906000000.0,,-101609000000.0,1910793651.0,,46981000000.0,669064000000.0,,,,,,,29044000000.0,,,,,,,69317000000.0,,6.3,6.3,,9248000000.0,9559000000.0,53541000000.0,,26158000000.0,,90275000000.0,,,6635000000.0,9390000000.0,,14395000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,,2684000000.0,-540000000.0,6650000000.0,90275000000.0,,,,,,18242000000.0,21849000000.0,,,19687000000.0,,2889000000.0,0.0,,,,,1911842736.0,2865000000.0,,689543000000.0,18242000000.0,,,,18606000000.0,-9942000000.0,,20530000000.0,,8852000000.0,,-91197000000.0,1911842736.0,,56456000000.0,745999000000.0,,,,,,,38609000000.0,,,,,,,91813000000.0,,9.54,9.54,17789000000.0,6794000000.0,9559000000.0,21070000000.0,,24439000000.0,,113474000000.0,,,-2366000000.0,129893000000.0,,21471000000.0,,279455000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,2428000000.0,-666000000.0,6795000000.0,113474000000.0,,,,,,14099000000.0,-34663000000.0,,,9940000000.0,-2492000000.0,3056000000.0,0.0,,,,,1911842736.0,1779000000.0,,710542000000.0,14099000000.0,-9646000000.0,0.0,,14099000000.0,-12045000000.0,,-87496000000.0,,64608000000.0,,-80210000000.0,1911842736.0,,51626000000.0,762168000000.0,,492000000.0,,,,,32518000000.0,,,-90765000000.0,,,329000000.0,136657000000.0,,7.37,7.37,13725000000.0,7090000000.0,9559000000.0,-86830000000.0,,23563000000.0,,76116000000.0,,,0.0,94401000000.0,9582000000.0,15878000000.0,,313320000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,,2748000000.0,-312000000.0,6676000000.0,76116000000.0,767744000000.0,,,,,13221000000.0,57236000000.0,,,2367000000.0,,4214000000.0,0.0,41352000000.0,,,58224000000.0,1911842736.0,2256000000.0,,767744000000.0,13221000000.0,,-3000000.0,,13221000000.0,-12045000000.0,,65503000000.0,,3592000000.0,,-50155000000.0,1911842736.0,,58224000000.0,825968000000.0,,,,,,,41352000000.0,,7178000000.0,,328825000000.0,,,48797000000.0,,6.92,6.92,13324000000.0,7178000000.0,9559000000.0,65815000000.0,126637000000.0,20000000000.0,,136759000000.0,,,0.0,126637000000.0,,15477000000.0,9559000000.0,328825000000.0,825968000000.0,4214000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,806867000000.0,,,,,,,,,,,,,40474000000.0,,,64220000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12853000000.0,,313001000000.0,,,,,,,,,,,134776000000.0,,,,,,,,,,9559000000.0,,871087000000.0,4706000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,2917000000.0,-915000000.0,7355000000.0,136759000000.0,846899000000.0,,,,14561000000.0,14917000000.0,-24946000000.0,,,2207000000.0,,5394000000.0,0.0,42966000000.0,,,70012000000.0,1911842736.0,2428000000.0,,846899000000.0,14917000000.0,-14824000000.0,-2626000000.0,,14917000000.0,-9942000000.0,,-31013000000.0,,13648000000.0,,-28514000000.0,1911842736.0,,70012000000.0,916911000000.0,,806000000.0,,,,,42966000000.0,,14561000000.0,-33611000000.0,253787000000.0,,,43616000000.0,,7.8,7.8,14085000000.0,14561000000.0,9559000000.0,-30098000000.0,154975000000.0,21440000000.0,-4516000000.0,118560000000.0,,,0.0,154975000000.0,14561000000.0,17345000000.0,9559000000.0,253787000000.0,916911000000.0,5394000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
