,annualEndCashPosition,annualTaxProvision,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualBasicAverageShares,quarterlyEndCashPosition,trailingCostOfRevenue,trailingTotalRevenue,annualOtherCurrentAssets,annualCostOfRevenue,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,trailingOperatingIncome,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingTaxProvision,quarterlyEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,annualInvestmentsAndAdvances,annualChangeInWorkingCapital,annualOperatingExpense,annualFreeCashFlow,trailingNetIncomeContinuousOperations,quarterlyFreeCashFlow,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyDilutedAverageShares,annualCashAndCashEquivalents,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCurrentAssets,annualBasicEPS,trailingFreeCashFlow,trailingPretaxIncome,annualTotalAssets,quarterlyLongTermDebt,annualAccountsReceivable,annualCurrentAssets,annualBeginningCashPosition,annualCashDividendsPaid,annualLongTermDebt,quarterlyChangeInInventory,annualDilutedAverageShares,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,annualNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherNonCashItems,annualStockholdersEquity,trailingRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyGrossProfit,annualDepreciationAndAmortization,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingChangeInAccountPayable,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,annualDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,annualStockBasedCompensation,quarterlyInventory,trailingOperatingCashFlow,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,annualCapitalStock,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualNetPPE,quarterlyCommonStockIssuance,annualOtherIntangibleAssets,quarterlyInterestExpense,annualGrossProfit,quarterlyBasicAverageShares,quarterlyCurrentDebt,annualInventory,annualCurrentLiabilities,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,trailingPurchaseOfBusiness,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,trailingCashDividendsPaid,trailingInterestExpense,trailingBeginningCashPosition,quarterlyTotalAssets,annualInterestExpense,annualGoodwill,trailingNetIncome,annualPretaxIncome,trailingChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,annualChangesInAccountReceivables,annualGrossPPE,trailingInvestingCashFlow,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyAccountsPayable,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualRepaymentOfDebt,quarterlyDilutedEPS,trailingChangeInWorkingCapital,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalExpenditure,annualTotalRevenue,trailingStockBasedCompensation,trailingGrossProfit,annualPurchaseOfInvestment,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyIncomeTaxPayable,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,0.0,9200000.0,800000.0,,,,41860465.0,,,,14100000.0,59900000.0,,,2700000.0,,,,,,,,,,,,,,,116400000.0,,,,28200000.0,0.0,,,,,,,,23000000.0,,,,,9000000.0,,,0.215,,,152900000.0,,,133100000.0,0.0,,500000.0,,41860465.0,9000000.0,,,,,2300000.0,26500000.0,,,9000000.0,,,,,,,36500000.0,,,,,,,,39700000.0,,,,,,0.215,,,,,,,,,,,,,,3700000.0,19800000.0,,,0.0,9400000.0,,8100000.0,,44600000.0,,,,113700000.0,,,,,,18100000.0,,,,,,,,,2200000.0,,,23000000.0,,,,,,,1900000.0,,,18200000.0,,,,,15200000.0,,,,,,,,-5800000.0,,,,,,,,,,16400000.0,,,104500000.0,,,,,0.0,,112900000.0,,,,,,,,,,,,,,,,
347068800,0.0,9200000.0,4700000.0,,,,41960784.0,,,,15900000.0,86000000.0,,,8300000.0,,,,,,,,,,,,,,,129600000.0,,,,39900000.0,0.0,,,,,,,,4300000.0,,,,,10700000.0,,,0.255,,,174600000.0,,,141700000.0,0.0,,1600000.0,,41960784.0,10700000.0,,,,,3300000.0,36900000.0,,,10700000.0,,,,,,,45000000.0,,,,,,,,45000000.0,,,,,,0.255,,,,,,,,,,,,,,4200000.0,32900000.0,,,0.0,12400000.0,,17200000.0,,59100000.0,,,,121300000.0,,,,,,22200000.0,,,,,,,,,6700000.0,,,4300000.0,,,,,,,3300000.0,,,19900000.0,,,,,20800000.0,,,,,,,,-8400000.0,,,,,,,,,,19200000.0,,,145100000.0,,,,,0.0,,116600000.0,,,,,,,,,,,,,,,,
378604800,0.0,12200000.0,6300000.0,,,,43673469.0,,,,19300000.0,93600000.0,,,7900000.0,,,,,,,,,,,,,,,167500000.0,,,,46100000.0,0.0,,,,,,,,8200000.0,,,,,10700000.0,,,0.245,,,217600000.0,,,180300000.0,0.0,,1900000.0,,43673469.0,10700000.0,,,,,5100000.0,43000000.0,,,10700000.0,,,,,,,50100000.0,,,,,,,,50100000.0,,,,,,0.245,,,,,,,,,,,,,,3100000.0,37300000.0,,,0.0,14400000.0,,17800000.0,,68200000.0,,,,159600000.0,,,,,,25200000.0,,,,,,,,,6000000.0,,,8200000.0,,,,,,,2300000.0,,,22900000.0,,,,,24300000.0,,,,,,,,-9900000.0,,,,,,,,,,22100000.0,,,161800000.0,,,,,0.0,,153300000.0,,,,,,,,,,,,,,,,
410140800,0.0,11200000.0,7600000.0,,,,47878788.0,,,,23700000.0,109800000.0,,,6800000.0,,,,,,,,,,,,,,,173800000.0,,,,58900000.0,0.0,,,,,,,,10400000.0,,,,,7900000.0,,,0.165,,,230200000.0,,,186200000.0,0.0,,1900000.0,,47878788.0,7900000.0,,,,,7900000.0,55200000.0,,,7900000.0,,,,,,,56400000.0,,,,,,,,56200000.0,,,,,,0.165,,,,,,,,,,,,,,3500000.0,44000000.0,,,0.0,18200000.0,,17900000.0,,75300000.0,,,,167000000.0,,,,,,20100000.0,,,,,,,,,4900000.0,,,10400000.0,,,,,,,1100000.0,,,19100000.0,,,,,31500000.0,,,,,,,,-13300000.0,,,,,,,,,,16400000.0,,,185100000.0,,,,,0.0,,159400000.0,,,,,,,,,,,,,,,,
441676800,0.0,8400000.0,17400000.0,,,,47407407.0,,,,27900000.0,118000000.0,,,7000000.0,,,,,,,,,,,,,,,209100000.0,,,,67700000.0,0.0,,,,,,,,11900000.0,,,,,6400000.0,,,0.135,,,267400000.0,,,215300000.0,0.0,,3700000.0,,47407407.0,6400000.0,,,,,9700000.0,63600000.0,,,6400000.0,,,,,,,58300000.0,,,,,,,,58300000.0,,,,,,0.135,,,,,,,,,,,,,,3700000.0,52100000.0,,,0.0,21700000.0,,20700000.0,,80500000.0,,,,202100000.0,,,,,,16900000.0,,,,,,,,,3300000.0,,,11900000.0,,,,,,,1700000.0,,,14800000.0,,,,,37100000.0,,,,,,,,-15400000.0,,,,,,,,,,12800000.0,,,198500000.0,,,,,0.0,,184700000.0,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,46700000.0,,,,,,,,,,,,,,46700000.0,,48504000.0,,,,,,,46700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,48504000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,58600000.0,,,,,,,,,,,,,,58600000.0,,42568000.0,,,,,,,58600000.0,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,4100000.0,,,,,,,,,,,,,,,,,,,,,,,42568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,46400000.0,,,,,,,,,,,,,,46400000.0,,42568000.0,,,,,,,46400000.0,,,,,,,,,,,,,,,,,,,,,,-0.015,,,,,,,,,,,,,,,,,,,,,,,-700000.0,,,,,,,,,,,,,,,,,,,,,,,42568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,0.0,11000000.0,12600000.0,,,,45789474.0,,,,26400000.0,126500000.0,,,23600000.0,,,,,,,,,,,-133000000.0,219000000.0,,,219000000.0,,,,68000000.0,0.0,,,,62100000.0,61500000.0,,,10000000.0,,,40800000.0,195400000.0,8700000.0,-133000000.0,205500000.0,0.19,,,259700000.0,16000000.0,,205500000.0,0.0,,16000000.0,,45789474.0,8700000.0,26400000.0,,,,9000000.0,63200000.0,3300000.0,,8700000.0,,23600000.0,,,,,40700000.0,,,,,,,,62100000.0,,40700000.0,,,,0.19,4000000.0,,,,-17300000.0,4300000.0,,,,23500000.0,,,,4100000.0,54200000.0,10000000.0,10000000.0,0.0,23500000.0,,21700000.0,,86700000.0,,12600000.0,,195400000.0,,,,9000000.0,,23500000.0,4300000.0,,,,21700000.0,,,,3300000.0,,,10000000.0,,,,,,259700000.0,3100000.0,,,19700000.0,,182800000.0,54200000.0,,40800000.0,,,,,,,,-17300000.0,,,,,,,,,,18700000.0,,,213200000.0,,,,,0.0,,182800000.0,,,,,,,,,,,,,,,,
