,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyOperatingExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyPretaxIncome,annualCapitalStock,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,trailingInterestExpense,quarterlyNetOtherInvestingChanges,annualBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,annualOtherNonCashItems,annualTotalNonCurrentAssets,quarterlySaleOfInvestment,annualGrossPPE,annualSellingGeneralAndAdministration,quarterlyInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,quarterlyResearchAndDevelopment,trailingNetIncomeContinuousOperations,trailingOperatingExpense,quarterlyChangeInWorkingCapital,annualPurchaseOfBusiness,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,annualDilutedAverageShares,annualPurchaseOfInvestment,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyBasicEPS,annualCapitalExpenditure,trailingNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyTaxProvision,annualInventory,trailingNetIncome,trailingCashDividendsPaid,annualChangeInInventory,annualNetOtherFinancingCharges,annualInterestExpense,trailingBeginningCashPosition,quarterlyNetPPE,trailingCostOfRevenue,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,annualDilutedEPS,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,annualTotalRevenue,trailingResearchAndDevelopment,quarterlyFreeCashFlow,trailingFreeCashFlow,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualNetOtherInvestingChanges,quarterlyTotalAssets,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,annualTaxProvision,annualTotalAssets,trailingPurchaseOfInvestment,annualPretaxIncome,annualCashDividendsPaid,annualCurrentDebt,quarterlyTotalNonCurrentAssets,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualNetIncome,trailingTotalRevenue,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,annualOtherCurrentAssets,annualBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualSaleOfInvestment,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,annualCashAndCashEquivalents,annualAccountsReceivable,annualDepreciationAndAmortization,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyChangeInInventory,annualBasicAverageShares,annualOperatingCashFlow,trailingNetOtherInvestingChanges,quarterlyDilutedEPS,annualCurrentAssets,quarterlyCostOfRevenue,annualEbitda,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,annualNetPPE,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,annualCurrentAccruedExpenses,trailingOtherIncomeExpense,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,annualAccumulatedDepreciation,trailingOtherNonCashItems,trailingOperatingCashFlow,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,trailingBasicEPS,trailingChangeInWorkingCapital,quarterlyStockBasedCompensation,annualOtherIncomeExpense,trailingCommonStockIssuance,annualGoodwill,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,trailingRepurchaseOfCapitalStock,annualCurrentDeferredRevenue,trailingChangeInAccountPayable,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,trailingChangesInAccountReceivables,trailingBasicAverageShares,quarterlyGoodwill,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,trailingDepreciationAndAmortization,annualStockBasedCompensation
851990400,847065000.0,,2536225000.0,6455300000.0,,,,184649000.0,,6455300000.0,,,,,0.0,,10581509000.0,,,,,-226636000.0,2536225000.0,1909369000.0,2536225000.0,,,,11201447000.0,,9973873000.0,397253000.0,,,441607000.0,,,,,,857018000.0,,81165000.0,,,,,,,9973873000.0,,,,,,,,2220475000.0,,,,,123319000.0,,9973873000.0,,,,,0.0,0.010069,0.0,,,,685883000.0,,304458000.0,5999464000.0,,,6753157000.0,0.0,4549051000.0,,244276000.0,1450413000.0,6108570000.0,6794453000.0,,,,304458000.0,,,17954604000.0,,,,14118000.0,17954604000.0,,95283000.0,,1909369000.0,11201447000.0,,1265764000.0,81165000.0,,857018000.0,,,-226636000.0,0.010069,184649000.0,,,,,5999464000.0,10581509000.0,,2536225000.0,1248675000.0,,1265764000.0,,332020000.0,,,,,,2220475000.0,,,,,,6753157000.0,,218602000.0,,1248675000.0,9973873000.0,4549051000.0,332020000.0,847065000.0,81165000.0,1450413000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,6455300000.0,,,,,,,,,,,,,11971432000.0,,,,,6500277000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10261764000.0,,,,,,,,,,,,,,,10261764000.0,,,,,4421928000.0,,,,,,,,317490000.0,,,,6500277000.0,,4421928000.0,,,1519206000.0,,,,,,,,,17912566000.0,,,,,,,,,,11412289000.0,,,,,,,,,,1519206000.0,,,,,5941134000.0,,,,,,,,1150525000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,834663000.0,,2094960000.0,6455300000.0,,,,161388000.0,,6455300000.0,,,,,155145000.0,,10643131000.0,,,,,-236636000.0,2090652000.0,1915586000.0,2094960000.0,,,,11715938000.0,,10572286000.0,471700000.0,,,514052000.0,,,,,,791745000.0,,61622000.0,,,,,,,10572286000.0,,,,,,,,2309210000.0,,,,,199942000.0,,10572286000.0,,,,,155145000.0,0.007645,4308000.0,,,,806050000.0,,353756000.0,5875845000.0,,,6176669000.0,4308000.0,4194343000.0,,291998000.0,1681502000.0,5858288000.0,6664338000.0,,,,353756000.0,,,17892607000.0,,,,10875000.0,17892607000.0,,72497000.0,,1915586000.0,11715938000.0,,1520114000.0,61622000.0,,791745000.0,,,-236636000.0,0.007645,161388000.0,,,,,5875845000.0,10643131000.0,,2090652000.0,1152374000.0,,1520114000.0,,268308000.0,,,,,,2309210000.0,,,,,,6176669000.0,,272439000.0,,1152374000.0,10572286000.0,4194343000.0,268308000.0,834663000.0,61622000.0,1681502000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,825578000.0,,,6455300000.0,,,,,,,,,,,,,10652235000.0,,,,,-246328000.0,1751755000.0,1544272000.0,1751755000.0,,,,,,,,,,,,,,,,927651000.0,,,,,,,,,10698074000.0,,,,,,,,,,,,,,,10698074000.0,,,,,52798000.0,,,,,,,,362859000.0,,,,6387445000.0,,3992289000.0,,,2182213000.0,,,,,,,,,18200368000.0,,,,,,,,,,11812923000.0,,,,,,,,,,173452000.0,,,,,6174502000.0,,,,,,2008761000.0,,93961000.0,,,,,,2472863000.0,,,,,,,,,,1260158000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,816493000.0,,1376830000.0,6455300000.0,,,,1486148000.0,,6455300000.0,,,,-1373777000.0,140407000.0,281573000.0,10475190000.0,,,778859000.0,,-278327000.0,1350726000.0,1926675000.0,1376830000.0,,,336794000.0,12039454000.0,,10957845000.0,322156000.0,,,358077000.0,,,,,,1015564000.0,,-167941000.0,,,,,,-3858000.0,10957845000.0,,-61200000.0,,-841962000.0,,,,2483570000.0,,,-174360000.0,0.0,250292000.0,,10957845000.0,,,,,140407000.0,-0.020834,26104000.0,-494688000.0,,,639726000.0,,185815000.0,7329975000.0,-287823000.0,,5765711000.0,26104000.0,4162173000.0,,281649000.0,3167802000.0,5615642000.0,6255368000.0,,,,185815000.0,,777983000.0,17805165000.0,,,1060432000.0,835000.0,17805165000.0,,-167106000.0,-426407000.0,1926675000.0,12039454000.0,,1681654000.0,-167941000.0,,1015564000.0,,,-278327000.0,-0.020834,1486148000.0,,,,,7329975000.0,10475190000.0,,1350726000.0,1010026000.0,538115000.0,1681654000.0,,260121000.0,,,,,,2483570000.0,,,554139000.0,,,5765711000.0,,621301000.0,,1010026000.0,10957845000.0,4162173000.0,260121000.0,816493000.0,-167941000.0,3167802000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,807408000.0,,,6455300000.0,,,,,,,,,,,,,10416148000.0,,,,,-265084000.0,1394983000.0,1997841000.0,1394983000.0,,,,,,,,,,,,,,,,1131178000.0,,,,,,,,,10941396000.0,,,,,,,,,,,,,,,10941396000.0,,,,,55195000.0,,,,,,,,126772000.0,,,,5861001000.0,,4509396000.0,,,1544155000.0,,,,,,,,,17843330000.0,,,,,,,,,,11982329000.0,,,,,,,,,,141345000.0,,,,,6053551000.0,,,,,,1402810000.0,,88009000.0,,,,,,2348960000.0,,,,,,,,,,1184075000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,798323030.0,,1355858167.0,6455300000.0,,,,125969158.0,,6455300000.0,,,,-2200715482.0,380630829.0,-92707260.0,11861932230.0,,,1008537654.0,,-335789689.0,1355858167.0,1758924395.0,1355858167.0,,,283921543.0,12087142265.0,,11088509217.0,472187332.0,,,517013418.0,,,,,,806598658.0,,13111758.0,,,,,,,11088509217.0,,-695034712.0,,-636329948.0,,,,2097566499.0,,,368004240.0,0.0,186929871.0,,11088509217.0,,,,,380630829.0,0.001627,0.0,126727281.0,,,647795727.0,,196591475.0,5437694307.0,472649700.0,,5212484272.0,0.0,4051581308.0,,130782309.0,1386112999.0,6021316865.0,6669112592.0,,,,196591475.0,,-97840285.0,17299626537.0,,,915830394.0,269705.0,17299626537.0,,13381463.0,-300396100.0,1758924395.0,12087142265.0,,1260143841.0,13111758.0,,806598658.0,,,-335789689.0,0.001627,125969158.0,,,33413556.0,,5437694307.0,11861932230.0,,1355858167.0,888766651.0,583239314.0,1260143841.0,,31206870.0,,,,,,2097566499.0,,,1108979648.0,,,5212484272.0,,783550648.0,,888766651.0,11088509217.0,4051581308.0,31206870.0,798323030.0,13111758.0,1386112999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,789238096.0,,,6455300000.0,,,,,,,,,,,,,11925405799.0,,,,,-360481689.0,1354095713.0,1706461700.0,1354095713.0,,,,,,,,,,,,,,,,620514147.0,,,,,,,,,10959884974.0,,,,,,,,,,,,,,,10959884974.0,,,,,428173669.0,,,,,,,,260065044.0,,,,5385237373.0,,4100583368.0,,,1303126864.0,,,,,,,,,17329116031.0,,,,,,,,,,11943878658.0,,,,,,,,,,131334695.0,,,,,5403710232.0,,,,,,1171792169.0,,31206870.0,,,,,,2120124638.0,,,,,,,,,,953739676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,780409605.0,,1619002577.0,6455300000.0,,,,267890050.0,,6455300000.0,,,,-2251990694.0,653320416.0,458515475.0,11887984856.0,,,1600514875.0,,-359258958.0,1619002577.0,1398110315.0,1619002577.0,,,175808589.0,11790304266.0,,10868685874.0,465924269.0,,,529901762.0,,,,,,698846377.0,,176031047.0,,,,,,-251330539.0,10868685874.0,,-329707257.0,,-557980730.0,,,,2019327342.0,,,78239157.0,-206272129.0,203494052.0,,10868685874.0,,,,,653320416.0,0.021838,0.0,268642025.0,,,1253432734.0,,187891056.0,4969284682.0,909592636.0,,5066965272.0,0.0,3826231765.0,,723530972.0,1143052917.0,6929955883.0,8183388617.0,,,,187891056.0,,440027773.0,16857269538.0,,,2059030350.0,21056682.0,16857269538.0,,197087729.0,,1398110315.0,11790304266.0,,875162867.0,176031047.0,,698846377.0,,,-359258958.0,0.021838,267890050.0,,,39576239.0,,4969284682.0,11887984856.0,,1619002577.0,792766746.0,754297444.0,875162867.0,,24218870.0,,,,,,2019327342.0,,,1467573366.0,,,5066965272.0,,1154879225.0,,792766746.0,10868685874.0,3826231765.0,24218870.0,780409605.0,176031047.0,1143052917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,886915986.0,,,6455300000.0,,,,,,,,,,,,,10521459347.0,,,,,4308000.0,1702423715.0,1148773550.0,1802423715.0,,,,,,,,,,,,,,,,837764812.0,,,,,,,,,10526929814.0,,,,,,,,,,,,,,,10526929814.0,,,,,660056985.0,,100000000.0,,,,,,194996460.0,,,,5746273066.0,,4042884003.0,,,1258753101.0,,,,,,,,,17196727364.0,,,,,,,,,,11450454298.0,,,,,,,,,,215706888.0,,,,,5301637104.0,,,,,,780126213.0,,24218870.0,,,,,,2149179143.0,,,,,,,,,,383864042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
