date,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualInvestmentsAndAdvances,annualDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCapitalExpenditure,trailingOperatingExpense,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,trailingDeferredIncomeTax,annualTaxProvision,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInInventory,trailingBeginningCashPosition,annualChangesInAccountReceivables,trailingChangesInAccountReceivables,trailingCostOfRevenue,annualInterestExpense,annualDilutedEPS,quarterlyDilutedEPS,trailingChangeInAccountPayable,annualTotalRevenue,trailingResearchAndDevelopment,annualCurrentAssets,quarterlyStockBasedCompensation,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyEbitda,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualResearchAndDevelopment,annualOtherNonCurrentAssets,quarterlyEndCashPosition,quarterlyOtherNonCashItems,quarterlyInvestingCashFlow,annualAccumulatedDepreciation,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualBasicAverageShares,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyPretaxIncome,annualRetainedEarnings,quarterlyPurchaseOfBusiness,trailingNetIncomeCommonStockholders,trailingNetIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyBasicAverageShares,annualCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualOtherCurrentAssets,annualNetIncome,quarterlyOtherCurrentAssets,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualFreeCashFlow,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,trailingTaxProvision,trailingPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualStockholdersEquity,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualOtherNonCashItems,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyLongTermDebt,trailingCashDividendsPaid,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,annualCapitalStock,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCurrentDeferredRevenue,annualPurchaseOfInvestment,quarterlyInventory,quarterlyOtherCurrentLiabilities,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualNetPPE,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyOperatingExpense,trailingChangeInInventory,quarterlyCostOfRevenue,annualGrossProfit,annualOperatingCashFlow,annualStockBasedCompensation,annualGoodwill,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,annualRepaymentOfDebt,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,trailingRepaymentOfDebt,annualOperatingIncome,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingGrossProfit,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,annualPretaxIncome,trailingInterestExpense,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingTotalRevenue,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,annualOtherIncomeExpense,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,trailingOperatingIncome,annualGrossPPE,quarterlyOtherIntangibleAssets,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCurrentDebt,trailingEndCashPosition,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualBasicEPS,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,trailingBasicAverageShares,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingDilutedAverageShares
1990-06-30,,,,,,,,,-2606000000.0,,,,,,2678000000.0,,13465000000.0,-127000000.0,,,4308000000.0,,,-517000000.0,,100000.0,100000.0,,14569000000.0,,146000000.0,4562000000.0,,,-0.003125,36000000.0,,9157000000.0,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,2693000000.0,2693000000.0,,,,,,,8039000000.0,232000000.0,320000000.0,,,,,,,,,,,,,,,1412000000.0,,1597000000.0,-1119000000.0,,,,,,,5163000000.0,,,,-1000000.0,654000000.0,,-1000000.0,,,,-0.003125,,,,29797000000.0,,-3157000000.0,,,,,,,,,,8909000000.0,,,,,,,,-154000000.0,,,,,,,,,-758000000.0,,,,,,,320000000.0,-2750000000.0,,,,17803000000.0,,,,4275000000.0,,1009000000.0,,,,-1000000.0,,,-870000000.0,22365000000.0,946000000.0,-28850000000.0,,,-5095000000.0,,,4338000000.0,,,,-5513000000.0,,9557000000.0,,-8408000000.0,,,,,,,,,
1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0,,,,,,,,-0.00375,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,,,-1000000.0,,,,-0.00375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266666667.0,,,,,,,,,,,,,,,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0,,,,,,,,-0.003125,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900000.0,,,-900000.0,,,,-0.003125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288000000.0,,,,,,,,,,,,,,,-900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-31,,2300000.0,300000.0,,304761905.0,,,,,,-4000000.0,6900000.0,,,,-300000.0,,,,3400000.0,,,10300000.0,,,-4900000.0,1200000.0,,,,,,100000.0,-0.013125,,,1300000.0,,10400000.0,,-4000000.0,,-4900000.0,,500000.0,,,200000.0,,,,-1500000.0,7800000.0,,,0.0,500000.0,900000.0,-9800000.0,,304761905.0,,1800000.0,,-9800000.0,,,,10200000.0,10400000.0,,12500000.0,2300000.0,,,,,,0.0,,300000.0,,-1500000.0,100000.0,-4000000.0,100000.0,5300000.0,500000.0,800000.0,-2700000.0,2100000.0,,6100000.0,,,,,10200000.0,200000.0,,-100000.0,,,,,-1000000.0,,-300000.0,-1000000.0,,,,,,7700000.0,800000.0,,500000.0,,,,19900000.0,,1900000.0,,,,1200000.0,,,,1900000.0,,,1800000.0,,,,2100000.0,-2400000.0,,,,,,,,19900000.0,-4000000.0,,,0.0,,,-4800000.0,1200000.0,0.0,,,5000000.0,10300000.0,,,,,12500000.0,0.0,-1000000.0,10300000.0,10300000.0,,,,,800000.0,,,,2100000.0,,3400000.0,,300000.0,,300000.0,,,,-0.013125,,,,,,,,
1991-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,200000.0,,,,,,,,-0.003125,,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900000.0,,,,,,,-0.003125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,200000.0,,,,,,,,-0.003125,,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-900000.0,,,,,,,-0.003125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,500000.0,,,,,,,,-0.004375,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1300000.0,,,,,,,-0.004375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-31,,3100000.0,400000.0,,360000000.0,,,,,,-4500000.0,10100000.0,,,,-500000.0,,,,4500000.0,,,87900000.0,,,-7200000.0,1900000.0,,,,,,100000.0,-0.0125,,,2800000.0,,106200000.0,,-4500000.0,,-7200000.0,,700000.0,,,300000.0,,,,-2300000.0,99700000.0,,,0.0,700000.0,-100000.0,-14300000.0,,360000000.0,,2400000.0,,-14300000.0,,,,105600000.0,106200000.0,,108700000.0,3100000.0,,,,,,0.0,,300000.0,,-2300000.0,18300000.0,-4500000.0,18300000.0,10300000.0,700000.0,1000000.0,-4200000.0,2500000.0,,9100000.0,,,,,105600000.0,300000.0,,,,,,,-1300000.0,,-18000000.0,,,,,,,99300000.0,1000000.0,,700000.0,,,,,,2200000.0,,-17500000.0,,1700000.0,,,,2200000.0,,,2400000.0,,,,3800000.0,-3700000.0,,,,,,,,,-5300000.0,,,0.0,,,-6300000.0,1700000.0,0.0,,,77600000.0,87900000.0,,,,,108700000.0,0.0,,87900000.0,87900000.0,,,,,1900000.0,,,,2500000.0,,4500000.0,,400000.0,,300000.0,,,,-0.0125,,,,,,,,
1992-06-30,,2600000.0,500000.0,,,,-700000.0,,,1500000.0,,,,,,,,,,4800000.0,,,,,,-2800000.0,1100000.0,,,,,,,,-0.00375,,,,,,,,-2400000.0,,,,,,0.0,,-67800000.0,,,,,,800000.0,,-16000000.0,,,,1800000.0,,,,,,104000000.0,103800000.0,3900000.0,,,0.0,,,480000000.0,,100000.0,,,,-2300000.0,,,85900000.0,,,,,,,,,,0.0,-100000.0,,300000.0,,,,,,,-1800000.0,,,-1800000.0,-2100000.0,-300000.0,,-0.00375,,,,,700000.0,,,-70000000.0,,,2500000.0,,,,900000.0,,1000000.0,,,,,,4300000.0,,400000.0,,,,,,,,,87900000.0,,,,-2400000.0,,480000000.0,,,,,,,,,,,,,106600000.0,,-1800000.0,17900000.0,17900000.0,,,,,,,,-67500000.0,2800000.0,,,,,,400000.0,,,,,,400000.0,,,,,,
1992-09-30,,5500000.0,300000.0,,,,3100000.0,,,1400000.0,,,,,,,,,,4800000.0,,,,,,-3700000.0,1000000.0,,,,,,,,-0.005625,,,,,,,,-3300000.0,,,,,,0.0,,-16700000.0,,,,,,1000000.0,,-18800000.0,,,,4500000.0,,,,,,101600000.0,104200000.0,4700000.0,,,0.0,,,480000000.0,,0.0,,,,-2300000.0,,,101900000.0,,,,,,,,,,100000.0,400000.0,,400000.0,,,,,,,-2700000.0,,,-2700000.0,700000.0,-200000.0,,-0.005625,,,,,1000000.0,,,-15700000.0,,,2500000.0,,,,3700000.0,,1000000.0,,,,,,5100000.0,,400000.0,,,,,,,,,0.0,,,,500000.0,,480000000.0,,,,,,,,,,,,,107100000.0,,-2700000.0,2300000.0,2300000.0,,,,,,,,-16500000.0,2900000.0,,,,,,500000.0,,,,,,400000.0,,,,,,
