date,annualPurchaseOfBusiness,quarterlyInterestExpense,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,annualStockholdersEquity,quarterlyBasicEPS,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingOperatingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyNetPPE,annualOtherIntangibleAssets,quarterlyTaxProvision,annualGoodwill,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualNetPPE,annualOperatingCashFlow,annualInventory,annualCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualOtherNonCurrentLiabilities,annualEbitda,trailingNetOtherInvestingChanges,annualRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,annualBasicEPS,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingGrossProfit,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,trailingTotalRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfInvestment,trailingCapitalExpenditure,annualEndCashPosition,annualOperatingIncome,annualPretaxIncome,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,trailingOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,trailingEndCashPosition,annualOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,trailingInvestingCashFlow,annualGrossPPE,annualAccountsPayable,quarterlyCurrentDebt,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,annualDilutedAverageShares,annualOperatingExpense,quarterlyGrossProfit,quarterlyGrossPPE,annualTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,trailingDeferredIncomeTax,annualCapitalExpenditure,annualCurrentAssets,quarterlyOtherNonCashItems,annualTotalRevenue,annualDilutedEPS,trailingBeginningCashPosition,trailingOperatingExpense,annualInterestExpense,trailingCostOfRevenue,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyEndCashPosition,annualOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyCashDividendsPaid,annualNetOtherFinancingCharges,annualBasicAverageShares,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingNetIncome,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyCurrentLiabilities,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDebt,quarterlyRepaymentOfDebt,annualNetIncome,annualCashDividendsPaid,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingTaxProvision,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,annualNonCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,annualIncomeTaxPayable,annualStockBasedCompensation,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingSellingGeneralAndAdministration,annualChangeInAccountPayable,trailingDilutedEPS,trailingChangesInAccountReceivables,annualResearchAndDevelopment,annualChangesInAccountReceivables,trailingDilutedAverageShares,annualCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
1996-03-31,,,,,,,-1557000000.0,,0.067234,,-37330000000.0,,7736000000.0,,,,,,48366551.724138,,48366551.724138,,,,6785000000.0,,,,,,,-753000000.0,,,,,,,,,,,,,,,,,,331000000.0,,719375928.0,,,,-33395000000.0,-611000000.0,,,6852000000.0,,,,16218000000.0,6155000000.0,,66013000000.0,,,-8462000000.0,-2670000000.0,,,,9959000000.0,48366551.724138,,3148000000.0,26730000000.0,,,,7690000000.0,,,,-148000000.0,,-33663000000.0,,,,,6744000000.0,1078225068.965517,,,,,,-328000000.0,,,,,,,,4955000000.0,1078225068.965517,,,-1671000000.0,,,,,,7839000000.0,6259000000.0,,49795000000.0,,,,,,,0.067234,,,,,,1078225068.965517,,,,,,,,,,,3845000000.0,4115000000.0,11000000.0,,,,,,3642000000.0,,,,,,,,,,,,719375928.0,,,-589000000.0,,4494000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,0.05539,,,,,,,,,,45139907.739621,,45139907.739621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814941024.0,,,,,,,,,,,,,,,,,,,,,,,,45139907.739621,,,,,,,,,,,,,,,,,,,1098937051.328989,,,,,,,,,,,,,,,1098937051.328989,,,,,,,,,,,,,,,,,,,0.05539,,,,,,1098937051.328989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814941024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,0.063309,,,,,,,,,,51272523.124358,,51272523.124358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809872808.0,,,,,,,,,,,,,,,,,,,,,,,,51272523.124358,,,,,,,,,,,,,,,,,,,1124597328.586111,,,,,,,,,,,,,,,1124597328.586111,,,,,,,,,,,,,,,,,,,0.063309,,,,,,1124597328.586111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809872808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,,,,,,,,,,,,,,,42081239.671189,,42081239.671189,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500186043.490952,,,,,,0.201819,,,,,,,,,,,,,,,,,,4500186043.490952,,,42081239.671189,,,,,,,,,,,,,,,,,187003575.598365,,1195157208.518113,,,,,,,,926588608.0,,,,,,,1195157208.518113,,,,,,,4500186043.490952,0.201819,,,,,,,,,,,,,,926588608.0,,187003575.598365,1195157208.518113,,,,,,,,,,,,,,,,,,,,,,,,,,,,187003575.598365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,,0.055453,,,,,,,,,,54587575.186608,,54587575.186608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984388330.0,,,,,,,,,,,,,,,,,,,,,,,,54587575.186608,,,,,,,,,,,,,,,,,,,95227221.537793,,,,,,,,,,,,,,,95227221.537793,,,,,,,,,,,,,,,,,,,0.055453,,,,,,95227221.537793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984388330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,0.0,,,,,,,,,,54060838.546552,,54060838.546552,,,,,,,,,2807475010.864841,,,,,,,,,,,,,,,,,,,,,,984388330.0,,,,,,7825583079.820368,,,,,,,,,,,,,,,,,,43920319.931457,7825583079.820368,,,,,,,,,,,530204259.017818,,,,,,,71982.471389,,,,,,,,,,71982.471389,,,3886715920.614226,,71982.471389,,,,,,,,,,,,,,,,,,,0.0,,,,,,71982.471389,,,,2653918586.121976,,,,3886715920.614226,,0.0,,,,0.0,,,,,,,,,,,,,,,,,984388330.0,,,,,,1079240909.749384,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,29991850.2968,,,,,,,0.057352,-22597739.987782,,999728.536268,,,,,,32841962.340103,57984243.521066,,57984243.521066,,-32122977.216646,-67667089.029785,,,,,,2588296656.29072,,,116968214.854495,66981798.175764,,,8997554.654698,,,,,,,,,-4610277.257161,,,,,,888996899.0,207881131.392148,718985.123457,,,,7294017923.845374,,,,,,,,,,,,,,,,,,50986145.214999,7294017923.845374,,,,,,,,,,,529856017.084118,,,,,,,130964412.190531,,,,,,,,,,247932627.045027,,,3599022001.592587,,247932627.045027,,,,,,-25464255.459964,,,,,,,,,30214849.432521,,258929638.77226,,0.057352,-30855989.987714,,,,,130964412.190531,,,,2664276009.845085,,,,3599022001.592587,,0.0,,,,0.0,,,264644456.402534,,,,,,,,,,,,,,888996899.0,,,,,,1010725345.301868,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,38857710.205377,-157844602.375961,1993762.305673,,,,2814229391.334731,,57935835.581986,,226776026.904617,,,,-479527904.961565,,90778803.506849,266618515.916109,100900663.172607,266618515.916109,,-29939883.584008,-207601798.11344,,-461545608.665269,,,511496431.865828,2235798856.044724,,,173487882.149051,275584036.590251,,,8965520.674142,,,,,,275728545.073375,,0.0,-80904672.562305,1165852218.728162,1229789272.536688,513494464.709993,,,,258929638.77226,60838919.92284,0.462194,,,7372741535.988819,,,,,635374473.794549,,,-102898696.016771,,,,,,205797392.732355,513494464.709993,478528888.190077,,263633567.573868,7372741535.988819,,,,,,,226776738.644305,-355574405.538007,,,511496431.865828,,,,,433573147.449336,,88609922.940773,,,,,,,,894846269.0,652357754.018169,262097805.089824,,44955740.740741,3465588128.581412,,262097805.089824,,,,-72928201.956674,0.0,-175839712.40926,1165852218.728162,0.462194,,,184818046.820405,,7992132.075472,,35918321.345475,,205797392.732355,,,-30904730.381791,67933119.496855,894846269.0,,413592817.610063,88609922.940773,,,3465588128.581412,2814229391.334731,,,,3465588128.581412,,0.0,,,,0.0,7372741535.988819,3465588128.581412,421432610.46749,,,,,308696088.749126,2235798856.044724,,,,,433573147.449336,-121880009.084556,,,,202800343.116702,,7372741535.988819,,1229789272.536688,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,45965640.718563,,15988048.608665,,,,,0.198413,-17986554.420571,,140894681.225784,,,,,,72945473.053892,184861816.132441,,184861816.132441,,,70946967.241987,,,,,,2364232736.174709,,,159880489.609017,192855840.78901,,,7994024.656569,,,,,,,,,48963399.788658,,,,,,901486646.0,207844636.139486,72945473.053892,,,,7705240332.511448,,,,,,,,,,,,,,,,,,178866297.287777,7705240332.511448,,,,,,,,,13989542.796759,,515614578.372666,,,,,,,116912607.256076,,,,,,,,,,276793096.865093,,,3601308021.838676,,276793096.865093,,,,,,-111916343.078549,,,,,,,,,-93929787.249031,,256808035.928144,,0.198413,-34973856.991899,,,,,116912607.256076,,,,3000756934.131737,,,,3601308021.838676,,0.0,,,,0.0,,,-107919330.045791,,,,,,,,,,,,,,901486646.0,,,,,,1237075285.663966,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,44025150.091893,,2022240.00341,,,,,0.039067,-14031736.369709,,0.0,,,,,,90147696.914115,41023435.436662,,41023435.436662,,,-86956112.977471,,,,,,2249284949.28868,,,150085739.568443,45025721.870533,,,4002286.433871,,,,,,,,,-13943393.662458,,,,,,896408834.0,256808035.928144,46122546.822222,,,,7432245819.20904,,,,,,,,,,,,,,,,,,35020006.1262,7432245819.20904,,,,,,,,,35038465.507645,,498284655.231094,,,,,,,107061160.574501,,,,,,,,,,257146900.142945,,,3457975437.342591,,257146900.142945,,,,,,55884333.685043,,,,,,,,,-17133659.759341,,236134896.875638,,0.039067,-34065583.481861,,,,,107061160.574501,,,,2906660488.053911,,,,3457975437.342591,,0.0,,,,0.0,,,-8146975.175093,,,,,,,,,,,,,,896408834.0,,,,,,1208690488.053911,,,,,,,,,,,,,,,,,,,,,,,,,
