,annualNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualBasicAverageShares,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,annualRetainedEarnings,quarterlyGoodwill,trailingPretaxIncome,quarterlyLongTermDebt,quarterlyTotalAssets,annualGoodwill,annualPretaxIncome,annualCommonStockIssuance,annualAccountsReceivable,annualPurchaseOfInvestment,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,annualCashDividendsPaid,trailingChangeInWorkingCapital,annualNetIncome,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,trailingChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualEndCashPosition,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,annualTotalAssets,annualBasicEPS,annualOtherNonCashItems,trailingTotalRevenue,annualStockholdersEquity,annualOtherCurrentAssets,annualLongTermDebt,annualOperatingIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,quarterlyInterestExpense,trailingEndCashPosition,quarterlyCurrentDebt,annualCurrentAccruedExpenses,annualDilutedAverageShares,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,trailingRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualNetPPE,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualEbitda,annualCurrentAssets,annualDilutedEPS,annualGrossPPE,quarterlyChangesInAccountReceivables,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualInterestExpense,annualRepaymentOfDebt,trailingChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyOperatingExpense,annualBeginningCashPosition,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCapitalExpenditure,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,trailingCapitalExpenditure,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualSellingGeneralAndAdministration,trailingInterestExpense,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,trailingChangeInInventory,trailingStockBasedCompensation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOperatingIncome,annualInventory,trailingTaxProvision,trailingNetOtherFinancingCharges,quarterlyEbitda,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,annualPurchaseOfBusiness,annualOperatingExpense,annualCostOfRevenue,annualTotalRevenue,trailingOtherNonCashItems,annualCapitalStock,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAssets,quarterlyDilutedEPS,annualAccumulatedDepreciation,annualGrossProfit,trailingFreeCashFlow,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,trailingNetIncome,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,quarterlyNetPPE,trailingNetIncomeContinuousOperations,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyTaxProvision,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,trailingBasicEPS,trailingCommonStockIssuance,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312768000,,,,53559322.0,,,,,,,,,,,,,0.0,,,,,7900000.0,,,,,,,,,,0.0,0.0,,,,0.0,0.1475,,,56300000.0,,23400000.0,259400000.0,,,49900000.0,,,,,53559322.0,,,,,,,,,,,,,,,,,,,,,,,-106200000.0,,,,0.0,,,,,259400000.0,84800000.0,0.1475,,,,,,,,,7900000.0,,,,,,,0.0,,-129600000.0,,,,,-84800000.0,,,,,,,,,,,,,,,,,,,,,7900000.0,,,,,,,,,,,,,,,,,,259400000.0,,,,,,,,,,,,,,259400000.0,,,,,,-56300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344390400,,,,53939394.0,,,48300000.0,,,,,,17200000.0,,,,0.0,,,,,8900000.0,,,,,,,,,,0.0,0.0,8300000.0,,,147600000.0,0.165,,,64600000.0,2600000.0,26000000.0,24700000.0,,7200000.0,45600000.0,,,,,53939394.0,,,,,,,,,,,,,,,,,,,,,,,37400000.0,,,8200000.0,0.0,47500000.0,2100000.0,7200000.0,,29900000.0,89800000.0,0.165,76300000.0,,,,,,,31600000.0,8900000.0,6000000.0,,,,,,0.0,,8300000.0,,,,-700000.0,57800000.0,,,,,,66800000.0,,,,,,,,,,,,,,,8900000.0,,,,,,,36800000.0,,,,14000000.0,,,,,72000000.0,200200000.0,296900000.0,,,,,,,,,,,,,-28800000.0,96700000.0,,,,,,83000000.0,,,,,,3100000.0,,,,,,,,,,,,,,,,,,,,,,,
375926400,,,,54949495.0,,,59800000.0,,,,,,26000000.0,,,,0.0,,,,,13600000.0,,,,,,,,,,0.0,0.0,12400000.0,,,158000000.0,0.2475,,,75500000.0,1900000.0,23100000.0,31300000.0,,12700000.0,47600000.0,,,,,54949495.0,,,,,,,,,,,,,,,,,,,,,,,34900000.0,,,14000000.0,0.0,47200000.0,1900000.0,12700000.0,,36700000.0,94900000.0,0.2475,77300000.0,,,,,,,35900000.0,13600000.0,5100000.0,,,,,,0.0,,8600000.0,,,,600000.0,63100000.0,,,,,,71300000.0,,,,,,,,,,,,,,,13600000.0,,,,,,,34900000.0,,,,11700000.0,,,,,76700000.0,220700000.0,328700000.0,,,,,,,,,,,,,-30100000.0,108000000.0,,,,,,82500000.0,,,,,,3200000.0,,,,,,,,,,,,,,,,,,,,,,,
407462400,,,,54603175.0,,,66900000.0,,,,,,16900000.0,,,,0.0,,,,,8600000.0,,,,,,,,,,0.0,0.0,8300000.0,,,207200000.0,0.1575,,,81300000.0,3500000.0,44100000.0,25200000.0,,14200000.0,62800000.0,,,,,54603175.0,,,,,,,,,,,,,,,,,,,,,,,63100000.0,,,15900000.0,0.0,73400000.0,1700000.0,14200000.0,,31100000.0,116200000.0,0.1575,107200000.0,,,,,,,50500000.0,8600000.0,5500000.0,,,,,,0.0,,15400000.0,,,,-2600000.0,91000000.0,,,,,,78500000.0,,,,,,,,,,,,,,,8600000.0,,,,,,,42400000.0,,,,12300000.0,,,,,84400000.0,222200000.0,331800000.0,,,,,,,,,,,,,-33800000.0,109600000.0,,,,,,125900000.0,,,,,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,
438998400,,,,55757576.0,,,78200000.0,,,,,,24300000.0,,,,0.0,,,,,13800000.0,,,,,,,,,,0.0,0.0,10500000.0,,,225900000.0,0.2475,,,91900000.0,3700000.0,51800000.0,33300000.0,,12600000.0,61100000.0,,,,,55757576.0,,,,,,,,,,,,,,,,,,,,,,,72900000.0,,,18000000.0,0.0,80700000.0,1500000.0,12600000.0,,41100000.0,125700000.0,0.2475,120400000.0,,,,,,,48000000.0,13800000.0,6600000.0,,,,,,0.0,,16400000.0,,,,-1600000.0,100200000.0,,,,,,100500000.0,,,,,,,,,,,,,,,13800000.0,,,,,,,46300000.0,,,,13100000.0,,,,,108300000.0,283900000.0,425500000.0,,,,,,,,,,,,,-39700000.0,141600000.0,,,,,,134000000.0,,,,,,4700000.0,,,,,,,,,,,,,,,,,,,,,,,
446860800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,,,,,55100000.0,,,,,,,,,,,,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55100000.0,,,,,,,,,,,,,,,,,,,,,,,,,104800000.0,,,,,,,,,,,104800000.0,,,,104800000.0,,,,,,,,,,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454809600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,,,,,55100000.0,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55100000.0,,,,,,,,,,,,,,,,,,,,,,,,,117300000.0,,,,,,,,,,,117300000.0,,,,117300000.0,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462758400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,,,,114300000.0,,,,,,,,,,,114300000.0,,,,114300000.0,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470620800,,,,56000000.0,,,87400000.0,,,51400000.0,236500000.0,,22900000.0,,,,0.0,108200000.0,,,,12600000.0,,,,,,19700000.0,,,3400000.0,0.0,0.0,9900000.0,76600000.0,,236500000.0,0.225,,,99600000.0,4200000.0,51400000.0,32200000.0,,9700000.0,60300000.0,,,18400000.0,,56000000.0,,,136900000.0,19400000.0,,,,,,,,,5500000.0,,,,,,,47700000.0,,,76600000.0,,,19400000.0,0.0,87400000.0,1400000.0,9700000.0,,40900000.0,128300000.0,0.225,132700000.0,,,,99600000.0,,,41900000.0,12600000.0,8900000.0,,,1400000.0,,,0.0,,19700000.0,,,,800000.0,108200000.0,,,,9700000.0,9700000.0,106400000.0,,,,,,,,4200000.0,,111600000.0,,,,,13000000.0,,,,,,-304200000.0,47700000.0,,,-304200000.0,18400000.0,,-45300000.0,,,115100000.0,300700000.0,448000000.0,,,,,,132700000.0,60300000.0,,,,128300000.0,,-45300000.0,147300000.0,,,,,,136900000.0,,,,,,5500000.0,,87400000.0,,,,41900000.0,,,87400000.0,,,,,,,,,,,,,,
