,timestamp,annualOtherCurrentAssets,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualTotalRevenue,annualCurrentDeferredRevenue,trailingResearchAndDevelopment,annualCostOfRevenue,annualCurrentDebt,annualOperatingIncome,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,trailingCostOfRevenue,annualEndCashPosition,trailingOperatingIncome,trailingTaxProvision,annualFreeCashFlow,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,annualOtherShortTermInvestments,quarterlyEbitda,annualNetOtherFinancingCharges,trailingEndCashPosition,annualDilutedEPS,quarterlyDepreciationAndAmortization,annualDilutedAverageShares,quarterlyPurchaseOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,annualAccountsPayable,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyFreeCashFlow,annualChangeInWorkingCapital,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyChangeInWorkingCapital,trailingNetIncome,quarterlyDilutedEPS,annualOperatingExpense,quarterlyCurrentAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,trailingFreeCashFlow,annualNetOtherInvestingChanges,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualBasicAverageShares,annualLongTermDebt,annualBeginningCashPosition,annualCurrentAssets,annualAccountsReceivable,annualNetIncome,quarterlyOtherCurrentAssets,annualCashDividendsPaid,annualSellingGeneralAndAdministration,annualSaleOfInvestment,quarterlyAccountsReceivable,annualRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualStockholdersEquity,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,annualRetainedEarnings,annualTotalAssets,quarterlyBasicEPS,annualTaxProvision,quarterlyGoodwill,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,trailingOperatingCashFlow,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyTaxProvision,annualOtherIntangibleAssets,trailingRepaymentOfDebt,quarterlyCapitalStock,annualOtherIncomeExpense,annualNetPPE,annualGrossProfit,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualOtherNonCurrentLiabilities,trailingDepreciationAndAmortization,quarterlyCommonStockIssuance,annualEbitda,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,annualPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,trailingPurchaseOfInvestment,quarterlyIncomeTaxPayable,trailingBeginningCashPosition,trailingInterestExpense,annualPretaxIncome,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,annualInterestExpense,annualGoodwill,annualBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,trailingOperatingExpense,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,annualDeferredIncomeTax,trailingInvestingCashFlow,annualGrossPPE,quarterlyBeginningCashPosition,trailingChangeInWorkingCapital,trailingStockBasedCompensation,quarterlyAccountsPayable,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,trailingGrossProfit,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingChangeInAccountPayable,trailingCashDividendsPaid,trailingBasicAverageShares,annualChangeInInventory,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,annualIncomeTaxPayable,annualInventory,trailingDeferredIncomeTax,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingDilutedEPS,trailingChangesInAccountReceivables,quarterlyInventory,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,883526400,8700000.0,,,9400000.0,,,5200000.0,,-19000000.0,,,,,0.0,,,-20200000.0,2800000.0,,,,,0.0,,-0.66,,82972000.0,,0.0,5200000.0,,,2500000.0,,,-19200000.0,,,1800000.0,,,,,,,,,,23200000.0,,,9700000.0,,,-400000.0,,,,3900000.0,82972000.0,,30000000.0,14900000.0,,-19200000.0,,,15400000.0,6900000.0,,,-19200000.0,900000.0,,,-100000.0,2600000.0,,,,,12500000.0,,,,-31400000.0,24400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1700000.0,8600000.0,4200000.0,-13600000.0,,9500000.0,,9700000.0,,,0.0,,,-16400000.0,,,,,,,3900000.0,,,,,-14900000.0,,,,,,,,,,,,,,-0.66,,-3200000.0,,,,,,,,11800000.0,,,,,,2600000.0,,-6600000.0,7200000.0,-15000000.0,,-26000000.0,,,,,,,,,,,,,,,,,,,,
2,891302400,,,5600000.0,,,,,,,10900000.0,,-5200000.0,,,,,,,-30100000.0,-36700000.0,,-5200000.0,,,,800000.0,,-65700000.0,,,-100000.0,,,,,,-6000000.0,-6600000.0,,4000000.0,,,,9700000.0,,-700000.0,,-0.07,,54200000.0,,,12800000.0,,,10800000.0,,,,,,,,,,37900000.0,,,,,,,,-100000.0,51200000.0,,,,-100000.0,,2000000.0,,0.0,,2000000.0,,,-0.07,,,,0.0,400000.0,-5200000.0,-5200000.0,,,,,12200000.0,,,,,8000000.0,,74285714.0,,,,8800000.0,,,,,,,,,12200000.0,,,,,-1000000.0,,,44000000.0,,,1600000.0,,,0.0,,,-5600000.0,44000000.0,900000.0,-4000000.0,,8300000.0,9700000.0,,,,,,,,,63900000.0,,,,,,,,36600000.0,,74285714.0,,,,3900000.0,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,899164800,,,6300000.0,,,,,,,13300000.0,,-4900000.0,,,,,,,12700000.0,-41500000.0,,-4900000.0,,,,900000.0,,29100000.0,,,,,,,,,-5800000.0,-3500000.0,,5300000.0,,,,10100000.0,,1900000.0,,-0.06,,51300000.0,,,14100000.0,,,13400000.0,,,,,,,,,,24100000.0,,,,,,,,100000.0,46500000.0,,,,100000.0,,2000000.0,,0.0,,3300000.0,,,-0.06,,,,100000.0,600000.0,-4900000.0,-4900000.0,,,,,22900000.0,,,,,9100000.0,,81666667.0,,,,9200000.0,,,,,,,,,22900000.0,,,,,-1400000.0,,,0.0,,,1900000.0,,,0.0,,,-2100000.0,100000.0,900000.0,-4900000.0,,10600000.0,11400000.0,,,,,,,,,61400000.0,,,,,,,,-15100000.0,,81666667.0,,,,0.0,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,907113600,,,7800000.0,,,,,,,20000000.0,,-7700000.0,,,,,,,-2600000.0,-48300000.0,,-3900000.0,,,,1200000.0,,-11900000.0,,,,,,,,,-5100000.0,-4000000.0,,10500000.0,,,,10300000.0,,1200000.0,,-0.09,,53300000.0,,,15400000.0,,,19900000.0,,,,,,,,,,26700000.0,,,,,,,,-100000.0,42400000.0,,,,-100000.0,,4000000.0,,0.0,,6500000.0,,,-0.09,,,,-200000.0,-3000000.0,-7700000.0,-7700000.0,,,,,18100000.0,,,,,11600000.0,,85555556.0,,,,9400000.0,,,,,,,,,18100000.0,,,,,-1100000.0,,,-100000.0,,,2600000.0,,,-200000.0,,,-2900000.0,-300000.0,900000.0,-6000000.0,,-5700000.0,14500000.0,,,,,,,,,63600000.0,,,,,,,,10600000.0,,85555556.0,,,,0.0,,,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,915062400,21100000.0,,8300000.0,38900000.0,,,15500000.0,,-19500000.0,22600000.0,,-2500000.0,,0.0,,,-16200000.0,46200000.0,4000000.0,-51400000.0,,-2200000.0,-500000.0,,-0.2375,1000000.0,83492000.0,-14900000.0,0.0,8400000.0,,,5500000.0,,,-19700000.0,-3200000.0,-2100000.0,3900000.0,13200000.0,,,,10600000.0,,1500000.0,,,42900000.0,53700000.0,,22600000.0,16300000.0,,-600000.0,22600000.0,,,22800000.0,83492000.0,,4900000.0,53700000.0,,-19700000.0,21100000.0,,30600000.0,52400000.0,,,-19700000.0,1400000.0,0.0,40700000.0,100000.0,3900000.0,,0.0,,4900000.0,40700000.0,0.0,,8300000.0,-51400000.0,64300000.0,,,,,-500000.0,300000.0,-2500000.0,-2500000.0,,,,,22800000.0,,,,,11500000.0,,,,,,9200000.0,,,,,-1500000.0,9200000.0,23400000.0,-11800000.0,22800000.0,10600000.0,,22600000.0,,-900000.0,0.0,,2300000.0,-15600000.0,,2200000.0,,,-400000.0,,22800000.0,-1200000.0,1900000.0,1400000.0,-7100000.0,-63400000.0,4600000.0,17100000.0,,,,,,,,,64300000.0,,,-0.2375,,-7100000.0,,,20300000.0,,,,,16300000.0,0.0,,,5500000.0,,45700000.0,,-4400000.0,17100000.0,-16000000.0,,17800000.0,,,,,,,,,,,,,,,,,,,,
6,922838400,,,9400000.0,,,,,,,26000000.0,,-2000000.0,,,,,,,-34000000.0,-53400000.0,,-2300000.0,,,,1100000.0,,-40100000.0,,,,,,,,,-3400000.0,-5600000.0,,15600000.0,,,,14100000.0,,-2200000.0,,-0.02,,174900000.0,,,18600000.0,,,26100000.0,,,,,,,,,,52800000.0,,,,,,,,100000.0,162200000.0,,,,100000.0,,5500000.0,,0.0,,10100000.0,,,-0.02,,,,-2300000.0,1200000.0,-2000000.0,-2000000.0,,,,,108900000.0,,,,,13500000.0,,100000000.0,,,,10500000.0,,,,,,,,,108900000.0,,,,,-2300000.0,,,123200000.0,,,3000000.0,,,0.0,,,-3300000.0,123500000.0,3600000.0,-8100000.0,,86200000.0,19900000.0,,,,,,,,,189000000.0,,,,,,,,10700000.0,,100000000.0,,,,22800000.0,,,6100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,930700800,,,10200000.0,,,,,,,32100000.0,,-200000.0,,,,,,,-22400000.0,-53600000.0,,-700000.0,,,,1300000.0,,-47000000.0,,,,,,62500000.0,,,-2000000.0,2900000.0,,18700000.0,,,,20900000.0,,2300000.0,,-0.001983,,175900000.0,,,18000000.0,,,32100000.0,,,,,,,,,,4700000.0,,,,,,,,0.0,164200000.0,,,,0.0,,6100000.0,,92200000.0,,12600000.0,,,-0.001983,,,,-100000.0,1600000.0,-200000.0,-200000.0,,,,,154700000.0,,,,,14600000.0,,100000000.0,,,,9900000.0,,,,100000.0,,,,,92200000.0,,,,,-700000.0,,,1900000.0,,,3100000.0,,,0.0,,,3600000.0,2000000.0,11000000.0,-8100000.0,,-16800000.0,24700000.0,,,,,,,,,196800000.0,,,,-200000.0,,,,25400000.0,,100000000.0,,,,0.0,,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,938649600,,,8800000.0,,,,,,,36000000.0,,1600000.0,,,,,,,-32000000.0,-52000000.0,,1500000.0,,,,1500000.0,,-25500000.0,,,0.0,,,90600000.0,,,0.0,1900000.0,,22800000.0,,,,58100000.0,,400000.0,,0.02,,184900000.0,,,16900000.0,,,36000000.0,,,,,,,,,,4800000.0,,,,,,,,0.0,206800000.0,,,,0.0,,9100000.0,,69500000.0,,13700000.0,,,0.02,,,,-10100000.0,1300000.0,1600000.0,1600000.0,,,,,160100000.0,,,,,13700000.0,,80000000.0,,,,9800000.0,,,,100000.0,,,,,69500000.0,,,,,-1300000.0,,,6000000.0,,,3400000.0,,,0.0,,,3200000.0,6000000.0,48300000.0,-7100000.0,,-22700000.0,29600000.0,,,,,,,,,243000000.0,,,,34800000.0,,,,4900000.0,,80000000.0,,,,92200000.0,,,6400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,946598400,3635000.0,,18385000.0,84776000.0,,,26494000.0,,-3310000.0,42679000.0,,4555000.0,,70382000.0,,,8646000.0,135744000.0,-14822000.0,-47452000.0,86098000.0,3594000.0,409000.0,,0.03,1504000.0,114610000.0,-46534000.0,0.0,13303000.0,,,4665000.0,86098000.0,,3955000.0,2090000.0,9446000.0,5657000.0,27676000.0,,,,158324000.0,,5157000.0,,,61592000.0,182842000.0,,42679000.0,21665000.0,,-3168000.0,42679000.0,,87469000.0,70382000.0,100531000.0,,22786000.0,182842000.0,,3955000.0,3635000.0,,42885000.0,65099000.0,,,3955000.0,148130000.0,0.0,298359000.0,,5404000.0,,0.0,,1894000.0,298359000.0,70382000.0,,25782000.0,-47452000.0,341166000.0,,,,,9332000.0,-5036000.0,4555000.0,4555000.0,,,,103000.0,156480000.0,,,,,23692000.0,,,,,,10194000.0,,,,103000.0,-936000.0,10194000.0,58282000.0,14665000.0,70382000.0,158324000.0,,42679000.0,,-1719000.0,0.0,,4644000.0,2094000.0,,3803000.0,,,9000.0,,156480000.0,11165000.0,4653000.0,148130000.0,-11471000.0,-159134000.0,896000.0,38014000.0,,,,,,,,,341166000.0,,,0.04,87469000.0,-11471000.0,,,24099000.0,,,,,21665000.0,69500000.0,,,4665000.0,,136153000.0,,-6019000.0,38014000.0,-103222000.0,,47596000.0,,,,,,,,,,,,,,,,,,,,
