date,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,quarterlyTotalRevenue,quarterlyBasicEPS,annualEndCashPosition,quarterlyGrossPPE,quarterlyOperatingIncome,annualTaxProvision,quarterlyBasicAverageShares,trailingResearchAndDevelopment,annualCurrentAssets,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCapitalExpenditure,trailingOperatingExpense,annualResearchAndDevelopment,annualTotalRevenue,annualCommonStockIssuance,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,annualOtherNonCurrentAssets,quarterlyEbitda,annualAccumulatedDepreciation,annualNetIncomeCommonStockholders,annualNetOtherFinancingCharges,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyRetainedEarnings,trailingNetIncome,quarterlyOtherCurrentAssets,quarterlyPretaxIncome,annualRetainedEarnings,trailingBeginningCashPosition,trailingCashDividendsPaid,trailingFreeCashFlow,trailingCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualTotalAssets,annualDilutedAverageShares,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,annualTotalNonCurrentAssets,annualCostOfRevenue,trailingSellingGeneralAndAdministration,annualOtherCurrentAssets,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingTaxProvision,annualNetIncome,annualDilutedEPS,annualOtherNonCashItems,annualPurchaseOfBusiness,annualStockholdersEquity,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyNetPPE,quarterlyTaxProvision,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualChangeInInventory,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,trailingGrossProfit,annualNetPPE,annualOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualStockBasedCompensation,annualOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyInventory,annualInventory,quarterlyOperatingExpense,annualCurrentLiabilities,annualGrossProfit,quarterlyCostOfRevenue,annualSaleOfInvestment,quarterlyAccountsReceivable,annualBasicEPS,annualOtherNonCurrentLiabilities,quarterlyDilutedEPS,annualNetOtherInvestingChanges,quarterlyCapitalStock,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualEbitda,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingIncome,trailingTotalRevenue,annualOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,trailingPurchaseOfInvestment,annualBasicAverageShares,trailingCapitalExpenditure,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualPretaxIncome,trailingEndCashPosition,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,annualOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,trailingChangeInWorkingCapital,quarterlyStockBasedCompensation,annualOtherIncomeExpense,annualGoodwill,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyLongTermDebt,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,annualRepaymentOfDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,trailingRepaymentOfDebt,quarterlyDepreciationAndAmortization,annualCurrentDeferredRevenue,quarterlyCurrentDebt,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualInterestExpense,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,trailingChangesInAccountReceivables,trailingBasicAverageShares,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,annualCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualLongTermDebt,quarterlyCapitalExpenditure,trailingInterestExpense
1970-01-01 00:00:01.348963200,,,,,161624000.0,,,10172000.0,-0.007922,,,823000.0,,531050000.0,77633000.0,,218331000.0,5565000.0,,,310230000.0,,,,-50357000.0,7705000.0,,823000.0,,,,,161278000.0,,,,161278000.0,,-4246000.0,,282482000.0,-55486000.0,127203000.0,473000.0,,,,,,,,,,,,233974000.0,,,,34906000.0,,,,,,-1573000.0,,1302000.0,,31000.0,-4207000.0,-4277000.0,,,,,,158688000.0,,,,496625000.0,,,,,,531050000.0,,,6882000.0,,,2467000.0,,,,,-0.007922,,,,-12133000.0,,,,196530000.0,,,,186395000.0,714956000.0,,,-64189000.0,-32621000.0,,-31485000.0,,-4207000.0,,,,270349000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.356912000,-13109000.0,15135000.0,1841000.0,,,77367000.0,25255000.0,12609000.0,,15135000.0,5210000.0,886000.0,163000.0,,,19340000.0,,6790000.0,250000.0,-658000.0,,6331000.0,43154000.0,42000.0,,9408000.0,152000.0,886000.0,-3693000.0,-13435000.0,42000.0,-55841000.0,,250000.0,616000.0,-60213000.0,,0.0,-4236000.0,-60213000.0,,,,,77367000.0,77117000.0,19340000.0,21526000.0,769569660.0,6248000.0,0.0,0.0,-3693000.0,2186000.0,10358000.0,,0.0,19164000.0,9090000.0,,-13435000.0,-0.017458,-24000.0,-118000.0,-55841000.0,,152000.0,2069000.0,1517000.0,21000.0,-4645000.0,-4257000.0,-863000.0,250000.0,1278000.0,,-112000.0,,496000.0,250000.0,0.0,,1517000.0,9748000.0,66596000.0,126000.0,152000.0,,,,8522000.0,77117000.0,32796000.0,3201000.0,,496000.0,-0.017458,0.0,,-118000.0,0.0,5210000.0,,8819000.0,8927000.0,66596000.0,,15135000.0,15135000.0,15135000.0,,,7541000.0,1841000.0,,,769569660.0,,152000.0,-4645000.0,21526000.0,2186000.0,-12946000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.364688000,,,,,,,,14421000.0,-0.007235,,,4717000.0,,538520000.0,,,,4430000.0,,,,,,,,11080000.0,,4717000.0,,,,,,,,,,,-3653000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794000.0,,243000.0,-3896000.0,-3896000.0,,,,,,,,,,,,,,,,538520000.0,,,6363000.0,,,3341000.0,,,,,-0.007235,,,,,,,,,,,,,,,,,,,,,-3896000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.372550400,,,,,,,,14339000.0,-0.003128,,,2655000.0,,1041266973.0,,,,6178000.0,,,,,,,,10861000.0,,2655000.0,,,,,,,,,,,-3056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051000.0,,201000.0,-3257000.0,-3257000.0,,,,,,,,,,,,,,,,1114419561.0,,,8206000.0,,,3478000.0,,,,,-0.003128,,,,,,,,,,,,,,,,,,,,,-3257000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.380499200,,,,,,,,22534000.0,0.004325,,,4960000.0,,1041266973.0,,,,9096000.0,,,,,,,,16742000.0,,4960000.0,,,,,,,,,,,4979000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593000.0,,476000.0,4503000.0,4503000.0,,,,,,,,,,,,,,,,1114419561.0,,,11782000.0,,,5792000.0,,,,,0.004041,,,,,,,,,,,,,,,,,,,,,4503000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.388448000,6948000.0,135488000.0,3228000.0,,,15673000.0,43454000.0,36692000.0,,125488000.0,5909000.0,9869000.0,1313000.0,,,149083000.0,,14397000.0,317000.0,-940000.0,,9333000.0,87986000.0,112888000.0,,27039000.0,157000.0,9869000.0,-4235000.0,6948000.0,302000.0,135773000.0,,317000.0,-5872000.0,-53265000.0,,0.0,9991000.0,-53265000.0,,,,,15673000.0,15356000.0,149083000.0,151446000.0,983067892.0,15135000.0,-4923000.0,0.0,-4235000.0,2363000.0,22264000.0,,0.0,34101000.0,17518000.0,,6948000.0,0.0071,-160000.0,0.0,135773000.0,,157000.0,2895000.0,1674000.0,393000.0,9598000.0,9598000.0,-10953000.0,317000.0,859000.0,,-10046000.0,,314000.0,317000.0,0.0,,1674000.0,18458000.0,0.0,1030000.0,97000.0,,,,17170000.0,15356000.0,65722000.0,9653000.0,,314000.0,0.0078,0.0,,-10000000.0,0.0,5909000.0,,23127000.0,110361000.0,0.0,,135488000.0,135488000.0,135488000.0,,,22268000.0,3228000.0,,,896386767.0,,97000.0,9598000.0,151446000.0,2363000.0,8261000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.396224000,,,,,,,,44055000.0,0.01,,,14560000.0,,1359049560.0,,,,14049000.0,,,,,,,,32179000.0,,14560000.0,,,,,,,,,,,14682000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3261000.0,,1035000.0,13647000.0,13647000.0,,,,,,,,,,,,,,,,1359049560.0,,,17619000.0,,,11876000.0,,,,,0.0095,,,,,,,,,,,,,,,,,,,,,13647000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.404086400,,,3720000.0,,,22621000.0,,47843000.0,0.0142,,,19473000.0,,1358096447.0,,,,11447000.0,,,,,,,,34412000.0,,19473000.0,,,,166139000.0,,298000.0,,-30161000.0,,54000000.0,20698000.0,,,,,,,22323000.0,175101000.0,,,,,0.0,,,,,,,,,,,,,,,895000.0,3631000.0,2491000.0,1406000.0,19292000.0,19292000.0,,,,,,,,298000.0,,,,,0.0,,,1436888142.0,,,14939000.0,,,13431000.0,,2581000.0,,,0.0134,,0.0,,,,,,,,103541000.0,103541000.0,,,,,,,,,332000.0,19292000.0,189240000.0,14139000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.412035200,,,,,,,,52178000.0,0.0133,,,16790000.0,,1361026495.0,,,,15073000.0,,,,,,,,36943000.0,,16790000.0,,,,,,,,,,,19176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4751000.0,,837000.0,18133000.0,18339000.0,,,,,,,,,,,,,,,,1433103966.0,,,20153000.0,,,15235000.0,,,,,0.0127,,,,,,,,,,,,,,,,,,,,,18133000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.419984000,66392000.0,127088000.0,7572000.0,-4300000.0,,30295000.0,77926000.0,60536000.0,,127088000.0,8171000.0,17002000.0,5223000.0,,,203834000.0,,19167000.0,457000.0,-2327000.0,,17202000.0,204612000.0,499000.0,,42251000.0,2004000.0,17002000.0,-5275000.0,66373000.0,480000.0,186780000.0,,457000.0,-19000.0,3223000.0,,54000000.0,17059000.0,3223000.0,,,,,30295000.0,29838000.0,203834000.0,217574000.0,1435663510.0,125488000.0,-12764000.0,0.0,-5275000.0,13740000.0,58827000.0,,54000000.0,59736000.0,68496000.0,,66373000.0,0.0462,-557000.0,-3323000.0,186780000.0,,2004000.0,5559000.0,2896000.0,1945000.0,15301000.0,15114000.0,-53148000.0,457000.0,1414000.0,,-60814000.0,,2375000.0,457000.0,0.0,,2896000.0,70823000.0,0.0,2269000.0,905000.0,,,,25249000.0,29838000.0,145785000.0,18285000.0,13254000.0,2375000.0,0.0488,0.0,,-44000000.0,0.0,8171000.0,,69273000.0,1590000.0,0.0,,127088000.0,127088000.0,127088000.0,,,67859000.0,7572000.0,,,1360444256.0,,905000.0,15301000.0,217574000.0,13740000.0,71615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
