,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,annualSellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyAccountsPayable,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualCapitalExpenditure,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,trailingInterestExpense,annualTaxProvision,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualTotalRevenue,annualNetIncomeCommonStockholders,quarterlyEbitda,annualChangeInAccountPayable,annualNetOtherFinancingCharges,annualInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualGrossProfit,annualChangeInWorkingCapital,annualTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,annualDilutedAverageShares,trailingNetIncomeCommonStockholders,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,quarterlyGoodwill,quarterlyBasicAverageShares,trailingNetIncome,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyCurrentAssets,annualTotalAssets,quarterlyOtherCurrentAssets,annualNetIncome,annualCurrentDebt,quarterlyRepaymentOfDebt,trailingTaxProvision,annualLongTermDebt,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualCostOfRevenue,annualCashDividendsPaid,annualFreeCashFlow,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualInvestingCashFlow,quarterlyNetIncome,annualBasicAverageShares,quarterlyOperatingCashFlow,annualStockholdersEquity,annualChangeInInventory,trailingSaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyNetPPE,annualInventory,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyLongTermDebt,annualPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualCapitalStock,annualCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,annualOtherIntangibleAssets,annualStockBasedCompensation,quarterlyCostOfRevenue,annualBasicEPS,annualGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualSaleOfInvestment,trailingRepaymentOfDebt,annualRepaymentOfDebt,annualEbitda,quarterlyFreeCashFlow,trailingGrossProfit,annualNetPPE,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,annualOtherCurrentLiabilities,trailingTotalRevenue,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,annualNonCurrentDeferredRevenue,annualEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingOtherIncomeExpense,annualGrossPPE,trailingInvestingCashFlow,trailingOperatingIncome,quarterlySaleOfInvestment,annualAccountsPayable,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualPretaxIncome,trailingEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingNetOtherInvestingChanges,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,trailingCommonStockIssuance,trailingChangeInInventory,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,,,,,,,,,,,,,,2963785536.0,,2963785536.0,,,,,,,,,,,,,,2963785536.0,,,,,,,,,,,,,,,,,,,,,,,,,,14976562500.0,,,0.035541,,,,,,,,,,,,,,,,,,,,,14976562500.0,,,,,,,,532281888.0,,,532281888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532281888.0,,,0.035541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,,,,,,,,,,,2963785536.0,,2963785536.0,,,,,,,,,,,,,,2963785536.0,,,,,,,,,,,,,,,,,,,,,,,,,,14670918367.0,,,0.036281,,,,,,,,,,,,,,,,,,,,,14670918367.0,,,,,,,,532281888.0,,,532281888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532281888.0,,,0.036281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,,,,,,,,,,,,,,,2963785536.0,,2963785536.0,,,,,,,,,,,,,,2963785536.0,,,,,,,,,,,,,,,,,,,,,,,,,,14670918367.0,,,0.036281,,,,,,,,,,,,,,,,,,,,,14670918367.0,,,,,,,,532281888.0,,,532281888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532281888.0,,,0.036281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,,,92462112.0,,300710112.0,1340284128.0,,,,2129960544.0,6354895968.0,1122040224.0,,1462733952.0,2962119552.0,-1323624288.0,-6159975840.0,,,,384009312.0,,,-533114880.0,,5863430688.0,1808425632.0,,11853476160.0,2129960544.0,-6159975840.0,,-820497120.0,325699872.0,,,,,,6354895968.0,1808425632.0,,3853420992.0,-486467328.0,11066298720.0,,14751923077.0,,,10526519904.0,,,,,,,,,4546470336.0,,5863430688.0,16929729408.0,1935040416.0,2129960544.0,2933797824.0,,,1808425632.0,1995848832.0,0.0,,1935040416.0,,8000055168.0,-819664128.0,2004178752.0,0.144385,,,1340284128.0,,,,,,,-33319680.0,1029578112.0,533114880.0,,-2137457472.0,533114880.0,14751923077.0,,10526519904.0,-314037984.0,,-1724293440.0,,9726014592.0,2299057920.0,,,1311962400.0,2299057920.0,,,,1808425632.0,-109121952.0,,3327803040.0,,4546470336.0,,,,,,0.144385,,,,5830944.0,,,3760958880.0,,,9726014592.0,,114952896.0,,,2731380768.0,1311962400.0,,-714707136.0,1462733952.0,,,0.0,16929729408.0,533114880.0,,,,1462733952.0,1462733952.0,,,,,,,,300710112.0,2933797824.0,0.0,,,11066298720.0,,2513969856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,,,,,,,,,,,,,,2987109312.0,,2987109312.0,,,,,,,,,,,,,,2987109312.0,,,,,,,,,,,,,,,,,,,,,,,,,,15200000000.0,,,0.01666,,,,,,,,,,,,,,,,,,,,,15200000000.0,,,,,,,,253229568.0,,,253229568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253229568.0,,,0.01666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,,,,,,,,,,,2982827628.0,,2982827628.0,,,,,,,,,,,,,,2982827628.0,,,,,,,,,,,,,,,,,,,,,,,,,,15200000000.0,,,0.016636,,,,,,,,,,,,,,,,,,,,,15200000000.0,,,,,,,,252866592.0,,,252866592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252866592.0,,,0.016636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,,,,,,,,,,,2976989620.0,,2976989620.0,,,,,,,,,,,,,,2976989620.0,,,,,,,,,,,,,,,,,,,,,,,,,,15200000000.0,,,0.016603,,,,,,,,,,,,,,,,,,,,,15200000000.0,,,,,,,,252371680.0,,,252371680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252371680.0,,,0.016603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,-5621336160.0,,129455040.0,,321977920.0,950166800.0,,,,1008255600.0,7147411920.0,1219034960.0,,1982487760.0,2970596420.0,-1217375280.0,-7300333260.0,,16644100880.0,,186714000.0,,,521969360.0,,6902609120.0,1947634480.0,,11901565280.0,1008255600.0,-7300333260.0,,-1659680.0,294593200.0,,,1072983120.0,,,7147411920.0,1947634480.0,,2849670560.0,-419069200.0,12103216400.0,,15187500000.0,,,11758832800.0,,,,,,,,,5199777440.0,,6902609120.0,19005825520.0,704534160.0,1008255600.0,3644657280.0,,,1947634480.0,1460518400.0,0.0,-5621336160.0,704534160.0,,9051894720.0,-871332000.0,588356560.0,0.066387,,,950166800.0,,,,,,,-505372560.0,1089579920.0,251140560.0,,-1579185520.0,251140560.0,15187500000.0,,11758832800.0,80494480.0,,295423040.0,,11022764720.0,2314423760.0,,,1233142240.0,2314423760.0,,,,1947634480.0,,,1805731840.0,,5199777440.0,,,130284880.0,,,0.066387,,,,14937120.0,,,2720215520.0,,,11022764720.0,,-131944560.0,,,1630635600.0,1233142240.0,,-376747360.0,1982487760.0,,,0.0,19005825520.0,251140560.0,,,,1982487760.0,1982487760.0,,,,16644100880.0,,,,321977920.0,3644657280.0,0.0,,,12103216400.0,130284880.0,1194969600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,,,,,,,,,,,,2964017880.0,,2964017880.0,,,,,,,,,,,,,,2964017880.0,,,,,,,,,,,,,,,,,,,,,,,,,,16425000000.0,,,0.011061,,,,,,,,,,,,,,,,,,,,,16425000000.0,,,,,,,,181673640.0,,,181673640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181673640.0,,,0.011061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
