,trailingCapitalExpenditure,annualBeginningCashPosition,quarterlySaleOfInvestment,annualCurrentAssets,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,quarterlyNetOtherInvestingChanges,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyStockholdersEquity,quarterlyBasicEPS,annualBasicEPS,trailingNetIncomeContinuousOperations,annualCurrentAccruedExpenses,quarterlyDilutedAverageShares,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyEbitda,trailingNetOtherFinancingCharges,annualEbitda,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyInvestingCashFlow,annualAccumulatedDepreciation,annualOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyChangeInInventory,annualNetOtherFinancingCharges,trailingChangesInAccountReceivables,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,annualInterestExpense,quarterlyOtherNonCashItems,annualOtherCurrentAssets,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,trailingOperatingCashFlow,annualCostOfRevenue,annualTotalNonCurrentAssets,annualCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,annualDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,annualGrossProfit,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyRepaymentOfDebt,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,annualOtherNonCashItems,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,trailingTaxProvision,annualNetIncome,annualCashDividendsPaid,trailingOtherNonCashItems,annualFreeCashFlow,annualCurrentDebt,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,annualInvestingCashFlow,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,trailingPretaxIncome,annualDilutedAverageShares,annualLongTermDebt,trailingCashDividendsPaid,trailingNetIncome,annualStockholdersEquity,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyGoodwill,annualChangeInWorkingCapital,annualRetainedEarnings,annualGoodwill,annualOtherShortTermInvestments,quarterlyInventory,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualCommonStockIssuance,quarterlyCashAndCashEquivalents,annualTotalRevenue,annualOperatingCashFlow,annualCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualOtherIncomeExpense,trailingGrossProfit,annualChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,trailingRepaymentOfDebt,annualOperatingIncome,trailingTotalRevenue,annualEndCashPosition,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,annualOtherNonCurrentLiabilities,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,annualBasicAverageShares,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualGrossPPE,quarterlyTotalAssets,trailingEndCashPosition,annualIncomeTaxPayable,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,annualPretaxIncome,quarterlyNetOtherFinancingCharges,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,trailingOperatingIncome,annualResearchAndDevelopment,trailingBasicAverageShares,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyStockBasedCompensation,trailingSellingGeneralAndAdministration,annualInventory,trailingChangeInInventory,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingInterestExpense,annualStockBasedCompensation,trailingBasicEPS,trailingResearchAndDevelopment,annualPurchaseOfInvestment,trailingCommonStockIssuance,annualChangeInInventory,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,1018013000.0,,1332393000.0,,,1549249000.0,,18838954000.0,-605488000.0,,,,,,,,,,,,,,,,,12.219,,,,685494000.0,65501000.0,,,1789147000.0,,-202947000.0,,,,,2514165000.0,,,-1094814000.0,,,,,,120784000.0,,,,,,23999095000.0,,,12.219,,,,,,,-472009000.0,296167000.0,,,,,,,,,685494000.0,,147673000.0,,,,,,,685494000.0,,,897607000.0,,,,,376531000.0,-611228000.0,,,,,,,,25331488000.0,,56100000.0,,,,25035321000.0,,,,642132000.0,,242057000.0,,32501000.0,1119611000.0,,,,,,,,,,,,2696264000.0,1503095000.0,23462294000.0,54110000.0,,122135000.0,1915511000.0,-848000.0,,,,113331000.0,815066000.0,-1094814000.0,,1147015000.0,,818066000.0,,,,22670000.0,,,,,-5740000.0,56100000.0,,815066000.0,,,,,,,,,1158199000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,815066000.0,,1646050000.0,,,1700.553,,18404225000.0,-630825000.0,,,,,,,,,,,,,,,,,15.943,,,,894396000.0,76009000.0,,,3652975299.447,,82302000.0,,,,,2417255000.0,,,253000.0,,,,,,125002000.0,,,,,,23869661000.0,,,15.943,,,,,,,-370189000.0,332247000.0,,,,,,,,,894396000.0,,-1783000.0,,,,,,,894396000.0,,,839365000.0,,,,,392330000.0,-641635000.0,,,,,,,,25515711000.0,,56100000.0,,,,25183464000.0,,,,717171000.0,,266707000.0,,-246865000.0,1548539000.0,,,,,,,,,,,,2935806000.0,1470190000.0,23462294000.0,65540000.0,,172631000.0,2361574000.0,1682000.0,,,,126974000.0,897368000.0,253000.0,,2935804299.447,,897368000.0,,,,32564000.0,,,,,-10810000.0,56100000.0,,897368000.0,,,,,,,,,1266030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,931109000.0,,2313484000.0,,,4097753000.0,,22008830000.0,-932280000.0,,,,,,,,,,,,,,,,,25.006,,,,1402819000.0,147595000.0,,,-753417000.0,,495574000.0,,,,,22985000.0,,,0.0,,,,172882000.0,,247667000.0,,,,,964976000.0,25212793000.0,,,25.006,,2512348000.0,,,,,-277577000.0,1164712000.0,,,,,,,,,1402819000.0,,1495996000.0,,,,,,,1402819000.0,-1171616000.0,,1087956000.0,85714000.0,,,,470310000.0,-931617000.0,,,,,,,,27526277000.0,,56100000.0,492857000.0,,,26361565000.0,,,,754097000.0,,600352000.0,,-256000.0,1792007000.0,,,,,,,,,,,,3477324000.0,2020236000.0,24344476000.0,564360000.0,,225082000.0,3180978000.0,57815000.0,,,,336321000.0,1426683000.0,-593045000.0,,-1585405000.0,,1426683000.0,,,,34613000.0,,,,,663000.0,56100000.0,,1426683000.0,,,,,,,,,-1680396000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,1426683000.0,,2730299000.0,,,971784000.0,,22769617000.0,-524922000.0,,,,,-44227000.0,,,,,,,,,,,,27.5,,,,1540842000.0,117148000.0,,,2526236000.0,-122571000.0,79321000.0,,,,,,,,-68989000.0,,,,57518000.0,,275479000.0,,,,,1070955000.0,25411395000.0,,,27.5,,2419830000.0,,,,,-129625000.0,1404048000.0,,,,,,,,,1540842000.0,,-559978000.0,,,,,,,1540842000.0,-1121485000.0,,1089645000.0,134857000.0,,,,572058000.0,-521974000.0,,,,,,,,28141694000.0,,56059481.0,665143000.0,,,26737646000.0,,,,798251000.0,,673872000.0,,-294173000.0,2086659000.0,2283598000.0,,,,,,,,,,,3490785000.0,1614567000.0,24344476000.0,730176000.0,,295223000.0,335158000.0,116868000.0,,,,374661000.0,1506004000.0,-1013272000.0,,1448046000.0,,1506004000.0,,,,65033000.0,,,,,2948000.0,56059481.0,,1506004000.0,,,,,,,,,1670467000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238457600,,,,,,,,,,,,,,,,1741000.0,,,,,,,,89977000.0,,7.233,,,,56098714.0,,,602753000.0,,,,,,678902000.0,-190365000.0,,,279206000.0,,,,2174301000.0,,,19095000.0,,,,56098714.0,,,,,31724000.0,,,,,45000000.0,,,,,,,,,,450761000.0,,-33714000.0,,,,399696000.0,,892854000.0,229721000.0,-192106000.0,,,,,,,7.233,628941000.0,,,,,405762000.0,405762000.0,,668297000.0,,,,,,,,,,10737000.0,,,,,,,,,,,,,-7136000.0,,,0.0,213952000.0,,,,,,,,,,,,,,,,,,,,,,436835000.0,,,1506004000.0,,,,,,,,,,,,,,203057000.0,,,-1000.0,,405762000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,,,,,,,,,,,,,,-4877000.0,,,,,,,,158162000.0,,2.646,,,,56097884.0,,,451749000.0,,,,,,512800000.0,-154522000.0,,,266974000.0,,,,1646549000.0,,,-438042000.0,,,,56097884.0,,,,,23776000.0,,,,,49882000.0,,,,,,,,,,198316000.0,,-43357000.0,,,,245826000.0,,749836000.0,-902815000.0,-149645000.0,,,,,,,2.646,529584000.0,,,,,148435000.0,148435000.0,,-527753000.0,,,,,,,,,,32727000.0,,,,,,,,,,,,,-2257000.0,,,-870000000.0,237036000.0,,,,,,,,,,,,,,,,,,,,,,379939000.0,,,2174301000.0,,,,,,,,,,,,,,205923000.0,,,0.0,,148435000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1254268800,,,,,,,,,,,,,,,,-449825000.0,,,,,,,,-353907000.0,,5.6,,,,56054643.0,,,529384000.0,,,,,,596621000.0,-108074000.0,,,278294000.0,,,,1897420000.0,,,-220119000.0,,,,56054643.0,,,,,27862000.0,,,,,22568000.0,,,,,,,,,,336474000.0,,-64742000.0,,,,318327000.0,,791211000.0,-64741000.0,,,,,,,,5.6,423687000.0,,,,,313906000.0,313906000.0,,250873000.0,,,,,,,,,,0.0,,,,,,,,,,,,,-387000.0,,,0.0,194590000.0,,,,,,,,,,,,,,,,,,,,,,765438000.0,,,1646549000.0,,,,,,,,,,,,,,211057000.0,,,1000.0,,313906000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,1506004000.0,,2817240000.0,,,1103063000.0,111721000.0,3929785000.0,-542114000.0,,109000.0,275478000.0,372369000.0,-10248000.0,,,,,,,,,374011000.0,26780554000.0,,21.4,,,,1199444000.0,193965000.0,660874000.0,,2244760000.0,-163786000.0,667582000.0,,608602000.0,-89153000.0,,19765496000.0,278589000.0,,-14667000.0,,2173586000.0,,75564000.0,774942000.0,109000.0,,,,,869315000.0,25564675000.0,,28359000.0,21.4,,2396925000.0,,23467000.0,1199444000.0,364101000.0,140917000.0,1601361000.0,,988904000.0,612457000.0,2817240000.0,,354809000.0,,-21973000.0,1199444000.0,,135876000.0,330013000.0,,832339000.0,-264844000.0,,,1199444000.0,-1200000000.0,,1670261000.0,193965000.0,,630163000.0,193965000.0,456107000.0,-542114000.0,856003000.0,331342000.0,331342000.0,97743000.0,276165000.0,,,28381915000.0,,56047397.0,856003000.0,,,26780554000.0,10248000.0,,279621000.0,828835000.0,,612457000.0,,268243000.0,1199444000.0,,279621000.0,,,-53500000.0,0.0,456107000.0,-330000000.0,223737000.0,53712000.0,1821150000.0,3266240000.0,2212375000.0,24344476000.0,988904000.0,,372369000.0,364101000.0,-63280000.0,,,2100771000.0,275478000.0,2100771000.0,-1002679000.0,,1293862000.0,,2173586000.0,193965000.0,88049000.0,,97743000.0,1897420000.0,,24344476000.0,,0.0,56047397.0,3929785000.0,1821150000.0,,28381915000.0,,,,1601361000.0,208798000.0,,1340361000.0,-56625000.0,0.0,331342000.0,19765496000.0,25564675000.0,,,,,,,,,,,,,,,,,,,,,,,,
1269993600,,,,,,,,,,,,262613000.0,,1236634000.0,,-11590000.0,,,,,,,,195071000.0,26780554000.0,9.901,,,,56097263.0,,,636088000.0,,,,,,716544000.0,-302162000.0,,,294581000.0,,,,2999776000.0,,,26326000.0,,,,56097263.0,,,,,33478000.0,,,,,-130401000.0,1199444000.0,364101000.0,,,,988904000.0,612457000.0,2817240000.0,,425018000.0,,-48491000.0,,,,421963000.0,,943886000.0,436563000.0,-290572000.0,,,,,,,9.901,691789000.0,,,,,555419000.0,555419000.0,,826190000.0,,,,,,,,,,0.0,,279621000.0,,,,,,,,,,,4548000.0,,453856000.0,0.0,227342000.0,,1821150000.0,,,,,,,,,,,2100771000.0,,,,,,,,,401217000.0,,,2173586000.0,,24344476000.0,,,,23725872000.0,,,28381915000.0,,,,1601361000.0,214125000.0,,,-22638000.0,,555419000.0,,25564675000.0,,,,,,,,,,,,,,,,,,,,,,,,
