date,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyGoodwill,annualBasicEPS,annualCommonStockIssuance,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,quarterlyTotalAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualGoodwill,annualTotalRevenue,annualCostOfRevenue,annualNetIncome,trailingChangeInWorkingCapital,annualAccountsReceivable,annualPurchaseOfInvestment,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualDilutedEPS,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,trailingOperatingIncome,quarterlyLongTermDebt,annualPretaxIncome,trailingInvestingCashFlow,annualAccountsPayable,annualTaxProvision,quarterlyNetIncome,trailingCommonStockIssuance,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,trailingTaxProvision,annualBasicAverageShares,annualTotalAssets,annualEndCashPosition,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualLongTermDebt,annualOperatingIncome,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualStockholdersEquity,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,annualDepreciationAndAmortization,annualIncomeTaxPayable,annualCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,trailingEndCashPosition,annualCurrentAccruedExpenses,annualSaleOfInvestment,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInventory,annualCurrentAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingPretaxIncome,annualOtherIntangibleAssets,quarterlyBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentAssets,annualNetPPE,annualRepurchaseOfCapitalStock,quarterlyStockholdersEquity,annualOtherNonCurrentLiabilities,trailingNetIncomeCommonStockholders,annualEbitda,annualRepaymentOfDebt,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,trailingChangesInAccountReceivables,trailingGrossProfit,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualCapitalStock,annualBeginningCashPosition,quarterlyChangeInInventory,trailingOperatingCashFlow,quarterlyCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingInterestExpense,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherInvestingChanges,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyAccountsPayable,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfBusiness,annualOtherNonCashItems,trailingNetIncomeContinuousOperations,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,quarterlyTotalRevenue,trailingChangeInInventory,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyEbitda,trailingNetOtherFinancingCharges,annualOperatingExpense,annualStockBasedCompensation,annualNetOtherFinancingCharges,trailingSellingGeneralAndAdministration,annualCurrentDebt,trailingOtherNonCashItems,trailingCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualInterestExpense,annualCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,trailingCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingFreeCashFlow,annualInventory,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualAccumulatedDepreciation,annualGrossProfit,quarterlyPretaxIncome,annualChangeInInventory,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyTaxProvision,quarterlyRetainedEarnings,trailingChangeInAccountPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,trailingBasicEPS
2004-12-31,,,,4000000.0,255000000.0,,5519000000.0,,,,,1.757982,,539000000.0,,,,,,,3065000000.0,1051000000.0,446000000.0,253000000.0,,,10999000000.0,,1.757982,,,,2212000000.0,,703000000.0,-277000000.0,,270000000.0,,0.0,,184000000.0,388000000.0,253700000.0,7625000000.0,,,,3468000000.0,870000000.0,,,,19000000.0,2106000000.0,,,,,,,,65000000.0,,,,,,,,253700000.0,,,,,,610000000.0,,,1502000000.0,,,19000000.0,,,,,,1114000000.0,870000000.0,,,446000000.0,,,,,70000000.0,6194000000.0,,-33000000.0,,,,2353000000.0,,-288000000.0,,,,,677000000.0,,31000000.0,-799000000.0,-71000000.0,-2133000000.0,,1135000000.0,,,-3233000000.0,,-57000000.0,,,-34000000.0,,,,,1114000000.0,698000000.0,,,,,446000000.0,,-30000000.0,,61000000.0,,-616000000.0,1144000000.0,,-799000000.0,3937000000.0,,6000000.0,4805000000.0,,,177000000.0,,,,-842000000.0,,,2065000000.0,,,,,,,,2014000000.0,,,,,,1114000000.0,,,122000000.0,-30000000.0,,,3982000000.0,,,,,,,,,,,,,,,
2005-12-31,,,-10000000.0,,286000000.0,,5007000000.0,,,,,1.880173,,539000000.0,,,,,,,3205000000.0,1120000000.0,477000000.0,,,,,,1.880173,,,,,,787000000.0,,,321000000.0,,,,283000000.0,,253700000.0,7433000000.0,28000000.0,,,2858000000.0,916000000.0,,,,28000000.0,2426000000.0,,,79000000.0,,,,,,,36000000.0,,,,,,253700000.0,,,,,,583000000.0,,,,,,28000000.0,,,,,,,995000000.0,-279000000.0,,477000000.0,,,51000000.0,,,,,,,19000000.0,,,,,,,,,,,,-815000000.0,-44000000.0,,,1179000000.0,,,,,,,,-61000000.0,,,0.0,-19000000.0,,,,,,,487000000.0,,,,,,,1169000000.0,,-660000000.0,,,,,,,210000000.0,,,,,,,,,,56000000.0,,,,,2085000000.0,,18000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,258333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124000000.0,,124000000.0,,,,,,,,,,0.48,,,,,,,,,,,,,,,124000000.0,,,,,,,,,,,,,,,,258333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437000000.0,,,1437000000.0,,,,1437000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,258333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124000000.0,,124000000.0,,,,,,,,,,0.48,,,,,,,,,,,,,,,124000000.0,,,,,,,,,,,,,,,,258333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437000000.0,,,1437000000.0,,,,1437000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,258333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124000000.0,,124000000.0,,,,,,,,,,0.48,,,,,,,,,,,,,,,124000000.0,,,,,,,,,,,,,,,,258333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437000000.0,,,1437000000.0,,,,1437000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,-61000000.0,,75000000.0,,6096000000.0,,580000000.0,,3180000000.0,2.012,,423000000.0,7714000000.0,,9346000000.0,3250000000.0,,3180000000.0,4735000000.0,1994000000.0,510000000.0,,580000000.0,-53000000.0,,,2.012,0.0,29000000.0,-80000000.0,,3084000000.0,805000000.0,,788000000.0,298000000.0,138000000.0,,138000000.0,-502000000.0,,253500000.0,9346000000.0,35000000.0,,4405000000.0,3084000000.0,1045000000.0,,,708000000.0,35000000.0,3250000000.0,,119000000.0,139000000.0,,1691000000.0,,,,,53000000.0,138000000.0,,,6096000000.0,,253500000.0,,,,300000000.0,1632000000.0,581000000.0,4405000000.0,,,3651000000.0,,35000000.0,119000000.0,755000000.0,,3250000000.0,29000000.0,,1184000000.0,,1254000000.0,510000000.0,195000000.0,3651000000.0,7000000.0,,,,,,,28000000.0,,,,,,1292000000.0,35000000.0,35000000.0,,,,-72000000.0,-158000000.0,,,1659000000.0,7714000000.0,,,788000000.0,,,,4000000.0,0.0,3250000000.0,,20000000.0,,,,,-3266000000.0,,510000000.0,424000000.0,,,,-3266000000.0,,1696000000.0,,-22000000.0,,708000000.0,,,,195000000.0,257000000.0,,,-499000000.0,,,,,300000000.0,,14000000.0,755000000.0,,1632000000.0,-499000000.0,2741000000.0,,13000000.0,1254000000.0,1691000000.0,1292000000.0,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,251219512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000000.0,,103000000.0,,,,,,,,,,0.41,,,,,,,,,,,,,,,103000000.0,,,,,,,,,,,,,,,,251219512.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406000000.0,,,1406000000.0,,,,1406000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,,251219512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000000.0,,103000000.0,,,,,,,,,,0.41,,,,,,,,,,,,,,,103000000.0,,,,,,,,,,,,,,,,251219512.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406000000.0,,,1406000000.0,,,,1406000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,,253086420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153000000.0,,153000000.0,,,,,,,,,,0.60355,,,,,,,,,,,,,,,153000000.0,,,,,,,,,,,,,,,,253086420.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.60355,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535000000.0,,,1535000000.0,,,,1535000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,-79000000.0,,-929000000.0,,5507000000.0,,597000000.0,,3183000000.0,1.79,,373000000.0,7789000000.0,,10528000000.0,20000000.0,,3183000000.0,5748000000.0,2617000000.0,497000000.0,,597000000.0,-2000000.0,,,1.79,0.0,136000000.0,-213000000.0,,2912000000.0,817000000.0,,987000000.0,322000000.0,138000000.0,,138000000.0,-1087000000.0,,253500000.0,10528000000.0,67000000.0,,4372000000.0,2912000000.0,1004000000.0,,,126000000.0,67000000.0,5021000000.0,,113000000.0,169000000.0,,1135000000.0,,,,,98000000.0,138000000.0,,,5507000000.0,,253500000.0,,,,325000000.0,2739000000.0,603000000.0,4372000000.0,,,3617000000.0,,67000000.0,113000000.0,868000000.0,,5021000000.0,136000000.0,,1173000000.0,,1471000000.0,497000000.0,22000000.0,3617000000.0,32000000.0,,,,,,0.0,35000000.0,,,,,,1324000000.0,67000000.0,67000000.0,,,,515000000.0,-230000000.0,,,2018000000.0,7789000000.0,,,987000000.0,,0.0,,-7000000.0,0.0,20000000.0,,34000000.0,,,,,-3343000000.0,,497000000.0,1401000000.0,,,,-3343000000.0,,2127000000.0,,1338000000.0,,126000000.0,,,,22000000.0,253000000.0,,,-603000000.0,,,,,325000000.0,,55000000.0,868000000.0,,2739000000.0,-603000000.0,3131000000.0,,-14000000.0,1471000000.0,1135000000.0,1324000000.0,,,,,,,,,,,,,,,,,,,,,,,
