,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualInventory,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualChangeInInventory,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,trailingRepaymentOfDebt,annualDilutedEPS,annualBasicEPS,quarterlyNetPPE,annualPurchaseOfBusiness,quarterlyCapitalStock,annualOtherNonCashItems,annualGrossPPE,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,annualBasicAverageShares,annualOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualBeginningCashPosition,annualInterestExpense,trailingCapitalExpenditure,annualPretaxIncome,annualPurchaseOfInvestment,trailingInterestExpense,annualCapitalExpenditure,trailingInvestingCashFlow,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncome,quarterlyGrossPPE,annualNonCurrentDeferredTaxesLiabilities,trailingChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingBeginningCashPosition,trailingOperatingExpense,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualAccumulatedDepreciation,annualOtherCurrentLiabilities,annualStockBasedCompensation,annualChangeInCashSupplementalAsReported,annualGoodwill,annualNetOtherFinancingCharges,trailingGrossProfit,annualCapitalStock,trailingTotalRevenue,trailingCostOfRevenue,annualTotalRevenue,trailingOperatingIncome,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualTaxProvision,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualOperatingIncome,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualCashAndCashEquivalents,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,trailingEndCashPosition,quarterlyTotalAssets,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualInvestmentsAndAdvances,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualCostOfRevenue,annualCashDividendsPaid,annualNetIncome,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,annualCurrentAssets,quarterlyLongTermDebt,trailingPretaxIncome,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualTotalAssets,annualRepurchaseOfCapitalStock,annualLongTermDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,annualStockholdersEquity,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,annualEbitda,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyGoodwill,annualDilutedAverageShares,annualNetIncomeCommonStockholders,quarterlyInventory,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualRetainedEarnings,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyBasicEPS,trailingResearchAndDevelopment,trailingNetOtherFinancingCharges,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,trailingPurchaseOfInvestment,trailingDilutedEPS,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
1104451200,,,,505131000.0,,,,,9042000.0,1326993000.0,362621000.0,-9042000.0,,88041000.0,57333000.0,,0.098692,0.098692,,,,500207000.0,,,,,1390643153.0,189467000.0,,1006747000.0,,,212239000.0,,,-45669000.0,,287085000.0,,,,18439000.0,,,,,,,,,-200000000.0,,-196947000.0,,0.0,,314918000.0,,-477718000.0,,,,,8476039000.0,,,34040000.0,37670000.0,3410893000.0,218439000.0,,,,,1321665000.0,,,230713000.0,174569000.0,294277000.0,3662486000.0,1326993000.0,459462000.0,,,,,,,131908000.0,,5748000.0,8113418000.0,,173994000.0,,,4872289000.0,,,131908000.0,4215000.0,4960330000.0,,200000000.0,,,1108377000.0,,,235637000.0,4924000.0,3444047000.0,,1390643153.0,137245000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,,84569000.0,,,,,6659000.0,1615767000.0,331137000.0,3514000.0,,95694000.0,54548000.0,,0.072909,0.07341,,,,72759000.0,,,,,1779945996.0,0.0,,1321665000.0,,,176851000.0,,,-39269000.0,,193543000.0,,,,0.0,,,,,,,,,-200499000.0,,131520000.0,,93308000.0,,290764000.0,,213151000.0,,,,,6862530000.0,,,175838000.0,30317000.0,3407775000.0,338000.0,,,,,1612429000.0,,,161989000.0,146534000.0,228409000.0,3526987000.0,1615767000.0,45300000.0,,,,,,,169148000.0,,3338000.0,6531393000.0,,146534000.0,,,4268671000.0,,,169148000.0,11800000.0,4364365000.0,,0.0,,,837378000.0,,,173799000.0,11810000.0,3526649000.0,,1792167848.0,130666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,,,156884000.0,,,,,8715000.0,1701104000.0,459050000.0,-2056000.0,,187800000.0,106644000.0,,0.096553,0.102515,,,,147866000.0,,,,,2167318155.0,0.0,,1706562000.0,,,271044000.0,-155368000.0,,-76985000.0,,-65945000.0,,,,,,,,,,,,,-48545000.0,,-387109000.0,,363779000.0,,-19012000.0,,-68463000.0,,0.0,,,10294826000.0,,,313708000.0,49181000.0,4005985000.0,278000.0,,,,,1686829000.0,,,209339000.0,222182000.0,-5716000.0,4433939000.0,1701104000.0,79899000.0,,,,,,,249711000.0,,14275000.0,9835776000.0,,221863000.0,,,5220340000.0,,,249711000.0,23357000.0,5408140000.0,,0.0,,,974201000.0,,,218357000.0,9018000.0,4433661000.0,,2301147370.0,222182000.0,,7057000.0,,,,,157817000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,,-418585000.0,,,,,54486000.0,1545000000.0,1078722000.0,-9352000.0,,1335123000.0,981658000.0,,0.156514,0.166754,,,,-428876000.0,,,,,2428082285.0,0.0,,2118731000.0,,,530310000.0,-59069000.0,,-124584000.0,,-178224000.0,,,,67437000.0,,,,,,118593000.0,,,-8310000.0,,-434460000.0,,601960000.0,,-572285000.0,,-976138000.0,,0.0,,,10168321000.0,,,271933000.0,82355000.0,4511142000.0,207298000.0,,,,,1544547000.0,,,736003000.0,404893000.0,-128539000.0,5451824000.0,1545000000.0,-543169000.0,,,,,,,342719000.0,,29729000.0,9089599000.0,,447955000.0,,,6272384000.0,,,342719000.0,207099000.0,7607507000.0,,21165000.0,,,2155683000.0,,,746294000.0,10291000.0,5244526000.0,,2586941987.0,404893000.0,,1008972000.0,,,,,102957000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,,301425000.0,,,408596000.0,,55509000.0,1915951000.0,909393000.0,-10332000.0,93165000.0,2068560000.0,1107275000.0,,0.174764,0.182592,,,,22300000.0,1868404000.0,,,,2679316849.0,1165394000.0,,1544547000.0,20065000.0,,570665000.0,-3891000.0,,-215120000.0,,-357971000.0,,,,71133000.0,,,,,,165320000.0,,,-13313000.0,,-230185000.0,-761129000.0,661052000.0,1688000.0,352050000.0,,-348554000.0,,61119000.0,,,11021405000.0,,623762000.0,177000.0,66276000.0,3991515000.0,1236527000.0,,,,,1900169000.0,,,497565000.0,504389000.0,-138231000.0,6460407000.0,1900169000.0,86305000.0,,,,,-368057000.0,139427000.0,411828000.0,,37128000.0,10112012000.0,-199875000.0,489321000.0,3645559000.0,,6915104000.0,,,411828000.0,882749000.0,8983664000.0,-15748000.0,1000000000.0,,,2523257000.0,,,602862000.0,12132000.0,5223880000.0,,2800586128.0,489321000.0,,6398000.0,15782000.0,,1825347000.0,,4311000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,5762381000.0,,5746573000.0,1148997000.0,93219000.0,,,-846853000.0,46883000.0,5762381000.0,992902000.0,8626000.0,,2702392000.0,1121324000.0,,0.209983,0.217571,1121324000.0,-7966000.0,73864000.0,9744000.0,1968177000.0,0.0,21956000.0,9950000.0,2815508534.0,0.0,0.0,1900169000.0,26073000.0,,722080000.0,-3084000.0,,-132564000.0,,-654412000.0,,,1968177000.0,93219000.0,,180480000.0,,,,180480000.0,4057726000.0,,-15232000.0,15808000.0,469832000.0,-846853000.0,0.0,934000.0,3847503000.0,,344860000.0,,73864000.0,,,11341998000.0,,,1446000.0,109549000.0,4057726000.0,3579208000.0,,,5275492000.0,10457090000.0,5746573000.0,3579208000.0,2249839000.0,643062000.0,612531000.0,-578303000.0,8854700000.0,5746573000.0,1016433000.0,2702392000.0,,13159482000.0,,,,349840000.0,8854700000.0,21956000.0,10349096000.0,-186592000.0,612531000.0,3347386000.0,0.0,10457090000.0,3305509000.0,,366378000.0,0.0,13159482000.0,0.0,3305509000.0,1446000.0,4304782000.0,4304782000.0,,,835032000.0,86879000.0,5275492000.0,,2916865013.0,612531000.0,46883000.0,1370940000.0,15808000.0,9950000.0,2249839000.0,3347386000.0,12334000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,3985031000.0,,3985031000.0,,98011000.0,,,,,,,,,,,,,,1325787000.0,,73979000.0,,,2033086000.0,1025094000.0,54964000.0,,,0.0,,,,,,,,,,,,,,,176521000.0,,,,,4641859000.0,,,,,,,,,,,,,,,,,,,,,,,,6691007000.0,10068073000.0,,2624372000.0,,,,,,,,3843086000.0,,13911159000.0,,,,,9315379000.0,,,,,,0.0,,2349840000.0,,,,,,,37114000.0,4562164000.0,,,,,,,,,,100411000.0,,,,,4790875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,3748987000.0,,3729743000.0,41023000.0,228813000.0,,,-957165000.0,117711000.0,3748987000.0,1315854000.0,-40905000.0,,9762655000.0,1454445000.0,,0.327174,0.336107,1454445000.0,-834556000.0,74486000.0,-4134000.0,2411610000.0,4715534000.0,0.0,9950000.0,3083592418.0,0.0,0.0,5857851000.0,15552000.0,,1333467000.0,-486544000.0,,-364538000.0,,-1424945000.0,,,2411610000.0,228813000.0,,244047000.0,,,,244047000.0,4966876000.0,,-1259244000.0,19244000.0,-850221000.0,-957165000.0,0.0,362000.0,-2161370000.0,,-1216555000.0,,74486000.0,,,11982871000.0,,,14618000.0,213218000.0,4966876000.0,5823759000.0,,,8232263000.0,8916767000.0,3728104000.0,5823759000.0,,901589000.0,1120249000.0,-535047000.0,14056022000.0,3729743000.0,-323515000.0,9762655000.0,,18679422000.0,,,,414265000.0,14056022000.0,0.0,10667017000.0,-251561000.0,1036278000.0,562944000.0,0.0,8916767000.0,5350899000.0,,471502000.0,4715534000.0,18679422000.0,,5350899000.0,14618000.0,4619450000.0,4619450000.0,,,1430246000.0,81227000.0,8232263000.0,,3167145069.0,1036278000.0,117711000.0,5836000.0,19244000.0,9950000.0,,562944000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,7269279000.0,,7269279000.0,,222639000.0,,,,,,,,,,,,,,1634593000.0,,89669000.0,,,4873571000.0,1118061000.0,9950000.0,,,0.0,,,,,,,,,,,,,,,245175000.0,,,,,5451267000.0,,,,,,,,,,,,,,,,,,,,,,,,7911125000.0,13439795000.0,,7049079000.0,,,,,,,,10178106000.0,,23617901000.0,,,,,14960204000.0,,,,,,0.0,,6581265000.0,,,,,,,93456000.0,8655427000.0,,,,,,,,,,176298000.0,,,,,812876000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,5481302000.0,,5457812000.0,-1004495000.0,276014000.0,699874000.0,2894112000.0,-1063121000.0,149559000.0,5481302000.0,1798184000.0,-31848000.0,730259000.0,12326397000.0,1870033000.0,,0.434288,0.441984,1870033000.0,0.0,89668000.0,197364000.0,2933154000.0,0.0,1297867000.0,4936415000.0,3410625573.0,0.0,0.0,3728104000.0,192690000.0,,1844301000.0,-106429000.0,,-522200000.0,,-163836000.0,-901337000.0,,2933154000.0,276014000.0,,421938000.0,,,,421938000.0,6457923000.0,,-1614458000.0,23490000.0,-2466830000.0,-1063121000.0,0.0,0.0,1725781000.0,,-680111000.0,,89668000.0,,,16379311000.0,,699874000.0,848000.0,334122000.0,6457923000.0,5659220000.0,,,11576848000.0,14406747000.0,5457812000.0,5659220000.0,4407012000.0,1306732000.0,1510179000.0,-121318000.0,17236068000.0,5457812000.0,-1526695000.0,12326397000.0,,26733144000.0,,-901337000.0,4023131000.0,491452000.0,17236068000.0,1297867000.0,14581127000.0,-430382000.0,1507405000.0,4736191000.0,0.0,14406747000.0,4961268000.0,,554203000.0,0.0,26733144000.0,,4961268000.0,848000.0,9490352000.0,9490352000.0,,,2212175000.0,175184000.0,11576848000.0,,3470701876.0,1507405000.0,149559000.0,3586509000.0,23490000.0,4936415000.0,4407012000.0,4736191000.0,,4023131000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
