date,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,trailingCapitalExpenditure,annualNetIncomeContinuousOperations,trailingDeferredIncomeTax,quarterlyBasicAverageShares,annualCashAndCashEquivalents,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyChangeInInventory,annualCurrentAssets,annualTotalRevenue,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualInterestExpense,trailingChangesInAccountReceivables,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,quarterlyRetainedEarnings,annualCommonStockIssuance,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,quarterlyCurrentDeferredRevenue,annualOtherCurrentAssets,trailingChangeInAccountPayable,trailingNetIncomeCommonStockholders,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,annualTotalAssets,trailingTaxProvision,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,annualCurrentDeferredRevenue,annualCostOfRevenue,annualPurchaseOfBusiness,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,trailingDepreciationAndAmortization,annualCurrentDebt,annualBasicAverageShares,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,annualStockholdersEquity,quarterlyCashFlowFromContinuingFinancingActivities,annualLongTermDebt,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualChangeInInventory,annualDepreciationAndAmortization,annualNonCurrentDeferredTaxesLiabilities,annualGoodwill,quarterlyTaxProvision,quarterlyOtherIncomeExpense,annualStockBasedCompensation,trailingNetIncome,quarterlyInventory,quarterlyNetPPE,annualRetainedEarnings,annualInventory,annualCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,quarterlyLongTermDebt,trailingNetOtherInvestingChanges,annualBasicEPS,annualCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingOperatingCashFlow,annualAccountsReceivable,annualOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,trailingChangeInInventory,quarterlyCostOfRevenue,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualOtherIncomeExpense,trailingGrossProfit,annualNetPPE,annualDilutedAverageShares,quarterlyBeginningCashPosition,annualOperatingIncome,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualEbitda,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBasicEPS,annualNetOtherInvestingChanges,trailingTotalRevenue,annualOtherCurrentLiabilities,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalAssets,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyTotalNonCurrentAssets,annualNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,trailingOperatingIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualAccountsPayable,trailingInvestingCashFlow,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualPretaxIncome,quarterlySaleOfInvestment,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,trailingOtherNonCashItems,trailingCashDividendsPaid,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingDilutedEPS,trailingOtherIncomeExpense,annualResearchAndDevelopment,annualCashDividendsPaid,trailingDilutedAverageShares,quarterlyCashDividendsPaid,trailingInterestExpense,trailingBasicEPS
1970-01-01 00:00:01.569801600,-1014648000.0,,,,,,,,,,,,1067614000.0,1091988000.0,,,,-68658000.0,,106000.0,152496000.0,,,713714000.0,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,-38557000.0,,,,,,,,,,,,,,,39691000.0,1091988000.0,1647824000.0,,,1092932000.0,88615000.0,,,,,,,,,313636000.0,,,,0.000208,,,,,,62353000.0,,,812202000.0,,,,,,,,,,,61565000.0,,,,,,,,,,1091988000.0,,,,,,,,,,-2978000.0,,,,,1161590000.0,,,,-60755000.0,,,,152496000.0,,,,,,2460019000.0,,,,,-13245000.0,-54266000.0,,,,,0.000208,,4107843000.0,,,,,,-939278000.0,726649000.0,,1405624000.0,,,3903000.0,,-951039000.0,,,,,1392405000.0,,,,-209377000.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,152496000.0,,,,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152496000.0,,,,,,,,,,,,,,,,,0.000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,152496000.0,,,,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152496000.0,,,,,,,,,,,,,,,,,0.000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,100000.0,,,,,,,,100000.0,0.0,,,,,1600000.0,,,,-100000.0,0.0,,,,,0.0,-100000.0,,,,1600000.0,100000.0,,,,,,,,,,-900000.0,,0.0,,,100000.0,,,0.0,,,0.0,,,,,1600000.0,,,,,1600000.0,,0.0,,0.0,1600000.0,,,0.0,,,,,,1600000.0,,,,152496000.0,,,,,,,,,1600000.0,,,,0.0,,,,,,,,,,,,-900000.0,,0.0,,,,,,0.000417,,,,,,0.0,,,,,,,,,,,,,,152496000.0,,0.0,,,0.0,,,,,,,,0.0,0.0,1600000.0,1600000.0,,,,,0.0,,,,,,1600000.0,,,,1600000.0,0.000417,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,68571429.0,,,,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001458,,,,,,,,,,-100000.0,,,,,,,,,,,,-100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68571429.0,,,,,,,,,,,,,,,,,-0.001458,,,,,,,,,,-100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,300000.0,,,,,,,,300000.0,,,-200000.0,,,7100000.0,,,,,,,,,,7100000.0,,,,,7100000.0,100000.0,,,,,-200000.0,,,,900000.0,,6300000.0,0.0,,,100000.0,,,0.0,200000.0,,0.0,,,,,,,,,,,,200000.0,,,7100000.0,,-200000.0,,,,,,,0.0,,,,73846154.0,,,,,,,,,6900000.0,,,,0.0,,,,,,,,,,,,-200000.0,,200000.0,,,,,,-0.002708,,,,,,0.0,,,,,,,,,,,,,,73846154.0,,-200000.0,,,-200000.0,,,,,,,100000.0,0.0,7200000.0,7100000.0,,,,,,,,,,,,,,,,,-0.002708,100000.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,346176000.0,,,,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,346176000.0,,,,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,346176000.0,,,,,100000.0,100000.0,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,100000.0,,,400000.0,,,,,,,,400000.0,100000.0,,,,,7000000.0,,,,-100000.0,300000.0,,,,,-100000.0,-100000.0,,,,7000000.0,400000.0,,,,,,,,,,-200000.0,,-100000.0,,,400000.0,,,0.0,-100000.0,,0.0,,,,,6900000.0,,,,,7000000.0,,100000.0,,100000.0,7000000.0,,,0.0,,,,,,7100000.0,,,,346176000.0,,,,,,,,,6900000.0,,,,0.0,,,,,,,,,,,,-200000.0,,100000.0,0.0,,,,,,,,,,,-100000.0,,,,,,,,,,,,,,346176000.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,7000000.0,7000000.0,,,,,0.0,,,,,,7000000.0,,,,7000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,
