date,annualCurrentDeferredRevenue,trailingCostOfRevenue,annualDilutedAverageShares,annualOtherCurrentAssets,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,annualTotalRevenue,annualEndCashPosition,trailingOperatingIncome,annualCurrentDebt,annualOperatingIncome,trailingTotalRevenue,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyStockBasedCompensation,annualFreeCashFlow,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,trailingEndCashPosition,annualAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingTaxProvision,quarterlyEbitda,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,annualChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyIncomeTaxPayable,trailingNetIncome,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,annualDilutedEPS,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualLongTermDebt,annualCashDividendsPaid,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,annualCurrentAssets,quarterlyLongTermDebt,annualBasicAverageShares,quarterlyChangeInInventory,annualNetIncome,quarterlyOtherCurrentAssets,annualOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualStockholdersEquity,quarterlyInvestmentsAndAdvances,annualOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,annualCurrentAccruedExpenses,annualRetainedEarnings,trailingCommonStockIssuance,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,annualTotalAssets,annualTaxProvision,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,trailingOperatingCashFlow,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualStockBasedCompensation,annualTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,quarterlyBasicEPS,annualOperatingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualInventory,quarterlyBasicAverageShares,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualChangeInInventory,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualInterestExpense,trailingInterestExpense,annualPretaxIncome,annualPurchaseOfInvestment,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingCapitalExpenditure,quarterlyTotalAssets,trailingBeginningCashPosition,annualChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,trailingOperatingExpense,annualGoodwill,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualIncomeTaxPayable,trailingInvestingCashFlow,annualGrossPPE,quarterlySaleOfInvestment,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,trailingGrossProfit,quarterlyDilutedAverageShares,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,trailingDeferredIncomeTax,trailingNetOtherFinancingCharges,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualBasicEPS,trailingChangeInAccountPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingSellingGeneralAndAdministration,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,trailingBasicEPS
1996-08-31,,3171000000.0,280012000.0,27700000.0,,317300000.0,584400000.0,-17600000.0,1119000000.0,40300000.0,181400000.0,5369000000.0,100000.0,,,-128000000.0,,,,,1390700000.0,,132000000.0,136000000.0,,,111000000.0,,,709000000.0,,85500000.0,,,,,,,-75700000.0,,,,,388000000.0,,707000000.0,85700000.0,362300000.0,,,820000000.0,1601700000.0,,0.05625,,-6000000.0,1236200000.0,-10400000.0,-34900000.0,,40700000.0,68400000.0,,280012000.0,,67900000.0,,100200000.0,,,,,67900000.0,,586200000.0,,4600000.0,,,,199900000.0,36000000.0,,,,2187900000.0,75700000.0,698000000.0,85700000.0,,,,,,1616000000.0,,,,,,18400000.0,,,,-29000000.0,,1268800000.0,267100000.0,,2119500000.0,211000000.0,,106400000.0,750500000.0,,103700000.0,,,-1609000000.0,1082000000.0,,,0.0,,,,,267100000.0,140600000.0,13900000.0,,,,,,,,,126600000.0,296000000.0,161200000.0,-14200000.0,-416000000.0,,-1228000000.0,,1189000000.0,,,,1079000000.0,,,-1057000000.0,,-1064000000.0,966500000.0,,-216000000.0,61600000.0,,,,,-214000000.0,,,17300000.0,2198000000.0,,2000000.0,-96800000.0,-4000000.0,-11000000.0,-231700000.0,34700000.0,10300000.0,0.05625,,,,,,,,,,,,,,,,,,,
1996-11-30,,,,,4185230.0,,,,,,,,,0.0,,,,-101525584.0,,,,-26866478.0,,,27271500.0,,,71148913.0,43877413.0,,,,-29296612.0,1655326043.0,0.00337,,-4455245.0,,,,203861212.0,,982179020.0,,,,,,163899014.0,64803564.0,,,165654111.0,,,,,,,44552451.0,,,1302551640.0,,,,21736195.0,,,,,94505198.0,,,,,,1491427029.0,71148913.0,,,,,-23086270.0,-49277710.0,,,,,-12150668.0,571891454.0,4185230.0,,-213041717.0,,,-2295126.0,-2295126.0,144322938.0,,,,1485082.0,27271500.0,,769137303.0,,,,,,1287835831.0,,,0.00337,,37397057.0,31591738.0,,,,280012000.0,,,93965168.0,106115836.0,31321723.0,,,,135007.0,,-10665586.0,,,-52247874.0,22951262.0,34156878.0,,,,,,,,2227892534.0,,,-675037.0,2163088970.0,,,,,,,,,,,15255839.0,,-17550965.0,,,92345079.0,,,,280012000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-28,,,,,3966083.0,,,,,,,,,0.0,,,,-81871571.0,,,,8950723.0,,,27433095.0,,,70979212.0,43490153.0,,,,-19664001.0,1703364333.0,0.003418,,3224392.0,,,,205415755.0,,1025574398.0,,,,,,161925602.0,56892779.0,,,167532823.0,,,,,,,43626914.0,,,1350519694.0,,,,18462801.0,,,,,96553611.0,,,,,,1541438731.0,70979212.0,,,,,0.0,-20470649.0,,,,,3966083.0,573440919.0,3966083.0,,-215809628.0,,,-4102845.0,-4102845.0,147292123.0,,,,8205689.0,27489059.0,,809764770.0,,,,,,1298550328.0,,,0.003418,,37335886.0,31318381.0,,,,280012000.0,,,37599383.0,112417944.0,133419.0,,,,-2596714.0,,12171772.0,,,-62084730.0,42420729.0,35968272.0,,,,,,,,2277625821.0,,,-8770.0,2220733042.0,,,,,,,,,,,-1716452.0,,0.0,,,88621444.0,,,,280012000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-31,,,,,4268796.0,,,,,,,,,0.0,,,,-90218929.0,120754.0,,,33338504.0,,,27641866.0,,,76287524.0,48609198.0,,,,16187273.0,1773065271.0,0.003448,,6188165.0,,,,209859543.0,,1059212338.0,,,,,,222665932.0,49435417.0,,,176948499.0,,,,,,,40622418.0,,,1356375654.0,,,,14321123.0,,,,,100660975.0,,,,,,1550399339.0,76287524.0,,,,,-1.0,-35181413.0,,,,,4268796.0,577802258.0,4268796.0,,-217295511.0,,,-7435968.0,-7435968.0,153401267.0,,,,8950702.0,27678326.0,,841916827.0,,,,,,1293996144.0,,,0.003448,,70228587.0,35389700.0,,,,280012000.0,,,16328591.0,166483063.0,-58832.0,,,,0.0,,13219498.0,,,-54353708.0,70540981.0,44753511.0,,,,,,,,2351831451.0,,,-2207959.0,2302396034.0,,,,,,,,,,,-3349357.0,,0.0,,,107683834.0,,,,280012000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-31,,,280056000.0,16937387.0,4128742.0,386227961.0,688324309.0,0.0,,70248508.0,184228793.0,,-138831.0,0.0,,-32902957.0,31375816.0,-124690177.0,-2518133.0,,1609051784.0,10399825.0,,116756907.0,35521094.0,,,83561509.0,48040415.0,,,277662.0,-129617.0,1849229488.0,,,6565665.0,,-2776621.0,,211439678.0,,1172566986.0,,,,117867555.0,,240177704.0,41649313.0,,1849229488.0,178134279.0,0.017355,-20824656.0,-171317506.0,1408024434.0,-4859086.0,-17631542.0,39983341.0,,41649313.0,1408024434.0,280056000.0,,16659725.0,16937387.0,213660975.0,,,,94572770.0,16659725.0,,579341941.0,,25822574.0,1609051784.0,83561509.0,,211439678.0,,,1337649.0,-66387734.0,2429265584.0,26794391.0,,117867555.0,4133349.0,579341941.0,4128742.0,,-293211162.0,,,-20824656.0,-20824656.0,161044009.0,,,,8204471.0,35521094.0,,879355824.0,1294599472.0,302096348.0,,2387616271.0,240177704.0,1294599472.0,-21796474.0,879355824.0,,194085798.0,70248508.0,37040245.0,,,,,,,52995377.0,213660975.0,-20494.0,302096348.0,161044009.0,39983341.0,-138831.0,,12337820.0,,-20824656.0,-58302443.0,58172826.0,53172289.0,135360267.0,,27072053.0,,,,,2429265584.0,,,115145.0,2387616271.0,,,,,,,1172566986.0,,-293211162.0,11522977.0,-13521975.0,,0.0,,,116756907.0,,-3331945.0,,,,200888519.0,,,-226988755.0,53172289.0,-398306261.0,0.017355,,,,,,,,,,,,,,,,,,,
1997-11-30,,,,,6404782.0,,,,,,,,,0.0,,,,-74722459.0,,,,-43267863.0,,,36293766.0,,,85254768.0,48961002.0,,,,-42413891.0,1825789924.0,0.003558,,8255053.0,,,,217762596.0,,1201964134.0,,,,,,212496442.0,272701395.0,,,191858810.0,,,,,,,39709651.0,,,1401793339.0,,,,14944492.0,,,,,106604042.0,,,,,,1613293482.0,85254768.0,,,,,1423285.0,-24765158.0,,,,,6404782.0,877597495.0,6404782.0,,-300597780.0,,,190435525.0,190435525.0,171790492.0,,,,9962995.0,36293766.0,,901366354.0,,,,,,1290065471.0,,,0.003558,,70167948.0,33874182.0,,,,280064000.0,,,278536863.0,239965841.0,288499858.0,,,,142328.0,,16367777.0,,,-49957301.0,7543410.0,35155138.0,,,,,,,,2704099061.0,,,,2431397666.0,,,,,,,,,,,211357814.0,,-20922289.0,295900939.0,,107173356.0,,,,280064000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-28,,,,,-2414087.0,,,,,,,,,0.0,,,,-17296854.0,,,,5494503.0,,,37548892.0,,,73334180.0,35785288.0,,,,-26600594.0,2001704061.0,-0.005338,,4383402.0,,,,210735586.0,,1263135473.0,,,,,,259585345.0,256177222.0,,,188866799.0,,,,,,,37631354.0,,,1528969043.0,,,,50553819.0,,,,,115592161.0,,,,,,1742118716.0,73274638.0,,,,,568020.0,51320114.0,,,,,-2414087.0,870065322.0,-2414087.0,,-299914797.0,,,129508662.0,129508662.0,175518319.0,,,14626527.0,6390230.0,37489350.0,,963220676.0,,,,,,1305026981.0,,,-0.005338,,70292531.0,35785288.0,,,,280132000.0,,,-85693921.0,359414939.0,-797501.0,,,,-284333.0,,3976143.0,,,-68616968.0,42016374.0,35359272.0,,,,,,,,2883839818.0,,,,2627662596.0,,,,,,,,,,,-60974400.0,,0.0,295938654.0,,153933542.0,,,,280132000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-31,,,,,10196650.0,,,,,,,,,0.0,,,,-607470855.0,-4782149.0,,,2522084.0,,,37155157.0,,,86681741.0,49526584.0,,,,-12267380.0,1964894391.0,0.007275,,14164167.0,,,,216314639.0,,1280990531.0,,,,,,199563001.0,93663511.0,,,200436999.0,,,,,,,35688274.0,,,1539985433.0,,,,20830299.0,,,,,113765477.0,,,,,,1765331391.0,86671522.0,,,,,11507647.0,-544253427.0,,,,,10196650.0,1158048070.0,10196650.0,,-307647487.0,,,21849964.0,21849964.0,189657684.0,,,,15877640.0,37144938.0,,973343044.0,,,,,,1280990532.0,,,0.007275,,35251275.0,34814275.0,,,,327520000.0,,,448817655.0,775819374.0,282436026.0,,,,287672.0,,26074290.0,,,-63217428.0,50950048.0,34377276.0,,,,,,,,3123816460.0,,,,3030152950.0,,,,,,,,,,,-107703152.0,,0.0,295848507.0,,129934450.0,,,,327520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-31,,,330196000.0,35170357.0,-772405.0,453917412.0,783796514.0,0.0,,121997174.0,168786309.0,,-1.0,0.0,,-253414979.0,537761030.0,240077387.0,-5133660.0,,1478568064.0,-19545395.0,,146490815.0,50094978.0,,,84722511.0,34627533.0,,,13502905.0,-172133114.0,1784738577.0,,,28308070.0,,,,210394096.0,,1339456743.0,,,,161092793.0,,306170513.0,116815827.0,,1784738577.0,202587483.0,-0.001955,21981473.0,-372899984.0,1225310096.0,-14601978.0,-20882399.0,33129219.0,,116815827.0,1225310096.0,330196000.0,,13502905.0,35170357.0,782069399.0,,,109750353.0,117864972.0,13502905.0,,1415606846.0,,-54796671.0,1478568064.0,84722511.0,,210394096.0,,,55851673.0,144798487.0,3201130476.0,71439786.0,,161092793.0,-772405.0,1415606846.0,-772405.0,,-342125922.0,,,21981473.0,21981473.0,220128749.0,,,,39247506.0,50094978.0,,997330821.0,1304914429.0,329879102.0,,3084314649.0,306170513.0,1304914429.0,69398650.0,997330821.0,,128748626.0,121997174.0,30597565.0,,,,,,,-268132571.0,782069399.0,-32377353.0,329879102.0,220128749.0,33129219.0,-145668.0,,38475101.0,,21981473.0,-200371908.0,28238794.0,37682524.0,135186057.0,,84942691.0,,,,,3201130476.0,,,,3084314649.0,,,,,,,1339456743.0,,-342125922.0,55110692.0,183610.0,,0.0,,,146490815.0,,42863872.0,,,,373528026.0,,,-382163605.0,37682524.0,-459412781.0,-0.001955,,,,,,,,,,,,,,,,,,,
1998-11-30,,,,,-8587640.0,,,,,,,,,0.0,,,,-63027143.0,-6900782.0,,,-35730716.0,,,46925318.0,-2300261.0,,94924091.0,47998773.0,,,,-44165006.0,1832694372.0,-0.01147,,6747431.0,,,,194755406.0,,1359300721.0,,,,,,153044012.0,118693452.0,,,213157491.0,,,,,,,271277411.0,,,1408372949.0,,,,110259163.0,,,,,118233400.0,,,,,,1679650360.0,94924091.0,,,,,-13494863.0,-11808005.0,,,,,-8587640.0,1410979911.0,-8587640.0,,-334151204.0,,,8434289.0,8434289.0,,,,,11041251.0,46925318.0,,1025149517.0,,,,,,1288912743.0,,,-0.01147,,,32203650.0,,,,330256000.0,,,27296427.0,810918571.0,,,,,0.0,,2453611.0,,,-66400859.0,22235853.0,,,,,,,,,3243674283.0,,,,3124980831.0,,,,,,,,766754.0,,,-13494863.0,,22082503.0,,,,,,,330256000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
