,quarterlyNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualDilutedAverageShares,quarterlyChangeInInventory,annualDilutedEPS,annualBeginningCashPosition,trailingChangesInAccountReceivables,quarterlyChangesInAccountReceivables,annualInterestExpense,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlySaleOfInvestment,trailingDeferredIncomeTax,trailingRepaymentOfDebt,annualCapitalExpenditure,quarterlyCapitalStock,trailingCapitalExpenditure,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyAccountsPayable,trailingInterestExpense,quarterlyOtherCurrentAssets,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,annualStockBasedCompensation,quarterlyNetPPE,annualNetOtherFinancingCharges,annualChangeInInventory,annualInventory,quarterlyTaxProvision,quarterlyEbitda,trailingTaxProvision,trailingNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,trailingOtherNonCashItems,annualCapitalStock,annualCurrentDebt,annualOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyGrossPPE,annualGrossProfit,trailingFreeCashFlow,trailingOperatingExpense,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,trailingSellingGeneralAndAdministration,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyCapitalExpenditure,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyTotalRevenue,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualTotalLiabilitiesNetMinorityInterest,trailingPurchaseOfBusiness,quarterlyCurrentLiabilities,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,quarterlyAccountsReceivable,quarterlyGoodwill,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,annualCashDividendsPaid,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualNetIncome,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,annualPretaxIncome,quarterlyCostOfRevenue,annualFreeCashFlow,annualCommonStockIssuance,annualGoodwill,annualInvestingCashFlow,quarterlyNetIncome,quarterlyDepreciationAndAmortization,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,annualAccountsPayable,trailingInvestingCashFlow,trailingTotalRevenue,annualOtherNonCashItems,quarterlySellingGeneralAndAdministration,annualStockholdersEquity,annualOtherCurrentAssets,trailingPurchaseOfInvestment,annualLongTermDebt,annualEndCashPosition,annualDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingStockBasedCompensation,annualTaxProvision,annualTotalAssets,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,annualCurrentAccruedExpenses,quarterlyDilutedAverageShares,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,annualCurrentLiabilities,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,trailingOtherIncomeExpense,trailingOperatingIncome,annualSaleOfInvestment,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualEbitda,annualCurrentAssets,trailingChangeInAccountPayable,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,2200000.0,3400000.0,32400000.0,,,-100000.0,219890055.0,,0.010005,0.0,,,1400000.0,,,6000000.0,,,,,,,,,100000.0,29100000.0,,,,,,,,,,,,219890055.0,,,,,,,,,,,,,,,2200000.0,,,,8400000.0,21800000.0,,,900000.0,9100000.0,,,-11500000.0,,,13400000.0,,,,,,,,,,,,,,,,,,,,,,,30400000.0,,,,2000000.0,,6400000.0,,,,,,,,,,,,,,,,2200000.0,,,3000000.0,,0.0,,,0.0,,,4300000.0,,,,,,,10400000.0,1700000.0,,24200000.0,0.0,,,,800000.0,40800000.0,,,,,,,,,4300000.0,,8900000.0,0.010005,,,,,,,,,,,,,,8900000.0,,,,26100000.0,,20900000.0,,8200000.0,0.0,7400000.0,11700000.0,,,,,,,,,,,,,,,,,,
347068800,,,3100000.0,7400000.0,51300000.0,,,100000.0,232383808.0,,0.01334,0.0,,,1100000.0,,,8000000.0,,,,,,,,,100000.0,45000000.0,,,,,,,,,,,,232383808.0,,,,,,,,,,,,,,,3100000.0,,,,10100000.0,26700000.0,,,800000.0,11700000.0,,,-14800000.0,,,16600000.0,,,,,,,,,,,,,,,,,,,,,,,39600000.0,,,,2400000.0,,9100000.0,,,,,,,,,,,,,,,,3100000.0,,,3900000.0,,0.0,,,0.0,,,4900000.0,,,,,,,25300000.0,3000000.0,,28900000.0,0.0,,,,800000.0,64900000.0,,,,,,,,,8200000.0,,15600000.0,0.01334,,,,,,,,,,,,,,15600000.0,,,,31400000.0,,36500000.0,,8500000.0,0.0,8600000.0,19900000.0,,,,,,,,,,,,,,,,,,
378604800,,,4900000.0,12100000.0,82800000.0,,,-100000.0,293853073.0,,0.016675,0.0,,,200000.0,,,11700000.0,,,,,,,,,0.0,74300000.0,,,,,,,,,,,,293853073.0,,,,,,,,,,,,,,,4900000.0,,,,15300000.0,39500000.0,,,1100000.0,17100000.0,,,-20300000.0,,,24200000.0,,,,,,,,,,,,,,,,,,,,,,,89700000.0,,,,4200000.0,,13400000.0,,,,,,,,,,,,,,,,4900000.0,,,6900000.0,,0.0,,,0.0,,,7100000.0,,,,,,,30300000.0,7000000.0,,72400000.0,0.0,,,,2000000.0,120000000.0,,,,,,,,,13200000.0,,36700000.0,0.016675,,,,,,,,,,,,,,36700000.0,,,,76500000.0,,62500000.0,,11800000.0,0.0,12500000.0,45700000.0,,,,,,,,,,,,,,,,,,
410140800,,,6500000.0,18400000.0,114200000.0,,,-100000.0,278432212.0,,0.023345,0.0,,,8400000.0,,,16400000.0,,,,,,,,,5600000.0,106600000.0,,,,,,,,,,,,278432212.0,,,,,,,,,,,,,,,6500000.0,,,,26100000.0,62800000.0,,,1700000.0,25800000.0,,,-28500000.0,,,36700000.0,,,,,,,,,,,,,,,,,,,,,,,135000000.0,,,,5500000.0,,19200000.0,,,,,,,,,,,,,,,,6500000.0,,,8100000.0,,0.0,,,0.0,,,10900000.0,,,,,,,36400000.0,8200000.0,,109500000.0,0.0,,,,1600000.0,171400000.0,,,,,,,,,20100000.0,,54500000.0,0.023345,,,,,,,,,,,,,,54500000.0,,,,114900000.0,,85700000.0,,20900000.0,0.0,20300000.0,64800000.0,,,,,,,,,,,,,,,,,,
441676800,,,9000000.0,19000000.0,133000000.0,,,1900000.0,385521525.0,,0.023345,0.0,,,9600000.0,,,19900000.0,,,,,,,,,5500000.0,115300000.0,,,,,,,,,,,,337331334.0,,,,,,,,,,,,,,,9000000.0,,,,35800000.0,84400000.0,,,2900000.0,32600000.0,,,-38400000.0,,,48600000.0,,,,,,,,,,,,,,,,,,,,,,,119900000.0,,,,7500000.0,,27200000.0,,,,,,,,,,,,,,,,9000000.0,,,12000000.0,,0.0,,,0.0,,,16000000.0,,,,,,,68700000.0,7200000.0,,88600000.0,0.0,,,,3000000.0,188600000.0,,,,,,,,,21900000.0,,62700000.0,0.02668,,,,,,,,,,,,,,62700000.0,,,,98000000.0,,94600000.0,,20700000.0,0.0,28700000.0,73300000.0,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00667,,,,,,,,,,,,,23800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23800000.0,,,,,,,,,23800000.0,,,,,,,,,,,,,,,,0.00667,,,,,,,,,,,,,,,,,,,,,,,2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00667,,,,,,,,,,,,,25700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25700000.0,,,,,,,,,25700000.0,,,,,,,,,,,,,,,,0.00667,,,,,,,,,,,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010005,,,,,,,,,,,,,26300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26300000.0,,,,,,,,,26300000.0,,,,,,,,,,,,,,,,0.010005,,,,,,,,,,,,,,,,,,,,,,,3100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,12200000.0,26800000.0,148200000.0,,,1700000.0,406463435.0,,0.030015,0.0,,,12500000.0,,,22700000.0,,,,,,,,,10900000.0,125100000.0,120800000.0,,,,120800000.0,84700000.0,,,,,8200000.0,365817091.0,,,,97700000.0,,,,,-52000000.0,,,,,-50500000.0,12200000.0,,,,42500000.0,103000000.0,,,3500000.0,36700000.0,,133000000.0,-50500000.0,,148200000.0,60500000.0,,,,,37900000.0,,,,-52000000.0,26800000.0,,,,,,,,27200000.0,,,,,173400000.0,,30300000.0,,15300000.0,125100000.0,37900000.0,,,,,,126100000.0,,,1700000.0,,,,,,,12200000.0,,258100000.0,22300000.0,,0.0,,,0.0,,,23800000.0,4200000.0,,,,,,84700000.0,8200000.0,,126100000.0,0.0,,143100000.0,,10100000.0,258100000.0,,,,,,,,,30300000.0,3500000.0,120800000.0,0.03335,15300000.0,,,,,,,,,,,,,120800000.0,,,173400000.0,143100000.0,,97700000.0,27400000.0,27400000.0,0.0,37800000.0,133000000.0,,,,,,,,,,,,,,,,,,
