date,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,annualAccumulatedDepreciation,quarterlyGrossPPE,trailingNetOtherFinancingCharges,annualCapitalExpenditure,annualCashAndCashEquivalents,annualOperatingExpense,annualNetIncomeContinuousOperations,annualBeginningCashPosition,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,annualBasicEPS,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,trailingOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualCurrentAssets,trailingNetIncomeContinuousOperations,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,annualFreeCashFlow,annualCommonStockIssuance,annualOtherIntangibleAssets,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,quarterlyGoodwill,trailingCommonStockIssuance,annualRetainedEarnings,trailingOperatingCashFlow,annualCostOfRevenue,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentDebt,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,quarterlyOtherCurrentAssets,trailingTaxProvision,annualTaxProvision,annualTotalAssets,annualTotalNonCurrentAssets,annualBasicAverageShares,annualOtherNonCashItems,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualOtherCurrentAssets,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,trailingSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyInventory,annualAccountsReceivable,annualPurchaseOfBusiness,quarterlyLongTermDebt,quarterlyAccumulatedDepreciation,trailingPretaxIncome,annualInventory,trailingNetIncome,annualDilutedAverageShares,annualGoodwill,annualStockBasedCompensation,quarterlyAccountsReceivable,annualChangeInInventory,trailingCashDividendsPaid,annualGrossProfit,annualCurrentLiabilities,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualOperatingCashFlow,annualNetPPE,annualChangeInWorkingCapital,trailingRepaymentOfDebt,annualDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualOtherCurrentLiabilities,trailingGrossProfit,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,trailingResearchAndDevelopment,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,trailingPurchaseOfInvestment,annualEndCashPosition,trailingTotalRevenue,trailingEndCashPosition,quarterlyTotalAssets,trailingOperatingIncome,annualPretaxIncome,trailingInterestExpense,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualGrossPPE,annualAccountsPayable,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,annualOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCapitalExpenditure
1999-12-31,,,,,49904000.0,-9181000.0,23351000.0,95365000.0,11927000.0,13355000.0,1911940000.0,,744052000.0,,565836000.0,0.007292,11342000.0,12145000.0,2193617000.0,3636000.0,,61866000.0,361768000.0,,3259000.0,18281000.0,,,,11000.0,,379350000.0,51068000.0,,,,,-174112000.0,,826595000.0,14460000.0,351969000.0,,17714000.0,-2000000.0,3636000.0,12036000.0,,35864000.0,908000.0,92337000.0,30471000.0,1665600000.0,-4795000.0,,95211000.0,18829000.0,-302390000.0,,38376000.0,3387811000.0,,,4795000.0,-20447000.0,-1998000.0,,16958000.0,-22000.0,,,397632000.0,1336000.0,351969000.0,1665600000.0,,,,-269000.0,-29568000.0,108851000.0,47432000.0,,,,210685000.0,,27132000.0,-12796000.0,-316813000.0,0.007292,23351000.0,,23417000.0,2448875000.0,9996000.0,,-9800000.0,2893000.0,458190000.0,,-1511000.0,123311000.0,-3166385000.0,23351000.0,3014711000.0,844233000.0,,255258000.0,12944000.0,15613000.0,13486000.0,100181000.0,-598803000.0,,,,,-447245000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,,-5920000.0,33938000.0,108715000.0,21662000.0,23351000.0,,,,,,0.013333,105000.0,22364000.0,,2099000.0,,89076000.0,,,3019000.0,30151000.0,,,,0.0,,,55733000.0,,,,,,,,32836000.0,,,22888000.0,-1210000.0,2099000.0,22013000.0,,,794000.0,119120000.0,30044000.0,1677300000.0,-6875000.0,,108716000.0,26556000.0,,,60740000.0,,,,6875000.0,-5768000.0,-700000.0,,26006000.0,0.0,,,,1729000.0,,1677300000.0,,,,-393000.0,,131991000.0,53634000.0,,,,,,26259000.0,-25244000.0,,0.013333,33938000.0,,23552000.0,,10587000.0,,645000.0,2647000.0,,,-1653000.0,164827000.0,,33938000.0,,,,,22807000.0,,23276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,,,,-12970000.0,125431000.0,137788000.0,28339000.0,33928000.0,,,,,,0.014583,-17138000.0,30036000.0,,,,172750000.0,,,3197000.0,36011000.0,,,27171000.0,96434000.0,5757000.0,,45382000.0,,,,,,,,35216000.0,,,,-2790000.0,1843000.0,30036000.0,,,1894000.0,213852000.0,41102000.0,2059611429.0,33369000.0,,138458000.0,16740000.0,,,167518000.0,,,,6772000.0,-9373000.0,-5321000.0,,28438000.0,-3354000.0,,,,1389000.0,,2059611429.0,,,,340000.0,,167027000.0,,,,,,40141000.0,31958000.0,-5377000.0,,0.014583,125431000.0,,,,92176000.0,,12258000.0,,,,-25698000.0,202243000.0,,125431000.0,,,,,30233000.0,,29239000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,,,,,-41051000.0,131426000.0,238641000.0,39236000.0,125431000.0,,,,,,0.01875,1035000.0,40698000.0,,1587000.0,,205338000.0,,,0.0,53615000.0,,,-1893000.0,0.0,53178000.0,,102289000.0,,,,,,,,47122000.0,,,26256000.0,-4643000.0,1587000.0,39967000.0,,,2809000.0,313740000.0,108402000.0,2170560000.0,51834000.0,,234279000.0,0.0,,,210295000.0,,,,20890000.0,-54313000.0,-7796000.0,,55238000.0,-5212000.0,,,,2861000.0,,2170560000.0,,,,-1319000.0,,271366000.0,100702000.0,,,,,39158000.0,42736000.0,-33566000.0,,0.01875,131426000.0,,54287000.0,,5995000.0,,-527000.0,1156000.0,,0.0,-256000.0,318488000.0,,131426000.0,,,,,42776000.0,,32725000.0,,,,4926000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,,,,,-57209000.0,164458000.0,288118000.0,56952000.0,131426000.0,,,,,,0.027083,-1000000.0,59130000.0,,0.0,,246247000.0,,,0.0,50458000.0,,,48658000.0,937000.0,74263000.0,,110857000.0,,,,,,,,58097000.0,,,20000000.0,-9357000.0,0.0,58041000.0,,,10184000.0,372078000.0,125831000.0,2183261538.0,81861000.0,,286440000.0,0.0,,,261154000.0,,,,31100000.0,-56721000.0,0.0,,47220000.0,0.0,,,,2743000.0,,2183261538.0,,,,118000.0,,307476000.0,110857000.0,,,,,105867000.0,44044000.0,-7094000.0,,0.027083,164458000.0,,59514000.0,,33032000.0,,488000.0,,,0.0,-46936000.0,365573000.0,,164458000.0,,,,,68225000.0,,19358000.0,,,,3095000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,,,,,-56675000.0,214719000.0,355981000.0,57475000.0,164458000.0,,,,,,0.025,200000.0,54965000.0,,0.0,,323841000.0,,,16630000.0,51972000.0,,,60011000.0,2892000.0,79006000.0,,155644000.0,,,,,,,,84676000.0,,,24000000.0,-4691000.0,,56220000.0,,,3312000.0,471434000.0,147593000.0,2198600000.0,66330000.0,,354580000.0,0.0,,,314052000.0,,,,46707000.0,-68558000.0,,,68210000.0,-631000.0,,,,3741000.0,,2198600000.0,,,,-337000.0,,361246000.0,155644000.0,,,,,116686000.0,45454000.0,3649000.0,,0.025,214719000.0,,88892000.0,,50261000.0,,-14233000.0,,,0.0,-20000000.0,445922000.0,,214719000.0,,,,,59532000.0,,5265000.0,,,,5921000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,,,,,-58012000.0,281622000.0,345377000.0,72290000.0,214719000.0,,,,,,0.033333,-18810000.0,72290000.0,,0.0,,402096000.0,,,16246000.0,124093000.0,,,82511000.0,511000.0,84869000.0,,188590000.0,,,,,,99600000.0,,103846000.0,,,30000000.0,,,73288000.0,,,6552000.0,564357000.0,162261000.0,2168700000.0,81121000.0,,406474000.0,5000000.0,,,372931000.0,,,,43973000.0,-100031000.0,-100000.0,,,-196000.0,,,,3960000.0,,2168700000.0,,,,-219000.0,,425497000.0,188590000.0,,,,,140523000.0,53367000.0,15429000.0,,0.033333,281622000.0,,48385000.0,,28193000.0,,-43239000.0,,,,-55000000.0,529343000.0,,242053000.0,,,,,79840000.0,,80120000.0,,,,101624000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,,,-53431000.0,358845000.0,459854000.0,97377000.0,242053000.0,,,,,,0.045833,7150000.0,97377000.0,,0.0,,515553000.0,,,18367000.0,85257000.0,,,156693000.0,15795000.0,88936000.0,,251444000.0,,,,,,116569000.0,,121195000.0,,,37150000.0,-20843000.0,,97331000.0,,,7463000.0,726420000.0,210867000.0,2124589091.0,115896000.0,,459854000.0,31426000.0,,,471936000.0,,,,54863000.0,-95281000.0,0.0,,,,,,,3659000.0,,2225760000.0,,,,301000.0,,490248000.0,251444000.0,,,,,210124000.0,99358000.0,39365000.0,,0.04375,358845000.0,,60416000.0,,116945000.0,,-42243000.0,,,,-50000000.0,611443000.0,,358845000.0,,,,,104794000.0,,30394000.0,,,,146233000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,,,,-168186000.0,392185000.0,460721000.0,138735000.0,358845000.0,,,,140000.0,,0.0625,0.0,136476000.0,,0.0,,586688000.0,,,0.0,211490000.0,,,100529000.0,10824000.0,86918000.0,,289821000.0,,,,,,138136000.0,,159699000.0,,,0.0,-29150000.0,,136476000.0,,,11344000.0,902650000.0,315962000.0,2182214400.0,8843000.0,,552483000.0,46410000.0,,,607530000.0,,,,61271000.0,-179166000.0,,,117928000.0,,,,,2313000.0,,2340033600.0,,,,1346000.0,,607175000.0,289821000.0,,,,,268715000.0,206992000.0,42009000.0,,0.058333,392185000.0,,0.0,,34073000.0,,-15219000.0,0.0,,48773000.0,-37150000.0,766874000.0,,392185000.0,,,,,150079000.0,,146454000.0,,,,159106000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,-1878000.0,,-57313000.0,,,-317630000.0,423640000.0,655396000.0,185027000.0,392185000.0,,,,97000.0,,0.079833,9058000.0,181546000.0,,0.0,,718575000.0,,,0.0,266467000.0,,,-31955000.0,130336000.0,115458000.0,,401452000.0,,,,,,261887000.0,,184455000.0,,,9500000.0,-36470000.0,,181546000.0,,,4264000.0,1307396000.0,588821000.0,2273041200.0,-6003000.0,,655396000.0,97460000.0,,,897164000.0,,,,77079000.0,-355708000.0,,,136875000.0,,,,,2773000.0,,2404402800.0,,16100000.0,,-460000.0,,690845000.0,401452000.0,,,,,285675000.0,413711000.0,58127000.0,,0.0755,423640000.0,,0.0,,31455000.0,,-51050000.0,0.0,,50923000.0,0.0,875300000.0,,423640000.0,,,,,189291000.0,,35449000.0,,,471024000.0,263091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
