date,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyBasicAverageShares,trailingNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyGrossProfit,annualCapitalExpenditure,trailingDeferredIncomeTax,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,quarterlyOtherNonCashItems,annualTotalRevenue,trailingResearchAndDevelopment,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualChangeInAccountPayable,annualChangesInAccountReceivables,trailingBeginningCashPosition,annualDeferredIncomeTax,trailingFreeCashFlow,annualInterestExpense,quarterlyGrossPPE,trailingChangesInAccountReceivables,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyStockBasedCompensation,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualFreeCashFlow,annualCommonStockIssuance,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,quarterlyOperatingExpense,annualNetIncome,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyLongTermDebt,trailingChangeInAccountPayable,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualLongTermDebt,annualBeginningCashPosition,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,annualCurrentDebt,annualTaxProvision,annualTotalAssets,trailingTaxProvision,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,annualTotalNonCurrentAssets,annualOtherNonCashItems,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualDilutedEPS,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualStockholdersEquity,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,annualDepreciationAndAmortization,trailingPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualSaleOfInvestment,annualBasicAverageShares,quarterlyOtherIncomeExpense,annualStockBasedCompensation,annualInvestingCashFlow,quarterlyInventory,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,annualBasicEPS,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,trailingCashDividendsPaid,trailingNetIncome,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyTaxProvision,annualGrossProfit,annualInventory,quarterlyNetPPE,trailingChangeInInventory,quarterlyResearchAndDevelopment,annualCurrentLiabilities,annualOperatingCashFlow,quarterlyCommonStockIssuance,annualNetPPE,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,annualGoodwill,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,trailingGrossProfit,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,trailingTotalRevenue,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,annualPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,annualOperatingIncome,annualOtherIncomeExpense,annualDilutedAverageShares,quarterlyBeginningCashPosition,annualAccountsPayable,trailingInvestingCashFlow,annualGrossPPE,trailingRepaymentOfDebt,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,annualInvestmentsAndAdvances,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingBasicAverageShares,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
1979-12-31,1900000.0,,261875000.0,,,-141690000.0,,,,,,,-122341000.0,,,,-31879000.0,,,1641893000.0,,93900000.0,252361000.0,50200000.0,-55800000.0,2202043000.0,,,907107000.0,,733608000.0,,,-46645000.0,,,,,,,,,,,2007121000.0,,,,5153000.0,261875000.0,,1900000.0,,,,-25300000.0,,,0.0,,,,,1900000.0,,,,219448000.0,,,,12100000.0,0.0,,,,,,,0.0,28446000.0,,,-50200000.0,,,179631000.0,,0.01,,,,25300000.0,-4933000.0,,16856000.0,,0.0,,,,113148000.0,,,0.0,,,,,,,,,860819000.0,,0.04,,,-330456000.0,261875000.0,,,,,93900000.0,,,5566000.0,,30500000.0,0.0,,,93900000.0,-67900000.0,,,,,,,,,,,290321000.0,,2479338000.0,210936000.0,,,,,,472217000.0,4681381000.0,-116659000.0,,0.0,,,89531000.0,,-575731000.0,1070137000.0,,,,,153325000.0,,93900000.0,,113148000.0,,,-122058000.0,,-12153000.0,-127211000.0,,,,,,,,,,,,,,,,,
1980-12-31,4600000.0,,,15800000.0,,,,,,,,,,,,,,43000000.0,,,,100200000.0,,41900000.0,7300000.0,,,,,,,3300000.0,,,,,,-11800000.0,,,,,,,,,2000000.0,,,,,5000000.0,,,,31300000.0,,,0.0,,,17000000.0,,5000000.0,,,,,2400000.0,,49800000.0,6700000.0,0.0,,,,,3000000.0,3600000.0,54600000.0,,39400000.0,,12700000.0,,,,,0.05,,,,23300000.0,,,,,,,,,74406000.0,,,0.0,,,,,,,,,,,0.05,,,,,,3100000.0,,,50400000.0,6300000.0,,,,24000000.0,0.0,,7600000.0,11000000.0,600000.0,,,,21000000.0,,,,15800000.0,,,,,,,,,,,,,,,,0.0,,,,8200000.0,,,,,,,,,7400000.0,4100000.0,74406000.0,,,,19400000.0,,,,,,,,,,,,,,,,,,,
1981-12-31,4400000.0,,,14700000.0,,,,,,,,,,,,,,45200000.0,,,,104200000.0,,43000000.0,6100000.0,,,,,,,3600000.0,,,,,,-12400000.0,,,,,,,,,2100000.0,,,,,4400000.0,,,,28400000.0,,,0.0,,,19200000.0,,4400000.0,,,,,2800000.0,,50400000.0,5400000.0,0.0,,,,,1200000.0,3900000.0,55800000.0,,42000000.0,,12800000.0,,,,,0.05,,,,27400000.0,,,,,,,,,88000000.0,,,0.0,,,,,,,,,,,0.05,,,,,,2800000.0,,,53800000.0,6900000.0,,,,22300000.0,0.0,,7900000.0,11800000.0,700000.0,,,,21100000.0,,,,14700000.0,,,,,,,,,,,,,,,,0.0,,,,8300000.0,,,,,,,,,8600000.0,3200000.0,88000000.0,,,,20300000.0,,,,,,,,,,,,,,,,,,,
1982-12-31,7000000.0,,,29600000.0,,,,,,,,,,,,,,57300000.0,,,,134300000.0,,56400000.0,5100000.0,,,,,,,3700000.0,,,,,,-14400000.0,,,,,,,,,3300000.0,,,,,7000000.0,,,,36500000.0,,,0.0,,,26500000.0,,7000000.0,,,,,4200000.0,,63600000.0,4200000.0,0.0,,,,,8300000.0,6100000.0,70100000.0,,53000000.0,,13700000.0,,,,,0.09,,,,33600000.0,,,,,,,,,123564000.0,,,0.0,,,,,,,,,,,0.09,,,,,,2000000.0,,,70700000.0,5100000.0,,,,31400000.0,0.0,,8400000.0,17700000.0,900000.0,,,,23100000.0,,,,29600000.0,,,,,,,,,,,,,,,,0.0,,,,13100000.0,,,,,,,,,13400000.0,3400000.0,123564000.0,,,,22800000.0,,,,,,,,,,,,,,,,,,,
1983-12-31,15200000.0,,,41000000.0,,,,,,,,,,,,,,89800000.0,,,,221500000.0,,107400000.0,6200000.0,,,,,,,2400000.0,,,,,,-16900000.0,,,,,,,,,4200000.0,,,,,15200000.0,,,,57600000.0,,,0.0,,,37300000.0,,15200000.0,,,,,7700000.0,,103700000.0,3100000.0,0.0,,,,,1500000.0,14300000.0,131300000.0,,83800000.0,,23900000.0,,,,,0.14,,,,73700000.0,,,,,,,,,108571429.0,,,0.0,,,,,,,,,,,0.14,,,,,,5300000.0,,,117800000.0,9800000.0,,,,51400000.0,0.0,,14400000.0,34000000.0,3100000.0,,,,49900000.0,,,,41000000.0,,,,,,,,,,,,,,,,0.0,,,,29500000.0,,,,,,,,,28000000.0,3900000.0,108571429.0,,,,31300000.0,,,,,,,,,,,,,,,,,,,
1984-03-31,,62300000.0,,,109967000.0,,,62300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62300000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109967000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,127300000.0,,,110180000.0,,,127300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127300000.0,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,13500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,274400000.0,,,158312000.0,,,274400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274400000.0,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,18600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158312000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,52400000.0,-332300000.0,,62800000.0,,,,250400000.0,,,,,,,,,,262100000.0,408300000.0,,,714400000.0,,364100000.0,164800000.0,,,,,,,27500000.0,107700000.0,,,364100000.0,243500000.0,-18100000.0,79200000.0,,,-332300000.0,,,,,6500000.0,,,,257200000.0,52400000.0,164800000.0,,,408300000.0,,,0.0,,,79200000.0,,52400000.0,,,127500000.0,,23100000.0,37300000.0,320600000.0,127500000.0,0.0,,,,15300000.0,83400000.0,57800000.0,665500000.0,,242700000.0,23100000.0,301400000.0,,,,,0.38,83400000.0,,,257200000.0,,,,,,,,,137894737.0,,,0.0,76800000.0,,6500000.0,-18100000.0,,,,160100000.0,,,0.38,,,,,,205300000.0,,,393800000.0,76800000.0,89600000.0,,,243500000.0,0.0,,89600000.0,151100000.0,37300000.0,,,,160100000.0,,205300000.0,,62800000.0,665500000.0,301400000.0,,,,,,,,,62800000.0,,,,,0.0,,,,110200000.0,,,,,,,,,131700000.0,6000000.0,137894737.0,,,,107700000.0,,,62800000.0,,,,,,,,,,,,,,,,
1985-03-31,,235900000.0,,,160213000.0,,,235900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235900000.0,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,16600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160213000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
