,trailingCashDividendsPaid,annualPretaxIncome,annualNetIncome,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingInvestingCashFlow,quarterlyTotalNonCurrentAssets,annualGoodwill,annualSaleOfInvestment,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,annualOperatingIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualRetainedEarnings,trailingSaleOfInvestment,annualTotalAssets,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,trailingTotalRevenue,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualNetPPE,quarterlyOperatingExpense,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,trailingOperatingIncome,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyInterestExpense,annualOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyDilutedEPS,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,trailingNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualInterestExpense,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,annualBasicAverageShares,annualBeginningCashPosition,trailingCapitalExpenditure,annualCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyChangesInAccountReceivables,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,quarterlyGrossProfit,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingGrossProfit,trailingDeferredIncomeTax,quarterlyDilutedAverageShares,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualTaxProvision,annualBasicEPS,quarterlyRepaymentOfDebt,annualCurrentDebt,annualDilutedAverageShares,annualInventory,trailingCostOfRevenue,quarterlyAccumulatedDepreciation,quarterlyNetPPE,trailingResearchAndDevelopment,quarterlyOtherNonCashItems,annualCapitalStock,quarterlyTaxProvision,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,trailingChangeInInventory,annualTotalNonCurrentAssets,annualResearchAndDevelopment,quarterlyEbitda,quarterlyStockBasedCompensation,annualGrossProfit,annualFreeCashFlow,trailingTaxProvision,trailingDepreciationAndAmortization,annualStockBasedCompensation,quarterlyBasicEPS,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,trailingOtherNonCashItems,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingExpense,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,trailingOperatingExpense,quarterlyPretaxIncome,quarterlyCapitalExpenditure,annualDilutedEPS,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,annualChangeInInventory,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingBasicEPS,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares
307497600,,106700000.0,60900000.0,,,,,,,240400000.0,,,,,,,,,,,,,,,382600000.0,,130100000.0,,,0.0,,373000000.0,,0.0,,,,,0.0,,,,,,,,,,,,,401600000.0,,0.0,-616600000.0,,,,,234000000.0,,,,,,24500000.0,,,,,,,,,,,,-917900000.0,166100000.0,-902300000.0,,,,,19300000.0,19300000.0,,,,,26700000.0,,,124150000.0,0.0,,476200000.0,,716200000.0,,,60900000.0,,113800000.0,-314600000.0,,,,,,,,,,,3400000.0,196300000.0,,,,,,,,,,,,45800000.0,0.041667,,37700000.0,124150000.0,262900000.0,,,,,,,,754300000.0,0.0,1034200000.0,,-476200000.0,,,,279900000.0,0.0,,,,,,,,,,,,149800000.0,,,,60900000.0,,,,,,,,,,0.041667,,,,60900000.0,,,-382600000.0,,,,,,,,,,,,,
339120000,,169000000.0,94000000.0,,,,,,,230500000.0,,,,,,,,,,,,,,,519600000.0,,195600000.0,,,0.0,,504800000.0,,1160800000.0,,,,,0.0,,,,,,,,,,,,,456500000.0,,0.0,326600000.0,,,,,314600000.0,,,,,,22100000.0,,,,,,,,,,,,20700000.0,239200000.0,48000000.0,,,,,108200000.0,108200000.0,,,,,40300000.0,,,125756000.0,0.0,,634200000.0,,785300000.0,,,94000000.0,,153600000.0,-328800000.0,,,,,,,,,,,13700000.0,263400000.0,,,,,,,,,,,,75000000.0,0.063333,,51200000.0,125756000.0,294700000.0,,,,,,,,1010900000.0,0.0,1403700000.0,,526600000.0,,,,392800000.0,0.0,,,,,,,,,,,,197200000.0,,,,94000000.0,,,,,,,,,,0.063333,,,,75400000.0,,,641200000.0,,,,,,,,,,,,,
370656000,,200000000.0,110200000.0,,,,,,,254200000.0,,,,,,,,,,,,,,,606400000.0,,201700000.0,,,0.0,,584100000.0,,1258900000.0,,,,,0.0,,,,,,,,,,,,,595200000.0,,0.0,387000000.0,,,,,265500000.0,,,,,,20200000.0,,,,,,,,,,,,26500000.0,249700000.0,49600000.0,,,,,29100000.0,29100000.0,,,,,37400000.0,,,126218000.0,0.0,,593900000.0,,967200000.0,,,110200000.0,,174100000.0,-372000000.0,,,,,,,,,,,35900000.0,219400000.0,,,,,,,,,,,,89800000.0,0.22,,46100000.0,126218000.0,340200000.0,,,,,,,,1199000000.0,0.0,1622800000.0,,665000000.0,,,,423800000.0,0.0,,,,,,,,,,,,222100000.0,,,,110200000.0,,,,,,,,,,0.22,,,,106300000.0,,,652500000.0,,,,,,,,,,,,,
402192000,,147400000.0,88000000.0,,,,,,,253400000.0,,,,,,,,,,,,,,,642600000.0,,189200000.0,,,0.0,,642900000.0,,1319100000.0,,,,,0.0,,,,,,,,,,,,,664400000.0,,0.0,407000000.0,,,,,269500000.0,,,,,,18600000.0,,,,,,,,,,,,18100000.0,245800000.0,42300000.0,,,,,30200000.0,30200000.0,,,,,42400000.0,,,127288000.0,0.0,,593800000.0,,1055400000.0,,,88000000.0,,187700000.0,-391000000.0,,,,,,,,,,,600000.0,209900000.0,,,,,,,,,,,,59400000.0,0.175,,59600000.0,127288000.0,347200000.0,,,,,,,,1154200000.0,0.0,1587700000.0,,725300000.0,,,,433500000.0,0.0,,,,,,,,,,,,244300000.0,,,,88000000.0,,,,,,,,,,0.175,,,,135500000.0,,,676500000.0,,,,,,,,,,,,,
433728000,,109100000.0,64200000.0,,,,,,,246000000.0,,,,,,,,,,,,,,,675600000.0,,142500000.0,,,0.0,,677400000.0,,1310100000.0,,,,,0.0,,,,,,,,,,,,,656900000.0,,0.0,410500000.0,,,,,224000000.0,,,,,,16800000.0,,,,,,,,,,,,19700000.0,217600000.0,45500000.0,,,,,47100000.0,47100000.0,,,,,35800000.0,,,128778000.0,0.0,,590900000.0,,1105400000.0,,,64200000.0,,184000000.0,-448500000.0,,,,,,,,,,,2300000.0,187500000.0,,,,,,,,,,,,44900000.0,0.125,,36500000.0,128778000.0,329400000.0,,,,,,,,1156400000.0,0.0,1558000000.0,,719200000.0,,,,401600000.0,0.0,,,,,,,,,,,,259100000.0,,,,64200000.0,,,,,,,,,,0.125,,,,144800000.0,,,634500000.0,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,128648000.0,,,,,,,,,,25200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128648000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,467900000.0,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467900000.0,,467900000.0,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,128648000.0,,,,,,,,,,26500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128648000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,468300000.0,,,,,,,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468300000.0,,468300000.0,,,,,,,,,,
465350400,,158300000.0,97100000.0,1752000000.0,,159700000.0,,,,336800000.0,336800000.0,325600000.0,,,,1114700000.0,,,,,,,674500000.0,,720400000.0,,182500000.0,,27800000.0,0.0,,745000000.0,,1752000000.0,,,,,0.0,,3900000.0,,,,178000000.0,,317000000.0,3900000.0,,,,1051300000.0,,0.0,674500000.0,,,,,357100000.0,31500000.0,,21200000.0,,,21200000.0,,,,,,1031600000.0,,42200000.0,,,,159700000.0,261500000.0,42200000.0,,,,,3900000.0,3900000.0,,,,,34400000.0,,0.0,127830000.0,0.0,,637300000.0,,1562900000.0,,,97100000.0,,150400000.0,-511600000.0,,,,,,,,,,,10200000.0,325600000.0,,,,,,,,,720400000.0,,,61200000.0,0.19,,31500000.0,127830000.0,317000000.0,,-511600000.0,1051300000.0,,,,,1313500000.0,0.0,1752500000.0,,1114700000.0,,-1153600000.0,,439000000.0,0.0,,,,,,,,,,,,256500000.0,,,,97100000.0,745000000.0,,,,,,,,,0.19,,,637300000.0,178000000.0,357100000.0,,1031600000.0,416400000.0,1562900000.0,-1153600000.0,,,,,,,,,,
473299200,,,,,,,,,,,,,,,,,,,127978000.0,,,,,,,,,,27100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127978000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,368900000.0,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368900000.0,,368900000.0,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,127978000.0,,,,,,,,,,20500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127978000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,338200000.0,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338200000.0,,338200000.0,,,,,,,,,,
